doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Es,es,INTJ,
text1,1,2,ist,ist,NOUN,
text1,1,3,ein,ein,NOUN,
text1,1,4,durchaus,durchaus,NOUN,
text1,1,5,realistisches,realistisches,PROPN,
text1,1,6,Szenario,Szenario,PROPN,PERSON_B
text1,1,7,:,:,PUNCT,
text1,1,8,Eine,eine,NOUN,
text1,1,9,14,14,NUM,CARDINAL_B
text1,1,10,-,-,PUNCT,
text1,1,11,Jährige,Jährige,PROPN,
text1,1,12,versendet,versendet,NOUN,
text1,1,13,ein,ein,NOUN,
text1,1,14,intimes,intime,NOUN,
text1,1,15,Foto,Foto,PROPN,ORG_B
text1,1,16,ihres,ihre,NOUN,
text1,1,17,erst,erst,VERB,
text1,1,18,13,13,NUM,CARDINAL_B
text1,1,19,-,-,PUNCT,
text1,1,20,jährigen,jährigen,NOUN,
text1,1,21,Freundes,Freundes,PROPN,PRODUCT_B
text1,1,22,über,über,PROPN,
text1,1,23,einen,einen,NOUN,
text1,1,24,Messenger,Messenger,PROPN,PERSON_B
text1,1,25,in,in,ADP,
text1,1,26,den,den,NOUN,
text1,1,27,Klassen,Klassen,PROPN,GPE_B
text1,1,28,-,-,PUNCT,
text1,1,29,Chat,Chat,PROPN,
text1,1,30,",",",",PUNCT,
text1,1,31,vielleicht,vielleicht,PROPN,PERSON_B
text1,1,32,aus,aus,ADP,PERSON_I
text1,1,33,Ärger,Ärger,PROPN,PERSON_I
text1,1,34,über,über,PROPN,
text1,1,35,i,I,PRON,
text1,1,36,m,m,VERB,
text1,1,37,Streit,Streit,PROPN,PERSON_B
text1,1,38,Gesagtes,Gesagtes,PROPN,PERSON_I
text1,1,39,",",",",PUNCT,
text1,1,40,vielleicht,vielleicht,NOUN,PERSON_B
text1,1,41,nur,nur,VERB,
text1,1,42,aus,aus,PROPN,PERSON_B
text1,1,43,Versehen,Versehen,PROPN,PERSON_I
text1,1,44,.,.,PUNCT,
text1,2,1,Rein,Rein,PROPN,PERSON_B
text1,2,2,rechtlich,rechtlich,PROPN,
text1,2,3,gesehen,gesehen,PROPN,
text1,2,4,ist,ist,ADJ,
text1,2,5,nicht,nicht,PROPN,
text1,2,6,nur,nur,VERB,
text1,2,7,der,der,PROPN,
text1,2,8,Besitz,Besitz,PROPN,ORG_B
text1,2,9,des,des,PROPN,ORG_I
text1,2,10,Fotos,Fotos,PROPN,ORG_I
text1,2,11,",",",",PUNCT,
text1,2,12,sondern,sondern,ADJ,
text1,2,13,auch,auch,ADJ,
text1,2,14,der,der,PROPN,
text1,2,15,Versand,Versand,PROPN,GPE_B
text1,2,16,eine,eine,NOUN,
text1,2,17,Straftat,Straftat,PROPN,PERSON_B
text1,2,18,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,14,14,NUM,
text1,3,3,-,-,PUNCT,
text1,3,4,Jährige,Jährige,PROPN,
text1,3,5,",",",",PUNCT,
text1,3,6,ihr,ihr,VERB,
text1,3,7,Freund,Freund,PROPN,ORG_B
text1,3,8,",",",",PUNCT,
text1,3,9,aber,aber,PROPN,
text1,3,10,auch,auch,ADJ,
text1,3,11,alle,alle,NOUN,
text1,3,12,Teilnehmer,Teilnehmer,PROPN,
text1,3,13,des,des,X,
text1,3,14,Klassen,Klassen,PROPN,ORG_B
text1,3,15,-,-,PUNCT,ORG_I
text1,3,16,Chats,Chats,PROPN,ORG_I
text1,3,17,",",",",PUNCT,
text1,3,18,eventuell,eventuell,NOUN,
text1,3,19,auch,auch,NOUN,
text1,3,20,weitere,weitere,VERB,
text1,3,21,Personen,Personen,PROPN,GPE_B
text1,3,22,",",",",PUNCT,
text1,3,23,die,die,VERB,
text1,3,24,beispielsweise,beispielsweise,NOUN,
text1,3,25,automatisiert,automatisiert,PROPN,
text1,3,26,Kopien,Kopien,PROPN,PERSON_B
text1,3,27,erhalten,erhalten,ADV,
text1,3,28,",",",",PUNCT,
text1,3,29,wären,wären,PROPN,PERSON_B
text1,3,30,nun,nun,NOUN,PERSON_I
text1,3,31,vom,vom,NOUN,
text1,3,32,Strafrecht,Strafrecht,PROPN,ORG_B
text1,3,33,der,der,NOUN,
text1,3,34,sogenannten,sogenannten,VERB,
text1,3,35,„,„,PUNCT,
text1,3,36,Kinderpornografie,Kinderpornografie,PROPN,ORG_B
text1,3,37,“,"""",PUNCT,
text1,3,38,erfasst,erfasst,ADJ,
text1,3,39,und,und,NOUN,
text1,3,40,potentielle,potentielle,NOUN,
text1,3,41,Verbrecher,Verbrecher,PROPN,
text1,3,42,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,Große,Große,PROPN,ORG_I
text3,1,3,Koalition,Koalition,PROPN,ORG_I
text3,1,4,aus,aus,PROPN,ORG_I
text3,1,5,CDU,CDU,PROPN,ORG_I
text3,1,6,",",",",PUNCT,
text3,1,7,CSU,CSU,PROPN,ORG_B
text3,1,8,und,und,VERB,
text3,1,9,SPD,SPD,PROPN,ORG_B
text3,1,10,ist,ist,NOUN,
text3,1,11,für,für,NOUN,
text3,1,12,strafrechtliche,strafrechtliche,NOUN,
text3,2,1,Verschärfungen,Verschärfungen,PROPN,ORG_B
text3,2,2,i,I,PRON,
text3,2,3,m,m,VERB,
text3,2,4,Bereich,Bereich,PROPN,PERSON_B
text3,2,5,sogenannter,sogenannter,NOUN,
text3,2,6,„,„,PUNCT,
text3,2,7,Kinderpornografie,Kinderpornografie,PROPN,ORG_B
text3,2,8,“,"""",PUNCT,
text3,2,9,verantwortlich,verantwortlich,NOUN,
text3,2,10,.,.,PUNCT,
text3,3,1,Besonders,besonder,NOUN,
text3,3,2,kritisch,kritisch,PROPN,
text3,3,3,ist,ist,VERB,
text3,3,4,dabei,dabei,PROPN,
text3,3,5,der,der,NOUN,ORG_B
text3,3,6,§,§,PROPN,ORG_I
text3,3,7,184b,184b,NUM,ORG_I
text3,3,8,Strafgesetzbuch,Strafgesetzbuch,PROPN,ORG_I
text3,3,9,(,(,PUNCT,
text3,3,10,StGB,StGB,PROPN,FAC_B
text3,3,11,),),PUNCT,
text3,3,12,.,.,PUNCT,
text3,4,1,Er,er,INTJ,
text3,4,2,wurde,wurde,NOUN,
text3,4,3,2021,2021,NUM,DATE_B
text3,4,4,dahingehend,dahingehend,NOUN,
text3,4,5,geändert,geändert,PROPN,
text3,4,6,",",",",PUNCT,
text3,4,7,dass,dass,PROPN,
text3,4,8,die,die,VERB,
text3,4,9,Verbreitung,Verbreitung,PROPN,PERSON_B
text3,4,10,und,und,PROPN,
text3,4,11,der,der,PROPN,
text3,4,12,Besitz,Besitz,PROPN,ORG_B
text3,4,13,„,„,PUNCT,
text3,4,14,kinderpornografischer,kinderpornografischer,PROPN,
text3,4,15,Inhalte,Inhalte,PROPN,NORP_B
text3,4,16,“,"""",PUNCT,
text3,4,17,zum,zum,NUM,PERSON_B
text3,4,18,Verbrechen,Verbrechen,PROPN,PERSON_I
text3,4,19,hochgestuft,hochgestuft,PROPN,PERSON_I
text3,4,20,wurde,wurde,PROPN,PERSON_I
text3,4,21,.,.,PUNCT,
text3,5,1,Es,es,INTJ,
text3,5,2,droht,droht,ADV,
text3,5,3,eine,eine,NOUN,
text3,5,4,Mindestfreiheitsstrafe,Mindestfreiheitsstrafe,PROPN,PERSON_B
text3,5,5,von,von,PROPN,PERSON_I
text3,5,6,einem,einem,PROPN,PERSON_I
text3,5,7,Jahr,Jahr,PROPN,PERSON_I
text3,5,8,.,.,PUNCT,
text3,6,1,Seither,Seither,PROPN,
text3,6,2,müssen,müssen,PROPN,PERSON_B
text3,6,3,Staatsanwälte,Staatsanwälte,PROPN,PERSON_I
text3,6,4,in,in,ADP,
text3,6,5,jedem,jedem,PROPN,
text3,6,6,Verdachtsfall,Verdachtsfall,PROPN,ORG_B
text3,6,7,ermitteln,ermitteln,ADJ,
text3,6,8,",",",",PUNCT,
text3,6,9,unabhängig,unabhängig,ADJ,
text3,6,10,davon,davon,NOUN,
text3,6,11,",",",",PUNCT,
text3,6,12,ob,ob,PROPN,
text3,6,13,ein,ein,PROPN,
text3,6,14,intimes,intime,VERB,
text3,6,15,Foto,Foto,PROPN,GPE_B
text3,6,16,einvernehmlich,einvernehmlich,PROPN,
text3,6,17,entstanden,entstanden,VERB,
text3,6,18,oder,oder,PROPN,
text3,6,19,verschickt,verschickt,PROPN,
text3,6,20,worden,worden,NOUN,
text3,6,21,ist,ist,NOUN,
text3,6,22,oder,oder,PROPN,
text3,6,23,nicht,nicht,PROPN,
text3,6,24,.,.,PUNCT,
text5,1,1,Auf,Auf,PROPN,ORG_B
text5,1,2,der,der,NOUN,
text5,1,3,Herbstkonferenz,Herbstkonferenz,PROPN,
text5,1,4,der,der,PROPN,
text5,1,5,Landesjustizminister,Landesjustizminister,PROPN,PERSON_B
text5,1,6,i,I,PRON,
text5,1,7,m,m,VERB,
text5,1,8,vergangenen,vergangenen,NOUN,
text5,1,9,Jahr,Jahr,PROPN,PERSON_B
text5,1,10,war,war,NOUN,
text5,1,11,man,man,NOUN,
text5,1,12,sich,sich,PROPN,
text5,1,13,bereits,bereit,VERB,
text5,1,14,einig,einig,ADV,
text5,1,15,",",",",PUNCT,
text5,1,16,die,die,VERB,
text5,1,17,Verschärfung,Verschärfung,PROPN,ORG_B
text5,1,18,wieder,wieder,NOUN,
text5,1,19,rückgängig,rückgängig,VERB,
text5,1,20,machen,machen,PROPN,
text5,1,21,zu,zu,ADJ,
text5,1,22,wollen,wollen,PROPN,
text5,1,23,.,.,PUNCT,
text5,2,1,Die,die,VERB,PERSON_B
text5,2,2,Bundesregierung,Bundesregierung,PROPN,PERSON_I
text5,2,3,gibt,gibt,NOUN,
text5,2,4,an,an,PROPN,
text5,2,5,",",",",PUNCT,
text5,2,6,das,das,PROPN,
text5,2,7,Gesetz,Gesetz,PROPN,
text5,2,8,noch,noch,PROPN,
text5,2,9,in,in,ADP,
text5,2,10,diesem,diesem,PROPN,
text5,2,11,Jahr,Jahr,PROPN,NORP_B
text5,2,12,verbessern,verbessern,NOUN,
text5,2,13,zu,zu,PROPN,PERSON_B
text5,2,14,wollen,wollen,NOUN,PERSON_I
text5,2,15,.,.,PUNCT,
text7,1,1,Doch,Doch,PROPN,
text7,1,2,bis,bis,ADJ,
text7,1,3,zu,zu,ADJ,
text7,1,4,einer,einer,NOUN,
text7,1,5,Änderung,Änderung,PROPN,GPE_B
text7,1,6,betreffen,betreffen,PROPN,
text7,1,7,die,die,VERB,
text7,1,8,Delikte,Delikte,PROPN,PERSON_B
text7,1,9,von,von,PROPN,PERSON_I
text7,1,10,„,„,PUNCT,PERSON_I
text7,1,11,Verbreitung,Verbreitung,PROPN,PERSON_I
text7,1,12,",",",",PUNCT,PERSON_I
text7,1,13,Erwerb,Erwerb,PROPN,
text7,1,14,und,und,PROPN,
text7,1,15,Besitz,Besitz,PROPN,ORG_B
text7,1,16,kinderpornografischer,kinderpornografischer,NOUN,
text7,1,17,Inhalte,Inhalte,PROPN,PERSON_B
text7,1,18,“,"""",PUNCT,
text7,1,19,nach,nach,PROPN,
text7,1,20,Polizeiangaben,Polizeiangaben,PROPN,
text7,1,21,zu,zu,PROPN,
text7,1,22,einem,einem,PROPN,
text7,1,23,großen,großen,NOUN,
text7,1,24,Anteil,Anteil,PROPN,GPE_B
text7,1,25,die,die,VERB,
text7,1,26,Falschen,Falschen,PROPN,GPE_B
text7,1,27,(,(,PUNCT,
text7,1,28,€,€,X,
text7,1,29,),),PUNCT,
text7,1,30,",",",",PUNCT,
text7,1,31,nämlich,nämlich,PROPN,
text7,1,32,viele,viele,PROPN,
text7,1,33,minderjährige,minderjährige,PROPN,
text7,1,34,Verdächtige,Verdächtige,PROPN,PERSON_B
text7,1,35,.,.,PUNCT,
text7,2,1,Das,Das,PROPN,
text7,2,2,BKA,BKA,PROPN,ORG_B
text7,2,3,versucht,versucht,NOUN,
text7,2,4,seit,seit,NOUN,
text7,2,5,vergangener,vergangener,NOUN,
text7,2,6,Woche,Woche,PROPN,
text7,2,7,",",",",PUNCT,
text7,2,8,mit,mit,VERB,
text7,2,9,der,der,PROPN,
text7,2,10,Informationskampagne,Informationskampagne,PROPN,GPE_B
text7,2,11,#,#,SYM,
text7,2,12,dontsendit,dontsendit,NOUN,
text7,2,13,über,über,NOUN,
text7,2,14,die,die,NOUN,
text7,2,15,Rechtslage,Rechtslage,PROPN,
text7,2,16,zu,zu,NOUN,
text7,2,17,informieren,informieren,NOUN,
text7,2,18,und,und,VERB,
text7,2,19,Eltern,Eltern,PROPN,ORG_B
text7,2,20,und,und,ADJ,
text7,2,21,Kinder,Kinder,PROPN,
text7,2,22,zu,zu,NOUN,
text7,2,23,sensibilisieren,sensibilisieren,NOUN,
text7,2,24,.,.,PUNCT,
text9,1,1,Wir,wir,ADJ,
text9,1,2,haben,haben,NOUN,
text9,1,3,mit,mit,VERB,
text9,1,4,Thomas,Thomas,PROPN,PERSON_B
text9,1,5,-,-,PUNCT,PERSON_I
text9,1,6,Gabriel,Gabriel,PROPN,PERSON_I
text9,1,7,Rüdiger,Rüdiger,PROPN,PERSON_I
text9,1,8,über,über,PROPN,
text9,1,9,minderjährige,minderjährige,PROPN,
text9,1,10,Tatverdächtige,Tatverdächtige,PROPN,
text9,1,11,i,I,PRON,
text9,1,12,m,m,VERB,
text9,1,13,Zusammenhang,Zusammenhang,PROPN,GPE_B
text9,1,14,mit,mit,VERB,
text9,1,15,Paragraph,Paragraph,PROPN,GPE_B
text9,1,16,184b,184b,NUM,DATE_B
text9,1,17,StGB,StGB,PROPN,DATE_I
text9,1,18,gesprochen,gesprochen,NOUN,
text9,1,19,.,.,PUNCT,
text9,2,1,Prof.,Prof.,PROPN,
text9,2,2,Dr.,Dr.,PROPN,
text9,2,3,Thomas,Thomas,PROPN,PERSON_B
text9,2,4,-,-,PUNCT,PERSON_I
text9,2,5,Gabriel,Gabriel,PROPN,PERSON_I
text9,2,6,Rüdiger,Rüdiger,PROPN,PERSON_I
text9,2,7,ist,ist,PROPN,
text9,2,8,Leiter,Leiter,PROPN,PERSON_B
text9,2,9,des,des,PROPN,PERSON_I
text9,2,10,Instituts,Instituts,PROPN,PERSON_I
text9,2,11,für,für,NOUN,
text9,2,12,Cyberkriminologie,Cyberkriminologie,PROPN,ORG_B
text9,2,13,an,an,DET,
text9,2,14,der,der,ADJ,
text9,2,15,Hochschule,Hochschule,PROPN,ORG_B
text9,2,16,der,der,PROPN,ORG_I
text9,2,17,Polizei,Polizei,PROPN,ORG_I
text9,2,18,des,des,PROPN,ORG_I
text9,2,19,Landes,Landes,PROPN,ORG_I
