doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Nicht,nicht,NOUN,ORG_B
text1,1,2,alles,alle,NOUN,
text1,1,3,",",",",PUNCT,
text1,1,4,was,be,AUX,
text1,1,5,das,das,PROPN,PERSON_B
text1,1,6,Jahr,Jahr,PROPN,PERSON_I
text1,1,7,2023,2023,NUM,PERSON_I
text1,1,8,prägt,prägt,NOUN,
text1,1,9,",",",",PUNCT,
text1,1,10,war,war,NOUN,
text1,1,11,auch,auch,ADJ,
text1,1,12,wichtig,wichtig,NOUN,
text1,1,13,.,.,PUNCT,
text1,2,1,Und,und,NOUN,
text1,2,2,manche,manche,NOUN,ORG_B
text1,2,3,Dinge,Dinge,PROPN,ORG_I
text1,2,4,",",",",PUNCT,
text1,2,5,die,die,VERB,
text1,2,6,wichtig,wichtig,NOUN,
text1,2,7,waren,waren,PROPN,PERSON_B
text1,2,8,",",",",PUNCT,
text1,2,9,haben,haben,NOUN,PERSON_B
text1,2,10,zu,zu,PROPN,PERSON_I
text1,2,11,wenig,wenig,NOUN,
text1,2,12,Aufmerksamkeit,Aufmerksamkeit,PROPN,ORG_B
text1,2,13,bekommen,bekommen,NOUN,
text1,2,14,.,.,PUNCT,
text3,1,1,Während,während,VERB,
text3,1,2,viele,viele,PROPN,
text3,1,3,über,über,PROPN,
text3,1,4,jeden,jeden,PROPN,
text3,2,1,Ausfall,Ausfall,PROPN,
text3,2,2,von,von,PROPN,
text3,2,3,Elon,Elon,PROPN,
text3,2,4,Musk,Musk,PROPN,
text3,2,5,berichteten,berichteten,ADJ,
text3,2,6,",",",",PUNCT,
text3,2,7,haben,haben,NOUN,
text3,2,8,wir,wir,NOUN,
text3,2,9,uns,un,VERB,
text3,2,10,vorrangig,vorrangig,PROPN,
text3,2,11,mit,mit,NOUN,
text3,2,12,den,den,VERB,
text3,2,13,leiseren,leiseren,PROPN,
text3,2,14,und,und,VERB,
text3,2,15,relevanteren,relevanteren,NOUN,PERSON_B
text3,2,16,Dingen,dingen,NOUN,PERSON_I
text3,2,17,beschäftigt,beschäftigt,PROPN,PRODUCT_B
text3,2,18,:,:,PUNCT,
text3,3,1,Wie,wie,NOUN,PERSON_B
text3,3,2,läuft,läuft,NOUN,
text3,3,3,es,es,X,
text3,3,4,mit,mit,PROPN,
text3,3,5,der,der,PROPN,
text3,3,6,Digitalisierung,Digitalisierung,PROPN,PERSON_B
text3,3,7,der,der,PROPN,PERSON_I
text3,3,8,Verwaltung,Verwaltung,PROPN,GPE_B
text3,3,9,?,?,PUNCT,
text3,4,1,Wer,Wer,PROPN,
text3,4,2,will,will,AUX,
text3,4,3,unsere,unsere,VERB,
text3,4,4,Nutzer,Nutzer,PROPN,PRODUCT_B
text3,4,5,:,:,PUNCT,
text3,4,6,innenrechte,innenrechte,NOUN,
text3,4,7,einschränken,einschränken,PROPN,
text3,4,8,und,und,PROPN,
text3,4,9,wie,wie,PROPN,
