doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Stellen,stellen,NOUN,
text1,1,2,wir,wir,NOUN,
text1,1,3,uns,uns,VERB,
text1,1,4,vor,vor,NOUN,
text1,1,5,",",",",PUNCT,
text1,1,6,Hamoudi,Hamoudi,PROPN,GPE_B
text1,1,7,",",",",PUNCT,
text1,1,8,13,13,NUM,DATE_B
text1,1,9,",",",",PUNCT,
text1,1,10,will,will,AUX,
text1,1,11,durch,durch,VERB,
text1,1,12,TikTok,tiktok,NOUN,ORG_B
text1,1,13,scrollen,scrollen,NOUN,
text1,1,14,.,.,PUNCT,
text1,2,1,Er,er,INTJ,
text1,2,2,öffnet,öffnet,NOUN,
text1,2,3,die,die,VERB,
text1,2,4,App,App,PROPN,
text1,2,5,auf,auf,PROPN,
text1,2,6,seinem,seinem,PROPN,PERSON_B
text1,2,7,Handy,Handy,PROPN,PERSON_I
text1,2,8,",",",",PUNCT,
text1,2,9,doch,doch,PROPN,PERSON_B
text1,2,10,statt,statt,PROPN,PERSON_I
text1,2,11,der,der,PROPN,PERSON_I
text1,2,12,bunten,bunten,PROPN,
text1,2,13,Clips,Clips,PROPN,ORG_B
text1,2,14,in,in,ADP,
text1,2,15,seinem,seinem,PROPN,
text1,2,16,For,For,PROPN,
text1,2,17,-,-,PUNCT,
text1,2,18,You,You,PROPN,
text1,2,19,-,-,PUNCT,
text1,2,20,Feed,Feed,PROPN,
text1,2,21,sieht,sieht,NOUN,
text1,2,22,er,er,INTJ,
text1,2,23,eine,eine,NOUN,
text1,2,24,Aufforderung,Aufforderung,PROPN,PERSON_B
text1,2,25,.,.,PUNCT,
text1,3,1,Er,Er,PROPN,
text1,3,2,soll,soll,PROPN,
text1,3,3,sein,sein,PROPN,
text1,3,4,Alter,Alter,PROPN,ORG_B
text1,3,5,nachweisen,nachweisen,PROPN,
text1,3,6,und,und,PROPN,
text1,3,7,bekommt,bekommt,PROPN,
text1,3,8,deshalb,deshalb,PROPN,
text1,3,9,eine,eine,NOUN,
text1,3,10,zufällige,zufällige,PROPN,
text1,3,11,Zahl,Zahl,PROPN,ORG_B
text1,3,12,zugeteilt,zugeteilt,NOUN,
text1,3,13,.,.,PUNCT,
text1,4,1,Über,über,NOUN,PERSON_B
text1,4,2,den,den,NOUN,
text1,4,3,Browser,Browser,PROPN,PERSON_B
text1,4,4,wird,wird,NOUN,
text1,4,5,er,er,INTJ,
text1,4,6,weitergeleitet,weitergeleitet,NOUN,
text1,4,7,an,an,DET,
text1,4,8,eine,eine,NOUN,
text1,4,9,„,„,X,
text1,4,10,zur,zur,PROPN,
text1,4,11,Altersverifizierung,Altersverifizierung,PROPN,PERSON_B
text1,4,12,berechtigte,berechtigte,PROPN,
text1,4,13,Stelle,Stelle,PROPN,PERSON_B
text1,4,14,“,"""",PUNCT,
text1,4,15,seiner,seiner,NOUN,
text1,4,16,Wahl,Wahl,PROPN,
text1,4,17,.,.,PUNCT,
text1,5,1,Das,Das,PROPN,
text1,5,2,könnte,könnte,NOUN,
text1,5,3,etwa,etwa,NOUN,
text1,5,4,seine,seine,PROPN,
text1,5,5,Bank,Bank,PROPN,ORG_B
text1,5,6,sein,sein,PROPN,
text1,5,7,",",",",PUNCT,
text1,5,8,nur,nur,VERB,
text1,5,9,hat,hat,NOUN,
text1,5,10,Hamoudi,Hamoudi,PROPN,
text1,5,11,gar,gar,NOUN,PERSON_B
text1,5,12,kein,kein,PROPN,PERSON_I
text1,5,13,Konto,Konto,PROPN,PERSON_I
text1,5,14,.,.,PUNCT,
text1,6,1,Auch,auch,NOUN,
text1,6,2,das,das,PROPN,
text1,6,3,Einwohnermeldeamt,Einwohnermeldeamt,PROPN,
text1,6,4,kommt,kommt,PROPN,
text1,6,5,in,in,ADP,
text1,6,6,Frage,Frage,PROPN,GPE_B
text1,6,7,",",",",PUNCT,
text1,6,8,seine,seine,ADJ,
text1,6,9,Kinderärztin,Kinderärztin,PROPN,PERSON_B
text1,6,10,oder,oder,NOUN,
text1,6,11,die,die,VERB,
text1,6,12,Schule,Schule,PROPN,PERSON_B
text1,6,13,.,.,PUNCT,
text3,1,1,Wen,Wen,PROPN,
text3,1,2,auch,auch,NOUN,
text3,1,3,immer,immer,NOUN,
text3,1,4,er,er,INTJ,
