doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,PERSON_B
text1,1,2,EU,EU,PROPN,PERSON_I
text1,1,3,-,-,PUNCT,PERSON_I
text1,1,4,Innenkommissarin,Innenkommissarin,PROPN,
text1,1,5,Ylva,Ylva,PROPN,
text1,1,6,Johansson,Johansson,PROPN,
text1,1,7,hat,hat,NOUN,
text1,1,8,heute,heute,NOUN,
text1,1,9,den,den,NOUN,
text1,1,10,umstrittenen,umstrittenen,PROPN,
text1,1,11,Gesetzentwurf,Gesetzentwurf,PROPN,
text1,1,12,zur,zur,PROPN,
text1,1,13,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,1,14,offiziell,offiziell,VERB,
text1,1,15,dem,dem,ADJ,ORG_B
text1,1,16,Ausschuss,Ausschuss,PROPN,ORG_I
text1,1,17,für,für,NOUN,
text1,1,18,bürgerliche,bürgerliche,NOUN,
text1,1,19,Freiheiten,Freiheiten,PROPN,PERSON_B
text1,1,20,",",",",PUNCT,
text1,1,21,Justiz,Justiz,PROPN,PERSON_B
text1,1,22,und,und,PROPN,
text1,1,23,Inneres,Inneres,PROPN,ORG_B
text1,1,24,des,des,X,ORG_I
text1,1,25,Europa,Europa,PROPN,ORG_I
text1,1,26,-,-,PUNCT,ORG_I
text1,1,27,Parlaments,Parlaments,PROPN,ORG_I
text1,1,28,vorgestellt,vorgestellt,NOUN,
text1,1,29,.,.,PUNCT,
text1,2,1,Laut,Laut,PROPN,PERSON_B
text1,2,2,EU,EU,PROPN,PERSON_I
text1,2,3,-,-,PUNCT,PERSON_I
text1,2,4,Kommission,Kommission,PROPN,PERSON_I
text1,2,5,soll,soll,NOUN,
text1,2,6,der,der,PROPN,
text1,2,7,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text1,2,8,dazu,dazu,NOUN,
text1,2,9,dienen,dienen,NOUN,
text1,2,10,",",",",PUNCT,
text1,2,11,sexualisierte,sexualisierte,NOUN,
text1,2,12,Gewalt,Gewalt,PROPN,PERSON_B
text1,2,13,gegen,gegen,NOUN,
text1,2,14,Kinder,Kinder,PROPN,
text1,2,15,zu,zu,PROPN,
text1,2,16,bekämpfen,bekämpfen,NOUN,
text1,2,17,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,Maßnahmen,Maßnahmen,PROPN,
text1,3,3,",",",",PUNCT,
text1,3,4,die,die,VERB,
text1,3,5,dafür,dafür,ADJ,
text1,3,6,gewählt,gewählt,NOUN,
text1,3,7,werden,werden,NOUN,
text1,3,8,",",",",PUNCT,
text1,3,9,sind,sind,NOUN,
text1,3,10,aber,aber,PROPN,
text1,3,11,aufgrund,aufgrund,PROPN,
text1,3,12,ihrer,ihrer,NOUN,
text1,3,13,Eingriffstiefe,Eingriffstiefe,PROPN,ORG_B
text1,3,14,in,in,ADP,
text1,3,15,die,die,ADJ,
text1,3,16,private,private,ADJ,
text1,3,17,Kommunikation,Kommunikation,PROPN,
text1,3,18,und,und,PROPN,
text1,3,19,als,al,NOUN,
text1,3,20,neue,neue,NOUN,
text1,3,21,Form,Form,PROPN,
text1,3,22,der,der,NOUN,
text1,3,23,potenziellen,potenziellen,VERB,
text1,3,24,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,25,grundrechtlich,grundrechtlich,NOUN,
text1,3,26,hoch,hoch,NOUN,
text1,3,27,umstritten,umstritten,PROPN,
text1,3,28,.,.,PUNCT,
text1,4,1,So,so,ADV,
text1,4,2,könnte,könnte,PROPN,
text1,4,3,eine,eine,NOUN,
text1,4,4,Umsetzung,Umsetzung,PROPN,ORG_B
text1,4,5,des,des,PROPN,ORG_I
text1,4,6,Gesetzes,Gesetzes,PROPN,ORG_I
text1,4,7,dazu,dazu,NOUN,
text1,4,8,führen,führen,PROPN,
text1,4,9,",",",",PUNCT,
text1,4,10,dass,dass,PROPN,
text1,4,11,Anbieter,Anbieter,PROPN,PERSON_B
text1,4,12,auf,auf,PROPN,
text1,4,13,Anordnung,Anordnung,PROPN,PERSON_B
text1,4,14,Kommunikationsinhalte,Kommunikationsinhalte,PROPN,PERSON_I
text1,4,15,der,der,PROPN,
text1,4,16,Nutzenden,Nutzenden,PROPN,PERSON_B
text1,4,17,scannen,scannen,NOUN,PERSON_B
text1,4,18,müssen,müssen,PROPN,PERSON_I
text1,4,19,–,–,PUNCT,
text1,4,20,kurz,kurz,PROPN,PERSON_B
text1,4,21,„,„,PRON,PERSON_I
text1,4,22,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text1,4,23,“,"""",PUNCT,PERSON_I
text1,4,24,genannt,genannt,NOUN,PERSON_I
text1,4,25,.,.,PUNCT,
text3,1,1,In,in,ADP,
text3,1,2,der,der,ADJ,
text3,1,3,Ausschusssitzung,Ausschusssitzung,PROPN,PERSON_B
text3,1,4,verteidigte,verteidigte,PROPN,
text3,1,5,die,die,VERB,
text3,1,6,sozialdemokratische,sozialdemokratische,PROPN,
text3,1,7,EU,EU,PROPN,ORG_B
text3,1,8,-,-,PUNCT,
text3,1,9,Kommissarin,Kommissarin,PROPN,PERSON_B
text3,1,10,Ylva,Ylva,PROPN,PERSON_I
text3,1,11,Johansson,Johansson,PROPN,PERSON_I
text3,1,12,die,die,VERB,
text3,1,13,Pläne,Pläne,PROPN,ORG_B
text3,1,14,der,der,PROPN,ORG_I
text3,1,15,Kommission,Kommission,PROPN,ORG_I
text3,1,16,.,.,PUNCT,
text3,2,1,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text3,2,2,sei,sei,ADJ,CARDINAL_B
text3,2,3,kein,kein,PROPN,PERSON_B
text3,2,4,Problem,Problem,PROPN,PERSON_I
