doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,PERSON_B
text1,1,2,konservative,konservative,ADJ,
text1,1,3,Vorsitzende,Vorsitzende,PROPN,ORG_B
text1,1,4,des,des,PROPN,ORG_I
text1,1,5,Innenpolitik,Innenpolitik,PROPN,ORG_I
text1,1,6,-,-,PUNCT,ORG_I
text1,1,7,Ausschusses,Ausschusses,PROPN,ORG_I
text1,1,8,(,(,PUNCT,
text1,1,9,LIBE,LIBE,PROPN,ORG_B
text1,1,10,),),PUNCT,
text1,1,11,des,des,PROPN,
text1,1,12,Europäischen,Europäischen,PROPN,ORG_B
text1,1,13,Parlaments,Parlaments,PROPN,ORG_I
text1,1,14,und,und,VERB,
text1,1,15,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,16,-,-,PUNCT,ORG_I
text1,1,17,Berichterstatter,Berichterstatter,PROPN,ORG_I
text1,1,18,",",",",PUNCT,
text1,1,19,Javier,Javier,PROPN,PERSON_B
text1,1,20,Zarzalejos,Zarzalejos,PROPN,PERSON_I
text1,1,21,",",",",PUNCT,
text1,1,22,hat,hat,NOUN,
text1,1,23,überraschend,überraschend,NOUN,
text1,1,24,für,für,NOUN,
text1,1,25,Mittwoch,Mittwoch,PROPN,
text1,1,26,ein,ein,PROPN,
text1,1,27,so,so,SCONJ,
text1,1,28,genanntes,genannte,VERB,
text1,1,29,„,„,PUNCT,
text1,1,30,Schattentreffen,Schattentreffen,PROPN,
text1,1,31,“,"""",PUNCT,
text1,1,32,zum,zum,NOUN,
text1,1,33,Thema,Thema,PROPN,ORG_B
text1,1,34,Chatkontrolle,Chatkontrolle,PROPN,ORG_I
text1,1,35,angesetzt,angesetzt,VERB,
text1,1,36,.,.,PUNCT,
text1,2,1,Der,Der,PROPN,ORG_B
text1,2,2,Zeitpunkt,Zeitpunkt,PROPN,ORG_I
text1,2,3,dafür,dafür,PROPN,
text1,2,4,ist,ist,ADJ,
text1,2,5,ungewöhnlich,ungewöhnlich,PROPN,
text1,2,6,",",",",PUNCT,
text1,2,7,da,da,PROPN,
text1,2,8,keine,keine,NOUN,
text1,2,9,Verhandlungen,Verhandlungen,PROPN,ORG_B
text1,2,10,mit,mit,NOUN,
text1,2,11,EU,EU,PROPN,ORG_B
text1,2,12,-,-,PUNCT,
text1,2,13,Rat,Rat,PROPN,
text1,2,14,und,und,PROPN,
text1,2,15,EU,EU,PROPN,ORG_B
text1,2,16,-,-,PUNCT,ORG_I
text1,2,17,Kommission,Kommission,PROPN,ORG_I
text1,2,18,anstehen,anstehen,NOUN,
text1,2,19,–,–,PUNCT,
text1,2,20,und,und,PROPN,
text1,2,21,das,das,PROPN,PERSON_B
text1,2,22,EU,EU,PROPN,PERSON_I
text1,2,23,-,-,PUNCT,PERSON_I
text1,2,24,Parlament,parlament,ADJ,PERSON_I
text1,2,25,seine,seine,NOUN,
text1,2,26,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,27,-,-,PUNCT,ORG_I
text1,2,28,Kompromiss,Kompromiss,PROPN,ORG_I
text1,2,29,schon,schon,NOUN,
text1,2,30,vor,vor,NOUN,
text1,2,31,mehr,mehr,NOUN,
text1,2,32,als,al,NOUN,
text1,2,33,einem,einem,PROPN,
text1,2,34,Jahr,Jahr,PROPN,PERSON_B
text1,2,35,gefunden,gefunden,ADJ,
text1,2,36,hat,hat,NOUN,
text1,2,37,.,.,PUNCT,
text1,3,1,Der,Der,PROPN,PERSON_B
text1,3,2,gilt,gilt,PROPN,
text1,3,3,als,al,NOUN,
text1,3,4,grundrechtsfreundlich,grundrechtsfreundlich,PROPN,
text1,3,5,",",",",PUNCT,
text1,3,6,da,da,PROPN,
text1,3,7,er,er,INTJ,
text1,3,8,verschlüsselte,verschlüsselte,PROPN,
text1,3,9,Kommunikation,Kommunikation,PROPN,PERSON_B
text1,3,10,von,von,PROPN,PERSON_I
text1,3,11,der,der,PROPN,PERSON_I
text1,3,12,Überwachung,Überwachung,PROPN,PERSON_I
text1,3,13,ausnimmt,ausnimmt,PROPN,
text1,3,14,.,.,PUNCT,
text3,1,1,Am,be,AUX,
text3,1,2,Montag,Montag,PROPN,
text3,1,3,konnte,konnte,NOUN,
text3,1,4,netzpolitik.org,netzpolitik.org,SYM,ORG_B
text3,1,5,eine,eine,NOUN,
text3,1,6,Agenda,Agenda,PROPN,PERSON_B
text3,1,7,des,des,X,PERSON_I
text3,1,8,kurzfristig,kurzfristig,PROPN,PERSON_I
text3,1,9,angesetzten,angesetzten,NOUN,
text3,1,10,Treffens,Treffens,PROPN,WORK_OF_ART_B
text3,1,11,einsehen,einsehen,NOUN,
text3,1,12,.,.,PUNCT,
text3,2,1,Die,die,VERB,ORG_B
text3,2,2,Liste,Liste,PROPN,ORG_I
text3,2,3,der,der,PROPN,
text3,2,4,bis,bis,INTJ,
text3,2,5,dahin,dahin,ADP,
text3,2,6,Eingeladenen,Eingeladenen,PROPN,GPE_B
text3,2,7,ließ,ließ,NOUN,
text3,2,8,auf,auf,PROPN,ORG_B
text3,2,9,eine,eine,NOUN,
text3,2,10,sehr,sehr,NOUN,
text3,2,11,einseitige,einseitige,NOUN,
text3,2,12,Ausrichtung,Ausrichtung,PROPN,GPE_B
text3,2,13,der,der,NOUN,
text3,2,14,Veranstaltung,Veranstaltung,PROPN,PERSON_B
text3,2,15,schließen,schließen,NOUN,
text3,2,16,.,.,PUNCT,
text3,3,1,Bis,Bis,PROPN,
text3,3,2,Montagnachmittag,Montagnachmittag,PROPN,
text3,3,3,war,war,NOUN,
text3,3,4,kein,kein,PROPN,
text3,3,5,einziger,einziger,PROPN,
text3,3,6,Vertreter,Vertreter,PROPN,PERSON_B
text3,3,7,der,der,PROPN,
text3,3,8,digitalen,digitalen,NOUN,
text3,3,9,und,und,VERB,
text3,3,10,bürgerrechtsorientierten,bürgerrechtsorientierten,ADV,
text3,3,11,Zivilgesellschaft,Zivilgesellschaft,PROPN,NORP_B
text3,3,12,zu,zu,ADJ,
text3,3,13,dem,dem,ADJ,
text3,3,14,Treffen,Treffen,PROPN,PERSON_B
text3,3,15,geladen,geladen,PROPN,
text3,3,16,",",",",PUNCT,
text3,3,17,während,während,VERB,
text3,3,18,überwachungsfreundliche,überwachungsfreundliche,NOUN,
text3,3,19,Lobbyisten,Lobbyisten,PROPN,PERSON_B
text3,3,20,aus,aus,PUNCT,PERSON_I
text3,3,21,dem,dem,PROPN,PERSON_I
text3,3,22,Bereich,Bereich,PROPN,ORG_B
text3,3,23,des,des,X,ORG_I
text3,3,24,Kinderschutzes,Kinderschutzes,PROPN,ORG_I
text3,3,25,von,von,PROPN,ORG_I
text3,3,26,ECPAT,ECPAT,PROPN,ORG_I
text3,3,27,",",",",PUNCT,
text3,3,28,Brave,Brave,PROPN,
text3,3,29,und,und,PROPN,
text3,3,30,Eurochild,Eurochild,PROPN,ORG_B
text3,3,31,neben,neben,NOUN,
text3,3,32,Vertretern,Vertretern,PROPN,ORG_B
text3,3,33,der,der,PROPN,
