doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,FDP,FDP,PROPN,
text1,1,3,-,-,PUNCT,
text1,1,4,geführten,geführten,NOUN,
text1,1,5,Bundesministerien,Bundesministerien,PROPN,PERSON_B
text1,1,6,machen,machen,PROPN,
text1,1,7,offenbar,offenbar,PROPN,
text1,1,8,intern,intern,NOUN,
text1,1,9,Druck,Druck,PROPN,GPE_B
text1,1,10,auf,auf,PROPN,
text1,1,11,die,die,VERB,
text1,1,12,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text1,1,13,",",",",PUNCT,
text1,1,14,denn,denn,NOUN,
text1,1,15,die,die,VERB,
text1,1,16,von,von,PROPN,PERSON_B
text1,1,17,der,der,PROPN,PERSON_I
text1,1,18,EU,EU,PROPN,ORG_B
text1,1,19,-,-,PUNCT,ORG_I
text1,1,20,Kommission,Kommission,PROPN,ORG_I
text1,1,21,geplante,geplante,NOUN,
text1,1,22,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,23,geht,geht,VERB,
text1,1,24,ihnen,ihnen,NOUN,
text1,1,25,zu,zu,PROPN,
text1,1,26,weit,weit,NOUN,
text1,1,27,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,wird,wird,PROPN,
text1,2,3,aus,aus,PROPN,
text1,2,4,einer,einer,PROPN,
text1,2,5,Liste,Liste,PROPN,PERSON_B
text1,2,6,von,von,PROPN,PERSON_I
text1,2,7,„,„,PUNCT,PERSON_I
text1,2,8,roten,roten,PROPN,
text1,2,9,Linien,Linien,PROPN,
text1,2,10,“,"""",PUNCT,
text1,2,11,deutlich,deutlich,NOUN,
text1,2,12,",",",",PUNCT,
text1,2,13,die,die,VERB,
text1,2,14,das,das,PROPN,ORG_B
text1,2,15,Justizministerium,Justizministerium,PROPN,ORG_I
text1,2,16,und,und,PROPN,
text1,2,17,das,das,PROPN,
text1,2,18,Digitalministerium,digitalministerium,NOUN,
text1,2,19,laut,laut,NOUN,
text1,2,20,Tagesspiegel,Tagesspiegel,PROPN,PERSON_B
text1,2,21,Background,Background,PROPN,PERSON_I
text1,2,22,an,an,DET,
text1,2,23,das,das,PROPN,
text1,2,24,SPD,SPD,PROPN,
text1,2,25,-,-,PUNCT,
text1,2,26,geführte,geführte,NOUN,
text1,2,27,Innenministerium,Innenministerium,PROPN,PRODUCT_B
text1,2,28,geschickt,geschickt,NOUN,
text1,2,29,haben,haben,NOUN,
text1,2,30,.,.,PUNCT,
text1,3,1,Wir,Wir,PROPN,
text1,3,2,veröffentlichen,veröffentlichen,PROPN,
text1,3,3,die,die,VERB,
text1,3,4,Roten,Roten,PROPN,PERSON_B
text1,3,5,Linien,Linien,PROPN,PERSON_I
text1,4,1,i,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,Volltext,Volltext,PROPN,PERSON_B
text1,4,4,.,.,PUNCT,
text3,1,1,Mit,Mit,PROPN,PERSON_B
text3,1,2,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text3,1,3,sind,sind,VERB,
text3,1,4,Pläne,Pläne,PROPN,PERSON_B
text3,1,5,der,der,NOUN,
text3,1,6,EU,EU,PROPN,ORG_B
text3,1,7,-,-,PUNCT,ORG_I
text3,1,8,Kommission,Kommission,PROPN,ORG_I
text3,1,9,gemeint,gemeint,NOUN,
text3,1,10,",",",",PUNCT,
text3,1,11,um,um,INTJ,
text3,1,12,die,die,VERB,
text3,1,13,Verbreitung,Verbreitung,PROPN,PERSON_B
text3,1,14,von,von,PROPN,PERSON_I
text3,1,15,Aufnahmen,Aufnahmen,PROPN,PERSON_I
text3,1,16,sexualisierter,sexualisierter,NOUN,
text3,1,17,Gewalt,Gewalt,PROPN,PERSON_B
text3,1,18,gegen,gegen,NOUN,
text3,1,19,Kinder,Kinder,PROPN,
text3,1,20,zu,zu,PROPN,
text3,1,21,bekämpfen,bekämpfen,NOUN,
text3,1,22,.,.,PUNCT,
text3,2,1,Die,die,VERB,ORG_B
text3,2,2,Kommission,Kommission,PROPN,ORG_I
text3,2,3,hat,hat,NOUN,
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,Mai,Mai,PROPN,PERSON_B
text3,3,4,einen,einen,NOUN,
text3,3,5,Entwurf,Entwurf,PROPN,
text3,3,6,vorgelegt,vorgelegt,VERB,
text3,3,7,",",",",PUNCT,
text3,3,8,der,der,PROPN,
text3,3,9,weitreichende,weitreichende,NOUN,
text3,3,10,Pflichten,Pflichten,PROPN,PERSON_B
text3,3,11,für,für,ADV,
text3,3,12,Tech,Tech,PROPN,ORG_B
text3,3,13,-,-,PUNCT,ORG_I
text3,3,14,Unternehmen,Unternehmen,PROPN,ORG_I
text3,3,15,vorsieht,vorsieht,NOUN,
text3,3,16,.,.,PUNCT,
text3,4,1,Unter,Unter,PROPN,
text3,4,2,anderem,anderem,PROPN,
text3,4,3,sollen,sollen,PROPN,
text3,4,4,sie,sie,PROPN,
text3,4,5,bekannte,bekannte,PROPN,
text3,4,6,und,und,PROPN,
text3,4,7,bislang,bislang,PROPN,ORG_B
text3,4,8,unbekannte,unbekannte,NOUN,
text3,4,9,Darstellungen,Darstellungen,PROPN,ORG_B
text3,4,10,sexualisierter,sexualisierter,NOUN,
text3,4,11,Gewalt,Gewalt,PROPN,PERSON_B
text3,4,12,gegen,gegen,NOUN,
text3,4,13,Kinder,Kinder,PROPN,
text3,4,14,automatisch,automatisch,PROPN,
text3,4,15,erkennen,erkennen,NOUN,
text3,4,16,",",",",PUNCT,
text3,4,17,auch,auch,NOUN,
text3,4,18,in,in,ADP,
text3,4,19,privaten,privaten,ADJ,
text3,4,20,Chats,Chats,PROPN,
text3,4,21,.,.,PUNCT,
text3,5,1,Die,die,AUX,
text3,5,2,Pläne,Pläne,PROPN,
text3,5,3,haben,haben,NOUN,
text3,5,4,teils,teil,NOUN,
text3,5,5,vernichtende,vernichtende,VERB,
text3,5,6,Kritik,Kritik,PROPN,PRODUCT_B
text3,5,7,geerntet,geerntet,NOUN,
text3,5,8,",",",",PUNCT,
text3,5,9,unter,unter,NOUN,PERSON_B
text3,5,10,anderem,anderem,PROPN,PERSON_I
text3,5,11,warnten,warnten,PROPN,
text3,5,12,die,die,VERB,
text3,5,13,EU,EU,PROPN,ORG_B
text3,5,14,-,-,PUNCT,
text3,5,15,Datenschutzbehörden,datenschutzbehörden,ADJ,
text3,5,16,vor,vor,NOUN,
text3,5,17,einer,einer,NOUN,
text3,5,18,anlasslosen,anlasslosen,NOUN,
text3,5,19,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text3,5,20,.,.,PUNCT,
text5,1,1,Auch,auch,NOUN,
text5,1,2,die,die,VERB,
text5,1,3,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text5,1,4,übte,übte,NOUN,
text5,1,5,Kritik,Kritik,PROPN,PRODUCT_B
text5,1,6,an,an,DET,
text5,1,7,den,den,NOUN,
text5,1,8,geplanten,geplanten,VERB,
text5,1,9,Maßnahmen,Maßnahmen,PROPN,ORG_B
text5,1,10,.,.,PUNCT,
text5,2,1,Sie,Sie,PROPN,
text5,2,2,löcherte,löcherte,NOUN,
text5,2,3,die,die,VERB,
text5,2,4,EU,EU,PROPN,ORG_B
text5,2,5,-,-,PUNCT,ORG_I
text5,2,6,Kommission,Kommission,PROPN,ORG_I
text5,2,7,in,in,ADP,
text5,2,8,einem,einem,PROPN,
text5,2,9,Schreiben,Schreiben,PROPN,PERSON_B
text5,2,10,mit,mit,VERB,
text5,2,11,mehr,mehr,NOUN,
text5,2,12,als,al,NOUN,
text5,2,13,60,60,NUM,CARDINAL_B
text5,2,14,teils,teil,NOUN,
text5,2,15,sehr,sehr,PROPN,
text5,2,16,pointierten,pointierten,PROPN,
text5,2,17,Rückfragen,Rückfragen,PROPN,ORG_B
text5,2,18,",",",",PUNCT,
text5,2,19,etwa,etwa,NOUN,
text5,2,20,zum,zum,NOUN,PERSON_B
text5,2,21,Stellenwert,Stellenwert,PROPN,PERSON_I
text5,2,22,der,der,NOUN,PERSON_I
text5,2,23,verschlüsselten,verschlüsselten,VERB,
text5,2,24,Kommunikation,Kommunikation,PROPN,ORG_B
text5,2,25,oder,oder,NOUN,
text5,2,26,den,den,VERB,
text5,2,27,zu,zu,PROPN,
text5,2,28,erwartenden,erwartenden,PROPN,
text5,2,29,Fehlerquoten,Fehlerquoten,PROPN,PERSON_B
text5,2,30,bei,bei,PROPN,
