doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,Europäische,Europäische,PROPN,ORG_I
text1,1,3,Kommission,Kommission,PROPN,ORG_I
text1,1,4,hat,hat,NOUN,
text1,1,5,beschlossen,beschlossen,NOUN,
text1,1,6,",",",",PUNCT,
text1,1,7,vorübergehend,vorübergehend,VERB,
text1,1,8,nicht,nicht,PROPN,
text1,1,9,mehr,mehr,NOUN,
text1,1,10,auf,auf,PROPN,
text1,1,11,der,der,PROPN,
text1,2,1,früher,früher,NOUN,
text1,2,2,als,al,VERB,
text1,2,3,Twitter,Twitter,PROPN,PERSON_B
text1,2,4,bekannten,bekannten,VERB,
text1,2,5,Plattform,Plattform,PROPN,PERSON_B
text1,2,6,X,x,NOUN,PERSON_I
text1,2,7,von,von,PROPN,PERSON_I
text1,2,8,Elon,Elon,PROPN,PERSON_I
text1,2,9,Musk,Musk,PROPN,PERSON_I
text1,2,10,zu,zu,PROPN,PERSON_I
text1,2,11,werben,werben,PROPN,PERSON_I
text1,2,12,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,berichtet,berichtet,NOUN,
text1,3,3,Politico.eu,Politico.eu,PROPN,
text1,3,4,unter,unter,NOUN,
text1,3,5,Berufung,Berufung,PROPN,GPE_B
text1,3,6,auf,auf,PROPN,
text1,3,7,einen,einen,NOUN,
text1,3,8,internen,internen,PROPN,
text1,3,9,Vermerk,Vermerk,PROPN,ORG_B
text1,3,10,aus,aus,ADP,ORG_I
text1,3,11,der,der,PROPN,ORG_I
text1,3,12,Kommission,Kommission,PROPN,ORG_I
text1,3,13,",",",",PUNCT,
text1,3,14,der,der,PROPN,PERSON_B
text1,3,15,dem,dem,PROPN,PERSON_I
text1,3,16,Medium,Medium,PROPN,PERSON_I
text1,3,17,vorliegt,vorliegt,VERB,
text1,3,18,.,.,PUNCT,
text1,4,1,In,in,ADP,
text1,4,2,diesem,diesem,PROPN,
text1,4,3,Vermerk,Vermerk,PROPN,PERSON_B
text1,4,4,soll,soll,PROPN,
text1,4,5,von,von,PROPN,PERSON_B
text1,4,6,„,„,PUNCT,PERSON_I
text1,4,7,Bedenken,Bedenken,PROPN,PRODUCT_B
text1,4,8,hinsichtlich,hinsichtlich,NOUN,
text1,4,9,der,der,PROPN,
text1,4,10,Verbreitung,Verbreitung,PROPN,PERSON_B
text1,4,11,von,von,PROPN,PERSON_I
text1,4,12,Desinformationen,Desinformationen,PROPN,PERSON_I
text1,4,13,“,"""",PUNCT,
text1,4,14,die,die,VERB,
text1,4,15,Rede,Rede,PROPN,PERSON_B
text1,4,16,sein,sein,PROPN,
text1,4,17,.,.,PUNCT,
text3,1,1,In,in,ADP,
text3,1,2,diesem,diesem,PROPN,
text3,1,3,Vermerk,Vermerk,PROPN,PERSON_B
text3,1,4,",",",",PUNCT,
text3,1,5,der,der,ADJ,PERSON_B
text3,1,6,laut,laut,NOUN,PERSON_I
text3,1,7,Politico,Politico,PROPN,PERSON_I
text3,1,8,an,an,DET,
text3,1,9,alle,alle,NOUN,
text3,1,10,Dienststellenleitungen,dienststellenleitungen,NOUN,ORG_B
text3,1,11,und,und,PROPN,
text3,1,12,Generaldirektoren,Generaldirektoren,PROPN,PERSON_B
text3,1,13,verschickt,verschickt,NOUN,
text3,1,14,wurde,wurde,PROPN,
text3,1,15,",",",",PUNCT,
text3,1,16,sagte,sagte,PROPN,
text3,1,17,die,die,AUX,
text3,1,18,stellvertretende,stellvertretende,VERB,
text3,1,19,Chefsprecherin,Chefsprecherin,PROPN,NORP_B
text3,1,20,der,der,PROPN,
text3,1,21,Kommission,Kommission,PROPN,PERSON_B
text3,1,22,",",",",PUNCT,
text3,1,23,Dana,Dana,PROPN,PERSON_B
text3,1,24,Spinant,Spinant,PROPN,PERSON_I
text3,1,25,",",",",PUNCT,
text3,1,26,dass,dass,NOUN,
text3,1,27,Desinformationen,Desinformationen,PROPN,PERSON_B
text3,1,28,auf,auf,PROPN,
text3,1,29,X,X,PROPN,
text3,1,30,",",",",PUNCT,
text3,1,31,insbesondere,insbesondere,ADV,
text3,1,32,in,in,ADP,
text3,1,33,Bezug,Bezug,PROPN,
text3,1,34,auf,auf,PROPN,
text3,1,35,den,den,VERB,
text3,1,36,Krieg,Krieg,PROPN,GPE_B
text3,1,37,zwischen,zwischen,ADP,
text3,1,38,Israel,Israel,PROPN,GPE_B
text3,1,39,und,und,PROPN,
text3,1,40,Hamas,Hamas,PROPN,ORG_B
text3,1,41,",",",",PUNCT,
text3,1,42,die,die,VERB,
text3,1,43,Institution,Institution,PROPN,
text3,1,44,dazu,dazu,NOUN,
text3,1,45,veranlasst,veranlasst,NOUN,PERSON_B
text3,1,46,hätten,hätten,NOUN,PERSON_I
text3,1,47,",",",",PUNCT,
text3,1,48,„,„,PUNCT,
text3,1,49,zu,zu,ADJ,
text3,1,50,empfehlen,empfehlen,NOUN,
text3,1,51,",",",",PUNCT,
text3,1,52,die,die,VERB,
text3,1,53,Werbung,Werbung,PROPN,PERSON_B
text3,1,54,auf,auf,PROPN,
text3,1,55,dieser,dieser,NOUN,
text3,1,56,Plattform,Plattform,PROPN,ORG_B
text3,1,57,bis,bis,X,
text3,1,58,auf,auf,PROPN,
text3,1,59,weiteres,weitere,NOUN,
text3,1,60,auszusetzen,auszusetzen,NOUN,
text3,1,61,",",",",PUNCT,
text3,1,62,um,um,INTJ,
text3,1,63,das,das,PROPN,ORG_B
text3,1,64,Risiko,Risiko,PROPN,ORG_I
text3,1,65,eines,eine,VERB,
text3,1,66,Reputationsschadens,Reputationsschadens,PROPN,GPE_B
text3,1,67,für,für,NOUN,
text3,1,68,die,die,VERB,
