doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ermittlungsverfahren,Ermittlungsverfahren,PROPN,PERSON_B
text1,1,2,gegen,gegen,NOUN,
text1,1,3,Journalisten,Journalisten,PROPN,
text1,1,4,sind,sind,NOUN,
text1,1,5,in,in,ADP,
text1,1,6,Deutschland,Deutschland,PROPN,GPE_B
text1,1,7,selten,selten,VERB,
text1,1,8,und,und,ADJ,
text1,1,9,nicht,nicht,NOUN,
text1,1,10,unbedenklich,unbedenklich,NOUN,
text1,1,11,.,.,PUNCT,
text1,2,1,Denn,Denn,PROPN,PERSON_B
text1,2,2,Medien,Medien,PROPN,PERSON_I
text1,2,3,und,und,VERB,
text1,2,4,ihre,ihre,ADJ,
text1,2,5,Quellen,Quellen,PROPN,
text1,2,6,genießen,genießen,ADJ,
text1,2,7,einen,einen,NOUN,
text1,2,8,besonderen,besonderen,NOUN,
text1,2,9,Schutz,schutz,ADJ,PERSON_B
text1,2,10,.,.,PUNCT,
text1,3,1,Als,Als,PROPN,PERSON_B
text1,3,2,der,der,NOUN,PERSON_I
text1,3,3,damalige,damalige,PROPN,PERSON_I
text1,3,4,Generalbundesanwalt,Generalbundesanwalt,PROPN,PERSON_B
text1,3,5,Harald,Harald,PROPN,PERSON_I
text1,3,6,Range,Range,PROPN,PERSON_I
text1,3,7,am,be,AUX,
text1,3,8,13,13,NUM,DATE_B
text1,3,9,.,.,PUNCT,
text1,4,1,Mai,Mai,PROPN,DATE_B
text1,4,2,2015,2015,NUM,DATE_I
text1,4,3,ein,ein,PROPN,
text1,4,4,Ermittlungsverfahren,Ermittlungsverfahren,PROPN,PERSON_B
text1,4,5,amtlich,amtlich,VERB,
text1,4,6,einleitete,einleitete,VERB,
text1,4,7,",",",",PUNCT,
text1,4,8,stand,stand,VERB,
text1,4,9,aber,aber,PROPN,
text1,4,10,zusätzlich,zusätzlich,NOUN,
text1,4,11,die,die,PROPN,
text1,4,12,Frage,Frage,PROPN,
text1,5,1,i,I,PRON,
text1,5,2,m,m,VERB,
text1,5,3,Raum,Raum,PROPN,PERSON_B
text1,5,4,",",",",PUNCT,
text1,5,5,ob,ob,NOUN,
text1,5,6,die,die,VERB,
text1,5,7,beiden,beiden,PROPN,
text1,5,8,betroffenen,betroffenen,NOUN,
text1,6,1,Journalisten,Journalisten,PROPN,PERSON_B
text1,6,2,tatsächlich,tatsächlich,PROPN,PERSON_I
text1,6,3,Staatsgeheimnisse,Staatsgeheimnisse,PROPN,
