doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,„,„,PUNCT,
text1,1,2,Bist,Bist,PROPN,
text1,1,3,du,du,ADJ,
text1,1,4,Jungfrau,Jungfrau,PROPN,
text1,1,5,?,?,PUNCT,
text1,1,6,“,"""",PUNCT,
text1,1,7,–,–,PUNCT,
text1,1,8,das,das,PROPN,
text1,1,9,ist,ist,PROPN,
text1,1,10,häufig,häufig,PROPN,
text1,1,11,die,die,VERB,
text1,1,12,erste,erste,NOUN,
text1,1,13,Frage,Frage,PROPN,
text1,1,14,",",",",PUNCT,
text1,1,15,die,die,VERB,
text1,1,16,mutmaßlich,mutmaßlich,NOUN,
text1,1,17,erwachsene,erwachsene,NOUN,
text1,1,18,Männer,Männer,PROPN,ORG_B
text1,1,19,stellen,stellen,PROPN,
text1,1,20,",",",",PUNCT,
text1,1,21,wenn,wenn,PROPN,
text1,1,22,man,man,PROPN,
text1,1,23,sich,sich,PROPN,
text1,1,24,auf,auf,PROPN,
text1,1,25,anonymen,anonymen,NOUN,
text1,1,26,Chatportalen,Chatportalen,PROPN,
text1,1,27,als,al,NOUN,
text1,1,28,junges,junge,NOUN,
text1,1,29,Mädchen,Mädchen,PROPN,GPE_B
text1,1,30,zu,zu,PROPN,
text1,1,31,erkennen,erkennen,NOUN,
text1,1,32,gibt,gibt,NOUN,
text1,1,33,.,.,PUNCT,
text1,2,1,Diese,diese,ADJ,NORP_B
text1,2,2,Erfahrung,Erfahrung,PROPN,PRODUCT_B
text1,2,3,habe,habe,NOUN,
text1,2,4,ich,ich,NOUN,
text1,2,5,gemacht,gemacht,NOUN,
text1,2,6,",",",",PUNCT,
text1,2,7,als,als,AUX,
text1,2,8,ich,ich,NOUN,
text1,2,9,es,es,X,
text1,2,10,mit,mit,NOUN,
text1,2,11,13,13,NUM,CARDINAL_B
text1,2,12,Jahren,Jahren,NOUN,
text1,2,13,für,für,NOUN,
text1,2,14,eine,eine,NOUN,
text1,2,15,gute,gute,NOUN,
text1,2,16,Idee,Idee,PROPN,PERSON_B
text1,2,17,hielt,hielt,NOUN,
text1,2,18,",",",",PUNCT,
text1,2,19,Omegle,Omegle,PROPN,PERSON_B
text1,2,20,auszuprobieren,auszuprobieren,NOUN,
text1,2,21,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,ist,ist,ADJ,
text1,3,3,eine,eine,NOUN,
text1,3,4,Plattform,Plattform,PROPN,ORG_B
text1,3,5,für,für,NOUN,
text1,3,6,Video-,Video-,PROPN,PERSON_B
text1,4,1,und,und,PROPN,
text1,4,2,Textchats,Textchats,PROPN,
text1,4,3,",",",",PUNCT,
text1,4,4,auf,auf,PROPN,ORG_B
text1,4,5,der,der,PROPN,NORP_B
text1,4,6,man,man,NOUN,
text1,4,7,mit,mit,VERB,
text1,4,8,zufälligen,zufälligen,NOUN,PERSON_B
text1,4,9,Chatpartnern,Chatpartnern,PROPN,PERSON_I
