doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Wenn,Wenn,PROPN,
text1,1,2,i,I,PRON,
text1,1,3,m,m,VERB,
text1,1,4,Sommer,Sommer,PROPN,PERSON_B
text1,1,5,nach,nach,NOUN,
text1,1,6,der,der,PROPN,
text1,1,7,Wahl,Wahl,PROPN,
text1,1,8,die,die,VERB,
text1,1,9,Abgeordneten,Abgeordneten,PROPN,
text1,1,10,des,des,X,
text1,1,11,neuen,neuen,NOUN,
text1,1,12,Europäischen,Europäischen,PROPN,ORG_B
text1,1,13,Parlaments,Parlaments,PROPN,ORG_I
text1,1,14,ihre,ihre,ADJ,
text1,1,15,Büros,büro,NOUN,
text1,1,16,betreten,betreten,VERB,
text1,1,17,",",",",PUNCT,
text1,1,18,dann,dann,PROPN,PERSON_B
text1,1,19,werden,werden,PROPN,PERSON_I
text1,1,20,dort,dort,NOUN,
text1,1,21,Papierstapel,Papierstapel,PROPN,
text1,1,22,auf,auf,PROPN,
text1,1,23,sie,sie,PROPN,
text1,1,24,warten,warten,ADV,
text1,1,25,.,.,PUNCT,
text1,2,1,Denn,denn,NOUN,
text1,2,2,anders,ander,NOUN,
text1,2,3,als,al,NOUN,
text1,2,4,in,in,ADP,
text1,2,5,Deutschland,Deutschland,PROPN,GPE_B
text1,2,6,setzt,setzt,NOUN,
text1,2,7,eine,eine,NOUN,
text1,2,8,Wahl,Wahl,PROPN,
text1,2,9,die,die,VERB,
text1,2,10,laufenden,laufenden,NOUN,
text1,2,11,Gesetzgebungsverfahren,Gesetzgebungsverfahren,PROPN,PRODUCT_B
text1,2,12,nicht,nicht,NOUN,
text1,2,13,auf,auf,PROPN,
text1,2,14,Null,Null,PROPN,
text1,2,15,zurück,zurück,NOUN,
text1,2,16,:,:,PUNCT,
text1,3,1,Wenn,Wenn,PROPN,PERSON_B
text1,3,2,ein,ein,NOUN,PERSON_I
text1,3,3,Gesetz,Gesetz,VERB,PERSON_I
text1,3,4,nicht,nicht,PROPN,
text1,3,5,fertig,fertig,NOUN,
text1,3,6,geworden,geworden,PROPN,
text1,3,7,ist,ist,PROPN,
text1,3,8,",",",",PUNCT,
text1,3,9,dann,dann,PROPN,
text1,3,10,laufen,laufen,PROPN,
text1,3,11,die,die,VERB,
text1,3,12,Verhandlungen,Verhandlungen,PROPN,ORG_B
text1,3,13,einfach,einfach,VERB,
text1,3,14,weiter,weiter,NOUN,
text1,3,15,.,.,PUNCT,
text3,1,1,Und,und,VERB,
text3,1,2,es,es,X,
text3,1,3,wird,wird,PROPN,
text3,1,4,noch,noch,ADV,
text3,1,5,an,an,DET,
text3,1,6,einigen,einigen,NOUN,
text3,1,7,Projekten,Projekten,PROPN,
text3,1,8,gefeilt,gefeilt,VERB,
text3,1,9,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,ORG_B
text3,2,2,Parlament,Parlament,PROPN,ORG_I
text3,2,3,selber,selber,PROPN,
text3,2,4,zählt,zählt,PROPN,
text3,2,5,119,119,NUM,CARDINAL_B
text3,2,6,",",",",PUNCT,
text3,2,7,es,es,PROPN,
text3,2,8,geht,geht,PROPN,
text3,2,9,aber,aber,PROPN,
text3,2,10,nur,nur,PROPN,
text3,2,11,bei,bei,PROPN,
text3,2,12,einigen,einigen,PROPN,
text3,2,13,davon,davon,NOUN,
text3,2,14,um,um,INTJ,
text3,2,15,digitale,digitale,NOUN,
text3,2,16,Themen,Themen,PROPN,PERSON_B
text3,2,17,.,.,PUNCT,
text3,3,1,Einige,Einige,PROPN,PERSON_B
text3,3,2,großen,großen,NOUN,
text3,3,3,Brocken,Brocken,PROPN,PERSON_B
text3,3,4,–,–,PUNCT,
text3,3,5,die,die,VERB,
text3,3,6,Gesetze,Gesetze,PROPN,PERSON_B
text3,3,7,zu,zu,NOUN,
text3,3,8,digitalen,digitalen,ADJ,
text3,3,9,Diensten,Diensten,PROPN,PERSON_B
text3,3,10,und,und,NOUN,
text3,3,11,digitalen,digitalen,ADJ,
text3,3,12,Märkten,Märkten,PROPN,PERSON_B
text3,3,13,oder,oder,NOUN,
text3,3,14,die,die,VERB,
text3,3,15,KI,KI,PROPN,ORG_B
text3,3,16,-,-,PUNCT,ORG_I
text3,3,17,Verordnung,verordnung,ADJ,ORG_I
text3,3,18,–,–,PUNCT,
text3,3,19,haben,haben,NOUN,
text3,3,20,Kommission,Kommission,PROPN,PERSON_B
text3,3,21,",",",",PUNCT,
text3,3,22,Rat,Rat,PROPN,
text3,3,23,und,und,ADJ,
text3,3,24,Parlament,Parlament,PROPN,
text3,3,25,über,über,NOUN,
text3,3,26,die,die,NOUN,
text3,3,27,Ziellinie,Ziellinie,PROPN,PERSON_B
text3,3,28,gebracht,gebracht,NOUN,
text3,3,29,",",",",PUNCT,
text3,3,30,in,in,ADP,
text3,3,31,mehr,mehr,NOUN,
text3,3,32,oder,oder,NOUN,
text3,3,33,weniger,weniger,PROPN,
text3,3,34,gutem,gutem,PROPN,
text3,3,35,Zustand,Zustand,PROPN,GPE_B
text3,3,36,.,.,PUNCT,
text3,4,1,Andere,Andere,PROPN,
text3,4,2,Vorhaben,Vorhaben,PROPN,ORG_B
text3,4,3,sind,sind,VERB,
text3,4,4,momentan,momentan,ADJ,
text3,4,5,aber,aber,PROPN,
text3,4,6,noch,noch,PROPN,
text3,4,7,wenig,wenig,PROPN,
text3,4,8,mehr,mehr,NOUN,
text3,4,9,als,al,NOUN,
text3,4,10,eine,eine,NOUN,
text3,4,11,Idee,Idee,PROPN,ORG_B
text3,4,12,oder,oder,NOUN,
text3,4,13,sie,sie,PROPN,
text3,4,14,stecken,stecken,VERB,
text3,4,15,auf,auf,PROPN,
text3,4,16,absehbare,absehbare,NOUN,
text3,5,1,Zeit,Zeit,PROPN,ORG_B
text3,5,2,erst,erst,ADV,
text3,5,3,einmal,einmal,ADJ,
text3,5,4,fest,f,ADJ,
text3,5,5,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Ohne,Ohne,PROPN,
