doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Am,be,AUX,
text1,1,2,Mittwoch,Mittwoch,PROPN,
text1,1,3,hat,hat,NOUN,
text1,1,4,die,die,VERB,
text1,1,5,EU,EU,PROPN,ORG_B
text1,1,6,-,-,PUNCT,ORG_I
text1,1,7,Kommission,Kommission,PROPN,ORG_I
text1,1,8,ihre,ihre,ADJ,
text1,1,9,Pläne,Pläne,PROPN,
text1,1,10,für,für,NOUN,
text1,1,11,eine,eine,NOUN,
text1,1,12,„,„,PUNCT,
text1,1,13,Chatkontrolle,Chatkontrolle,PROPN,WORK_OF_ART_B
text1,1,14,“,"""",PUNCT,
text1,1,15,vorgestellt,vorgestellt,ADJ,
text1,1,16,–,–,PUNCT,
text1,1,17,die,die,VERB,
text1,1,18,Reaktionen,Reaktionen,PROPN,ORG_B
text1,1,19,darauf,darauf,PROPN,ORG_I
text1,1,20,aus,aus,PROPN,ORG_I
text1,1,21,Presse,Presse,PROPN,ORG_I
text1,1,22,",",",",PUNCT,
text1,1,23,Zivilgesellschaft,Zivilgesellschaft,PROPN,ORG_B
text1,1,24,und,und,PROPN,
text1,1,25,Politik,Politik,PROPN,NORP_B
text1,1,26,sind,sind,NOUN,
text1,1,27,vernichtend,vernichtend,NOUN,
text1,1,28,.,.,PUNCT,
text1,2,1,In,in,ADP,
text1,2,2,Berlin,Berlin,PROPN,GPE_B
text1,2,3,wurde,wurde,NOUN,
text1,2,4,sogar,sogar,PROPN,
text1,2,5,schon,schon,PROPN,
text1,2,6,auf,auf,PROPN,
text1,2,7,der,der,NOUN,
text1,2,8,Straße,Straße,PROPN,GPE_B
text1,2,9,demonstriert,demonstriert,PROPN,
text1,2,10,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,Pläne,Pläne,PROPN,
text1,3,3,der,der,PROPN,
text1,3,4,EU,EU,PROPN,ORG_B
text1,3,5,-,-,PUNCT,ORG_I
text1,3,6,Kommission,Kommission,PROPN,ORG_I
text1,3,7,sehen,sehen,NOUN,
text1,3,8,vor,vor,NOUN,
text1,3,9,",",",",PUNCT,
text1,3,10,dass,dass,NOUN,
text1,3,11,Internetanbieter,Internetanbieter,PROPN,
text1,3,12,private,private,ADJ,
text1,3,13,Kommunikationsinhalte,Kommunikationsinhalte,PROPN,PERSON_B
text1,3,14,durchsuchen,durchsuchen,VERB,
text1,3,15,sollen,sollen,NOUN,
text1,3,16,.,.,PUNCT,
text1,4,1,Die,die,VERB,ORG_B
text1,4,2,Kommission,Kommission,PROPN,ORG_I
text1,4,3,will,will,AUX,
text1,4,4,so,so,ADV,
text1,4,5,gegen,gegen,VERB,
text1,4,6,sexuelle,sexuelle,NOUN,
text1,4,7,Gewalt,Gewalt,PROPN,PERSON_B
text1,4,8,gegen,gegen,NOUN,
text1,4,9,Kinder,Kinder,PROPN,
text1,4,10,vorgehen,vorgehen,NOUN,
text1,4,11,.,.,PUNCT,
text3,1,1,Für,für,ADJ,
text3,1,2,den,den,VERB,
text3,1,3,Deutschen,Deutschen,PROPN,PERSON_B
