doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Das,Das,PROPN,
text1,1,2,Jahr,Jahr,PROPN,
text1,1,3,neigt,neigt,PROPN,
text1,1,4,sich,sich,PROPN,
text1,1,5,dem,dem,PROPN,NORP_B
text1,1,6,Ende,Ende,PROPN,
text1,1,7,zu,zu,NOUN,
text1,1,8,",",",",PUNCT,
text1,1,9,aber,aber,PROPN,
text1,1,10,unsere,unsere,NOUN,
text1,1,11,diesjährige,diesjährige,VERB,
text1,1,12,Spendenkampagne,Spendenkampagne,PROPN,EVENT_B
text1,1,13,#,#,SYM,EVENT_I
text1,1,14,1MillionForDigitalRights,1millionfordigitalrights,NUM,EVENT_I
text1,1,15,hat,hat,NOUN,
text1,1,16,gerade,gerade,NOUN,
text1,1,17,erst,erst,ADJ,
text1,1,18,angefangen,angefangen,NOUN,
text1,1,19,!,!,PUNCT,
text1,2,1,Eine,Eine,PROPN,ORG_B
text1,2,2,Million,Million,PROPN,ORG_I
text1,2,3,Euro,Euro,PROPN,ORG_I
text1,2,4,brauchen,brauchen,PROPN,
text1,2,5,wir,wir,PROPN,
text1,2,6,für,für,NOUN,
text1,2,7,ein,ein,PROPN,
text1,2,8,Jahr,Jahr,PROPN,PERSON_B
text1,2,9,netzpolitik.org,netzpolitik.org,X,
text1,2,10,.,.,PUNCT,
text1,3,1,Eine,Eine,PROPN,ORG_B
text1,3,2,Million,million,NUM,ORG_I
text1,3,3,für,für,NOUN,
text1,3,4,ein,ein,NOUN,
text1,3,5,ganzes,ganze,VERB,
text1,4,1,Jahr,Jahr,PROPN,PERSON_B
text1,4,2,unabhängigen,unabhängigen,NOUN,
text1,4,3,und,und,PROPN,
text1,4,4,kritischen,kritischen,PROPN,PERSON_B
text1,4,5,Journalismus,Journalismus,PROPN,PERSON_I
text1,4,6,:,:,PUNCT,
text1,4,7,Denkanstöße,Denkanstöße,PROPN,
text1,4,8,",",",",PUNCT,
text1,4,9,Meldungen,Meldungen,PROPN,GPE_B
text1,4,10,",",",",PUNCT,
text1,4,11,Kommentare,Kommentare,PROPN,ORG_B
text1,4,12,",",",",PUNCT,
text1,4,13,politischen,politischen,PROPN,
text1,4,14,Druck,Druck,PROPN,GPE_B
text1,4,15,",",",",PUNCT,
text1,4,16,Aufklärung,Aufklärung,PROPN,GPE_B
text1,4,17,",",",",PUNCT,
text1,4,18,investigative,investigative,ADJ,
text1,4,19,Recherchen,Recherchen,PROPN,ORG_B
text1,4,20,und,und,PROPN,ORG_I
text1,4,21,Leaks,Leaks,PROPN,ORG_I
text1,4,22,.,.,PUNCT,
text3,1,1,Seit,Seit,PROPN,
text3,1,2,vielen,vielen,NOUN,
text3,1,3,Jahren,Jahren,PROPN,
text3,1,4,berichten,berichten,NOUN,
text3,1,5,wir,wir,NOUN,
text3,1,6,konsequent,konsequent,NOUN,
text3,1,7,über,über,PROPN,
text3,1,8,Politik,Politik,PROPN,NORP_B
text3,1,9,für,für,NOUN,
text3,1,10,die,die,VERB,
text3,1,11,digitale,digitale,NOUN,
