doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Tickets,ticket,NOUN,
text1,1,3,für,für,ADV,
text1,1,4,den,den,VERB,
text1,1,5,Chaos,Chaos,PROPN,ORG_B
text1,1,6,Communication,Communication,PROPN,ORG_I
text1,1,7,Congress,Congress,PROPN,ORG_I
text1,1,8,sind,sind,VERB,
text1,1,9,auch,auch,ADJ,
text1,1,10,dieses,diesis,NOUN,
text1,1,11,Jahr,Jahr,PROPN,PERSON_B
text1,1,12,wieder,wieder,NOUN,
text1,1,13,ausverkauft,ausverkauft,NOUN,
text1,1,14,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,Programm,Programm,PROPN,PERSON_B
text1,2,3,auf,auf,PROPN,
text1,2,4,den,den,VERB,
text1,2,5,drei,drei,NOUN,
text1,2,6,Hauptbühnen,Hauptbühnen,PROPN,PERSON_B
text1,2,7,könnt,könnt,NOUN,
text1,2,8,ihr,ihr,NOUN,
text1,2,9,aber,aber,PROPN,
text1,2,10,auch,auch,PROPN,
text1,2,11,von,von,PROPN,
text1,2,12,zu,zu,PROPN,
text1,2,13,Hause,Hause,PROPN,
text1,2,14,verfolgen,verfolgen,NOUN,
text1,2,15,.,.,PUNCT,
text1,3,1,Unsere,Unsere,PROPN,ORG_B
text1,3,2,Favoriten,Favoriten,PROPN,ORG_I
text1,3,3,für,für,NOUN,
text1,3,4,ein,ein,NOUN,
text1,3,5,ausgewogenes,ausgewogene,VERB,
text1,3,6,Unterhaltungsprogramm,Unterhaltungsprogramm,PROPN,ORG_B
text1,3,7,zwischen,zwischen,ADV,
text1,3,8,den,den,VERB,
text1,3,9,Jahren,Jahren,PROPN,PERSON_B
text1,3,10,haben,haben,NOUN,
text1,3,11,wir,wir,NOUN,
text1,3,12,hier,hier,PROPN,
text1,3,13,für,für,PROPN,
text1,3,14,euch,euch,PROPN,
text1,3,15,zusammengestellt,zusammengestellt,PROPN,
text1,3,16,.,.,PUNCT,
text3,1,1,Wie,wie,NOUN,PERSON_B
text3,1,2,immer,immer,NOUN,
text3,1,3,gilt,gilt,NOUN,
text3,1,4,:,:,PUNCT,
text3,1,5,Diese,Diese,PROPN,NORP_B
text3,1,6,Sammlung,Sammlung,PROPN,
text3,1,7,ist,ist,VERB,
text3,1,8,garantiert,garantiert,NOUN,
text3,1,9,unvollständig,unvollständig,PROPN,
text3,1,10,",",",",PUNCT,
text3,1,11,denn,denn,NOUN,
text3,1,12,selbst,selbst,PROPN,
text3,1,13,auf,auf,PROPN,
text3,1,14,den,den,NOUN,
text3,1,15,Hauptbühnen,Hauptbühnen,PROPN,PERSON_B
text3,1,16,findet,findet,PROPN,
text3,1,17,schon,schon,ADJ,
text3,1,18,mehr,mehr,PROPN,
text3,1,19,statt,statt,PROPN,
text3,1,20,",",",",PUNCT,
text3,1,21,als,al,NOUN,
text3,1,22,wir,wir,NOUN,
text3,1,23,in,in,ADP,
text3,1,24,diesem,diesem,PROPN,
text3,1,25,Überblick,Überblick,PROPN,ORG_B
text3,1,26,unterbringen,unterbringen,PROPN,
text3,1,27,konnten,konnten,PROPN,
text3,1,28,.,.,PUNCT,
text3,2,1,Wir,Wir,PROPN,
text3,2,2,empfehlen,empfehlen,VERB,
text3,2,3,daher,daher,PROPN,
text3,2,4,",",",",PUNCT,
text3,2,5,diese,diese,PROPN,NORP_B
text3,2,6,Auswahl,Auswahl,PROPN,NORP_B
text3,2,7,mit,mit,VERB,
text3,2,8,einem,einem,PROPN,
text3,2,9,Blick,Blick,PROPN,ORG_B
text3,2,10,ins,in,VERB,
text3,2,11,Gesamtprogramm,Gesamtprogramm,PROPN,PERSON_B
text3,2,12,zu,zu,PROPN,
text3,2,13,ergänzen,ergänzen,NOUN,
text3,2,14,.,.,PUNCT,
text5,1,1,Auch,Auch,PROPN,PERSON_B
text5,1,2,Menschen,Menschen,PROPN,PERSON_I
text5,1,3,aus,aus,PROPN,
text5,1,4,unserer,unserer,NOUN,
text5,1,5,Redaktion,Redaktion,PROPN,PRODUCT_B
text5,1,6,werden,werden,PROPN,
text5,1,7,wieder,wieder,NOUN,
text5,1,8,auf,auf,PROPN,
text5,1,9,der,der,PROPN,PERSON_B
text5,1,10,Bühne,Bühne,PROPN,PERSON_I
text5,1,11,stehen,stehen,PROPN,
text5,1,12,",",",",PUNCT,
text5,1,13,podcasten,podcasten,NOUN,
text5,1,14,und,und,PROPN,
text5,1,15,über,über,PROPN,
text5,1,16,ihre,ihre,PROPN,
text5,1,17,Recherchen,Recherchen,PROPN,ORG_B
text5,1,18,aus,aus,PROPN,ORG_I
text5,1,19,dem,dem,PROPN,ORG_I
text5,1,20,vergangenen,vergangenen,NOUN,
text5,1,21,Jahr,Jahr,PROPN,PERSON_B
text5,1,22,sprechen,sprechen,NOUN,
text5,1,23,.,.,PUNCT,
text5,2,1,Eine,eine,NOUN,PERSON_B
