doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,PERSON_B
text1,1,2,Geschichte,Geschichte,PROPN,PERSON_I
text1,1,3,der,der,NOUN,
text1,1,4,deutschen,deutschen,PROPN,
text1,1,5,Netzpolitik,Netzpolitik,PROPN,ORG_B
text1,1,6,ist,ist,NOUN,
text1,1,7,eng,eng,PROPN,PERSON_B
text1,1,8,verknüpft,verknüpft,PROPN,PERSON_I
text1,1,9,mit,mit,VERB,PERSON_I
text1,1,10,Abwehrkämpfen,Abwehrkämpfen,PROPN,PERSON_B
text1,1,11,gegen,gegen,PROPN,PERSON_I
text1,1,12,zwei,zwei,PROPN,PERSON_I
text1,1,13,politische,politische,PROPN,
text1,1,14,Forderungen,Forderungen,PROPN,
text1,1,15,:,:,PUNCT,
text1,1,16,Vorratsdatenspeicherung,Vorratsdatenspeicherung,PROPN,
text1,1,17,und,und,VERB,
text1,1,18,Netz,Netz,PROPN,ORG_B
text1,1,19,-,-,PUNCT,ORG_I
text1,1,20,Sperren,Sperren,PROPN,ORG_I
text1,1,21,.,.,PUNCT,
text1,2,1,I,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Jahr,Jahr,PROPN,PERSON_B
text1,2,4,2009,2009,NUM,PERSON_I
text1,2,5,–,–,PUNCT,
text1,2,6,vor,vor,NOUN,
text1,2,7,14,14,NUM,CARDINAL_B
text1,2,8,Jahren,Jahren,NOUN,
text1,2,9,–,–,PUNCT,
text1,2,10,forderten,forderten,VERB,
text1,2,11,die,die,VERB,
text1,3,1,damalige,damalige,PROPN,
text1,3,2,Familienministerin,Familienministerin,PROPN,PERSON_B
text1,3,3,Ursula,Ursula,PROPN,PERSON_I
text1,3,4,von,von,PROPN,PERSON_I
text1,3,5,der,der,NOUN,PERSON_I
text1,3,6,Leyen,Leyen,PROPN,GPE_B
text1,3,7,und,und,NOUN,
text1,3,8,das,das,PROPN,
text1,4,1,Bundeskriminalamt,Bundeskriminalamt,PROPN,PERSON_B
text1,4,2,Netz,Netz,PROPN,PERSON_I
text1,4,3,-,-,PUNCT,PERSON_I
text1,4,4,Sperren,Sperren,PROPN,PERSON_I
text1,4,5,gegen,gegen,NOUN,
text1,4,6,sogenannte,sogenannte,NOUN,
text1,4,7,Kinderpornografie,Kinderpornografie,PROPN,ORG_B
text1,4,8,.,.,PUNCT,
text1,5,1,Das,Das,PROPN,
text1,5,2,Zugangserschwerungsgesetz,Zugangserschwerungsgesetz,PROPN,
text1,5,3,wurde,wurde,PROPN,
text1,5,4,zunächst,zunächst,NOUN,
text1,5,5,beschlossen,beschlossen,PROPN,
text1,5,6,",",",",PUNCT,
text1,5,7,aber,aber,PROPN,
text1,5,8,nie,nie,PROPN,
text1,5,9,angewendet,angewendet,PROPN,
text1,5,10,und,und,PROPN,
text1,5,11,zeitnah,zeitnah,PROPN,PERSON_B
text1,5,12,wieder,wieder,PROPN,PERSON_I
text1,5,13,aufgehoben,aufgehoben,PROPN,PERSON_I
text1,5,14,.,.,PUNCT,
text3,1,1,Seit,Seit,PROPN,
text3,1,2,dieser,dieser,PROPN,
text3,1,3,Auseinandersetzung,Auseinandersetzung,PROPN,PERSON_B
text3,1,4,gibt,gibt,NOUN,
text3,1,5,es,es,NOUN,
text3,1,6,in,in,ADP,
text3,1,7,Deutschland,Deutschland,PROPN,GPE_B
text3,1,8,einen,einen,NOUN,
text3,1,9,breiten,breiten,VERB,
text3,1,10,Konsens,Konsens,PROPN,
text3,1,11,:,:,PUNCT,
text3,1,12,Netz,Netz,PROPN,ORG_B
text3,1,13,-,-,PUNCT,ORG_I
text3,1,14,Sperren,Sperren,PROPN,ORG_I
text3,1,15,sind,sind,NOUN,
text3,1,16,nicht,nicht,PROPN,
text3,1,17,notwendig,notwendig,PROPN,
text3,1,18,",",",",PUNCT,
text3,1,19,weil,weil,NOUN,
text3,1,20,sexueller,sexueller,NOUN,
text3,1,21,Missbrauch,Missbrauch,PROPN,
text3,1,22,überall,überall,VERB,
text3,1,23,illegal,illegal,ADJ,
text3,1,24,ist,ist,NOUN,
text3,1,25,und,und,VERB,
text3,1,26,alle,alle,NOUN,
text3,2,1,Hosting,Hosting,PROPN,ORG_B
text3,2,2,-,-,PUNCT,ORG_I
text3,2,3,Anbieter,Anbieter,PROPN,ORG_I
text3,2,4,solche,solche,NOUN,
text3,2,5,Inhalte,Inhalte,PROPN,
text3,2,6,löschen,löschen,NOUN,
text3,2,7,.,.,PUNCT,
text3,3,1,Netz,Netz,PROPN,ORG_B
text3,3,2,-,-,PUNCT,ORG_I
text3,3,3,Sperren,Sperren,PROPN,ORG_I
text3,3,4,sind,sind,NOUN,
text3,3,5,nicht,nicht,PROPN,PERSON_B
text3,3,6,effektiv,effektiv,PROPN,PERSON_I
text3,3,7,",",",",PUNCT,
text3,3,8,weil,weil,PROPN,
text3,3,9,sie,sie,PROPN,
text3,3,10,Inhalte,Inhalte,PROPN,NORP_B
text3,3,11,nur,nur,AUX,
text3,3,12,verstecken,verstecken,VERB,
text3,3,13,",",",",PUNCT,
