doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Mehr,Mehr,PROPN,GPE_B
text1,1,2,als,al,VERB,
text1,1,3,470,470,NUM,CARDINAL_B
text1,1,4,Wissenschaftler,Wissenschaftler,PROPN,PERSON_B
text1,1,5,:,:,PUNCT,
text1,1,6,innen,innen,NOUN,PERSON_B
text1,1,7,aus,aus,ADP,PERSON_I
text1,1,8,34,34,NUM,CARDINAL_B
text1,1,9,Ländern,Ländern,PROPN,
text1,1,10,stellen,stellen,NOUN,
text1,1,11,sich,sich,PROPN,
text1,1,12,gegen,gegen,NOUN,
text1,1,13,den,den,VERB,
text1,1,14,aktuellen,aktuellen,PROPN,
text1,1,15,Vorschlag,Vorschlag,PROPN,ORG_B
text1,1,16,zur,zur,PROPN,
text1,1,17,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,18,",",",",PUNCT,
text1,1,19,den,den,VERB,
text1,1,20,die,die,ADJ,
text1,1,21,dänische,dänische,NOUN,
text1,1,22,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_B
text1,1,23,am,be,AUX,
text1,1,24,24,24,NUM,DATE_B
text1,1,25,.,.,PUNCT,
text1,2,1,Juli,Juli,PROPN,PERSON_B
text1,2,2,i,I,PRON,
text1,2,3,m,m,VERB,
text1,2,4,EU,EU,PROPN,PERSON_B
text1,2,5,-,-,PUNCT,PERSON_I
text1,2,6,Rat,Rat,PROPN,PERSON_I
text1,2,7,eingebracht,eingebracht,NOUN,
text1,2,8,hat,hat,NOUN,
text1,2,9,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Kommission,Kommission,PROPN,ORG_I
text3,1,5,versucht,versucht,NOUN,
text3,1,6,seit,seit,NOUN,
text3,1,7,mehreren,mehreren,PROPN,
text3,1,8,Jahren,Jahren,PROPN,PERSON_B
text3,1,9,ein,ein,NOUN,PERSON_I
text3,2,1,Vorhaben,Vorhaben,PROPN,
text3,2,2,umzusetzen,umzusetzen,PROPN,
text3,2,3,",",",",PUNCT,
text3,2,4,das,das,PROPN,ORG_B
text3,2,5,verschlüsselte,verschlüsselte,PROPN,
text3,2,6,Kommunikation,Kommunikation,PROPN,ORG_B
text3,2,7,in,in,ADP,
text3,2,8,der,der,PROPN,
text3,2,9,EU,EU,PROPN,ORG_B
text3,2,10,durchleuchten,durchleuchten,NOUN,
text3,2,11,würde,würde,NOUN,
text3,2,12,",",",",PUNCT,
text3,2,13,etwa,etwa,VERB,
text3,2,14,auf,auf,PROPN,
text3,2,15,Messengern,Messengern,PROPN,
text3,2,16,wie,wie,NOUN,
text3,2,17,Signal,Signal,PROPN,ORG_B
text3,2,18,.,.,PUNCT,
text3,3,1,Auf,auf,DET,
text3,3,2,diesem,diesem,NOUN,
text3,3,3,Weg,Weg,PROPN,
text3,3,4,will,will,AUX,
text3,3,5,sie,sie,PROPN,
text3,3,6,nach,nach,VERB,
text3,3,7,Darstellungen,Darstellungen,PROPN,ORG_B
text3,3,8,von,von,PROPN,
text3,3,9,sexualisierter,sexualisierter,NOUN,
text3,3,10,Gewalt,Gewalt,PROPN,PERSON_B
text3,3,11,an,an,DET,PERSON_I
text3,3,12,Kindern,Kindern,PROPN,PERSON_I
text3,3,13,(,(,PUNCT,
text3,3,14,CSAM,CSAM,PROPN,ORG_B
text3,4,1,),),PUNCT,
text3,4,2,suchen,suchen,ADV,
text3,4,3,.,.,PUNCT,
text5,1,1,Die,die,VERB,ORG_B
text5,1,2,EU,EU,PROPN,ORG_I
text5,1,3,-,-,PUNCT,ORG_I
text5,1,4,Staaten,Staaten,PROPN,ORG_I
text5,1,5,können,können,NOUN,
text5,1,6,sich,sich,PROPN,
text5,1,7,bisher,bisher,PROPN,
text5,1,8,nicht,nicht,PROPN,
text5,1,9,auf,auf,PROPN,
text5,1,10,eine,eine,NOUN,
text5,1,11,gemeinsame,gemeinsame,NOUN,
text5,1,12,Position,Position,PROPN,PRODUCT_B
text5,1,13,zu,zu,PROPN,PRODUCT_I
text5,1,14,dem,dem,PROPN,PRODUCT_I
text5,1,15,umstrittenen,umstrittenen,NOUN,
text5,1,16,Vorhaben,Vorhaben,PROPN,ORG_B
text5,1,17,einigen,einigen,NOUN,
text5,1,18,.,.,PUNCT,
text5,2,1,Eine,Eine,PROPN,PERSON_B
text5,2,2,Mehrheit,Mehrheit,PROPN,PERSON_I
text5,2,3,unterstützt,unterstützt,NOUN,
text5,2,4,die,die,VERB,
text5,2,5,Pläne,Pläne,PROPN,PERSON_B
text5,2,6,der,der,PROPN,
text5,2,7,EU,EU,PROPN,ORG_B
text5,2,8,-,-,PUNCT,ORG_I
text5,2,9,Kommission,Kommission,PROPN,ORG_I
text5,2,10,",",",",PUNCT,
text5,2,11,eine,eine,NOUN,
text5,2,12,Sperrminorität,Sperrminorität,PROPN,PERSON_B
text5,2,13,von,von,PROPN,PERSON_I
text5,2,14,Staaten,Staaten,PROPN,PERSON_I
text5,2,15,blockiert,blockiert,PROPN,PERSON_B
text5,2,16,jedoch,jedoch,PROPN,PERSON_I
text5,2,17,und,und,PROPN,
text5,2,18,setzt,setzt,PROPN,PERSON_B
text5,2,19,sich,sich,PROPN,PERSON_I
text5,2,20,für,für,PROPN,
text5,2,21,die,die,VERB,
text5,2,22,überwachungskritische,überwachungskritische,NOUN,
text5,2,23,Position,Position,PROPN,ORG_B
