doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Viel,Viel,PROPN,
text1,1,2,fürs,fürs,NOUN,
text1,1,3,Neue,Neue,PROPN,ORG_B
text1,1,4,Jahr,Jahr,PROPN,ORG_I
text1,1,5,vorgenommen,vorgenomman,NOUN,
text1,1,6,hat,hat,NOUN,
text1,1,7,sich,sich,PROPN,
text1,1,8,Emmanuel,Emmanuel,PROPN,PERSON_B
text1,1,9,Macron,Macron,PROPN,PERSON_I
text1,1,10,.,.,PUNCT,
text1,2,1,Denn,denn,NOUN,
text1,2,2,der,der,NOUN,
text1,2,3,französische,französische,ADJ,
text1,2,4,Präsident,Präsident,PROPN,
text1,2,5,stellt,stellt,PROPN,PERSON_B
text1,2,6,sich,sich,PROPN,PERSON_I
text1,2,7,am,be,AUX,PERSON_I
text1,2,8,10,10,NUM,DATE_B
text1,2,9,.,.,PUNCT,DATE_I
text1,3,1,April,April,PROPN,DATE_B
text1,3,2,2022,2022,NUM,DATE_I
text1,3,3,nicht,nicht,NOUN,
text1,3,4,nur,nur,VERB,
text1,3,5,der,der,PROPN,
text1,3,6,Wiederwahl,Wiederwahl,PROPN,ORG_B
text1,3,7,",",",",PUNCT,
text1,3,8,sondern,sondern,NOUN,
text1,3,9,mit,mit,VERB,
text1,4,1,Jahresbeginn,Jahresbeginn,PROPN,NORP_B
text1,4,2,übernimmt,übernimmt,PROPN,
text1,4,3,er,er,INTJ,
text1,4,4,auch,auch,PROPN,
text1,4,5,für,für,NOUN,
text1,4,6,sechs,sech,NOUN,
text1,4,7,Monate,Monate,PROPN,
text1,4,8,den,den,NOUN,
text1,4,9,rotierenden,rotierenden,NOUN,
text1,4,10,EU,EU,PROPN,ORG_B
text1,4,11,-,-,PUNCT,ORG_I
text1,4,12,Ratsvorsitz,Ratsvorsitz,PROPN,ORG_I
text1,4,13,.,.,PUNCT,
text1,5,1,In,in,ADP,
text1,5,2,der,der,NOUN,
text1,5,3,Zeit,Zeit,PROPN,ORG_B
text1,5,4,leiten,leiten,ADJ,ORG_I
text1,5,5,französische,französische,ADJ,ORG_I
text1,5,6,Diplomat,Diplomat,PROPN,ORG_I
text1,5,7,:,:,PUNCT,
text1,5,8,innen,innen,NOUN,
text1,5,9,die,die,VERB,
text1,5,10,Sitzungen,Sitzungen,PROPN,ORG_B
text1,5,11,der,der,PROPN,
text1,5,12,EU,EU,PROPN,ORG_B
text1,5,13,-,-,PUNCT,
text1,5,14,Staaten,Staaten,PROPN,
text1,5,15,",",",",PUNCT,
text1,5,16,Frankreich,Frankreich,PROPN,PERSON_B
text1,5,17,führt,führt,PROPN,
text1,5,18,außerdem,außerdem,PROPN,
text1,5,19,für,für,PROPN,
text1,5,20,den,den,VERB,
text1,5,21,Rat,Rat,PROPN,
text1,5,22,die,die,VERB,
text1,5,23,Verhandlungen,Verhandlungen,PROPN,ORG_B
text1,5,24,mit,mit,NOUN,ORG_I
text1,5,25,Kommission,Kommission,PROPN,ORG_I
text1,5,26,und,und,VERB,ORG_I
text1,5,27,Parlament,Parlament,PROPN,ORG_I
text1,5,28,über,über,NOUN,
text1,5,29,endgültige,endgültige,PROPN,
text1,6,1,Texte,Texte,PROPN,PRODUCT_B
text1,6,2,für,für,NOUN,
text1,6,3,neue,neue,NOUN,
text1,6,4,Gesetze,Gesetze,PROPN,PERSON_B
text1,6,5,.,.,PUNCT,
text1,7,1,Ab,Ab,PROPN,PERSON_B
text1,7,2,Juli,Juli,PROPN,PERSON_I
text1,7,3,2022,2022,NUM,CARDINAL_B
text1,7,4,übernimmt,übernimmt,PROPN,
text1,7,5,dann,dann,PROPN,
text1,7,6,Tschechien,Tschechien,PROPN,ORG_B
text1,7,7,",",",",PUNCT,
text1,7,8,wo,will,AUX,
text1,7,9,die,die,VERB,
text1,7,10,Piratenpartei,Piratenpartei,PROPN,
text1,7,11,als,al,NOUN,
text1,7,12,kleiner,kleiner,PROPN,
text1,7,13,Koalitionspartner,Koalitionspartner,PROPN,PERSON_B
text1,7,14,an,an,DET,
text1,7,15,der,der,PROPN,
text1,7,16,Regierung,Regierung,PROPN,NORP_B
text1,7,17,ist,ist,NOUN,
text1,7,18,.,.,PUNCT,
text3,1,1,#,#,SYM,
text3,1,2,#,#,NOUN,
text3,1,3,Ein,Ein,PROPN,PERSON_B
text3,1,4,Plattformgrundgesetz,Plattformgrundgesetz,PROPN,PERSON_I
text3,1,5,bis,bis,CCONJ,
text3,1,6,zum,zum,ADJ,PERSON_B
text3,1,7,Sommer,sommer,NOUN,PERSON_I
text5,1,1,Als,Als,PROPN,
text5,1,2,digitalpolitische,digitalpolitische,PROPN,
text5,1,3,Priorität,Priorität,PROPN,
text5,1,4,für,für,ADV,
text5,1,5,die,die,VERB,
text5,1,6,kommenden,kommenden,ADJ,
text5,1,7,sechs,sechs,NOUN,
text5,1,8,Monate,Monate,PROPN,
text5,1,9,nennt,nennt,NOUN,PERSON_B
text5,1,10,Macron,Macron,PROPN,PERSON_I
text5,1,11,das,das,PROPN,PERSON_I
text5,2,1,*,*,PROPN,
text5,2,2,*,*,PROPN,
text5,2,3,Digitale,Digitale,PROPN,
text5,2,4,-,-,PUNCT,
text5,2,5,Dienste-,Dienste-,PROPN,
text5,2,6,und,und,ADJ,
text5,2,7,Digitale,Digitale,PROPN,ORG_B
text5,2,8,-,-,PUNCT,ORG_I
text5,2,9,Märkte,Märkte,PROPN,ORG_I
text5,2,10,-,-,PUNCT,ORG_I
text5,2,11,Gesetz,Gesetz,PROPN,ORG_I
text5,2,12,*,*,PROPN,ORG_I
text5,2,13,*,*,NOUN,ORG_I
text5,2,14,.,.,PUNCT,
text5,3,1,Die,die,VERB,
text5,3,2,beiden,beiden,ADJ,
text5,3,3,Zwillingsverordnungen,Zwillingsverordnungen,PROPN,
text5,3,4,sollen,sollen,NOUN,
text5,3,5,Grundregeln,Grundregeln,PROPN,
text5,3,6,für,für,ADV,
text5,3,7,die,die,VERB,
text5,3,8,digitale,digitale,NOUN,
text5,3,9,Welt,Welt,PROPN,
text5,3,10,schaffen,schaffen,NOUN,
text5,3,11,und,und,NOUN,
text5,3,12,die,die,VERB,
text5,3,13,Macht,Macht,PROPN,ORG_B
text5,3,14,großer,großer,VERB,
text5,3,15,Plattformen,Plattformen,PROPN,
text5,3,16,wie,wie,NOUN,
text5,3,17,Google,Google,PROPN,ORG_B
text5,3,18,",",",",PUNCT,
text5,3,19,Amazon,Amazon,PROPN,ORG_B
text5,3,20,und,und,VERB,
text5,3,21,Apple,Apple,PROPN,ORG_B
text5,3,22,beschränken,beschränken,NOUN,
text5,3,23,.,.,PUNCT,
text5,4,1,Damit,Damit,PROPN,ORG_B
text5,4,2,werde,werde,PROPN,
text5,4,3,Europa,Europa,PROPN,
text5,4,4,zur,zur,PROPN,
text5,4,5,globalen,globalen,VERB,
text5,4,6,Vorreiterin,Vorreiterin,PROPN,GPE_B
text5,4,7,",",",",PUNCT,
text5,4,8,sagt,sagt,PROPN,
text5,4,9,Macron,Macron,PROPN,PERSON_B
