doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,erst,erst,ADJ,
text3,1,2,letzte,letzte,NOUN,
text3,1,3,Woche,Woche,PROPN,ORG_B
text3,1,4,hat,hat,NOUN,
text3,1,5,die,die,VERB,
text3,1,6,EU,EU,PROPN,ORG_B
text3,1,7,-,-,PUNCT,ORG_I
text3,1,8,Kommission,Kommission,PROPN,ORG_I
text3,1,9,ihren,ihren,NOUN,
text3,1,10,Gesetzentwurf,Gesetzentwurf,PROPN,GPE_B
text3,1,11,zur,zur,NOUN,
text3,1,12,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,13,vorgestellt,vorgestellt,ADJ,
text3,1,14,.,.,PUNCT,
text3,2,1,Aber,Aber,PROPN,
text3,2,2,es,es,PROPN,
text3,2,3,kommt,kommt,PROPN,
text3,2,4,mir,mir,PROPN,
text3,2,5,vor,vor,NOUN,
text3,2,6,",",",",PUNCT,
text3,2,7,als,als,PROPN,
text3,2,8,wäre,wäre,PROPN,
text3,2,9,seitdem,seitdem,PROPN,
text3,2,10,schon,schon,PROPN,
text3,2,11,mindestens,mindesten,VERB,
text3,2,12,ein,ein,PROPN,ORG_B
text3,2,13,Monat,Monat,PROPN,ORG_I
text3,2,14,vergangen,vergangen,NOUN,
text3,2,15,",",",",PUNCT,
text3,2,16,so,so,ADV,
text3,2,17,viel,viel,PROPN,
text3,2,18,ist,ist,ADJ,
text3,2,19,passiert,passiert,NOUN,
text3,2,20,.,.,PUNCT,
text3,3,1,Mehr,Mehr,PROPN,
text3,3,2,als,al,VERB,
text3,3,3,100.000,100.000,NUM,CARDINAL_B
text3,3,4,Menschen,Menschen,PROPN,
text3,3,5,haben,haben,NOUN,
text3,3,6,eine,eine,NOUN,
text3,3,7,Petition,Petition,PROPN,
text3,3,8,gegen,gegen,NOUN,
text3,3,9,die,die,NOUN,
text3,3,10,sogenannte,sogenannte,NOUN,
text3,3,11,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,3,12,unterschrieben,unterschrieben,NOUN,
text3,3,13,.,.,PUNCT,
text3,4,1,Weil,Weil,PROPN,
text3,4,2,sie,sie,PROPN,
text3,4,3,nicht,nicht,PROPN,
text3,4,4,hinnehmen,hinnehmen,PROPN,
text3,4,5,wollen,wollen,VERB,
text3,4,6,",",",",PUNCT,
text3,4,7,dass,dass,NOUN,
text3,4,8,ihre,ihre,ADJ,
text3,4,9,private,private,ADJ,
text3,4,10,Kommunikation,Kommunikation,PROPN,ORG_B
text3,4,11,pauschal,pauschal,NOUN,
text3,4,12,durchleuchtet,durchleuchtet,NOUN,
text3,4,13,wird,wird,NOUN,
text3,4,14,.,.,PUNCT,
text3,5,1,Auch,Auch,PROPN,
text3,5,2,Digitalminister,Digitalminister,PROPN,
text3,5,3,Volker,Volker,PROPN,
text3,5,4,Wissing,Wissing,PROPN,
text3,5,5,bezeichnet,bezeichnet,NOUN,
text3,5,6,das,das,PROPN,
text3,5,7,als,al,NOUN,
text3,6,1,„,„,PUNCT,
text3,6,2,nicht,nicht,NOUN,
text3,6,3,hinnehmbar,hinnehmbar,NOUN,
text3,6,4,“,"""",PUNCT,
text3,6,5,.,.,PUNCT,
text5,1,1,Und,Und,PROPN,
text5,1,2,was,be,AUX,
text5,1,3,sagen,sagen,NOUN,
text5,1,4,diejenigen,diejenigen,NOUN,
text5,1,5,",",",",PUNCT,
text5,1,6,die,die,VERB,
text5,1,7,sich,sich,PROPN,
text5,1,8,das,das,PROPN,PRODUCT_B
text5,1,9,ausgedacht,ausgedacht,NOUN,PRODUCT_I
text5,1,10,haben,haben,NOUN,
text5,1,11,?,?,PUNCT,
text5,2,1,Die,die,VERB,PERSON_B
text5,2,2,EU,EU,PROPN,PERSON_I
text5,2,3,-,-,PUNCT,PERSON_I
text5,2,4,Kommission,Kommission,PROPN,PERSON_I
text5,2,5,beginnt,beginnt,NOUN,
text5,2,6,argumentativ,argumentativ,NOUN,
text5,2,7,zu,zu,PROPN,
text5,2,8,rudern,rudern,PROPN,
text5,2,9,.,.,PUNCT,
text5,3,1,„,„,PUNCT,
text5,3,2,Da,Da,PROPN,
text5,3,3,hat,hat,NOUN,
text5,3,4,offenbar,offenbar,NOUN,
text5,3,5,jemand,jemand,PROPN,
text5,3,6,nicht,nicht,PROPN,
text5,3,7,unseren,unseren,PROPN,
text5,3,8,gesamten,gesamten,VERB,
text5,3,9,Gesetzesvorschlag,Gesetzesvorschlag,PROPN,ORG_B
text5,3,10,gelesen,gelesen,PROPN,
text5,3,11,“,"""",PUNCT,
text5,3,12,",",",",PUNCT,
text5,4,1,sagt,sagt,PROPN,
text5,4,2,Kommissarin,Kommissarin,PROPN,PERSON_B
text5,4,3,Ylva,Ylva,PROPN,PERSON_I
text5,4,4,Johansson,Johansson,PROPN,PERSON_I
text5,4,5,dem,dem,INTJ,
text5,5,1,Spiegel,Spiegel,PROPN,
text5,6,1,i,I,PRON,
text5,6,2,m,m,VERB,
text5,6,3,Interview,interview,ADJ,
text5,6,4,",",",",PUNCT,
text5,6,5,als,al,NOUN,
text5,6,6,sie,sie,PROPN,
text5,6,7,auf,auf,PROPN,
text5,6,8,die,die,VERB,
text5,6,9,Kritik,Kritik,PROPN,PRODUCT_B
text5,6,10,angesprochen,angesprochen,ADJ,
text5,6,11,wird,wird,NOUN,
text5,6,12,.,.,PUNCT,
text7,1,1,Was,be,AUX,
