doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,nachdem,nachdem,PROPN,
text3,1,2,die,die,AUX,
text3,1,3,letzten,letzten,VERB,
text3,1,4,Wochen,Wochen,PROPN,
text3,1,5,vom,vom,PROPN,
text3,1,6,Überwachungspaket,Überwachungspaket,PROPN,
text3,1,7,der,der,NOUN,
text3,1,8,Ampel,Ampel,PROPN,
text3,1,9,geprägt,geprägt,ADJ,PERSON_B
text3,1,10,waren,waren,NOUN,PERSON_I
text3,1,11,",",",",PUNCT,
text3,1,12,kommt,kommt,PROPN,PERSON_B
text3,1,13,jetzt,jetzt,PROPN,
text3,1,14,die,die,VERB,
text3,1,15,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,16,wieder,wieder,NOUN,
text3,1,17,auf,auf,PROPN,
text3,1,18,die,die,PROPN,
text3,1,19,Agenda,Agenda,PROPN,PERSON_B
text3,1,20,.,.,PUNCT,
text3,2,1,Am,be,AUX,
text3,2,2,Mittwoch,Mittwoch,PROPN,
text3,2,3,will,will,AUX,
text3,2,4,die,die,VERB,
text3,2,5,ungarische,ungarische,NOUN,
text3,2,6,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_B
text3,2,7,das,das,PROPN,ORG_I
text3,2,8,umstrittene,umstrittene,NOUN,
text3,2,9,Überwachungsprojekt,Überwachungsprojekt,PROPN,
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,Ausschuss,Ausschuss,PROPN,PERSON_B
text3,3,4,der,der,NOUN,PERSON_I
text3,3,5,Ständigen,Ständigen,PROPN,PERSON_B
text3,3,6,Vertreter,Vertreter,PROPN,PERSON_I
text3,3,7,i,I,PRON,
text3,3,8,m,m,VERB,
text3,3,9,EU,EU,PROPN,PERSON_B
text3,3,10,-,-,PUNCT,PERSON_I
text3,3,11,Rat,Rat,PROPN,PERSON_I
text3,3,12,besprechen,besprechen,PROPN,
text3,3,13,.,.,PUNCT,
text5,1,1,Bislang,Bislang,PROPN,PERSON_B
text5,1,2,scheiterte,scheiterte,NOUN,
text5,1,3,die,die,VERB,
text5,1,4,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,2,1,i,I,PRON,
text5,2,2,m,m,VERB,
text5,2,3,Rat,Rat,PROPN,
text5,2,4,wiederholt,wiederholt,VERB,
text5,2,5,an,an,DET,
text5,2,6,einer,einer,NOUN,
text5,2,7,Sperrminorität,Sperrminorität,PROPN,NORP_B
text5,2,8,von,von,PROPN,
text5,2,9,mehreren,mehreren,NOUN,
text5,2,10,Staaten,Staaten,PROPN,PRODUCT_B
text5,2,11,",",",",PUNCT,
text5,2,12,unter,unter,NOUN,
text5,2,13,ihnen,ihnen,NOUN,
text5,2,14,Deutschland,Deutschland,PROPN,GPE_B
text5,2,15,und,und,ADJ,
text5,2,16,Österreich,Österreich,PROPN,
text5,2,17,.,.,PUNCT,
text5,3,1,Doch,Doch,PROPN,PERSON_B
text5,3,2,die,die,VERB,
text5,3,3,Sperrminorität,Sperrminorität,PROPN,
text5,3,4,wackelt,wackelt,NOUN,
text5,3,5,.,.,PUNCT,
text5,4,1,Kommt,Kommt,PROPN,PERSON_B
text5,4,2,die,die,VERB,
text5,4,3,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,4,4,dort,dort,NOUN,
text5,4,5,durch,durch,NOUN,
text5,4,6,",",",",PUNCT,
text5,4,7,liegt,liegt,PROPN,PERSON_B
text5,4,8,ein,ein,PROPN,PERSON_I
text5,4,9,gefährlicher,gefährlicher,PROPN,
text5,4,10,Vorschlag,Vorschlag,PROPN,ORG_B
text5,4,11,auf,auf,PROPN,
text5,4,12,dem,dem,ADJ,NORP_B
text5,4,13,Tisch,Tisch,PROPN,PERSON_B
text5,4,14,:,:,PUNCT,
text5,4,15,Sogar,Sogar,PROPN,PERSON_B
text5,4,16,verschlüsselte,verschlüsselte,PROPN,
text5,4,17,Kommunikation,Kommunikation,PROPN,ORG_B
text5,4,18,soll,soll,PROPN,
text5,4,19,vor,vor,VERB,
text5,4,20,dem,dem,ADJ,ORG_B
text5,4,21,Verschlüsseln,Verschlüsseln,PROPN,ORG_I
text5,4,22,durchsucht,durchsucht,NOUN,ORG_I
text5,4,23,werden,werden,PROPN,ORG_I
text5,4,24,.,.,PUNCT,
text7,1,1,Wir,Wir,PROPN,
text7,1,2,bleiben,bleiben,PROPN,
text7,1,3,dran,dran,PROPN,
text7,1,4,und,und,PROPN,
text7,1,5,halten,halten,PUNCT,
text7,2,1,Euch,Euch,PROPN,
text7,2,2,auf,auf,PROPN,
text7,2,3,dem,dem,ADJ,
text7,2,4,Laufenden,Laufenden,PROPN,PERSON_B
text7,2,5,.,.,PUNCT,
text9,1,1,Herzliche,Herzliche,PROPN,PERSON_B
text9,1,2,Grüße,Grüße,PROPN,PERSON_I
text11,1,1,Markus,markus,NOUN,
