doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Morgen,Morgen,PROPN,ORG_B
text1,1,2,treffen,treffen,NOUN,
text1,1,3,sich,sich,PRON,
text1,1,4,die,die,VERB,
text1,1,5,Justizminister,Justizminister,PROPN,PERSON_B
text1,1,6,:,:,PUNCT,
text1,1,7,innen,innen,NOUN,
text1,1,8,der,der,PROPN,
text1,1,9,EU,EU,PROPN,ORG_B
text1,1,10,zu,zu,PROPN,
text1,1,11,ihrem,ihrem,PROPN,
text1,1,12,regelmäßigen,regelmäßigen,NOUN,
text1,1,13,Treffen,Treffen,PROPN,PERSON_B
text1,1,14,in,in,ADP,
text1,1,15,Luxemburg,Luxemburg,PROPN,GPE_B
text1,1,16,",",",",PUNCT,
text1,1,17,tags,tag,NOUN,
text1,1,18,darauf,darauf,PROPN,
text1,1,19,folgen,folgen,NOUN,
text1,1,20,die,die,VERB,
text1,1,21,Innenminister,innenminister,NOUN,NORP_B
text1,1,22,:,:,PUNCT,
text1,1,23,innen,innen,NOUN,
text1,1,24,.,.,PUNCT,
text1,2,1,Zusammen,zusamman,NOUN,GPE_B
text1,2,2,bilden,bilden,NOUN,GPE_B
text1,2,3,sie,sie,PROPN,
text1,2,4,den,den,PROPN,
text1,2,5,Rat,Rat,PROPN,
text1,2,6,für,für,PROPN,
text1,2,7,Justiz,Justiz,PROPN,
text1,2,8,und,und,PROPN,
text1,2,9,Inneres,Inneres,PROPN,ORG_B
text1,2,10,",",",",PUNCT,
text1,2,11,auf,auf,PROPN,
text1,2,12,dem,dem,PROPN,NORP_B
text1,2,13,die,die,VERB,
text1,2,14,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text1,2,15,anstehende,anstehende,VERB,
text1,2,16,Gesetze,Gesetze,PROPN,
text1,2,17,beschließen,beschließen,NOUN,
text1,2,18,oder,oder,NOUN,
text1,2,19,politische,politische,PROPN,
text1,2,20,Erklärungen,Erklärungen,PROPN,ORG_B
text1,2,21,abgeben,abgeben,PROPN,
text1,2,22,.,.,PUNCT,
text3,1,1,Neben,neben,NOUN,PERSON_B
text3,1,2,den,den,VERB,
text3,1,3,Gesetzgebungsvorhaben,Gesetzgebungsvorhaben,PROPN,
text3,1,4,wollen,wollen,NOUN,
text3,1,5,die,die,VERB,
text3,1,6,Innenminister,innenminister,NOUN,
text3,1,7,:,:,PUNCT,
text3,1,8,innen,innen,NOUN,
text3,1,9,am,be,AUX,
text3,1,10,Freitag,Freitag,PROPN,
text3,1,11,auch,auch,PROPN,
text3,1,12,Schlussfolgerungen,Schlussfolgerungen,PROPN,ORG_B
text3,1,13,zur,zur,PROPN,
text3,1,14,Terrorismusbekämpfung,Terrorismusbekämpfung,PROPN,GPE_B
text3,1,15,verabschieden,verabschieden,VERB,
text3,1,16,.,.,PUNCT,
text3,2,1,Unter,Unter,PROPN,
text3,2,2,dem,dem,ADJ,
text3,2,3,Titel,Titel,PROPN,PRODUCT_B
text3,2,4,„,„,PUNCT,PRODUCT_I
text3,2,5,Schutz,schutz,ADJ,
text3,2,6,der,der,NOUN,
text3,2,7,Europäer,Europäer,PROPN,PERSON_B
text3,2,8,vor,vor,VERB,
text3,2,9,Terrorismus,Terrorismus,PROPN,PERSON_B
text3,2,10,:,:,PUNCT,
text3,2,11,Errungenschaften,errungenschaften,NOUN,
text3,2,12,und,und,VERB,
text3,2,13,nächste,nächste,NOUN,
text3,2,14,Schritte,Schritte,PROPN,PRODUCT_B
text3,2,15,“,"""",PUNCT,
text3,2,16,werden,werden,VERB,
text3,2,17,Maßnahmen,Maßnahmen,PROPN,ORG_B
text3,2,18,in,in,ADP,
text3,2,19,verschiedenen,verschiedenen,NOUN,
text3,2,20,Bereichen,Bereichen,PROPN,PERSON_B
text3,2,21,angemahnt,angemahnt,NOUN,
text3,2,22,.,.,PUNCT,
text3,3,1,Es,es,INTJ,
text3,3,2,gibt,gibt,NOUN,
text3,3,3,das,das,PROPN,ORG_B
text3,3,4,Dokument,Dokument,PROPN,ORG_I
text3,3,5,mittlerweile,mittlerweile,NOUN,
text3,3,6,in,in,ADP,
text3,3,7,verschiedenen,verschiedenen,NOUN,
text3,3,8,Ausführungen,Ausführungen,PROPN,PERSON_B
text3,3,9,",",",",PUNCT,
text3,3,10,die,die,PROPN,
text3,3,11,bislang,bislang,PROPN,
text3,3,12,sämtlich,sämtlich,PROPN,
text3,3,13,geheim,geheim,PROPN,
text3,3,14,sind,sind,NOUN,
text3,3,15,.,.,PUNCT,
text3,4,1,Die,die,VERB,
text3,4,2,britische,britische,NOUN,
text3,4,3,Bürgerrechtsorganisation,Bürgerrechtsorganisation,PROPN,PERSON_B
text3,4,4,Statewatch,Statewatch,PROPN,PERSON_I
text3,4,5,hat,hat,NOUN,
text3,4,6,jedoch,jedoch,PROPN,
text3,4,7,eine,eine,NOUN,
text3,4,8,Version,Version,PROPN,PRODUCT_B
text3,4,9,vom,vom,NOUN,
text3,4,10,11,11,NUM,DATE_B
text3,4,11,.,.,PUNCT,DATE_I
text3,5,1,April,April,PROPN,DATE_B
text3,5,2,online,online,NOUN,
text3,5,3,gestellt,gestellt,NOUN,
text3,5,4,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Mehr,Mehr,PROPN,PERSON_B
text5,1,4,Einbindung,Einbindung,PROPN,PERSON_I
text5,1,5,von,von,PROPN,PERSON_I
text5,1,6,Geheimdiensten,Geheimdiensten,PROPN,PERSON_I
text7,1,1,Zu,zu,INTJ,
text7,1,2,den,den,VERB,
text7,1,3,vorgeschlagenen,vorgeschlagenen,NOUN,
text7,1,4,Schritten,Schritten,PROPN,ORG_B
text7,1,5,gehören,gehören,PROPN,
text7,1,6,EU,EU,PROPN,ORG_B
text7,1,7,-,-,PUNCT,
text7,1,8,weite,weite,ADJ,
text7,1,9,Verbote,Verbote,PROPN,
text7,1,10,und,und,ADJ,
text7,1,11,das,das,PROPN,
text7,1,12,Einfrieren,Einfrieren,PROPN,
text7,1,13,der,der,NOUN,
text7,1,14,Vermögenswerte,Vermögenswerte,PROPN,PERSON_B
text7,1,15,von,von,PROPN,PERSON_I
text7,2,1,„,„,PUNCT,
text7,2,2,Einzelpersonen,Einzelpersonen,PROPN,
text7,2,3,oder,oder,NOUN,
text7,2,4,Organisationen,Organisationen,PROPN,PERSON_B
text7,2,5,",",",",PUNCT,
text7,2,6,die,die,PROPN,
text7,2,7,Radikalisierung,Radikalisierung,PROPN,PERSON_B
text7,2,8,und,und,PROPN,
text7,2,9,gewalttätigen,gewalttätigen,PROPN,
text7,2,10,Extremismus,Extremismus,PROPN,ORG_B
text7,2,11,fördern,fördern,PROPN,
text7,2,12,",",",",PUNCT,
text7,2,13,der,der,PROPN,PERSON_B
text7,2,14,zu,zu,PROPN,PERSON_I
text7,2,15,Terrorismus,Terrorismus,PROPN,PERSON_I
text7,2,16,führen,führen,PROPN,PERSON_B
text7,2,17,kann,kann,PROPN,PERSON_I
text7,2,18,“,"""",PUNCT,
text7,2,19,.,.,PUNCT,
text7,3,1,Ursprünglich,Ursprünglich,PROPN,
text7,3,2,sollte,sollte,NOUN,
text7,3,3,auch,auch,PROPN,
text7,3,4,„,„,PUNCT,
text7,3,5,Propaganda,Propaganda,PROPN,
text7,3,6,",",",",PUNCT,
text7,3,7,die,die,VERB,
text7,3,8,zu,zu,ADJ,
text7,3,9,Terrorismus,Terrorismus,PROPN,PERSON_B
text7,3,10,führt,führt,NOUN,
text7,3,11,“,"""",PUNCT,
text7,3,12,zu,zu,PROPN,
text7,3,13,derartigen,derartigen,NOUN,
text7,3,14,Maßnahmen,Maßnahmen,PROPN,PRODUCT_B
text7,3,15,führen,führen,PROPN,
text7,3,16,können,können,PROPN,
text7,3,17,.,.,PUNCT,
text7,4,1,Diese,Diese,PROPN,NORP_B
text7,4,2,Formulierung,Formulierung,PROPN,GPE_B
text7,4,3,ist,ist,NOUN,
text7,4,4,aber,aber,PROPN,
text7,4,5,aus,aus,PROPN,ORG_B
text7,4,6,der,der,PROPN,ORG_I
text7,4,7,aktuellen,aktuellen,PROPN,ORG_I
text7,4,8,Version,Version,PROPN,
text7,4,9,",",",",PUNCT,
text7,4,10,die,die,VERB,
text7,4,11,von,von,PROPN,PERSON_B
text7,4,12,Statewatch,Statewatch,PROPN,PERSON_I
text7,4,13,veröffentlicht,veröffentlicht,PROPN,PERSON_I
text7,4,14,wurde,wurde,PROPN,PERSON_I
text7,4,15,",",",",PUNCT,
text7,4,16,verschwunden,verschwunden,PROPN,GPE_B
text7,4,17,.,.,PUNCT,
text9,1,1,In,in,ADP,
text9,1,2,dem,dem,ADJ,ORG_B
text9,1,3,Entwurf,Entwurf,PROPN,ORG_I
text9,1,4,der,der,NOUN,
text9,1,5,Schlussfolgerungen,Schlussfolgerungen,PROPN,ORG_B
text9,1,6,wird,wird,NOUN,
text9,1,7,die,die,VERB,
text9,1,8,Kommission,Kommission,PROPN,PERSON_B
text9,1,9,außerdem,außerdem,NOUN,PERSON_I
text9,1,10,aufgefordert,aufgefordert,NOUN,PERSON_I
text9,1,11,„,„,AUX,PERSON_I
text9,1,12,rechtliche,rechtliche,NOUN,
text9,1,13,Entwicklungen,Entwicklungen,PROPN,ORG_B
text9,1,14,zu,zu,PROPN,
text9,1,15,prüfen,prüfen,PROPN,
text9,1,16,“,"""",PUNCT,
text9,1,17,",",",",PUNCT,
text9,1,18,um,um,INTJ,
text9,1,19,eine,eine,NOUN,
text9,1,20,gegenseitige,gegenseitige,NOUN,
text9,1,21,Anerkennung,Anerkennung,PROPN,PERSON_B
text9,1,22,von,von,PROPN,PERSON_I
text9,1,23,Einreiseverboten,Einreiseverboten,PROPN,PERSON_I
text9,1,24,für,für,ADV,
text9,1,25,terrorismusverdächtige,terrorismusverdächtige,ADJ,
text9,1,26,Drittstaatsangehörige,Drittstaatsangehörige,PROPN,ORG_B
text9,1,27,in,in,ADP,
text9,1,28,allen,allen,ADJ,
text9,1,29,EU,EU,PROPN,ORG_B
text9,1,30,-,-,PUNCT,
text9,1,31,Ländern,Ländern,PROPN,
text9,1,32,ermöglichen,ermöglichen,ADV,
text9,1,33,.,.,PUNCT,
text11,1,1,Ähnlich,Ähnlich,PROPN,PERSON_B
text11,1,2,dem,dem,NOUN,PERSON_I
text11,1,3,Visaverfahren,Visaverfahren,PROPN,PERSON_I
text11,1,4,könnten,könnten,NOUN,
text11,1,5,sich,sich,PRON,
text11,1,6,die,die,VERB,
text11,1,7,nationalen,nationalen,ADJ,
text11,1,8,Grenzbehörden,Grenzbehörden,PROPN,ORG_B
text11,1,9,vor,vor,NOUN,
text11,1,10,dem,dem,ADJ,NORP_B
text11,1,11,Übertritt,Übertritt,PROPN,PRODUCT_B
text11,1,12,einer,einer,NOUN,
text11,1,13,Außengrenze,Außengrenze,PROPN,PERSON_B
text11,1,14,über,über,NOUN,
text11,1,15,die,die,NOUN,
text11,1,16,Gründe,Gründe,PROPN,
text11,1,17,für,für,ADV,
text11,1,18,die,die,VERB,
text11,1,19,Verhängung,Verhängung,PROPN,PRODUCT_B
text11,1,20,eines,eine,VERB,
text11,1,21,Einreiseverbots,Einreiseverbots,PROPN,PRODUCT_B
text11,1,22,austauschen,austauschen,ADV,
text11,1,23,.,.,PUNCT,
text11,2,1,Hierzu,Hierzu,PROPN,PERSON_B
text11,2,2,kann,kann,PROPN,PERSON_I
text11,2,3,es,es,PROPN,
text11,2,4,genügen,genügen,PROPN,
text11,2,5,",",",",PUNCT,
text11,2,6,wenn,wenn,PROPN,
text11,2,7,die,die,PROPN,
text11,2,8,Betroffenen,Betroffenen,PROPN,PERSON_B
text11,2,9,nach,nach,NOUN,
text11,2,10,Einschätzung,Einschätzung,PROPN,PERSON_B
text11,2,11,von,von,PROPN,PERSON_I
text11,2,12,Geheimdiensten,Geheimdiensten,PROPN,PERSON_I
text11,2,13,„,„,PUNCT,
text11,2,14,eine,eine,NOUN,
text11,2,15,ernsthafte,ernsthafte,NOUN,
text11,2,16,und,und,NOUN,
text11,2,17,begründete,begründete,NOUN,
text11,2,18,Bedrohung,Bedrohung,PROPN,NORP_B
text11,2,19,der,der,NOUN,
text11,2,20,nationalen,nationalen,VERB,
text11,2,21,Sicherheit,Sicherheit,PROPN,PERSON_B
text11,2,22,und,und,NOUN,
text11,2,23,/,/,SYM,
text11,2,24,oder,oder,NOUN,
text11,2,25,der,der,PROPN,
text11,2,26,öffentlichen,öffentlichen,ADV,
text11,2,27,Ordnung,Ordnung,PROPN,PERSON_B
text11,2,28,darstellen,darstellen,NOUN,
text11,2,29,“,"""",PUNCT,
text11,2,30,.,.,PUNCT,
text13,1,1,Allerdings,allerdings,ADJ,
text13,1,2,hat,hat,NOUN,
text13,1,3,die,die,VERB,
text13,1,4,EU,EU,PROPN,ORG_B
text13,1,5,laut,laut,NOUN,
text13,1,6,dem,dem,PROPN,ORG_B
text13,1,7,Vertrag,Vertrag,PROPN,ORG_I
text13,1,8,über,über,NOUN,
text13,1,9,die,die,PROPN,
text13,1,10,Europäische,Europäische,PROPN,ORG_B
text13,1,11,Union,Union,PROPN,ORG_I
text13,1,12,keine,keine,NOUN,
text13,1,13,Zuständigkeit,Zuständigkeit,PROPN,GPE_B
text13,1,14,für,für,NOUN,
text13,1,15,die,die,VERB,
text13,1,16,Koordination,Koordination,PROPN,PERSON_B
text13,1,17,von,von,PROPN,PERSON_I
text13,1,18,Geheimdiensten,Geheimdiensten,PROPN,PERSON_I
text13,1,19,.,.,PUNCT,
