doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,„,„,PUNCT,
text1,1,2,Bitte,Bitte,PROPN,
text1,1,3,pass,pass,VERB,
text1,1,4,auf,auf,PROPN,
text1,1,5,dich,dich,PROPN,
text1,1,6,auf,auf,PROPN,
text1,1,7,“,"""",PUNCT,
text1,1,8,",",",",PUNCT,
text1,1,9,schreibt,schreibt,NOUN,
text1,1,10,uns,uns,NOUN,
text1,1,11,eine,eine,NOUN,
text1,1,12,Nutzerin,Nutzerin,PROPN,ORG_B
text1,1,13,auf,auf,PROPN,
text1,1,14,Ebay,Ebay,PROPN,PERSON_B
text1,1,15,Kleinanzeigen,Kleinanzeigen,PROPN,PERSON_I
text1,1,16,.,.,PUNCT,
text1,2,1,Sie,Sie,PROPN,
text1,2,2,bietet,bietet,PROPN,
text1,2,3,dort,dort,PROPN,
text1,2,4,ihre,ihre,ADJ,
text1,2,5,Dienste,Dienste,PROPN,GPE_B
text1,2,6,als,al,NOUN,
text1,2,7,Babysitterin,Babysitterin,PROPN,GPE_B
text1,2,8,an,an,PROPN,
text1,2,9,",",",",PUNCT,
text1,2,10,genau,genau,PROPN,
text1,2,11,wie,wie,PROPN,
text1,2,12,wir,wir,PROPN,
text1,2,13,.,.,PUNCT,
text1,3,1,Und,und,NOUN,
text1,3,2,sie,sie,NOUN,
text1,3,3,warnt,warnt,VERB,
text1,3,4,uns,uns,VERB,
text1,3,5,vor,vor,VERB,
text1,3,6,sexualisierter,sexualisierter,NOUN,
text1,3,7,Gewalt,Gewalt,PROPN,PERSON_B
text1,3,8,durch,durch,NOUN,
text1,3,9,Fremde,Fremde,PROPN,
text1,3,10,:,:,PUNCT,
text1,3,11,„,„,PUNCT,
text1,3,12,Die,die,VERB,
text1,3,13,schreiben,schreiben,NOUN,
text1,3,14,zum,zum,ADP,PERSON_B
text1,3,15,Beispiel,Beispiel,PROPN,PERSON_I
text1,3,16,:,:,PUNCT,
text1,3,17,Kannst,Kannst,PROPN,
text1,3,18,du,du,PROPN,
text1,3,19,mich,mich,X,
text1,3,20,wickeln,wickeln,PROPN,
text1,3,21,?,?,PUNCT,
text1,3,22,“,"""",PUNCT,
text1,4,1,Eine,Eine,PROPN,
text1,4,2,andere,andere,NOUN,
text1,4,3,Nutzerin,Nutzerin,PROPN,PERSON_B
text1,4,4,habe,habe,PROPN,
text1,4,5,mal,mal,ADJ,
text1,4,6,diese,diese,ADJ,NORP_B
text1,4,7,Nachricht,Nachricht,PROPN,ORG_B
text1,4,8,bekommen,bekomman,NOUN,
text1,4,9,:,:,PUNCT,
text1,5,1,„,„,PUNCT,
text1,5,2,Kann,Kann,PROPN,PERSON_B
text1,5,3,ich,ich,NOUN,
text1,5,4,dir,dir,PROPN,
text1,5,5,deine,deine,PROPN,
text1,5,6,getragenen,getragenen,NOUN,
text1,5,7,Socken,Socken,PROPN,PERSON_B
text1,5,8,abkaufen,abkaufen,NOUN,
text1,5,9,?,?,PUNCT,
text1,5,10,“,"""",PUNCT,
text1,5,11,Aber,Aber,PROPN,PRODUCT_B
text1,5,12,das,das,PROPN,PRODUCT_I
text1,5,13,sei,sei,PROPN,PRODUCT_I
text1,5,14,schon,schon,PROPN,
text1,5,15,eine,eine,NOUN,
text1,5,16,Weile,Weile,PROPN,
text1,5,17,her,she,PRON,
text1,5,18,.,.,PUNCT,
text3,1,1,In,in,ADP,
text3,1,2,den,den,NOUN,
text3,1,3,vergangenen,vergangenen,NOUN,
text3,1,4,Jahren,Jahren,PROPN,PERSON_B
text3,1,5,hatten,hatten,VERB,
text3,1,6,Nachrichtenmedien,Nachrichtenmedien,PROPN,GPE_B
text3,1,7,wie,wie,NOUN,
text3,1,8,RTL,RTL,PROPN,
text3,1,9,und,und,NOUN,
text3,1,10,die,die,VERB,
text3,1,11,Zeit,Zeit,PROPN,ORG_B
text3,1,12,über,über,PROPN,
text3,1,13,das,das,PROPN,ORG_B
text3,1,14,Problem,Problem,PROPN,ORG_I
text3,1,15,berichtet,berichtet,PROPN,
