doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,Europäische,Europäische,PROPN,ORG_I
text1,1,3,Bürgerbeauftragte,Bürgerbeauftragte,PROPN,ORG_I
text1,1,4,untersucht,untersucht,NOUN,
text1,1,5,Europol,Europol,PROPN,
text1,1,6,.,.,PUNCT,
text1,2,1,Konkret,Konkret,PROPN,PERSON_B
text1,2,2,geht,geht,VERB,PERSON_I
text1,2,3,es,es,PROPN,
text1,2,4,um,um,INTJ,
text1,2,5,zwei,zwei,PROPN,
text1,2,6,Personen,Personen,PROPN,GPE_B
text1,2,7,",",",",PUNCT,
text1,2,8,die,die,VERB,
text1,2,9,von,von,PROPN,PERSON_B
text1,2,10,der,der,NOUN,PERSON_I
text1,2,11,europäischen,europäischen,PROPN,
text1,2,12,Polizeibehörde,Polizeibehörde,PROPN,ORG_B
text1,2,13,zur,zur,PROPN,
text1,2,14,Chatkontrolle,Chatkontrolle,PROPN,
text1,2,15,-,-,PUNCT,
text1,2,16,Lobbyorganisation,Lobbyorganisation,PROPN,
text1,2,17,Thorn,Thorn,PROPN,
text1,2,18,gewechselt,gewechselt,NOUN,
text1,2,19,sind,sind,NOUN,
text1,2,20,.,.,PUNCT,
text1,3,1,Gemeinsam,Gemeinsam,PROPN,
text1,3,2,mit,mit,NOUN,
text1,3,3,anderen,anderen,NOUN,
text1,3,4,Medien,Medien,PROPN,PERSON_B
text1,3,5,hatte,hatte,PROPN,
text1,3,6,netzpolitik.org,netzpolitik.org,PROPN,ORG_B
text1,3,7,diese,diese,PROPN,
text1,3,8,Personalwechsel,Personalwechsel,PROPN,ORG_B
text1,3,9,i,I,PRON,
text1,3,10,m,m,VERB,
text1,3,11,Oktober,Oktober,PROPN,PERSON_B
text1,3,12,aufgedeckt,aufgedeckt,NOUN,
text1,3,13,.,.,PUNCT,
text3,1,1,Einer,Einer,PROPN,
text3,1,2,der,der,PROPN,
text3,1,3,Polizisten,Polizisten,PROPN,PERSON_B
text3,1,4,wechselte,wechselte,VERB,
text3,1,5,innerhalb,innerhalb,VERB,PERSON_B
text3,1,6,von,von,PROPN,PERSON_I
text3,1,7,wenigen,wenigen,NOUN,
text3,1,8,Monaten,Monaten,PROPN,
text3,1,9,nach,nach,VERB,
text3,1,10,dem,dem,ADJ,
text3,1,11,Ende,Ende,PROPN,
text3,1,12,seines,seine,VERB,
text3,1,13,Vertrags,Vertrags,PROPN,
text3,1,14,zu,zu,PROPN,
text3,1,15,Thorn,Thorn,PROPN,
text3,1,16,.,.,PUNCT,
text3,2,1,Inzwischen,Inzwischen,PROPN,
text3,2,2,steht,steht,VERB,
text3,2,3,er,er,INTJ,
text3,2,4,auf,auf,PROPN,ORG_B
text3,2,5,der,der,NOUN,
text3,2,6,offiziellen,offiziellen,PROPN,
text3,2,7,Liste,Liste,PROPN,PERSON_B
text3,2,8,von,von,PROPN,PERSON_I
text3,2,9,Lobbyist,Lobbyist,PROPN,PERSON_I
text3,2,10,:,:,PUNCT,
text3,2,11,innen,innen,NOUN,ORG_B
text3,2,12,der,der,PROPN,ORG_I
text3,2,13,Organisation,Organisation,PROPN,ORG_I
text3,2,14,i,I,PRON,
text3,2,15,m,m,VERB,
text3,2,16,Bundestag,Bundestag,PROPN,PERSON_B
text3,2,17,und,und,PROPN,
text3,2,18,besucht,besucht,NOUN,
text3,2,19,Events,event,NOUN,
text3,2,20,seines,seine,VERB,
text3,2,21,früheren,früheren,NOUN,
text3,2,22,Arbeitgebers,Arbeitgebers,PROPN,
text3,2,23,",",",",PUNCT,
text3,2,24,um,um,INTJ,
text3,2,25,dort,dort,NOUN,
text3,2,26,Thorn,Thorn,PROPN,PRODUCT_B
text3,2,27,zu,zu,NOUN,
text3,2,28,vertreten,vertreten,NOUN,
text3,2,29,.,.,PUNCT,
text5,1,1,Die,die,VERB,
text5,1,2,Bürgerbeauftragte,Bürgerbeauftragte,PROPN,
text5,1,3,Emily,Emily,PROPN,
text5,1,4,O’Reilly,o’reilly,ADV,
text5,1,5,reagiert,reagiert,VERB,
text5,1,6,mit,mit,NOUN,
text5,1,7,ihrer,ihrer,NOUN,
text5,1,8,Untersuchung,Untersuchung,PROPN,PRODUCT_B
text5,1,9,auf,auf,PROPN,
text5,1,10,eine,eine,NOUN,
text5,1,11,Anschrift,Anschrift,PROPN,ORG_B
text5,1,12,des,des,X,ORG_I
text5,1,13,Piraten,Piraten,PROPN,ORG_I
text5,1,14,-,-,PUNCT,ORG_I
text5,1,15,MEPs,MEPs,PROPN,ORG_I
text5,1,16,Patrick,Patrick,PROPN,PERSON_B
text5,1,17,Breyer,Breyer,PROPN,PERSON_I
text5,1,18,.,.,PUNCT,
text5,2,1,Der,Der,PROPN,PERSON_B
text5,2,2,hatte,hatte,PROPN,PERSON_B
text5,2,3,sich,sich,PROPN,PERSON_I
text5,2,4,bei,bei,PROPN,
text5,2,5,ihr,ihr,PROPN,
text5,2,6,darüber,darüber,PROPN,
text5,2,7,beschwert,beschwert,PROPN,PERSON_B
text5,2,8,",",",",PUNCT,
text5,2,9,wie,wie,NOUN,
text5,2,10,die,die,AUX,
text5,2,11,Kommission,Kommission,PROPN,
text5,2,12,die,die,VERB,
text5,2,13,Chatkontrolle,Chatkontrolle,PROPN,
text5,2,14,vorangetrieben,vorangetrieben,PROPN,
text5,2,15,und,und,PROPN,
text5,2,16,beworben,beworben,PROPN,PERSON_B
text5,2,17,hatte,hatte,NOUN,PERSON_I
text5,2,18,.,.,PUNCT,
text5,3,1,Besonders,besonder,NOUN,
text5,3,2,der,der,NOUN,
text5,3,3,Wechsel,Wechsel,PROPN,PERSON_B
text5,3,4,der,der,PROPN,PERSON_I
