doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Seit,Seit,PROPN,
text1,1,2,über,über,PROPN,
text1,1,3,drei,drei,PROPN,
text1,1,4,Jahren,Jahren,PROPN,PERSON_B
text1,1,5,streiten,streiten,NOUN,
text1,1,6,die,die,VERB,
text1,1,7,EU,EU,PROPN,ORG_B
text1,1,8,-,-,PUNCT,
text1,1,9,Institutionen,Institutionen,PROPN,
text1,1,10,über,über,NOUN,
text1,1,11,eine,eine,NOUN,
text1,1,12,verpflichtende,verpflichtende,NOUN,
text1,1,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,14,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,Kommission,Kommission,PROPN,
text1,2,3,will,will,AUX,
text1,2,4,Internet,Internet,PROPN,
text1,2,5,-,-,PUNCT,
text1,2,6,Dienste,Dienste,PROPN,
text1,2,7,verpflichten,verpflichten,NOUN,
text1,2,8,",",",",PUNCT,
text1,2,9,die,die,VERB,
text1,2,10,Inhalte,Inhalte,PROPN,NORP_B
text1,2,11,ihrer,ihrer,NOUN,
text1,2,12,Nutzer,Nutzer,PROPN,ORG_B
text1,2,13,auf,auf,PROPN,
text1,2,14,Straftaten,Straftaten,PROPN,
text1,2,15,zu,zu,NOUN,
text1,2,16,durchsuchen,durchsuchen,NOUN,
text1,2,17,und,und,VERB,
text1,2,18,diese,diese,ADJ,NORP_B
text1,2,19,bei,bei,NOUN,
text1,2,20,Verdacht,Verdacht,PROPN,PERSON_B
text1,2,21,an,an,DET,
text1,2,22,Behörden,Behörden,PROPN,GPE_B
text1,2,23,zu,zu,NOUN,
text1,2,24,schicken,schicken,NOUN,
text1,2,25,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,ORG_B
text1,3,2,Parlament,Parlament,PROPN,ORG_I
text1,3,3,bezeichnet,bezeichnet,NOUN,
text1,3,4,das,das,PROPN,
text1,3,5,als,al,NOUN,
text1,3,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,7,und,und,PROPN,
text1,3,8,fordert,fordert,NOUN,
text1,3,9,",",",",PUNCT,
text1,3,10,nur,nur,VERB,
text1,3,11,unverschlüsselte,unverschlüsselte,ADJ,
text1,3,12,Inhalte,Inhalte,PROPN,PERSON_B
text1,3,13,von,von,PROPN,PERSON_I
text1,3,14,Verdächtigen,Verdächtigen,PROPN,PERSON_I
text1,3,15,zu,zu,PROPN,PERSON_I
text1,3,16,scannen,scannen,NOUN,PERSON_I
text1,3,17,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Staaten,Staaten,PROPN,ORG_I
text3,1,5,können,können,NOUN,
text3,1,6,sich,sich,PROPN,
text3,1,7,nicht,nicht,PROPN,
text3,1,8,auf,auf,PROPN,
text3,1,9,eine,eine,NOUN,
text3,1,10,gemeinsame,gemeinsame,NOUN,
text3,1,11,Position,Position,PROPN,
text3,1,12,einigen,einigen,NOUN,
text3,1,13,.,.,PUNCT,
text3,2,1,Bisher,Bisher,PROPN,
text3,2,2,ist,ist,AUX,
text3,2,3,jede,jede,VERB,
text3,2,4,Präsidentschaft,Präsidentschaft,PROPN,ORG_B
text3,2,5,daran,daran,NOUN,
text3,2,6,gescheitert,gescheitert,NOUN,
text3,2,7,",",",",PUNCT,
text3,2,8,eine,eine,NOUN,
text3,2,9,Einigung,Einigung,PROPN,ORG_B
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,Rat,rat,ADJ,
text3,3,4,zu,zu,ADJ,
text3,3,5,organisieren,organisieren,NOUN,
text3,3,6,.,.,PUNCT,
text3,4,1,Mitte,Mitte,PROPN,
text3,4,2,September,September,PROPN,DATE_B
text3,4,3,hat,hat,NOUN,
text3,4,4,die,die,VERB,
text3,4,5,Arbeitsgruppe,Arbeitsgruppe,PROPN,PERSON_B
text3,4,6,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text3,4,7,den,den,VERB,
text3,4,8,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text3,4,9,erneut,erneut,NOUN,
text3,4,10,verhandelt,verhandelt,ADV,
text3,4,11,.,.,PUNCT,
text3,5,1,Wir,Wir,PROPN,
text3,5,2,veröffentlichen,veröffentlichen,PROPN,
text3,5,3,ein,ein,PROPN,
text3,5,4,weiteres,weitere,VERB,
text3,5,5,Mal,Mal,PROPN,PERSON_B
text3,5,6,das,das,PROPN,PERSON_I
text3,5,7,eingestufte,eingestufte,NOUN,
text3,5,8,Protokoll,Protokoll,PROPN,ORG_B
text3,5,9,der,der,PROPN,
text3,5,10,Sitzung,Sitzung,PROPN,GPE_B
text3,5,11,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Zustimmung,zustimmung,ADJ,
text5,1,4,sehr,sehr,NOUN,
text5,1,5,schwierig,schwierig,NOUN,
text7,1,1,Seit,Seit,PROPN,PERSON_B
text7,1,2,Juli,Juli,PROPN,PERSON_I
text7,1,3,hat,hat,NOUN,
text7,1,4,Dänemark,Dänemark,PROPN,PERSON_B
text7,1,5,die,die,VERB,
text7,1,6,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,
text7,1,7,inne,inne,NOUN,
text7,1,8,.,.,PUNCT,
text7,2,1,Die,die,VERB,
text7,2,2,sozialdemokratisch,sozialdemokratisch,NOUN,
text7,2,3,geführte,geführte,NOUN,
text7,2,4,Regierung,Regierung,PROPN,NORP_B
text7,2,5,befürwortet,befürwortet,NOUN,
text7,2,6,die,die,VERB,
text7,2,7,verpflichtende,verpflichtende,NOUN,
text7,2,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text7,2,9,und,und,VERB,ORG_I
text7,2,10,Client,Client,PROPN,ORG_I
text7,2,11,-,-,PUNCT,ORG_I
text7,2,12,Side,Side,PROPN,ORG_I
text7,2,13,-,-,PUNCT,ORG_I
text7,2,14,Scanning,Scanning,PROPN,ORG_I
text7,2,15,.,.,PUNCT,
text7,3,1,Dänemark,Dänemark,PROPN,PERSON_B
text7,3,2,will,will,AUX,
text7,3,3,",",",",PUNCT,
text7,3,4,dass,dass,NOUN,
text7,3,5,die,die,VERB,
text7,3,6,Justiz-,justiz-,ADJ,
text7,3,7,und,und,NOUN,
text7,3,8,Innenminister,Innenminister,PROPN,
text7,3,9,den,den,NOUN,
text7,3,10,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text7,3,11,am,be,AUX,
text7,3,12,14,14,NUM,DATE_B
text7,3,13,.,.,PUNCT,
text7,4,1,Oktober,Oktober,PROPN,
text7,4,2,annehmen,annehman,NOUN,
text7,4,3,.,.,PUNCT,
text9,1,1,Die,die,VERB,
text9,1,2,vorherige,vorherige,NOUN,
text9,1,3,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,
text9,1,4,hatte,hatte,PROPN,
text9,1,5,vorgeschlagen,vorgeschlagen,NOUN,
text9,1,6,",",",",PUNCT,
text9,1,7,die,die,VERB,
text9,1,8,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text9,1,9,freiwillig,freiwillig,PROPN,PERSON_B
text9,1,10,statt,statt,PROPN,PERSON_I
text9,1,11,verpflichtend,verpflichtend,PROPN,
text9,1,12,zu,zu,PROPN,
text9,1,13,machen,machen,PROPN,
text9,1,14,und,und,PROPN,
text9,1,15,verschlüsselte,verschlüsselte,ADJ,
text9,1,16,Kommunikation,Kommunikation,PROPN,ORG_B
text9,1,17,auszunehmen,auszunehman,NOUN,
text9,1,18,.,.,PUNCT,
text9,2,1,Dänemark,Dänemark,PROPN,PERSON_B
text9,2,2,hat,hat,NOUN,
text9,2,3,diese,diese,ADJ,NORP_B
text9,2,4,Abschwächungen,Abschwächungen,PROPN,PERSON_B
text9,2,5,wieder,wieder,NOUN,
text9,2,6,rückgängig,rückgängig,VERB,
text9,2,7,gemacht,gemacht,NOUN,
text9,2,8,.,.,PUNCT,
text11,1,1,Dänemark,Dänemark,PROPN,ORG_B
text11,1,2,sagt,sagt,VERB,
text11,1,3,ganz,ganz,PROPN,
text11,1,4,offen,offen,PROPN,
text11,1,5,:,:,PUNCT,
text11,1,6,„,„,PUNCT,
text11,1,7,Es,Es,PROPN,
text11,1,8,dürfte,dürfte,PROPN,
text11,1,9,sehr,sehr,PROPN,
text11,1,10,schwierig,schwierig,PROPN,
text11,1,11,sein,sein,PROPN,
text11,1,12,",",",",PUNCT,
text11,1,13,neue,neue,PROPN,
text11,1,14,Ansätze,Ansätze,PROPN,PERSON_B
text11,1,15,zu,zu,PROPN,
text11,1,16,finden,finden,NOUN,
text11,1,17,",",",",PUNCT,
text11,1,18,die,die,VERB,
text11,1,19,bei,bei,NOUN,
text11,1,20,den,den,VERB,
text11,1,21,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text11,1,22,auf,auf,PROPN,
text11,1,23,Zustimmung,Zustimmung,PROPN,PERSON_B
text11,1,24,stoßen,stoßen,NOUN,PERSON_I
text11,1,25,.,.,PUNCT,
text11,2,1,Uns,Uns,PROPN,
text11,2,2,gehen,gehen,NOUN,
text11,2,3,die,die,VERB,
text11,2,4,realisierbaren,realisierbaren,PROPN,
text11,2,5,Optionen,Optionen,PROPN,PERSON_B
text11,2,6,aus,aus,PROPN,
text11,2,7,.,.,PUNCT,
text11,2,8,“,"""",PUNCT,
text11,3,1,Deshalb,Deshalb,PROPN,
text11,3,2,legt,legt,VERB,
text11,3,3,Dänemark,Dänemark,PROPN,ORG_B
text11,4,1,i,I,PRON,
text11,4,2,m,m,AUX,
text11,4,3,Prinzip,prinzip,ADJ,PERSON_B
