doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Das,Das,PROPN,
text1,1,2,Prinzip,Prinzip,PROPN,NORP_B
text1,1,3,„,„,PUNCT,
text1,1,4,Löschen,Löschen,PROPN,PERSON_B
text1,1,5,statt,statt,NOUN,PERSON_I
text1,1,6,Sperren,Sperren,PROPN,PERSON_I
text1,1,7,“,"""",PUNCT,
text1,1,8,bei,bei,PROPN,
text1,1,9,Missbrauchsdarstellungen,Missbrauchsdarstellungen,PROPN,
text1,1,10,und,und,ADJ,
text1,1,11,sogenannter,sogenannter,NOUN,
text1,1,12,Kinderpornografie,Kinderpornografie,PROPN,ORG_B
text1,1,13,(,(,PUNCT,
text1,1,14,CSAM,CSAM,NOUN,ORG_B
text1,1,15,),),PUNCT,
text1,1,16,funktioniert,funktioniert,VERB,
text1,1,17,weiterhin,weiterhin,PROPN,
text1,1,18,gut,gut,PROPN,
text1,1,19,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,geht,geht,NOUN,
text1,2,3,aus,aus,PROPN,
text1,2,4,dem,dem,PROPN,
text1,2,5,Jahresbericht,Jahresbericht,PROPN,ORG_B
text1,2,6,des,des,PROPN,ORG_I
text1,2,7,Bundesjustizministeriums,Bundesjustizministeriums,PROPN,ORG_I
text1,2,8,(,(,PUNCT,
text1,2,9,PDF,PDF,PROPN,ORG_B
text1,2,10,),),PUNCT,
text1,2,11,hervor,hervor,NOUN,
text1,2,12,",",",",PUNCT,
text1,2,13,der,der,PROPN,ORG_B
text1,2,14,am,be,AUX,ORG_I
text1,2,15,Mittwoch,Mittwoch,PROPN,ORG_I
text1,2,16,veröffentlicht,veröffentlicht,PROPN,PERSON_B
text1,2,17,wurde,wurde,PROPN,PERSON_I
text1,2,18,.,.,PUNCT,
text1,3,1,Der,Der,PROPN,PERSON_B
text1,3,2,Bericht,Bericht,PROPN,PERSON_I
text1,3,3,erhebt,erhebt,VERB,
text1,3,4,eine,eine,NOUN,
text1,3,5,Statistik,Statistik,PROPN,ORG_B
text1,3,6,",",",",PUNCT,
text1,3,7,wie,wie,NOUN,
text1,3,8,schnell,schnell,NOUN,
text1,3,9,CSAM,CSAM,PROPN,ORG_B
