doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,Europäische,Europäische,PROPN,ORG_I
text1,1,3,Bürgerbeauftragte,Bürgerbeauftragte,PROPN,ORG_I
text1,1,4,bedauert,bedauert,NOUN,
text1,1,5,die,die,VERB,
text1,1,6,Weigerung,Weigerung,PROPN,PERSON_B
text1,1,7,der,der,NOUN,PERSON_I
text1,1,8,Europäischen,Europäischen,PROPN,PERSON_B
text1,1,9,Kommission,Kommission,PROPN,PERSON_I
text1,1,10,",",",",PUNCT,
text1,1,11,ihrer,ihrer,NOUN,
text1,1,12,Empfehlung,Empfehlung,PROPN,PERSON_B
text1,1,13,zu,zu,PROPN,PERSON_I
text1,1,14,folgen,folgen,NOUN,
text1,1,15,und,und,PROPN,
text1,1,16,vier,vier,PROPN,
text1,1,17,Dokumente,Dokumente,PROPN,PERSON_B
text1,1,18,i,I,PRON,
text1,1,19,m,m,VERB,
text1,1,20,Zusammenhang,Zusammenhang,PROPN,GPE_B
text1,1,21,mit,mit,NOUN,
text1,2,1,der,der,PROPN,
text1,2,2,Ausarbeitung,Ausarbeitung,PROPN,PERSON_B
text1,2,3,von,von,PROPN,PERSON_I
text1,2,4,Gesetzesvorschlägen,Gesetzesvorschlägen,PROPN,PERSON_I
text1,2,5,zur,zur,PROPN,
text1,2,6,sogenannten,sogenannten,VERB,
text1,2,7,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,8,öffentlich,öffentlich,PROPN,
text1,2,9,zu,zu,PROPN,
text1,2,10,machen,machen,PROPN,
text1,2,11,.,.,PUNCT,
text1,3,1,Dies,die,NOUN,
text1,3,2,teilt,teilt,VERB,
text1,3,3,die,die,VERB,
text1,3,4,Bürgerbeauftragte,Bürgerbeauftragte,PROPN,NORP_B
text1,3,5,auf,auf,PROPN,
text1,3,6,ihrer,ihrer,NOUN,
text1,3,7,Website,Website,PROPN,
text1,3,8,mit,mit,NOUN,
text1,3,9,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Dokumente,Dokumente,PROPN,
text3,1,3,wurden,wurden,PROPN,
text3,1,4,von,von,PROPN,
text3,1,5,einem,einem,PROPN,
text3,1,6,Journalisten,Journalisten,PROPN,
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,Jahr,Jahr,PROPN,PERSON_B
text3,2,4,2023,2023,NUM,PERSON_I
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,Rahmen,Rahmen,PROPN,PERSON_B
text3,3,4,einer,einer,NOUN,
text3,3,5,Informationsfreiheitsanfrage,informationsfreiheitsanfrage,NOUN,ORG_B
text3,3,6,angefordert,angefordert,NOUN,
text3,3,7,und,und,NOUN,
text3,3,8,betreffen,betreffen,PROPN,
text3,3,9,Treffen,Treffen,PROPN,ORG_B
text3,3,10,der,der,PROPN,ORG_I
text3,3,11,Kommission,Kommission,PROPN,ORG_I
text3,3,12,mit,mit,PROPN,ORG_I
text3,3,13,der,der,PROPN,
text3,3,14,Organisation,Organisation,PROPN,ORG_B
text3,3,15,Thorn,Thorn,PROPN,ORG_I
text3,3,16,.,.,PUNCT,
text3,4,1,Zwar,zwar,ADJ,
text3,4,2,sind,sind,NOUN,
text3,4,3,einige,einige,NOUN,
text3,4,4,der,der,PROPN,
text3,4,5,Dokumente,Dokumente,PROPN,NORP_B
text3,4,6,bei,bei,PROPN,
text3,4,7,Anfragen,Anfragen,PROPN,PERSON_B
text3,4,8,in,in,ADP,
text3,4,9,anderen,anderen,NOUN,
text3,4,10,Ländern,Ländern,PROPN,
text3,4,11,öffentlich,öffentlich,PROPN,
text3,4,12,geworden,geworden,NOUN,
text3,4,13,",",",",PUNCT,
text3,4,14,Gesprächsnotizen,gesprächsnotizen,ADJ,ORG_B
text3,4,15,eines,eine,NOUN,
text3,4,16,Treffens,Treffens,PROPN,WORK_OF_ART_B
text3,4,17,mit,mit,VERB,
text3,4,18,Thorn,Thorn,PROPN,PRODUCT_B
text3,4,19,und,und,ADP,
text3,4,20,dem,dem,ADJ,
text3,4,21,EU,EU,PROPN,ORG_B
text3,4,22,-,-,PUNCT,
text3,4,23,Innenkommissariat,Innenkommissariat,PROPN,
text3,4,24,bleiben,bleiben,NOUN,
text3,4,25,allerdings,allerding,NOUN,
text3,4,26,weiterhin,weiterhin,ADP,
text3,4,27,geheim,geheim,PROPN,
text3,4,28,.,.,PUNCT,
text3,5,1,Die,die,VERB,
text3,5,2,EU,EU,PROPN,
text3,5,3,-,-,PUNCT,
text3,5,4,Kommission,Kommission,PROPN,
text3,5,5,begründet,begründet,NOUN,
text3,5,6,dies,die,VERB,
text3,5,7,mit,mit,VERB,
text3,5,8,angeblichen,angeblichen,ADV,
text3,5,9,Geschäftsgeheimnissen,Geschäftsgeheimnissen,PROPN,PERSON_B
text3,5,10,.,.,PUNCT,
text5,1,1,Die,die,VERB,ORG_B
text5,1,2,EU,EU,PROPN,ORG_I
text5,1,3,-,-,PUNCT,ORG_I
text5,1,4,Bürgerbeauftragte,Bürgerbeauftragte,PROPN,ORG_I
text5,1,5,hatte,hatte,NOUN,
text5,1,6,der,der,PROPN,
text5,1,7,EU,EU,PROPN,ORG_B
text5,1,8,-,-,PUNCT,ORG_I
text5,1,9,Kommission,Kommission,PROPN,ORG_I
text5,1,10,empfohlen,empfohlen,NOUN,
text5,1,11,",",",",PUNCT,
text5,1,12,die,die,ADJ,
text5,1,13,Dokumente,Dokumente,PROPN,NORP_B
text5,1,14,freizugeben,freizugeben,PROPN,
text5,1,15,",",",",PUNCT,
text5,1,16,„,„,PUNCT,
text5,1,17,um,um,INTJ,
text5,1,18,der,der,PROPN,
