doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Mit,mit,NOUN,
text1,1,2,den,den,VERB,
text1,1,3,Plänen,Plänen,PROPN,ORG_B
text1,1,4,einer,einer,NOUN,
text1,1,5,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,6,auf,auf,PROPN,
text1,1,7,Anordnung,Anordnung,PROPN,PERSON_B
text1,1,8,wird,wird,NOUN,
text1,1,9,es,es,X,
text1,1,10,vor,vor,PROPN,
text1,1,11,der,der,PROPN,
text1,1,12,EU,EU,PROPN,ORG_B
text1,1,13,-,-,PUNCT,ORG_I
text1,1,14,Wahl,Wahl,PROPN,ORG_I
text1,1,15,i,I,PRON,
text1,1,16,m,m,VERB,
text1,1,17,Juni,Juni,PROPN,PERSON_B
text1,1,18,wohl,wohl,NOUN,
text1,1,19,nichts,nicht,NOUN,
text1,1,20,mehr,mehr,NOUN,
text1,1,21,",",",",PUNCT,
text1,1,22,denn,denn,NOUN,
text1,1,23,die,die,VERB,
text1,1,24,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Rat,Rat,PROPN,
text1,2,4,können,können,ADJ,
text1,2,5,sich,sich,PROPN,
text1,2,6,nicht,nicht,PROPN,
text1,2,7,einigen,einigen,NOUN,
text1,2,8,.,.,PUNCT,
text1,3,1,Daher,Daher,PROPN,
text1,3,2,brachte,brachte,NOUN,
text1,3,3,die,die,VERB,
text1,3,4,EU,EU,PROPN,ORG_B
text1,3,5,-,-,PUNCT,ORG_I
text1,3,6,Kommission,Kommission,PROPN,ORG_I
text1,3,7,eine,eine,NOUN,
text1,3,8,Verlängerung,Verlängerung,PROPN,ORG_B
text1,3,9,der,der,NOUN,ORG_I
text1,3,10,freiwilligen,freiwilligen,NOUN,
text1,3,11,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,12,auf,auf,PROPN,
text1,3,13,den,den,NOUN,
text1,3,14,Weg,Weg,PROPN,
text1,3,15,.,.,PUNCT,
text1,4,1,Der,Der,PROPN,PERSON_B
text1,4,2,Rat,Rat,PROPN,
text1,4,3,hat,hat,NOUN,
text1,4,4,sich,sich,PROPN,
text1,4,5,bereits,bereit,VERB,
text1,4,6,dazu,dazu,PROPN,
text1,4,7,positioniert,positioniert,PROPN,
text1,4,8,",",",",PUNCT,
text1,4,9,das,das,PROPN,ORG_B
text1,4,10,Parlament,Parlament,PROPN,ORG_I
text1,4,11,steht,steht,NOUN,
text1,4,12,kurz,kurz,NOUN,
text1,4,13,vor,vor,NOUN,
text1,4,14,einer,einer,NOUN,
text1,4,15,Einigung,Einigung,PROPN,PERSON_B
text1,4,16,.,.,PUNCT,
text3,1,1,Es,es,INTJ,
text3,1,2,geht,geht,NOUN,
text3,1,3,darum,darum,NOUN,
text3,1,4,",",",",PUNCT,
text3,1,5,dass,dass,NOUN,
text3,1,6,Anbieter,Anbieter,PROPN,PERSON_B
text3,1,7,wie,wie,NOUN,
text3,1,8,Meta,Meta,PROPN,ORG_B
text3,1,9,und,und,PROPN,
text3,1,10,Microsoft,Microsoft,PROPN,ORG_B
text3,1,11,weiterhin,weiterhin,NOUN,
text3,1,12,aus,aus,PROPN,ORG_B
text3,1,13,eigenem,eigenem,PROPN,ORG_I
text3,1,14,Antrieb,Antrieb,PROPN,ORG_I
text3,1,15,die,die,VERB,
text3,1,16,Inhalte,Inhalte,PROPN,NORP_B
text3,1,17,ihrer,ihrer,NOUN,
text3,1,18,Nutzer,Nutzer,PROPN,ORG_B
text3,1,19,:,:,PUNCT,
text3,1,20,innen,innen,NOUN,
text3,1,21,scannen,scannen,NOUN,
text3,1,22,dürfen,dürfen,NOUN,
text3,1,23,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,
text3,2,2,ermöglichte,ermöglichte,VERB,
text3,2,3,bisher,bisher,PROPN,
text3,2,4,eine,eine,NOUN,
text3,2,5,Ausnahmeregelung,Ausnahmeregelung,PROPN,PERSON_B
