doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Nach,nach,NOUN,
text1,1,2,mehrjähriger,mehrjähriger,NOUN,
text1,1,3,Zwangspause,Zwangspause,PROPN,ORG_B
text1,1,4,findet,findet,PROPN,
text1,1,5,in,in,ADP,
text1,1,6,diesem,diesem,PROPN,
text1,1,7,Jahr,Jahr,PROPN,PERSON_B
text1,1,8,wieder,wieder,NOUN,
text1,1,9,der,der,NOUN,
text1,1,10,Chaos,Chaos,PROPN,ORG_B
text1,1,11,Communication,Communication,PROPN,ORG_I
text1,1,12,Congress,Congress,PROPN,ORG_I
text1,1,13,(,(,PUNCT,
text1,1,14,37C3,37C3,PROPN,CARDINAL_B
text1,1,15,),),PUNCT,
text1,1,16,in,in,ADP,
text1,1,17,Hamburg,Hamburg,PROPN,GPE_B
text1,1,18,statt,statt,NOUN,
text1,1,19,.,.,PUNCT,
text1,2,1,Mitglieder,Mitglieder,PROPN,
text1,2,2,unserer,unserer,NOUN,
text1,2,3,Redaktion,Redaktion,PROPN,
text1,2,4,sind,sind,VERB,
text1,2,5,auch,auch,ADJ,
text1,2,6,vor,vor,NOUN,
text1,2,7,Ort,ort,NOUN,
text1,2,8,",",",",PUNCT,
text1,2,9,einige,einige,PROPN,
text1,2,10,von,von,PROPN,
text1,2,11,uns,un,VERB,
text1,2,12,sprechen,sprechen,PROPN,
text1,2,13,auf,auf,PROPN,
text1,2,14,der,der,PROPN,PERSON_B
text1,2,15,Bühne,Bühne,PROPN,PERSON_I
text1,2,16,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,gesamte,gesamte,NOUN,
text3,1,3,Programm,Programm,PROPN,PRODUCT_B
text3,1,4,ist,ist,VERB,
text3,1,5,gewohnt,gewohnt,NOUN,
text3,1,6,umfangreich,umfangreich,PROPN,
text3,1,7,:,:,PUNCT,
text3,1,8,Mehr,Mehr,PROPN,GPE_B
text3,1,9,als,al,VERB,
text3,1,10,130,130,NUM,CARDINAL_B
text3,1,11,Veranstaltungen,Veranstaltungen,PROPN,PRODUCT_B
text3,1,12,finden,finden,NOUN,
text3,1,13,vom,vom,NOUN,
text3,1,14,27,27,NUM,CARDINAL_B
text3,1,15,.,.,PUNCT,
text3,2,1,bis,bis,CCONJ,
text3,2,2,30,30,NUM,CARDINAL_B
text3,2,3,.,.,PUNCT,
text3,3,1,Dezember,dezember,NOUN,
text3,4,1,i,I,PRON,
text3,4,2,m,m,VERB,
text3,4,3,Congress,Congress,PROPN,PERSON_B
text3,4,4,Center,Center,PROPN,PERSON_I
text3,4,5,Hamburg,Hamburg,PROPN,
text3,4,6,(,(,PUNCT,
text3,4,7,CCH,CCH,PROPN,ORG_B
text3,4,8,),),PUNCT,
text3,4,9,statt,statt,NOUN,
text3,4,10,.,.,PUNCT,
text3,5,1,Die,die,VERB,
text3,5,2,meisten,meisten,NOUN,
text3,5,3,der,der,NOUN,
text3,5,4,Veranstaltungen,Veranstaltungen,PROPN,PERSON_B
text3,5,5,werden,werden,PROPN,
text3,5,6,live,live,ADJ,
text3,5,7,gestreamt,gestreamt,NOUN,
text3,5,8,.,.,PUNCT,
text5,1,1,Wir,Wir,PROPN,
text5,1,2,schlagen,schlagen,PROPN,
text5,1,3,für,für,PROPN,
text5,1,4,Euch,Euch,PROPN,
text5,1,5,eine,eine,NOUN,
text5,1,6,Schneise,Schneise,PROPN,ORG_B
text5,1,7,durch,durch,NOUN,
text5,1,8,das,das,PROPN,PERSON_B
text5,1,9,Dickicht,Dickicht,PROPN,PERSON_I
text5,1,10,",",",",PUNCT,
text5,1,11,hier,hi,ADJ,
text5,1,12,kommen,komman,NOUN,
text5,1,13,unsere,unsere,NOUN,
text5,1,14,Tipps,Tipps,PROPN,PERSON_B
text5,1,15,für,für,NOUN,
text5,1,16,den,den,VERB,
text5,1,17,Congress,Congress,PROPN,ORG_B
text5,1,18,.,.,PUNCT,
text7,1,1,*,*,PUNCT,
text7,1,2,*,*,PUNCT,
text7,1,3,Tag,tag,NOUN,
text7,1,4,1,1,NUM,
text7,1,5,:,:,PUNCT,
text7,1,6,Mittwoch,Mittwoch,PROPN,
text7,1,7,",",",",PUNCT,
text7,1,8,der,der,PROPN,
text7,1,9,27,27,NUM,CARDINAL_B
text7,1,10,.,.,PUNCT,
text7,2,1,Dezember****Tag,Dezember****Tag,PROPN,
text7,2,2,2,2,NUM,CARDINAL_B
text7,2,3,:,:,PUNCT,
text7,2,4,Donnerstag,Donnerstag,PROPN,ORG_B
text7,2,5,",",",",PUNCT,
text7,2,6,der,der,PROPN,
text7,2,7,28,28,NUM,CARDINAL_B
text7,2,8,.,.,PUNCT,
text7,3,1,Dezember****Tag,Dezember****Tag,PROPN,
text7,3,2,3,3,NUM,CARDINAL_B
text7,3,3,:,:,PUNCT,
text7,3,4,Freitag,Freitag,PROPN,
text7,3,5,",",",",PUNCT,
text7,3,6,der,der,NOUN,
text7,3,7,29,29,NUM,CARDINAL_B
text7,3,8,.,.,PUNCT,
text7,4,1,Dezember****Tag,Dezember****Tag,PROPN,
text7,4,2,4,4,NUM,CARDINAL_B
text7,4,3,:,:,PUNCT,
text7,4,4,Samstag,Samstag,PROPN,GPE_B
text7,4,5,",",",",PUNCT,
text7,4,6,der,der,PROPN,
text7,4,7,30,30,NUM,CARDINAL_B
text7,4,8,.,.,PUNCT,
text7,5,1,Dezember,dezember,NOUN,
text7,5,2,*,*,PUNCT,
text7,5,3,*,*,PUNCT,
text9,1,1,#,#,SYM,
text9,1,2,#,#,NOUN,
text9,1,3,Tag,tag,NOUN,
text9,1,4,1,1,NUM,
text9,1,5,:,:,PUNCT,
text9,1,6,Mittwoch,Mittwoch,PROPN,
text9,1,7,",",",",PUNCT,
text9,1,8,der,der,PROPN,
text9,1,9,27,27,NUM,CARDINAL_B
text9,1,10,.,.,PUNCT,
text9,2,1,Dezember,dezember,NOUN,
text11,1,1,Gleich,Gleich,PROPN,
text11,1,2,am,be,AUX,
text11,1,3,ersten,ersten,VERB,
text11,1,4,Tag,tag,INTJ,
text11,1,5,um,um,INTJ,
text11,1,6,12,12,NUM,CARDINAL_B
text11,1,7,Uhr,Uhr,PROPN,
text11,1,8,nimmt,nimmt,PROPN,
text11,1,9,uns,un,VERB,
text11,1,10,*,*,PUNCT,
text11,1,11,*,*,PROPN,
text11,1,12,Eva,Eva,PROPN,
text11,1,13,Wolfangel,Wolfangel,PROPN,
text11,1,14,*,*,PROPN,
text11,1,15,*,*,PROPN,
text11,1,16,etwas,etwas,PROPN,
text11,1,17,von,von,PROPN,PERSON_B
text11,1,18,der,der,PROPN,PERSON_I
text11,1,19,Sorge,Sorge,PROPN,PERSON_I
text11,1,20,",",",",PUNCT,
text11,1,21,dass,dass,NOUN,
text11,1,22,ChatGPT,ChatGPT,PROPN,ORG_B
text11,1,23,und,und,PROPN,ORG_I
text11,1,24,Co.,Co.,PROPN,ORG_I
text11,1,25,den,den,VERB,
text11,1,26,Weltuntergang,Weltuntergang,PROPN,PERSON_B
text11,1,27,bedeuten,bedeuten,NOUN,
text11,1,28,.,.,PUNCT,
text11,2,1,Denn,Denn,PROPN,PERSON_B
text11,2,2,Chatbots,Chatbots,PROPN,PERSON_I
text11,2,3,können,können,NOUN,PERSON_I
text11,2,4,wir,wir,NOUN,
text11,2,5,Menschen,Menschen,PROPN,ORG_B
text11,2,6,mit,mit,VERB,ORG_I
text11,2,7,Sprache,Sprache,PROPN,ORG_I
text11,2,8,manipulieren,manipulieren,NOUN,
text11,2,9,–,–,PUNCT,
text11,2,10,und,und,PROPN,
text11,2,11,ihnen,ihnen,NOUN,
text11,2,12,dabei,dabei,VERB,
text11,2,13,auch,auch,NOUN,
text11,2,14,Geheimnisse,Geheimnisse,PROPN,ORG_B
text11,2,15,entlocken,entlocken,VERB,
text11,2,16,.,.,PUNCT,
text11,3,1,Unter,Unter,PROPN,
text11,3,2,dem,dem,ADJ,
text11,3,3,Titel,Titel,PROPN,
text11,3,4,*,*,PUNCT,
text11,3,5,*,*,PUNCT,
text11,3,6,„,„,PROPN,
text11,3,7,Unsere,Unsere,PROPN,
text11,3,8,Worte,Worte,PROPN,
text11,3,9,sind,sind,NOUN,
