doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,schwedische,schwedische,ADJ,
text1,1,3,Politikerin,Politikerin,PROPN,PERSON_B
text1,1,4,Ylva,Ylva,PROPN,PERSON_I
text1,1,5,Johansson,Johansson,PROPN,PERSON_I
text1,1,6,ist,ist,NOUN,
text1,1,7,die,die,VERB,
text1,1,8,treibende,treibende,ADJ,
text1,1,9,Kraft,Kraft,PROPN,ORG_B
text1,1,10,hinter,hinter,NOUN,
text1,1,11,der,der,NOUN,
text1,1,12,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,13,.,.,PUNCT,
text1,2,1,Die,die,VERB,PERSON_B
text1,2,2,EU,EU,PROPN,PERSON_I
text1,2,3,-,-,PUNCT,PERSON_I
text1,2,4,Innenkommissarin,Innenkommissarin,PROPN,PERSON_I
text1,2,5,hat,hat,NOUN,
text1,2,6,eine,eine,NOUN,
text1,2,7,Verordnung,Verordnung,PROPN,ORG_B
text1,2,8,zur,zur,PROPN,ORG_I
text1,2,9,Prävention,Prävention,PROPN,ORG_I
text1,2,10,und,und,PROPN,
text1,2,11,Bekämpfung,Bekämpfung,PROPN,
text1,2,12,des,des,X,
text1,2,13,sexuellen,sexuellen,NOUN,
text1,3,1,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,3,2,von,von,PROPN,PERSON_I
text1,3,3,Kindern,Kindern,PROPN,PERSON_I
text1,3,4,vorgeschlagen,vorgeschlagen,NOUN,
text1,3,5,.,.,PUNCT,
text1,4,1,Das,Das,PROPN,
text1,4,2,Gesetz,Gesetz,PROPN,
text1,4,3,soll,soll,PROPN,
text1,4,4,Anbieter,Anbieter,PROPN,PERSON_B
text1,4,5,von,von,PROPN,PERSON_I
text1,4,6,Internetdiensten,Internetdiensten,PROPN,PERSON_I
text1,4,7,verpflichten,verpflichten,PROPN,
text1,4,8,",",",",PUNCT,
text1,4,9,auf,auf,PROPN,
text1,4,10,Anordnung,Anordnung,PROPN,PERSON_B
text1,4,11,die,die,VERB,
text1,4,12,Inhalte,Inhalte,PROPN,
text1,4,13,ihrer,ihrer,NOUN,
text1,4,14,Nutzer,Nutzer,PROPN,ORG_B
text1,4,15,:,:,PUNCT,
text1,4,16,innen,innen,NOUN,
text1,4,17,zu,zu,NOUN,
text1,4,18,durchsuchen,durchsuchen,NOUN,
text1,4,19,und,und,VERB,
text1,4,20,strafbare,strafbare,ADJ,
text1,4,21,Kinderpornografie,Kinderpornografie,PROPN,PERSON_B
text1,4,22,sowie,sowie,NOUN,
text1,4,23,Grooming,Grooming,PROPN,PERSON_B
text1,4,24,an,an,DET,
text1,4,25,ein,ein,NOUN,
text1,4,26,EU,EU,PROPN,ORG_B
