doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,PERSON_B
text1,1,2,Messenger,Messenger,PROPN,PERSON_I
text1,1,3,-,-,PUNCT,PERSON_I
text1,1,4,Gigant,Gigant,PROPN,PERSON_I
text1,1,5,WhatsApp,WhatsApp,PROPN,PERSON_I
text1,1,6,spricht,spricht,NOUN,
text1,1,7,sich,sich,PROPN,
text1,1,8,ebenso,ebenso,PROPN,
text1,1,9,wie,wie,PROPN,
text1,1,10,der,der,PROPN,
text1,1,11,schweizerische,schweizerische,NOUN,
text1,1,12,Messenger,Messenger,PROPN,PERSON_B
text1,1,13,Threema,Threema,PROPN,PERSON_I
text1,1,14,vehement,vehement,PROPN,
text1,1,15,gegen,gegen,NOUN,
text1,1,16,die,die,VERB,
text1,1,17,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,18,aus,aus,PROPN,PERSON_I
text1,1,19,.,.,PUNCT,
text1,2,1,Am,be,AUX,
text1,2,2,vergangenen,vergangenen,NOUN,
text1,2,3,Mittwoch,Mittwoch,PROPN,
text1,2,4,hatte,hatte,PROPN,
text1,2,5,schon,schon,PROPN,
text1,2,6,der,der,PROPN,
text1,2,7,Messenger,Messenger,PROPN,PERSON_B
text1,2,8,Signal,Signal,PROPN,PERSON_I
text1,2,9,angekündigt,angekündigt,PROPN,
text1,2,10,",",",",PUNCT,
text1,2,11,dass,dass,NOUN,
text1,2,12,er,er,INTJ,
text1,2,13,in,in,ADP,
text1,2,14,letzter,letzter,PROPN,
text1,2,15,Konsequenz,Konsequenz,PROPN,PERSON_B
text1,2,16,sogar,sogar,PROPN,
text1,2,17,den,den,VERB,
text1,2,18,europäischen,europäischen,PROPN,
text1,2,19,Markt,Markt,PROPN,LOC_B
text1,2,20,verlassen,verlassen,NOUN,LOC_I
text1,2,21,würde,würde,NOUN,
text1,2,22,",",",",PUNCT,
text1,2,23,wenn,wenn,PROPN,
text1,2,24,durch,durch,PROPN,
text1,2,25,das,das,PROPN,PERSON_B
text1,2,26,geplante,geplante,PROPN,PERSON_I
text1,2,27,EU,EU,PROPN,ORG_B
text1,2,28,-,-,PUNCT,
text1,2,29,Gesetz,Gesetz,PROPN,
text1,2,30,keine,keine,NOUN,
text1,2,31,private,private,ADJ,
text1,2,32,",",",",PUNCT,
text1,2,33,verschlüsselte,verschlüsselte,PROPN,
text1,2,34,Kommunikation,Kommunikation,PROPN,ORG_B
text1,2,35,mehr,mehr,PROPN,
text1,2,36,möglich,möglich,PROPN,
text1,2,37,sei,sei,PROPN,
text1,2,38,.,.,PUNCT,
text3,1,1,Auch,auch,ADJ,
text3,1,2,beim,beim,NOUN,
text3,1,3,Branchen,Branchen,PROPN,PERSON_B
text3,1,4,-,-,PUNCT,PERSON_I
text3,1,5,Riesen,Riesen,PROPN,PERSON_I
text3,1,6,WhatsApp,WhatsApp,PROPN,PERSON_I
text3,1,7,teilt,teilt,VERB,
text3,1,8,man,man,NOUN,
text3,1,9,die,die,VERB,
text3,1,10,grundlegende,grundlegende,NOUN,
text3,1,11,Kritik,Kritik,PROPN,PRODUCT_B
text3,1,12,.,.,PUNCT,
text3,2,1,Eine,Eine,PROPN,PERSON_B
text3,2,2,Sprecherin,Sprecherin,PROPN,PERSON_I
text3,2,3,von,von,PROPN,PERSON_I
text3,2,4,Meta,Meta,PROPN,PERSON_I
text3,2,5,",",",",PUNCT,
text3,2,6,dem,dem,PROPN,NORP_B
text3,2,7,Mutter,Mutter,PROPN,ORG_B
text3,2,8,-,-,PUNCT,ORG_I
text3,2,9,Konzern,konzern,ADJ,ORG_I
text3,2,10,des,des,X,ORG_I
text3,2,11,Messengers,Messengers,PROPN,ORG_I
text3,2,12,",",",",PUNCT,
text3,2,13,sagte,sagte,PROPN,
text3,2,14,gegenüber,gegenüber,PROPN,
text3,2,15,netzpolitik.org,netzpolitik.org,PROPN,
text3,2,16,:,:,PUNCT,
text3,2,17,„,„,PUNCT,
text3,2,18,Trotz,trotz,NOUN,
text3,2,19,gegenteiliger,gegenteiliger,NOUN,
text3,2,20,Behauptungen,Behauptungen,PROPN,ORG_B
text3,2,21,untergräbt,untergräbt,NOUN,
text3,2,22,der,der,NOUN,
text3,2,23,neueste,neueste,NOUN,
text3,2,24,Vorschlag,Vorschlag,PROPN,ORG_B
text3,2,25,der,der,PROPN,
text3,2,26,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_B
text3,2,27,der,der,PROPN,ORG_I
text3,2,28,EU,EU,PROPN,ORG_I
text3,2,29,nach,nach,PROPN,
text3,2,30,wie,wie,PROPN,
text3,2,31,vor,vor,NOUN,
text3,2,32,die,die,VERB,
text3,2,33,Ende,ende,NOUN,
text3,2,34,-,-,PUNCT,
text3,2,35,zu,zu,NOUN,
text3,2,36,-,-,PUNCT,
text3,2,37,Ende,ende,ADJ,
text3,2,38,-,-,PUNCT,
text3,2,39,Verschlüsselung,Verschlüsselung,PROPN,
text3,2,40,und,und,PROPN,
text3,2,41,gefährdet,gefährdet,NOUN,
text3,2,42,die,die,VERB,
text3,2,43,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text3,2,44,",",",",PUNCT,
text3,2,45,Freiheit,Freiheit,PROPN,GPE_B
text3,2,46,und,und,PROPN,
text3,2,47,digitale,digitale,NOUN,
text3,2,48,Sicherheit,Sicherheit,PROPN,PERSON_B
text3,2,49,aller,aller,NOUN,
text3,2,50,.,.,PUNCT,
text3,2,51,“,"""",PUNCT,
text3,3,1,WhatsApp,WhatsApp,PROPN,ORG_B
text3,3,2,setze,setze,NOUN,
text3,3,3,sich,sich,PROPN,
text3,3,4,weiterhin,weiterhin,PROPN,
text3,3,5,für,für,PROPN,
text3,3,6,stärkere,stärkere,ADV,
text3,3,7,Sicherheit,Sicherheit,PROPN,GPE_B
text3,3,8,ein,ein,PROPN,
text3,3,9,und,und,VERB,
text3,3,10,sei,sei,ADJ,
text3,3,11,der,der,PROPN,
text3,3,12,Überzeugung,Überzeugung,PROPN,PERSON_B
text3,3,13,",",",",PUNCT,
text3,3,14,dass,dass,NOUN,
text3,3,15,Regierungen,Regierungen,PROPN,PRODUCT_B
text3,3,16,weltweit,weltweit,NOUN,
text3,3,17,dies,die,VERB,
text3,3,18,ebenfalls,ebenfall,NOUN,
text3,3,19,tun,tun,PROPN,
text3,3,20,sollten,sollten,PROPN,
text3,3,21,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,„,„,PUNCT,
text5,1,4,Entschieden,Entschieden,PROPN,
text5,1,5,gegen,gegen,NOUN,
text5,1,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text5,1,7,jeder,jeder,NOUN,
text5,1,8,Form,form,NOUN,
text5,1,9,“,"""",PUNCT,
text7,1,1,In,in,ADP,
text7,1,2,eine,eine,NOUN,
text7,1,3,ähnliche,ähnliche,PROPN,
text7,1,4,Richtung,Richtung,PROPN,PERSON_B
text7,1,5,argumentiert,argumentiert,PROPN,
text7,1,6,der,der,PROPN,
text7,1,7,Messenger,Messenger,PROPN,PERSON_B
text7,1,8,Threema,Threema,PROPN,PERSON_I
text7,1,9,:,:,PUNCT,
text7,1,10,„,„,PUNCT,
text7,1,11,Wir,Wir,PROPN,
text7,1,12,sind,sind,NOUN,
text7,1,13,nach,nach,NOUN,
text7,1,14,wie,wie,PROPN,
text7,1,15,vor,vor,NOUN,
text7,1,16,entschieden,entschieden,NOUN,
text7,1,17,gegen,gegen,NOUN,PERSON_B
text7,1,18,Massenüberwachung,Massenüberwachung,PROPN,PERSON_I
text7,1,19,in,in,ADP,
text7,1,20,jeder,jeder,NOUN,
text7,1,21,Form,Form,PROPN,
text7,1,22,“,"""",PUNCT,
text7,1,23,",",",",PUNCT,
text7,1,24,sagt,sagt,ADP,
text7,1,25,Pressesprecher,Pressesprecher,PROPN,PERSON_B
text7,1,26,Philipp,Philipp,PROPN,PERSON_I
text7,1,27,Rieger,Rieger,PROPN,PERSON_I
text7,1,28,gegenüber,gegenüber,NOUN,
text7,1,29,netzpolitik.org,netzpolitik.org,PROPN,
text7,1,30,.,.,PUNCT,
text7,2,1,„,„,PUNCT,
text7,2,2,Wie,wie,NOUN,ORG_B
text7,2,3,man,man,NOUN,
text7,2,4,i,I,PRON,
text7,2,5,m,m,AUX,
text7,2,6,physischen,physischen,VERB,
text7,2,7,Raum,Raum,PROPN,ORG_B
text7,2,8,vertrauliche,vertrauliche,NOUN,
text7,2,9,Konversationen,Konversationen,PROPN,PERSON_B
text7,2,10,führen,führen,PROPN,PERSON_I
text7,2,11,kann,kann,PROPN,PERSON_I
text7,2,12,",",",",PUNCT,
text7,2,13,sollte,sollte,PROPN,
text7,2,14,das,das,PROPN,PRODUCT_B
text7,2,15,nach,nach,VERB,
text7,2,16,unserem,unserem,ADJ,
text7,2,17,Verständnis,Verständnis,PROPN,NORP_B
text7,2,18,auch,auch,ADJ,
text7,2,19,online,online,PROPN,
