doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Großbritannien,Großbritannien,PROPN,
text1,1,2,könnte,könnte,NOUN,
text1,1,3,die,die,VERB,
text1,1,4,geplante,geplante,ADJ,
text1,1,5,„,„,PUNCT,
text1,1,6,Online,Online,PROPN,
text1,1,7,Safety,Safety,PROPN,
text1,1,8,Bill,Bill,PROPN,
text1,1,9,“,"""",PUNCT,
text1,1,10,merklich,merklich,NOUN,
text1,1,11,verschärfen,verschärfen,NOUN,
text1,1,12,.,.,PUNCT,
text1,2,1,Demnach,Demnach,PROPN,PERSON_B
text1,2,2,könnten,könnten,VERB,
text1,2,3,Mitarbeitende,Mitarbeitende,PROPN,
text1,2,4,von,von,PROPN,
text1,2,5,Online,Online,PROPN,
text1,2,6,-,-,PUNCT,
text1,2,7,Diensten,Diensten,PROPN,
text1,2,8,persönlich,persönlich,NOUN,
text1,2,9,haften,haften,VERB,
text1,2,10,",",",",PUNCT,
text1,2,11,wenn,wenn,PROPN,
text1,2,12,sie,sie,PROPN,
text1,2,13,die,die,VERB,
text1,2,14,Sicherheit,Sicherheit,PROPN,PERSON_B
text1,2,15,von,von,PROPN,PERSON_I
text1,2,16,Kindern,Kindern,PROPN,PERSON_I
text1,3,1,i,I,PRON,
text1,3,2,m,m,VERB,
text1,3,3,Internet,Internet,PROPN,
text1,3,4,nicht,nicht,NOUN,
text1,3,5,ausreichend,ausreichend,NOUN,
text1,3,6,schützen,schützen,NOUN,
text1,3,7,.,.,PUNCT,
text1,4,1,Das,Das,PROPN,
text1,4,2,würde,würde,NOUN,
text1,4,3,insbesondere,insbesondere,ADV,
text1,4,4,Online,Online,PROPN,PERSON_B
text1,4,5,-,-,PUNCT,PERSON_I
text1,4,6,Dienste,Dienste,PROPN,PERSON_I
text1,4,7,wie,wie,PROPN,
text1,4,8,Wikipedia,Wikipedia,PROPN,ORG_B
text1,4,9,",",",",PUNCT,
text1,4,10,die,die,VERB,
text1,4,11,auf,auf,PROPN,
text1,4,12,den,den,NOUN,
text1,4,13,Einsatz,Einsatz,PROPN,PERSON_B
text1,4,14,von,von,PROPN,PERSON_I
text1,4,15,Freiwilligen,Freiwilligen,PROPN,PERSON_I
text1,4,16,setzen,setzen,NOUN,
text1,4,17,",",",",PUNCT,
text1,4,18,in,in,ADP,
text1,4,19,Bedrängnis,Bedrängnis,PROPN,NORP_B
text1,4,20,bringen,bringen,NOUN,
text1,4,21,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,seit,seit,NOUN,
text3,1,3,geraumer,geraumer,NOUN,
text3,1,4,Zeit,Zeit,PROPN,ORG_B
text3,1,5,diskutierte,diskutierte,NOUN,
text3,1,6,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,PRODUCT_B
text3,1,7,soll,soll,NOUN,
