doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,PERSON_B
text1,1,2,Verhandlungen,Verhandlungen,PROPN,PERSON_I
text1,1,3,zur,zur,PROPN,
text1,1,4,geplanten,geplanten,VERB,
text1,1,5,EU,EU,PROPN,ORG_B
text1,1,6,-,-,PUNCT,ORG_I
text1,1,7,Verordnung,Verordnung,PROPN,ORG_I
text1,1,8,zur,zur,PROPN,
text1,1,9,Prävention,Prävention,PROPN,
text1,1,10,und,und,PROPN,
text1,1,11,Bekämpfung,Bekämpfung,PROPN,
text1,1,12,des,des,X,
text1,1,13,sexuellen,sexuellen,NOUN,
text1,1,14,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,1,15,von,von,PROPN,PERSON_I
text1,1,16,Kindern,Kindern,PROPN,PERSON_I
text1,1,17,schreiten,schreiten,ADJ,
text1,1,18,voran,voran,NOUN,
text1,1,19,.,.,PUNCT,
text1,2,1,I,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Europäischen,Europäischen,PROPN,PERSON_B
text1,2,4,Parlament,Parlament,PROPN,PERSON_I
text1,2,5,debattierte,debattierte,NOUN,
text1,2,6,heute,heute,NOUN,
text1,2,7,der,der,PROPN,
text1,2,8,federführende,federführende,NOUN,
text1,2,9,Ausschuss,Ausschuss,PROPN,ORG_B
text1,2,10,für,für,NOUN,
text1,2,11,bürgerliche,bürgerliche,NOUN,
text1,2,12,Freiheiten,Freiheiten,PROPN,PERSON_B
text1,2,13,",",",",PUNCT,
text1,2,14,Justiz,Justiz,PROPN,PERSON_B
text1,2,15,und,und,NOUN,
text1,2,16,Inneres,Inneres,PROPN,ORG_B
text1,2,17,seinen,seinen,NOUN,
text1,2,18,Berichtsentwurf,Berichtsentwurf,PROPN,
text1,2,19,zur,zur,NOUN,
text1,2,20,so,so,ADV,
text1,2,21,genannten,genannten,VERB,
text1,2,22,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,23,",",",",PUNCT,
text1,2,24,weitere,weitere,VERB,
text1,2,25,Ausschüsse,Ausschüsse,PROPN,ORG_B
text1,2,26,geben,geben,NOUN,
text1,2,27,Meinungen,Meinungen,PROPN,ORG_B
text1,2,28,ab,ab,PROPN,ORG_I
text1,2,29,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Staaten,Staaten,PROPN,ORG_I
text3,1,5,verhandeln,verhandeln,NOUN,
text3,1,6,weiterhin,weiterhin,X,
text3,1,7,i,I,PRON,
text3,1,8,m,m,VERB,
text3,1,9,Rat,Rat,PROPN,
text3,1,10,.,.,PUNCT,
text3,2,1,Vor,Vor,PROPN,PERSON_B
text3,2,2,zwei,zwei,PROPN,PERSON_I
text3,2,3,Wochen,Wochen,PROPN,
text3,2,4,tagte,tagte,PROPN,
text3,2,5,erneut,erneut,NOUN,
text3,2,6,die,die,VERB,
text3,2,7,Ratsarbeitsgruppe,Ratsarbeitsgruppe,PROPN,PERSON_B
text3,2,8,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text3,2,9,",",",",PUNCT,
text3,2,10,wieder,wieder,NOUN,
text3,2,11,ging,ge,VERB,
text3,2,12,es,es,X,
text3,2,13,ausschließlich,ausschließlich,PRON,
text3,2,14,um,um,INTJ,
text3,2,15,die,die,VERB,
text3,2,16,geplante,geplante,ADJ,
text3,2,17,Verordnung,Verordnung,PROPN,PERSON_B
text3,2,18,.,.,PUNCT,
text3,3,1,Wir,Wir,PROPN,
text3,3,2,veröffentlichen,veröffentlichen,PROPN,
text3,3,3,ein,ein,PROPN,
text3,3,4,weiteres,weitere,VERB,
text3,3,5,Mal,Mal,PROPN,PERSON_B
text3,3,6,ein,ein,NOUN,PERSON_I
text3,3,7,eingestuftes,eingestufte,VERB,
text3,3,8,Protokoll,Protokoll,PROPN,ORG_B
text3,3,9,der,der,NOUN,
text3,3,10,Verhandlungsrunde,Verhandlungsrunde,PROPN,ORG_B
text3,3,11,i,I,PRON,
text3,3,12,m,m,VERB,
text3,3,13,Volltext,Volltext,PROPN,PERSON_B
text3,3,14,.,.,PUNCT,
text5,1,1,Ursprünglich,Ursprünglich,PROPN,
text5,1,2,wollten,wollten,NOUN,
text5,1,3,die,die,VERB,
text5,1,4,EU,EU,PROPN,ORG_B
text5,1,5,-,-,PUNCT,
text5,1,6,Regierungen,Regierungen,PROPN,
text5,1,7,am,be,AUX,
text5,1,8,13,13,NUM,CARDINAL_B
text5,1,9,.,.,PUNCT,
text5,2,1,April,April,PROPN,DATE_B
text5,2,2,die,die,VERB,
text5,2,3,„,„,PUNCT,
text5,2,4,Aufdeckungspflichten,Aufdeckungspflichten,PROPN,
text5,2,5,“,"""",PUNCT,
text5,2,6,verhandeln,verhandeln,NOUN,
text5,2,7,",",",",PUNCT,
text5,3,1,welche,welche,PROPN,
text5,3,2,die,die,VERB,
text5,3,3,Internet,Internet,PROPN,
text5,3,4,-,-,PUNCT,
text5,3,5,Dienste,Dienste,PROPN,
text5,3,6,verpflichten,verpflichten,NOUN,
text5,3,7,",",",",PUNCT,
text5,3,8,alle,alle,NOUN,
text5,3,9,Inhalte,Inhalte,PROPN,NORP_B
text5,3,10,ihrer,ihrer,NOUN,
text5,3,11,Nutzer,Nutzer,PROPN,ORG_B
text5,3,12,:,:,PUNCT,
text5,3,13,innen,innen,NOUN,
text5,3,14,zu,zu,NOUN,
text5,3,15,durchsuchen,durchsuchen,NOUN,
text5,3,16,.,.,PUNCT,
text5,4,1,Am,be,AUX,
text5,4,2,Vortag,Vortag,PROPN,
text5,4,3,hat,hat,NOUN,
text5,4,4,die,die,NOUN,
text5,4,5,deutsche,deutsche,NOUN,
text5,4,6,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text5,4,7,extra,extra,ADJ,
text5,4,8,eine,eine,NOUN,
text5,4,9,gemeinsame,gemeinsame,NOUN,
text5,4,10,Position,Position,PROPN,
text5,4,11,beschlossen,beschlossen,PROPN,
text5,4,12,und,und,VERB,
text5,4,13,an,an,DET,
text5,4,14,den,den,NOUN,
text5,4,15,Rat,Rat,PROPN,
text5,4,16,geschickt,geschickt,NOUN,
text5,4,17,.,.,PUNCT,
text5,5,1,Doch,Doch,PROPN,
text5,5,2,die,die,VERB,
text5,5,3,schwedische,schwedische,NOUN,
text5,5,4,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text5,5,5,hat,hat,NOUN,
text5,5,6,den,den,VERB,
text5,5,7,zentralen,zentralen,PROPN,
text5,5,8,Punkt,Punkt,PROPN,ORG_B
text5,5,9,kurzzeitig,kurzzeitig,PROPN,
text5,5,10,verschoben,verschoben,NOUN,
text5,5,11,.,.,PUNCT,
text7,1,1,Stattdessen,Stattdessen,PROPN,
text7,1,2,diskutieren,diskutieren,PROPN,
text7,1,3,die,die,VERB,
text7,1,4,EU,EU,PROPN,ORG_B
text7,1,5,-,-,PUNCT,
text7,1,6,Staaten,Staaten,VERB,
text7,1,7,vor,vor,NOUN,
text7,1,8,allem,allem,NOUN,
text7,1,9,die,die,VERB,
text7,1,10,Rolle,Rolle,PROPN,PERSON_B
text7,1,11,der,der,NOUN,
text7,1,12,Behörden,Behörden,PROPN,GPE_B
text7,1,13,und,und,PROPN,
text7,1,14,wie,wie,PROPN,
text7,1,15,unabhängig,unabhängig,PROPN,
text7,1,16,die,die,PROPN,
text7,1,17,sein,sein,PROPN,
text7,1,18,sollen,sollen,PROPN,
text7,1,19,.,.,PUNCT,
text9,1,1,#,#,SYM,
text9,1,2,#,#,NOUN,
text9,1,3,Uneinigkeit,Uneinigkeit,PROPN,PERSON_B
text9,1,4,bei,bei,PROPN,
text9,1,5,Rolle,Rolle,PROPN,ORG_B
text9,1,6,des,des,PROPN,ORG_I
text9,1,7,EU,EU,PROPN,ORG_I
text9,1,8,-,-,PUNCT,ORG_I
text9,1,9,Zentrums,Zentrums,PROPN,ORG_I
text11,1,1,Die,die,VERB,
text11,1,2,Verordnung,Verordnung,PROPN,
text11,1,3,sieht,sieht,NOUN,
text11,1,4,ein,ein,PROPN,
text11,1,5,neues,neue,NOUN,
text11,1,6,EU,EU,PROPN,ORG_B
text11,1,7,-,-,PUNCT,
text11,1,8,Zentrum,Zentrum,PROPN,
text11,1,9,vor,vor,NOUN,
text11,1,10,",",",",PUNCT,
text11,1,11,das,das,PROPN,PRODUCT_B
text11,1,12,sehr,sehr,PROPN,PRODUCT_I
text11,1,13,eng,eng,PROPN,PERSON_B
text11,1,14,mit,mit,PROPN,PERSON_I
text11,1,15,Europol,Europol,PROPN,ORG_B
text11,1,16,zusammenarbeitet,zusammenarbeitet,PROPN,
text11,1,17,und,und,PROPN,
text11,1,18,sogar,sogar,PROPN,PERSON_B
text11,1,19,am,am,PROPN,PERSON_I
text11,1,20,selben,selben,PROPN,
text11,1,21,Standort,Standort,PROPN,PRODUCT_B
text11,1,22,seinen,seinen,NOUN,
text11,1,23,Sitz,Sitz,PROPN,PERSON_B
text11,1,24,hat,hat,NOUN,
text11,1,25,.,.,PUNCT,
text11,2,1,Österreich,Österreich,PROPN,
text11,2,2,wünscht,wünscht,PROPN,
text11,2,3,sich,sich,PROPN,
text11,2,4,jedoch,jedoch,PROPN,
text11,2,5,„,„,PUNCT,
text11,2,6,eine,eine,NOUN,
text11,2,7,vollständige,vollständige,PROPN,
text11,2,8,Unabhängigkeit,Unabhängigkeit,PROPN,ORG_B
text11,2,9,des,des,PROPN,ORG_I
text11,2,10,EU,EU,PROPN,ORG_I
text11,2,11,-,-,PUNCT,ORG_I
text11,2,12,Zentrums,Zentrums,PROPN,ORG_I
text11,2,13,von,von,PROPN,ORG_I
text11,2,14,Europol,Europol,PROPN,ORG_I
text11,2,15,“,"""",PUNCT,
text11,2,16,.,.,PUNCT,
text11,3,1,Deutschland,Deutschland,PROPN,GPE_B
text11,3,2,begrüßt,begrüßt,VERB,
text11,3,3,das,das,PROPN,PERSON_B
text11,3,4,EU,EU,PROPN,PERSON_I
text11,3,5,-,-,PUNCT,PERSON_I
text11,3,6,Zentrum,Zentrum,PROPN,PERSON_I
text11,3,7,grundsätzlich,grundsätzlich,NOUN,
text11,3,8,",",",",PUNCT,
text11,3,9,äußert,äußert,ADJ,
text11,3,10,aber,aber,PROPN,
text11,4,1,„,„,PUNCT,
text11,4,2,große,große,VERB,
text11,4,3,Bedenken,Bedenken,PROPN,PRODUCT_B
text11,4,4,hinsichtlich,hinsichtlich,NOUN,
text11,4,5,der,der,PROPN,
text11,4,6,vorgesehenen,vorgesehenen,NOUN,
text11,4,7,Governance,Governance,PROPN,ORG_B
text11,4,8,-,-,PUNCT,ORG_I
text11,4,9,Struktur,Struktur,PROPN,ORG_I
text11,4,10,“,"""",PUNCT,
text11,4,11,.,.,PUNCT,
text13,1,1,Die,die,VERB,
text13,1,2,neue,neue,ADJ,
text13,1,3,EU,EU,PROPN,ORG_B
text13,1,4,-,-,PUNCT,ORG_I
text13,1,5,Behörde,Behörde,PROPN,ORG_I
text13,1,6,soll,soll,NOUN,
text13,1,7,Datenbanken,Datenbanken,PROPN,ORG_B
text13,1,8,mit,mit,NOUN,
text13,1,9,illegalen,illegalen,ADJ,
text13,1,10,Inhalten,Inhalten,PROPN,
text13,1,11,bereitstellen,bereitstellen,PROPN,
text13,1,12,",",",",PUNCT,
text13,1,13,welche,welche,PROPN,
text13,1,14,die,die,VERB,
text13,1,15,Anbieter,Anbieter,PROPN,PERSON_B
text13,1,16,bei,bei,PROPN,
text13,1,17,der,der,PROPN,
text13,1,18,„,„,PROPN,
text13,1,19,Chatkontrolle,Chatkontrolle,PROPN,
text13,1,20,“,"""",PUNCT,
text13,1,21,nutzen,nutzen,PROPN,PERSON_B
