doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,heutige,heutige,ADJ,
text1,1,3,Degitalisierung,Degitalisierung,PROPN,
text1,1,4,wird,wird,NOUN,
text1,1,5,sich,sich,PROPN,
text1,1,6,mit,mit,VERB,
text1,1,7,der,der,PROPN,
text1,1,8,Wirkung,Wirkung,PROPN,PERSON_B
text1,1,9,von,von,PROPN,PERSON_I
text1,1,10,Wut,Wut,PROPN,PERSON_I
text1,1,11,beschäftigen,beschäftigen,NOUN,
text1,1,12,müssen,müssen,PROPN,
text1,1,13,",",",",PUNCT,
text1,1,14,mit,mit,VERB,ORG_B
text1,1,15,Furor,furor,NOUN,ORG_I
text1,1,16,.,.,PUNCT,
text1,2,1,Denn,Denn,PROPN,PERSON_B
text1,2,2,Wut,Wut,PROPN,PERSON_I
text1,2,3,ist,ist,NOUN,
text1,2,4,ein,ein,PROPN,
text1,2,5,Momentum,Momentum,PROPN,PRODUCT_B
text1,2,6,",",",",PUNCT,
text1,2,7,das,das,PROPN,ORG_B
text1,2,8,uns,uns,VERB,ORG_I
text1,2,9,immer,immer,NOUN,
text1,2,10,wieder,wieder,NOUN,
text1,2,11,dazu,dazu,PROPN,
text1,2,12,bringt,bringt,NOUN,
text1,2,13,",",",",PUNCT,
text1,2,14,dass,dass,NOUN,
text1,2,15,vermeintlich,vermeintlich,NOUN,
text1,2,16,gut,gut,PROPN,
text1,2,17,gemeinte,gemeinte,PROPN,
text1,2,18,Ideen,Ideen,PROPN,ORG_B
text1,2,19,katastrophale,katastrophale,NOUN,
text1,2,20,Folgen,Folgen,PROPN,
text1,2,21,haben,haben,NOUN,
text1,2,22,können,können,NOUN,
text1,2,23,.,.,PUNCT,
text1,3,1,Um,um,INTJ,
text1,3,2,das,das,PROPN,PERSON_B
text1,3,3,Konzept,Konzept,PROPN,PERSON_I
text1,3,4,mit,mit,VERB,
text1,3,5,der,der,NOUN,PERSON_B
text1,3,6,Wut,Wut,PROPN,PERSON_I
text1,3,7,und,und,PROPN,
text1,3,8,seine,seine,ADJ,
text1,3,9,Wirkung,Wirkung,PROPN,PERSON_B
text1,3,10,besser,besser,NOUN,PERSON_I
text1,3,11,zu,zu,PROPN,PERSON_B
text1,3,12,verstehen,verstehen,ADV,PERSON_I
text1,3,13,",",",",PUNCT,
text1,3,14,hilft,hilft,VERB,
text1,3,15,es,es,PROPN,
text1,3,16,vielleicht,vielleicht,PROPN,
text1,3,17,",",",",PUNCT,
text1,3,18,einen,einen,NOUN,
text1,3,19,Blick,Blick,PROPN,ORG_B
text1,3,20,in,in,ADP,
text1,3,21,die,die,ADJ,
text1,3,22,Filmgeschichte,Filmgeschichte,PROPN,PERSON_B
text1,3,23,zu,zu,NOUN,PERSON_I
text1,3,24,werfen,werfen,NOUN,PERSON_I
text1,3,25,.,.,PUNCT,
text3,1,1,I,I,PRON,
text3,1,2,m,m,VERB,
text3,1,3,Jahr,Jahr,PROPN,PERSON_B
text3,1,4,1936,1936,NUM,PERSON_I
text3,1,5,erzählte,erzählte,NOUN,
