doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,PERSON_B
text1,1,2,Deutsche,Deutsche,PROPN,PERSON_I
text1,1,3,Anwaltverein,Anwaltverein,PROPN,PERSON_I
text1,1,4,(,(,PUNCT,
text1,1,5,DAV,DAV,PROPN,ORG_B
text1,1,6,),),PUNCT,
text1,1,7,kritisiert,kritisiert,PROPN,PERSON_B
text1,1,8,die,die,VERB,PERSON_I
text1,1,9,bisherige,bisherige,PROPN,ORG_B
text1,1,10,Haltung,Haltung,PROPN,ORG_I
text1,1,11,des,des,PROPN,ORG_I
text1,1,12,Bundesinnenministeriums,Bundesinnenministeriums,PROPN,ORG_I
text1,1,13,zur,zur,NOUN,
text1,1,14,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,15,und,und,VERB,
text1,1,16,fordert,fordert,NOUN,
text1,1,17,eine,eine,NOUN,
text1,1,18,klare,klare,NOUN,
text1,1,19,Ansage,Ansage,PROPN,NORP_B
text1,1,20,der,der,NOUN,NORP_I
text1,1,21,Bundesregierung,Bundesregierung,PROPN,NORP_I
text1,1,22,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,Chatkontrolle,Chatkontrolle,PROPN,
text1,2,3,sei,sei,ADJ,
text1,2,4,weder,weder,NOUN,
text1,2,5,verhältnismäßig,verhältnismäßig,PROPN,
text1,2,6,noch,noch,PROPN,
text1,2,7,mit,mit,VERB,
text1,2,8,den,den,VERB,
text1,2,9,Freiheitsgrundrechten,Freiheitsgrundrechten,PROPN,ORG_B
text1,2,10,vereinbar,vereinbar,NOUN,
text1,2,11,und,und,PROPN,
text1,2,12,sie,sie,PROPN,
text1,2,13,bedrohe,bedrohe,PROPN,
text1,2,14,das,das,PROPN,PERSON_B
text1,2,15,Mandatsgeheimnis,Mandatsgeheimnis,PROPN,PERSON_I
text1,2,16,",",",",PUNCT,
text1,2,17,heißt,heißt,NOUN,
text1,2,18,es,es,X,
text1,2,19,in,in,ADP,
text1,2,20,einer,einer,NOUN,
text1,2,21,Pressemitteilung,Pressemitteilung,PROPN,PERSON_B
text1,2,22,der,der,PROPN,PERSON_I
text1,2,23,Interessensvertretung,Interessensvertretung,PROPN,PERSON_I
text1,2,24,von,von,PROPN,PERSON_I
text1,2,25,Rechtsanwälten,Rechtsanwälten,PROPN,PERSON_I
text1,2,26,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,Bundesregierung,Bundesregierung,PROPN,
text1,3,3,müsse,müsse,NOUN,
text1,3,4,sich,sich,ADJ,
text1,3,5,klar,klar,PROPN,
text1,3,6,zum,zum,NOUN,PERSON_B
text1,3,7,Grundrechtsschutz,Grundrechtsschutz,PROPN,PERSON_I
text1,3,8,bekennen,bekennen,NOUN,
text1,3,9,und,und,PROPN,
text1,3,10,zum,zum,NOUN,PERSON_B
text1,3,11,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_I
text1,3,12,stehen,stehen,ADV,
text1,3,13,",",",",PUNCT,
text1,3,14,so,so,ADV,
text1,3,15,der,der,VERB,
text1,3,16,DAV,DAV,PROPN,ORG_B
text1,3,17,weiter,weiter,NOUN,
text1,3,18,.,.,PUNCT,
text3,1,1,Nachdem,Nachdem,PROPN,ORG_B
text3,1,2,es,es,X,
text3,1,3,in,in,ADP,
text3,1,4,den,den,PROPN,
text3,1,5,Koalitionsfraktionen,Koalitionsfraktionen,PROPN,PERSON_B
text3,1,6,in,in,ADP,
text3,1,7,dieser,dieser,PROPN,
text3,1,8,Woche,Woche,PROPN,
text3,1,9,gebrodelt,gebrodelt,VERB,
text3,1,10,hatte,hatte,PROPN,PERSON_B
text3,1,11,",",",",PUNCT,
text3,1,12,hat,hat,NOUN,
text3,1,13,Justizminister,Justizminister,PROPN,PERSON_B
text3,1,14,Marco,Marco,PROPN,PERSON_I
text3,1,15,Buschmann,Buschmann,PROPN,PERSON_I
text3,1,16,(,(,PUNCT,
text3,1,17,FDP,FDP,PROPN,ORG_B
text3,1,18,),),PUNCT,
text3,1,19,gestern,gestern,NOUN,
text3,1,20,auf,auf,PROPN,
text3,1,21,Twitter,Twitter,PROPN,
text3,1,22,eine,eine,NOUN,
text3,1,23,Einigung,Einigung,PROPN,PERSON_B
text3,1,24,mit,mit,VERB,
text3,1,25,Innenministerin,Innenministerin,PROPN,
text3,1,26,Nancy,Nancy,PROPN,PERSON_B
text3,1,27,Faeser,Faeser,PROPN,PERSON_I
text3,1,28,(,(,PUNCT,
text3,1,29,SPD,SPD,PROPN,
text3,1,30,),),PUNCT,
text3,1,31,verkündet,verkündet,NOUN,
text3,1,32,",",",",PUNCT,
text3,1,33,ohne,ohne,NOUN,
text3,1,34,jedoch,jedoch,PROPN,PERSON_B
text3,1,35,weitere,weitere,VERB,PERSON_I
text3,1,36,Details,Details,PROPN,
text3,1,37,zu,zu,ADJ,
text3,1,38,nennen,nennen,NOUN,
text3,1,39,.,.,PUNCT,
text3,2,1,Ob,Ob,PROPN,
text3,2,2,dies,die,VERB,
text3,2,3,schon,schon,NOUN,
text3,2,4,die,die,VERB,
text3,2,5,„,„,PRON,
text3,2,6,Leise,Leise,PROPN,
text3,2,7,Absage,Absage,PROPN,
text3,2,8,an,an,DET,
text3,2,9,die,die,NOUN,
text3,2,10,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,2,11,“,"""",PUNCT,
text3,2,12,ist,ist,NOUN,
text3,2,13,",",",",PUNCT,
text3,2,14,wird,wird,NOUN,
text3,2,15,die,die,VERB,
text3,2,16,spätere,spätere,ADJ,
text3,2,17,Einigung,Einigung,PROPN,PERSON_B
text3,2,18,der,der,NOUN,PERSON_I
text3,2,19,Bundesregierung,Bundesregierung,PROPN,PERSON_I
text3,2,20,zeigen,zeigen,PROPN,PERSON_I
text3,2,21,.,.,PUNCT,
text5,1,1,Bei,Bei,PROPN,
text5,1,2,der,der,NOUN,
text5,1,3,„,„,PUNCT,
text5,1,4,Chatkontrolle,Chatkontrolle,PROPN,
text5,1,5,“,"""",PUNCT,
text5,1,6,handelt,handelt,VERB,
text5,1,7,es,es,X,
text5,1,8,sich,sich,INTJ,
text5,1,9,um,um,INTJ,
text5,1,10,eine,eine,NOUN,
text5,1,11,derzeit,derzeit,NOUN,
text5,1,12,in,in,ADP,
