doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,den,den,NOUN,
text1,1,3,nächsten,nächsten,NOUN,
text1,1,4,Wochen,Wochen,PROPN,
text1,1,5,entscheiden,entscheiden,PROPN,
text1,1,6,Politiker,Politiker,PROPN,
text1,1,7,in,in,ADP,
text1,1,8,Brüssel,Brüssel,PROPN,GPE_B
text1,1,9,und,und,NOUN,
text1,1,10,den,den,VERB,
text1,1,11,EU,EU,PROPN,ORG_B
text1,1,12,-,-,PUNCT,
text1,1,13,Staaten,Staaten,PROPN,
text1,1,14,über,über,NOUN,
text1,1,15,die,die,NOUN,
text1,1,16,Zukunft,Zukunft,PROPN,ORG_B
text1,1,17,privater,privater,NOUN,
text1,1,18,Kommunikation,Kommunikation,PROPN,
text1,1,19,i,i,PROPN,
text1,1,20,m,m,VERB,
text1,1,21,Internet,internet,NOUN,
text1,1,22,.,.,PUNCT,
text1,2,1,Mit,Mit,PROPN,PERSON_B
text1,2,2,dem,dem,NOUN,PERSON_I
text1,2,3,Ende,Ende,PROPN,PERSON_I
text1,2,4,der,der,NOUN,PERSON_I
text1,2,5,Sommerpause,sommerpause,NOUN,PERSON_I
text1,2,6,gehen,gehen,NOUN,
text1,2,7,die,die,VERB,
text1,2,8,Verhandlungen,Verhandlungen,PROPN,ORG_B
text1,2,9,zur,zur,NOUN,ORG_I
text1,2,10,Chatkontrolle,Chatkontrolle,PROPN,ORG_I
text1,2,11,in,in,ADP,
text1,2,12,die,die,NOUN,
text1,2,13,wichtigste,wichtigste,NOUN,
text1,2,14,Phase,Phase,PROPN,ORG_B
text1,2,15,.,.,PUNCT,
text3,1,1,I,I,PRON,
text3,1,2,m,m,VERB,
text3,1,3,Mai,Mai,PROPN,PERSON_B
text3,1,4,2022,2022,NUM,PERSON_I
text3,1,5,hat,hat,NOUN,
text3,1,6,die,die,VERB,
text3,1,7,EU,EU,PROPN,ORG_B
text3,1,8,-,-,PUNCT,ORG_I
text3,1,9,Kommission,Kommission,PROPN,ORG_I
text3,1,10,eine,eine,NOUN,
text3,2,1,Verordnung,Verordnung,PROPN,ORG_B
text3,2,2,zur,zur,PROPN,ORG_I
text3,2,3,Prävention,Prävention,PROPN,ORG_I
text3,2,4,und,und,PROPN,
text3,2,5,Bekämpfung,Bekämpfung,PROPN,
text3,2,6,des,des,X,
text3,2,7,sexuellen,sexuellen,NOUN,
text3,2,8,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text3,2,9,von,von,PROPN,PERSON_I
text3,2,10,Kindern,Kindern,PROPN,PERSON_I
text3,2,11,vorgeschlagen,vorgeschlagen,NOUN,
text3,2,12,.,.,PUNCT,
text3,3,1,Das,Das,PROPN,
text3,3,2,Gesetz,Gesetz,PROPN,
text3,3,3,soll,soll,PROPN,
text3,3,4,Anbieter,Anbieter,PROPN,PERSON_B
text3,3,5,von,von,PROPN,PERSON_I
text3,3,6,Internetdiensten,Internetdiensten,PROPN,PERSON_I
text3,3,7,verpflichten,verpflichten,PROPN,
text3,3,8,",",",",PUNCT,
text3,3,9,auf,auf,PROPN,
text3,3,10,Anordnung,Anordnung,PROPN,PERSON_B
text3,3,11,die,die,VERB,
text3,3,12,Inhalte,Inhalte,PROPN,
text3,3,13,ihrer,ihrer,NOUN,
text3,3,14,Nutzer,Nutzer,PROPN,ORG_B
text3,3,15,:,:,PUNCT,
text3,3,16,innen,innen,NOUN,
text3,3,17,zu,zu,NOUN,
text3,3,18,durchsuchen,durchsuchen,NOUN,
text3,3,19,und,und,VERB,
text3,3,20,strafbare,strafbare,ADJ,
text3,3,21,Kinderpornografie,Kinderpornografie,PROPN,PERSON_B
text3,3,22,sowie,sowie,NOUN,
text3,3,23,Grooming,Grooming,PROPN,PERSON_B
text3,3,24,an,an,DET,
text3,3,25,ein,ein,NOUN,
text3,3,26,EU,EU,PROPN,ORG_B
text3,3,27,-,-,PUNCT,
text3,3,28,Zentrum,Zentrum,PROPN,
text3,3,29,weiterzuleiten,weiterzuleiten,NOUN,
text3,3,30,.,.,PUNCT,
text5,1,1,Seitdem,Seitdem,PROPN,ORG_B
text5,1,2,verhandeln,verhandeln,NOUN,
text5,1,3,EU,EU,PROPN,ORG_B
text5,1,4,-,-,PUNCT,ORG_I
text5,1,5,Parlament,Parlament,PROPN,ORG_I
text5,1,6,und,und,PROPN,
text5,1,7,EU,EU,PROPN,ORG_B
text5,1,8,-,-,PUNCT,
text5,1,9,Staaten,Staaten,PROPN,
text5,1,10,über,über,NOUN,
text5,1,11,den,den,NOUN,
text5,1,12,Entwurf,Entwurf,PROPN,
text5,1,13,.,.,PUNCT,
text5,2,1,Der,Der,PROPN,PERSON_B
text5,2,2,Rat,Rat,PROPN,PERSON_I
text5,2,3,will,will,AUX,
text5,2,4,seine,seine,VERB,
text5,2,5,Position,Position,PROPN,PRODUCT_B
text5,2,6,noch,noch,ADV,
text5,2,7,i,I,PRON,
text5,2,8,m,m,VERB,
text5,2,9,September,September,PROPN,DATE_B
text5,2,10,beschließen,beschließen,NOUN,
text5,2,11,",",",",PUNCT,
text5,2,12,das,das,PROPN,ORG_B
text5,2,13,Parlament,Parlament,PROPN,ORG_I
text5,2,14,i,I,PRON,
text5,2,15,m,m,VERB,
text5,2,16,Oktober,Oktober,PROPN,PERSON_B
text5,2,17,.,.,PUNCT,
text5,3,1,Dann,Dann,PROPN,
text5,3,2,verhandeln,verhandeln,NOUN,
text5,3,3,die,die,VERB,
text5,3,4,drei,drei,PROPN,
text5,3,5,Institutionen,Institutionen,PROPN,PERSON_B
text5,4,1,i,I,PRON,
text5,4,2,m,m,VERB,
text5,4,3,Trilog,trilog,NOUN,PERSON_B
text5,4,4,die,die,ADJ,
text5,4,5,finale,finale,NOUN,
text5,4,6,Version,Version,PROPN,GPE_B
text5,4,7,.,.,PUNCT,
text5,5,1,Das,Das,PROPN,
text5,5,2,fertige,fertige,NOUN,
text5,5,3,Gesetz,Gesetz,PROPN,ORG_B
text5,5,4,soll,soll,PROPN,
text5,5,5,noch,noch,PROPN,
text5,5,6,vor,vor,VERB,
text5,5,7,der,der,PROPN,
text5,5,8,Europawahl,Europawahl,PROPN,
text5,5,9,i,I,PRON,
text5,5,10,m,m,VERB,
text5,5,11,Juni,Juni,PROPN,DATE_B
text5,5,12,2024,2024,NUM,DATE_I
text5,5,13,beschlossen,beschlossen,PROPN,
text5,5,14,werden,werden,PROPN,
text5,5,15,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Neun,Neun,PROPN,
text7,1,4,Staaten,Staaten,PROPN,
text7,1,5,sind,sind,NOUN,
text7,1,6,sich,sich,PROPN,
text7,1,7,einig,einig,NOUN,
text9,1,1,Die,die,VERB,ORG_B
text9,1,2,EU,EU,PROPN,ORG_I
text9,1,3,-,-,PUNCT,ORG_I
text9,1,4,Staaten,Staaten,PROPN,ORG_I
text9,1,5,verhandeln,verhandeln,NOUN,
text9,1,6,in,in,ADP,
text9,1,7,der,der,PROPN,
text9,1,8,Ratsarbeitsgruppe,Ratsarbeitsgruppe,PROPN,PERSON_B
text9,1,9,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text9,1,10,.,.,PUNCT,
text9,2,1,Die,die,VERB,
text9,2,2,letzte,letzte,NOUN,
text9,2,3,Verhandlungsrunde,Verhandlungsrunde,PROPN,
text9,2,4,war,war,NOUN,
text9,2,5,Ende,Ende,PROPN,
text9,2,6,Juli,Juli,PROPN,
text9,2,7,vor,vor,NOUN,
text9,2,8,der,der,NOUN,
text9,2,9,Sommerpause,sommerpause,NOUN,
text9,2,10,.,.,PUNCT,
text9,3,1,Wir,Wir,PROPN,
text9,3,2,veröffentlichen,veröffentlichen,PROPN,
text9,3,3,ein,ein,PROPN,
text9,3,4,weiteres,weitere,VERB,
text9,3,5,Mal,Mal,PROPN,PERSON_B
text9,3,6,das,das,PROPN,PERSON_I
text9,3,7,eingestufte,eingestufte,NOUN,
text9,3,8,Protokoll,Protokoll,PROPN,ORG_B
text9,3,9,der,der,PROPN,
text9,3,10,Sitzung,Sitzung,PROPN,GPE_B
text9,4,1,i,I,PRON,
text9,4,2,m,m,VERB,
text9,4,3,Volltext,Volltext,PROPN,PERSON_B
text9,4,4,.,.,PUNCT,
text11,1,1,Demnach,Demnach,PROPN,
text11,1,2,sind,sind,NOUN,
text11,1,3,sich,sich,PRON,
text11,1,4,die,die,VERB,
text11,1,5,EU,EU,PROPN,ORG_B
text11,1,6,-,-,PUNCT,
text11,1,7,Staaten,Staaten,PROPN,
text11,1,8,in,in,ADP,
text11,1,9,vielen,vielen,ADJ,
text11,1,10,Punkten,Punkten,PROPN,
text11,1,11,bereits,bereit,VERB,
text11,1,12,einig,einig,ADV,
text11,1,13,.,.,PUNCT,
text11,2,1,Dutzende,Dutzende,PROPN,
text11,2,2,Artikel,Artikel,PROPN,
text11,2,3,und,und,PROPN,
text11,2,4,ganze,ganze,PROPN,
text11,2,5,Kapitel,Kapitel,PROPN,ORG_B
text11,2,6,des,des,X,ORG_I
text11,2,7,Gesetzes,Gesetzes,PROPN,ORG_I
text11,2,8,haben,haben,NOUN,
text11,2,9,sie,sie,PROPN,
text11,2,10,schon,schon,PROPN,
text11,2,11,fertig,fertig,PROPN,
text11,2,12,verhandelt,verhandelt,PROPN,
text11,2,13,.,.,PUNCT,
text11,3,1,Die,die,VERB,
text11,3,2,spanische,spanische,ADJ,
text11,3,3,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text11,3,4,hat,hat,NOUN,
text11,3,5,einen,einen,NOUN,
text11,3,6,Kompromisstext,Kompromisstext,PROPN,PERSON_B
text11,3,7,vorgelegt,vorgelegt,VERB,
text11,3,8,.,.,PUNCT,
text11,4,1,Neun,Neun,PROPN,ORG_B
text11,4,2,Staaten,Staaten,PROPN,ORG_I
text11,4,3,unterstützen,unterstützen,NOUN,
text11,4,4,diesen,diesen,VERB,
text11,4,5,Vorschlag,Vorschlag,PROPN,ORG_B
text11,4,6,ausdrücklich,ausdrücklich,PROPN,
text11,4,7,",",",",PUNCT,
text11,4,8,darunter,darunter,ADJ,
text11,4,9,Italien,Italien,PROPN,PERSON_B
text11,4,10,",",",",PUNCT,
text11,4,11,Rumänien,Rumänien,PROPN,PERSON_B
text11,4,12,und,und,PROPN,
text11,4,13,Ungarn,Ungarn,PROPN,
text11,4,14,.,.,PUNCT,
text13,1,1,Andere,Andere,PROPN,
text13,1,2,Staaten,Staaten,PROPN,PRODUCT_B
text13,1,3,kritisieren,kritisieren,NOUN,
text13,1,4,den,den,VERB,
text13,1,5,Vorschlag,Vorschlag,PROPN,ORG_B
text13,1,6,und,und,PROPN,
text13,1,7,können,können,NOUN,
text13,2,1,„,„,X,
text13,2,2,dem,dem,ADJ,NORP_B
text13,2,3,gegenwärtigen,gegenwärtigen,NOUN,
text13,2,4,Text,Text,PROPN,
text13,2,5,nicht,nicht,NOUN,
text13,2,6,zustimmen,zustimman,NOUN,
text13,2,7,“,"""",PUNCT,
text13,2,8,",",",",PUNCT,
text13,2,9,darunter,darunter,ADJ,
text13,2,10,Deutschland,Deutschland,PROPN,GPE_B
text13,2,11,",",",",PUNCT,
text13,2,12,Polen,Polen,PROPN,PERSON_B
text13,2,13,und,und,VERB,
text13,2,14,Österreich,Österreich,PROPN,
