doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Bundesministerin,Bundesministerin,PROPN,PERSON_B
text1,1,2,Lisa,Lisa,PROPN,PERSON_I
text1,1,3,Paus,Paus,PROPN,PERSON_I
text1,1,4,(,(,PUNCT,
text1,1,5,Grüne,Grüne,PROPN,ORG_B
text1,1,6,),),PUNCT,
text1,1,7,hat,hat,NOUN,
text1,1,8,auf,auf,PROPN,
text1,1,9,der,der,NOUN,
text1,1,10,Jugendkonferenz,Jugendkonferenz,PROPN,PERSON_B
text1,1,11,TINCON,TINCON,PROPN,PERSON_I
text1,1,12,die,die,VERB,PERSON_I
text1,1,13,von,von,PROPN,PERSON_I
text1,1,14,der,der,PROPN,PERSON_I
text1,1,15,EU,EU,PROPN,ORG_B
text1,1,16,-,-,PUNCT,ORG_I
text1,1,17,Kommission,Kommission,PROPN,ORG_I
text1,1,18,geplante,geplante,NOUN,
text1,1,19,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,20,klar,klar,ADJ,
text1,1,21,abgelehnt,abgelehnt,NOUN,
text1,1,22,.,.,PUNCT,
text1,2,1,„,„,PUNCT,
text1,2,2,Das,Das,PROPN,
text1,2,3,geht,geht,NOUN,
text1,2,4,zu,zu,PROPN,
text1,2,5,weit,weit,PROPN,
text1,2,6,",",",",PUNCT,
text1,2,7,das,das,PROPN,PERSON_B
text1,2,8,brauchen,brauchen,PROPN,PERSON_I
text1,2,9,nicht,nicht,PROPN,PERSON_I
text1,2,10,“,"""",PUNCT,PERSON_I
text1,2,11,",",",",PUNCT,
text1,2,12,sagte,sagte,PROPN,
text1,2,13,die,die,VERB,
text1,2,14,Familienministerin,Familienministerin,PROPN,GPE_B
text1,2,15,auf,auf,PROPN,
text1,2,16,eine,eine,NOUN,
text1,2,17,Frage,Frage,PROPN,PERSON_B
text1,2,18,aus,aus,PROPN,PERSON_I
text1,2,19,dem,dem,PROPN,PERSON_I
text1,2,20,Publikum,Publikum,PROPN,PERSON_I
text1,2,21,.,.,PUNCT,
text1,3,1,„,„,PUNCT,
text1,3,2,Wir,Wir,PROPN,
text1,3,3,brauchen,brauchen,PROPN,
text1,3,4,keine,keine,NOUN,
text1,3,5,private,private,ADJ,
text1,3,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,7,“,"""",PUNCT,
text1,3,8,.,.,PUNCT,
text1,4,1,Paus,Paus,PROPN,
text1,4,2,besuchte,besuchte,NOUN,
text1,4,3,die,die,VERB,
text1,4,4,für,für,NOUN,
text1,4,5,junge,junge,NOUN,
text1,5,1,Menschen,Menschen,PROPN,NORP_B
text1,5,2,veranstaltete,veranstaltete,NOUN,
text1,5,3,TINCON,TINCON,PROPN,
text1,5,4,",",",",PUNCT,
text1,5,5,die,die,VERB,
text1,5,6,derzeit,derzeit,ADJ,
text1,5,7,parallel,parallel,PROPN,
text1,5,8,zur,zur,PROPN,
text1,5,9,re,re,PROPN,
text1,5,10,:,:,PUNCT,
text1,5,11,publica,publica,PROPN,PERSON_B
text1,5,12,stattfindet,stattfindet,PROPN,PERSON_I
text1,5,13,",",",",PUNCT,
text1,5,14,für,für,PROPN,
text1,5,15,ein,ein,NOUN,ORG_B
text1,5,16,Ask,ask,VERB,ORG_I
text1,5,17,Me,I,PRON,ORG_I
text1,5,18,Anything,anything,PRON,ORG_I
text1,5,19,(,(,PUNCT,
text1,5,20,„,„,PUNCT,
text1,5,21,Frag,frag,NOUN,PERSON_B
text1,5,22,mich,mich,NOUN,
text1,5,23,alles,alle,NOUN,
text1,5,24,“,"""",PUNCT,
text1,5,25,),),PUNCT,
text1,5,26,.,.,PUNCT,
text3,1,1,Bei,Bei,PROPN,
text3,1,2,der,der,NOUN,
text3,1,3,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text3,1,4,gebe,gebe,VERB,PERSON_I
text3,1,5,es,es,ADP,
text3,1,6,in,in,ADP,
text3,1,7,der,der,PROPN,
text3,1,8,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,1,9,inzwischen,inzwischen,VERB,PERSON_I
text3,1,10,Einigkeit,Einigkeit,PROPN,PERSON_I
text3,1,11,",",",",PUNCT,
text3,1,12,so,so,ADV,
text3,1,13,Paus,Paus,PROPN,
text3,1,14,weiter,weiter,NOUN,
text3,1,15,.,.,PUNCT,
text3,2,1,Darüber,Darüber,PROPN,PERSON_B
text3,2,2,habe,habe,NOUN,
text3,2,3,das,das,PROPN,PERSON_B
text3,2,4,Kabinett,Kabinett,PROPN,PERSON_I
text3,2,5,diese,diese,ADJ,PERSON_I
text3,2,6,Woche,Woche,PROPN,PERSON_I
text3,2,7,gesprochen,gesprochen,NOUN,
text3,2,8,.,.,PUNCT,
text3,3,1,„,„,PUNCT,
text3,3,2,Da,Da,PROPN,
text3,3,3,sind,sind,NOUN,
text3,3,4,sich,sich,SCONJ,
text3,3,5,Nancy,Nancy,PROPN,PERSON_B
text3,3,6,Faeser,Faeser,PROPN,PERSON_I
text3,3,7,",",",",PUNCT,
text3,3,8,Marco,Marco,PROPN,PERSON_B
text3,3,9,Buschmann,Buschmann,PROPN,PERSON_I
text3,3,10,und,und,VERB,
text3,3,11,Lisa,Lisa,PROPN,PERSON_B
text3,3,12,Paus,Paus,PROPN,PERSON_I
text3,3,13,einig,einig,PROPN,
text3,3,14,“,"""",PUNCT,
text3,3,15,",",",",PUNCT,
text3,3,16,sagte,sagte,PROPN,
text3,3,17,sie,sie,PROPN,
text3,3,18,mit,mit,VERB,
text3,3,19,Blick,Blick,PROPN,ORG_B
text3,3,20,auf,auf,PROPN,
text3,3,21,ihre,ihre,ADJ,
text3,3,22,Amtskolleg,Amtskolleg,PROPN,
text3,3,23,:,:,PUNCT,
text3,3,24,innen,innen,NOUN,
text3,3,25,",",",",PUNCT,
text3,3,26,die,die,VERB,
text3,3,27,Innenministerin,Innenministerin,PROPN,PERSON_B
text3,3,28,Faeser,Faeser,PROPN,PERSON_I
text3,3,29,(,(,PUNCT,
text3,3,30,SPD,SPD,PROPN,
text3,3,31,),),PUNCT,
text3,3,32,und,und,VERB,
text3,3,33,den,den,VERB,
text3,3,34,Justizminister,Justizminister,PROPN,PERSON_B
text3,3,35,Buschmann,Buschmann,PROPN,PERSON_I
text3,3,36,(,(,PUNCT,
text3,3,37,FDP,FDP,PROPN,ORG_B
text3,3,38,),),PUNCT,
text3,3,39,.,.,PUNCT,
text3,4,1,Der,Der,PROPN,ORG_B
text3,4,2,Entwurf,Entwurf,PROPN,ORG_I
text3,4,3,der,der,PROPN,
text3,4,4,EU,EU,PROPN,ORG_B
text3,4,5,sei,sei,PROPN,
text3,4,6,insgesamt,insgesamt,PROPN,
text3,4,7,sehr,sehr,PROPN,
text3,4,8,gut,gut,PROPN,
text3,4,9,",",",",PUNCT,
text3,4,10,aber,aber,PROPN,
text3,4,11,die,die,VERB,
text3,4,12,private,private,ADJ,
text3,4,13,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text3,4,14,gehe,gehe,NOUN,
text3,4,15,zu,zu,ADJ,
text3,4,16,weit,weit,NOUN,
text3,4,17,.,.,PUNCT,
text3,5,1,Es,Es,PROPN,
text3,5,2,gelte,gelte,PROPN,
text3,5,3,nach,nach,PROPN,
text3,5,4,wie,wie,PROPN,
text3,5,5,vor,vor,NOUN,
text3,5,6,der,der,NOUN,
text3,5,7,Schutz,Schutz,PROPN,PERSON_B
text3,5,8,der,der,PROPN,
text3,5,9,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text3,5,10,.,.,PUNCT,
text5,1,1,Gestellt,Gestellt,PROPN,
text5,1,2,hatte,hatte,NOUN,
text5,1,3,die,die,VERB,
text5,1,4,Frage,frage,NOUN,
text5,1,5,die,die,VERB,
text5,1,6,Schülerin,Schülerin,PROPN,PERSON_B
text5,1,7,Carla,Carla,PROPN,PERSON_I
text5,1,8,Siepmann,Siepmann,PROPN,PERSON_I
text5,1,9,",",",",PUNCT,
text5,1,10,die,die,VERB,
text5,1,11,auch,auch,ADJ,
text5,1,12,als,als,PROPN,
text5,1,13,freie,freie,PROPN,
text5,2,1,Autorin,Autorin,PROPN,ORG_B
text5,2,2,für,für,NOUN,
text5,2,3,netzpolitik.org,netzpolitik.org,X,ORG_B
text5,2,4,schreibt,schreibt,NOUN,
text5,2,5,.,.,PUNCT,
text5,3,1,Die,die,VERB,
text5,3,2,Chatkontrolle,Chatkontrolle,PROPN,
text5,3,3,steht,steht,VERB,
text5,3,4,in,in,ADP,
text5,3,5,einem,einem,PROPN,
text5,3,6,Entwurf,Entwurf,PROPN,ORG_B
text5,3,7,der,der,PROPN,
text5,3,8,EU,EU,PROPN,ORG_B
text5,3,9,-,-,PUNCT,ORG_I
text5,3,10,Kommission,Kommission,PROPN,ORG_I
text5,3,11,zum,zum,NOUN,PERSON_B
text5,3,12,Schutz,Schutz,PROPN,PERSON_I
text5,3,13,von,von,PROPN,PERSON_I
text5,3,14,Kindern,Kindern,PROPN,PERSON_I
text5,3,15,und,und,VERB,
text5,3,16,Jugendlichen,Jugendlichen,PROPN,
text5,3,17,gegen,gegen,NOUN,
text5,3,18,sexualisierte,sexualisierte,NOUN,
text5,3,19,Gewalt,Gewalt,PROPN,PERSON_B
text5,3,20,.,.,PUNCT,
text5,4,1,Chatkontrolle,Chatkontrolle,PROPN,
text5,4,2,bedeutet,bedeutet,NOUN,
text5,4,3,",",",",PUNCT,
text5,4,4,dass,dass,NOUN,
text5,4,5,Online,Online,PROPN,PERSON_B
text5,4,6,-,-,PUNCT,PERSON_I
text5,4,7,Anbieter,Anbieter,PROPN,PERSON_I
text5,4,8,auf,auf,PROPN,
text5,4,9,Anordnung,Anordnung,PROPN,PERSON_B
text5,4,10,automatisch,automatisch,PROPN,
text5,4,11,nach,nach,VERB,
text5,4,12,Aufnahmen,Aufnahmen,PROPN,GPE_B
text5,4,13,sexualisierter,sexualisierter,NOUN,
text5,4,14,Gewalt,Gewalt,PROPN,PERSON_B
text5,4,15,gegen,gegen,NOUN,
text5,4,16,Kinder,Kinder,PROPN,
text5,4,17,suchen,suchen,PROPN,PERSON_B
text5,4,18,müssen,müssen,PROPN,PERSON_I
text5,4,19,–,–,PUNCT,
text5,4,20,auch,auch,NOUN,
text5,4,21,in,in,ADP,
text5,4,22,privaten,privaten,NOUN,
text5,4,23,",",",",PUNCT,
text5,4,24,Ende,Ende,PROPN,ORG_B
text5,4,25,-,-,PUNCT,ORG_I
text5,4,26,zu,zu,NOUN,ORG_I
text5,4,27,-,-,PUNCT,ORG_I
text5,4,28,Ende,ende,ADJ,ORG_I
