doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Es,Es,PROPN,
text1,1,2,wirkt,wirkt,PROPN,
text1,1,3,wie,wie,PROPN,
text1,1,4,ein,ein,PROPN,
text1,1,5,kleiner,kleiner,PROPN,
text1,1,6,Etappensieg,Etappensieg,PROPN,PERSON_B
text1,1,7,",",",",PUNCT,
text1,1,8,was,be,AUX,
text1,1,9,gestern,gestern,PROPN,
text1,1,10,passiert,passiert,PROPN,
text1,1,11,ist,ist,NOUN,
text1,1,12,:,:,PUNCT,
text1,1,13,Glaubt,Glaubt,PROPN,ORG_B
text1,1,14,man,man,NOUN,
text1,1,15,dem,dem,INTJ,PERSON_B
text1,1,16,Tweet,Tweet,PROPN,PERSON_I
text1,1,17,von,von,PROPN,PERSON_I
text1,1,18,Justizminister,Justizminister,PROPN,PERSON_I
text1,1,19,Marco,Marco,PROPN,PERSON_B
text1,1,20,Buschmann,Buschmann,PROPN,PERSON_I
text1,1,21,",",",",PUNCT,
text1,1,22,konnte,konnte,NOUN,
text1,1,23,Nancy,Nancy,PROPN,PERSON_B
text1,1,24,Faeser,Faeser,PROPN,PERSON_I
text1,1,25,nach,nach,VERB,
text1,1,26,monatelangen,monatelangen,NOUN,
text1,1,27,Auseinandersetzungen,Auseinandersetzungen,PROPN,ORG_B
text1,1,28,in,in,ADP,
text1,1,29,der,der,PROPN,
text1,1,30,Koalition,Koalition,PROPN,ORG_B
text1,1,31,und,und,PROPN,
text1,1,32,zahlreichen,zahlreichen,PROPN,PERSON_B
text1,1,33,Ausweichmanövern,ausweichmanövern,ADJ,PERSON_I
text1,1,34,ihre,ihre,ADJ,
text1,1,35,Stellung,Stellung,PROPN,
text1,1,36,nicht,nicht,PROPN,
text1,1,37,länger,länger,NOUN,
text1,1,38,halten,halten,PROPN,
text1,1,39,.,.,PUNCT,
text1,2,1,Ihr,Ihr,PROPN,
text1,2,2,Innenministerium,Innenministerium,PROPN,
text1,2,3,ist,ist,VERB,
text1,2,4,in,in,ADP,
text1,2,5,Brüssel,Brüssel,PROPN,GPE_B
