doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Kommission,Kommission,PROPN,ORG_I
text1,1,5,hat,hat,NOUN,
text1,1,6,ein,ein,NOUN,
text1,1,7,Gesetz,Gesetz,PROPN,ORG_B
text1,1,8,vorgeschlagen,vorgeschlagen,PROPN,
text1,1,9,",",",",PUNCT,
text1,1,10,um,um,INTJ,
text1,1,11,Kinder,Kinder,PROPN,NORP_B
text1,1,12,besser,besser,NOUN,
text1,1,13,vor,vor,VERB,
text1,1,14,„,„,PUNCT,
text1,1,15,sexuellem,sexuellem,ADJ,
text1,1,16,Missbrauch,Missbrauch,PROPN,
text1,1,17,“,"""",PUNCT,
text1,1,18,zu,zu,ADJ,
text1,1,19,schützen,schützen,NOUN,
text1,1,20,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,neue,neue,ADJ,
text1,2,3,Richtlinie,Richtlinie,PROPN,PERSON_B
text1,2,4,soll,soll,PROPN,
text1,2,5,unter,unter,NOUN,
text1,2,6,anderem,anderem,PROPN,PERSON_B
text1,2,7,europaweit,europaweit,ADJ,PERSON_I
text1,2,8,festlegen,festlegen,NOUN,PERSON_I
text1,2,9,",",",",PUNCT,
text1,2,10,dass,dass,NOUN,
text1,2,11,auch,auch,ADJ,
text1,2,12,KI,KI,PROPN,GPE_B
text1,2,13,-,-,PUNCT,
text1,2,14,generierte,generierte,NOUN,
text1,2,15,Darstellungen,Darstellungen,PROPN,ORG_B
text1,2,16,als,al,NOUN,
text1,2,17,Missbrauch,Missbrauch,PROPN,
text1,2,18,gelten,gelten,ADJ,
text1,2,19,können,können,NOUN,
text1,2,20,.,.,PUNCT,
text1,3,1,Außerdem,Außerdem,PROPN,ORG_B
text1,3,2,soll,soll,PROPN,
text1,3,3,die,die,VERB,
text1,3,4,Polizei,Polizei,PROPN,
text1,3,5,jedes,jede,VERB,
text1,3,6,Mitgliedstaates,Mitgliedstaates,PROPN,PERSON_B
text1,3,7,verdeckt,verdeckt,VERB,
text1,3,8,i,I,PRON,
text1,3,9,m,m,AUX,
text1,3,10,Netz,Netz,VERB,PERSON_B
text1,3,11,ermitteln,ermitteln,ADJ,
text1,3,12,dürfen,dürfen,NOUN,
text1,3,13,.,.,PUNCT,
text1,4,1,Für,Für,PROPN,
text1,4,2,Betroffene,Betroffene,PROPN,GPE_B
text1,4,3,soll,soll,NOUN,
text1,4,4,es,es,PROPN,
text1,4,5,mehr,mehr,PROPN,
text1,4,6,Rechte,Rechte,PROPN,ORG_B
text1,4,7,geben,geben,PROPN,
text1,4,8,",",",",PUNCT,
text1,4,9,etwa,etwa,NOUN,
text1,4,10,eine,eine,NOUN,
text1,4,11,„,„,PUNCT,
text1,4,12,kindgerechte,kindgerechte,NOUN,
text1,4,13,“,"""",PUNCT,
text1,4,14,Justiz,Justiz,PROPN,
text1,4,15,.,.,PUNCT,
text3,1,1,Mit,mit,NOUN,ORG_B
text3,1,2,der,der,NOUN,
text3,1,3,neuen,neuen,NOUN,
text3,1,4,Richtlinie,Richtlinie,PROPN,ORG_B
text3,1,5,will,will,AUX,
text3,1,6,die,die,VERB,
text3,1,7,Kommission,Kommission,PROPN,ORG_B
text3,1,8,eine,eine,NOUN,
text3,1,9,ältere,ältere,NOUN,
text3,1,10,Richtlinie,Richtlinie,PROPN,PERSON_B
text3,1,11,ablösen,ablösen,PROPN,
text3,1,12,",",",",PUNCT,
text3,1,13,die,die,VERB,
text3,1,14,das,das,PROPN,
text3,1,15,gleiche,gleiche,PROPN,
text3,1,16,Ziel,Ziel,PROPN,PERSON_B
text3,1,17,hatte,hatte,PROPN,PERSON_I
text3,1,18,.,.,PUNCT,
text3,2,1,Es,es,INTJ,
text3,2,2,ist,ist,PROPN,
text3,2,3,sozusagen,sozusagen,PROPN,
text3,2,4,ein,ein,PROPN,ORG_B
text3,2,5,Update,Update,PROPN,ORG_I
text3,2,6,.,.,PUNCT,
text3,3,1,Es,es,INTJ,
text3,3,2,gibt,gibt,NOUN,
text3,3,3,allerdings,allerding,NOUN,
text3,3,4,eine,eine,NOUN,
text3,3,5,Verwechslungsgefahr,Verwechslungsgefahr,PROPN,
text3,3,6,:,:,PUNCT,
text3,3,7,Die,die,VERB,
text3,3,8,geplante,geplante,ADJ,
text3,3,9,*,*,PUNCT,
text3,3,10,Richtlinie,richtlinie,NOUN,
text3,3,11,*,*,PUNCT,
text3,3,12,ist,ist,NOUN,
text3,3,13,nicht,nicht,PROPN,
text3,3,14,dasselbe,dasselbe,PROPN,
text3,3,15,wie,wie,PROPN,
text3,3,16,die,die,VERB,
text3,3,17,geplante,geplante,ADJ,
text3,3,18,*,*,PUNCT,
text3,3,19,Verordnung,verordnung,NOUN,
text3,3,20,*,*,PUNCT,
text3,3,21,„,„,PROPN,
text3,3,22,zur,zur,PROPN,
text3,3,23,Bekämpfung,Bekämpfung,PROPN,
text3,3,24,des,des,X,
text3,3,25,sexuellen,sexuellen,NOUN,
text3,3,26,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text3,3,27,von,von,PROPN,PERSON_I
text3,3,28,Kindern,Kindern,PROPN,PERSON_I
text3,3,29,“,"""",PUNCT,
text3,3,30,.,.,PUNCT,
text3,4,1,Es,es,INTJ,
text3,4,2,sind,sind,NOUN,
text3,4,3,zwei,zwei,PROPN,
text3,4,4,verschiedene,verschiedene,NOUN,
text3,4,5,Gesetze,Gesetze,PROPN,
text3,4,6,zum,zum,NOUN,
text3,4,7,selben,selben,NOUN,
text3,4,8,Thema,Thema,PROPN,GPE_B
text3,4,9,.,.,PUNCT,
text3,5,1,Verordnungen,Verordnungen,PROPN,ORG_B
text3,5,2,gelten,gelten,ADJ,
text3,5,3,unmittelbar,unmittelbar,NOUN,
text3,5,4,in,in,ADP,
text3,5,5,jedem,jedem,PROPN,
text3,5,6,EU,EU,PROPN,ORG_B
text3,5,7,-,-,PUNCT,ORG_I
text3,5,8,Mitgliedstaat,Mitgliedstaat,PROPN,ORG_I
text3,5,9,",",",",PUNCT,
text3,5,10,Richtlinien,Richtlinien,PROPN,GPE_B
text3,5,11,werden,werden,PROPN,
text3,5,12,von,von,PROPN,
text3,5,13,den,den,VERB,
text3,5,14,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text3,5,15,in,in,ADP,
text3,5,16,nationales,nationale,NOUN,
text3,5,17,Recht,Recht,PROPN,ORG_B
text3,5,18,umgesetzt,umgesetzt,PROPN,
text3,5,19,.,.,PUNCT,
text5,1,1,Die,die,VERB,
text5,1,2,Verordnung,Verordnung,PROPN,
text5,1,3,wurde,wurde,NOUN,
text5,1,4,unter,unter,NOUN,
text5,1,5,dem,dem,PROPN,
text5,1,6,Schlagwort,Schlagwort,PROPN,PERSON_B
text5,1,7,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text5,1,8,bekannt,bekannt,NOUN,PERSON_I
text5,1,9,.,.,PUNCT,
text5,2,1,Sie,Sie,PROPN,ORG_B
text5,2,2,soll,soll,PROPN,
text5,2,3,unter,unter,NOUN,
text5,2,4,anderem,anderem,PROPN,
text5,2,5,Online,Online,PROPN,ORG_B
text5,2,6,-,-,PUNCT,ORG_I
text5,2,7,Dienste,Dienste,PROPN,ORG_I
text5,2,8,dazu,dazu,NOUN,
text5,2,9,verpflichten,verpflichten,VERB,
text5,2,10,",",",",PUNCT,
text5,2,11,auf,auf,PROPN,
text5,2,12,Anordnung,Anordnung,PROPN,PERSON_B
text5,2,13,vertrauliche,vertrauliche,PROPN,
text5,2,14,Kommunikation,Kommunikation,PROPN,PERSON_B
text5,2,15,von,von,PROPN,PERSON_I
text5,2,16,Nutzer*innen,Nutzer*innen,PROPN,PERSON_I
text5,2,17,zu,zu,PROPN,
text5,2,18,durchleuchten,durchleuchten,NOUN,
text5,2,19,.,.,PUNCT,
text5,3,1,Es,es,INTJ,
text5,3,2,drohen,drohen,ADV,
text5,3,3,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text5,3,4,",",",",PUNCT,
text5,3,5,Alterskontrollen,Alterskontrollen,PROPN,PERSON_B
text5,3,6,und,und,ADJ,
text5,3,7,Netzsperren,Netzsperren,PROPN,PERSON_B
text5,3,8,.,.,PUNCT,
text5,4,1,Die,die,VERB,PERSON_B
text5,4,2,Verhandlungen,Verhandlungen,PROPN,PERSON_I
text5,4,3,hierzu,hierzu,NOUN,
text5,4,4,i,I,PRON,
text5,4,5,m,m,VERB,
text5,4,6,EU,EU,PROPN,PERSON_B
text5,4,7,-,-,PUNCT,PERSON_I
text5,4,8,Rat,Rat,PROPN,PERSON_I
text5,4,9,sind,sind,NOUN,
text5,4,10,derzeit,derzeit,ADJ,
text5,4,11,ins,in,NOUN,
text5,4,12,Stocken,Stocken,PROPN,PERSON_B
text5,4,13,geraten,geraten,NOUN,
text5,4,14,.,.,PUNCT,
text7,1,1,Obwohl,obwohl,NOUN,
text7,1,2,es,es,X,
text7,1,3,sich,sich,X,
text7,1,4,um,um,INTJ,
text7,1,5,separate,separate,ADJ,
text7,1,6,Gesetze,Gesetze,PROPN,PERSON_B
text7,1,7,handelt,handelt,PROPN,
text7,1,8,",",",",PUNCT,
text7,1,9,gibt,gibt,NOUN,
text7,1,10,es,es,PROPN,
text7,1,11,enge,enge,PROPN,
text7,1,12,Verbindungen,Verbindungen,PROPN,GPE_B
text7,1,13,.,.,PUNCT,
text7,2,1,Richtlinie,Richtlinie,PROPN,PERSON_B
text7,2,2,und,und,PROPN,
text7,2,3,Verordnung,Verordnung,PROPN,PERSON_B
text7,2,4,sollen,sollen,NOUN,
text7,2,5,zusammenwirken,zusammenwirken,VERB,
text7,2,6,und,und,PROPN,
text7,2,7,sich,sich,PROPN,PERSON_B
text7,2,8,gegenseitig,gegenseitig,PROPN,PERSON_I
text7,2,9,verstärken,verstärken,PROPN,PERSON_I
text7,2,10,",",",",PUNCT,
text7,2,11,wie,wie,NOUN,
text7,2,12,die,die,VERB,
text7,2,13,Kommission,Kommission,PROPN,GPE_B
text7,2,14,in,in,ADP,
text7,2,15,ihrem,ihrem,ADJ,ORG_B
text7,2,16,Vorschlag,Vorschlag,PROPN,ORG_I
text7,2,17,vom,vom,NOUN,
text7,2,18,Februar,Februar,PROPN,
text7,2,19,2024,2024,NUM,
text7,2,20,erklärt,erklärt,NOUN,
text7,2,21,.,.,PUNCT,
text7,3,1,Was,be,AUX,
text7,3,2,die,die,VERB,
text7,3,3,Kommission,Kommission,PROPN,
text7,3,4,in,in,ADP,
text7,3,5,der,der,PROPN,
text7,3,6,Richtlinie,Richtlinie,PROPN,PERSON_B
text7,3,7,genau,genau,NOUN,
text7,3,8,plant,plant,NOUN,
text7,3,9,",",",",PUNCT,
text7,3,10,fassen,fassen,NOUN,
text7,3,11,wir,wir,NOUN,
text7,3,12,hier,hier,NOUN,
text7,3,13,in,in,ADP,
text7,3,14,sieben,sieben,NOUN,
text7,3,15,übersichtlichen,übersichtlichen,ADP,
