doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,ORG_B
text1,1,2,Leser*innen,leser*innen,NOUN,
text1,1,3,",",",",PUNCT,
text3,1,1,für,für,PROPN,
text3,1,2,mich,mich,PROPN,ORG_B
text3,1,3,geht,geht,PROPN,ORG_I
text3,1,4,eine,eine,NOUN,
text3,1,5,aufregende,aufregende,NOUN,
text3,1,6,Woche,Woche,PROPN,ORG_B
text3,1,7,zu,zu,PROPN,ORG_I
text3,1,8,Ende,Ende,PROPN,ORG_I
text3,1,9,.,.,PUNCT,
text3,2,1,Die,die,VERB,
text3,2,2,Tage,Tage,PROPN,
text3,2,3,bin,bin,NOUN,
text3,2,4,ich,ich,NOUN,
text3,2,5,immer,immer,NOUN,
text3,2,6,wieder,wieder,NOUN,
text3,2,7,von,von,PROPN,
text3,2,8,alleine,alleine,ADP,
text3,2,9,wach,wach,NOUN,
text3,2,10,geworden,geworden,NOUN,
text3,2,11,",",",",PUNCT,
text3,2,12,wenige,wenige,NOUN,
text3,2,13,Minuten,Minuten,PROPN,PERSON_B
text3,2,14,vor,vor,VERB,
text3,2,15,dem,dem,ADJ,ORG_B
text3,2,16,Weckerklingeln,Weckerklingeln,PROPN,ORG_I
text3,2,17,",",",",PUNCT,
text3,2,18,weil,weil,PROPN,
text3,2,19,mein,mein,PROPN,
text3,2,20,Kopf,Kopf,PROPN,PERSON_B
text3,2,21,mit,mit,VERB,
text3,2,22,erstaunlichem,erstaunlichem,PROPN,
text3,3,1,Timing,time,VERB,
text3,3,2,einfach,einfach,NOUN,
text3,3,3,schon,schon,PROPN,
text3,3,4,damit,damit,PROPN,
text3,3,5,losgelegt,losgelegt,PROPN,PERSON_B
text3,3,6,hatte,hatte,PROPN,PERSON_I
text3,3,7,",",",",PUNCT,
text3,3,8,an,an,DET,
text3,3,9,netzpolitik.org,netzpolitik.org,PROPN,
text3,3,10,zu,zu,ADJ,
text3,3,11,denken,denken,VERB,
text3,3,12,.,.,PUNCT,
text3,4,1,Es,es,INTJ,
text3,4,2,ist,ist,ADJ,
text3,4,3,eine,eine,NOUN,
text3,4,4,Woche,Woche,PROPN,
text3,4,5,mit,mit,VERB,
text3,4,6,Gründen,Gründen,PROPN,GPE_B
text3,4,7,zum,zum,NOUN,PERSON_B
text3,4,8,Feiern,feiern,ADJ,PERSON_I
text3,4,9,und,und,ADJ,
text3,4,10,Gründen,Gründen,PROPN,
text3,4,11,zum,zum,NOUN,PERSON_B
text3,4,12,Bangen,Bangen,PROPN,PERSON_I
text3,4,13,für,für,NOUN,
text3,4,14,meine,meine,NOUN,PERSON_B
text3,4,15,Kolleg*innen,Kolleg*innen,PROPN,PERSON_I
text3,4,16,und,und,PROPN,
text3,4,17,mich,mich,PROPN,GPE_B
text3,4,18,.,.,PUNCT,
text5,1,1,Ein,Ein,PROPN,PERSON_B
text5,1,2,Grund,Grund,PROPN,PERSON_I
text5,1,3,zum,zum,NOUN,PERSON_B
text5,1,4,Feiern,Feiern,PROPN,PERSON_I
text5,1,5,:,:,PUNCT,PERSON_I
text5,1,6,Wir,wir,ADJ,PERSON_I
text5,1,7,haben,haben,NOUN,
text5,1,8,dieses,diesis,NOUN,
text5,1,9,Jahr,Jahr,PROPN,PERSON_B
text5,1,10,mit,mit,VERB,
text5,1,11,unseren,unseren,PROPN,
text5,1,12,Recherchen,Recherchen,PROPN,ORG_B
text5,1,13,eine,eine,NOUN,
text5,1,14,Menge,Menge,PROPN,
text5,1,15,bewegt,bewegt,VERB,
text5,1,16,und,und,NUM,
text5,1,17,mit,mit,NOUN,
text5,1,18,angestoßen,angestoßen,NOUN,
text5,1,19,.,.,PUNCT,
text5,2,1,Drei,Drei,PROPN,PERSON_B
text5,2,2,Beispiele,Beispiele,PROPN,PERSON_I
text5,2,3,:,:,PUNCT,
text7,1,1,-,-,PUNCT,PERSON_B
text7,1,2,Der,Der,PROPN,PERSON_I
text7,1,3,Etappensieg,Etappensieg,PROPN,PERSON_I
text7,1,4,bei,bei,PROPN,PERSON_I
text7,1,5,der,der,NOUN,PERSON_I
text8,1,1,*,*,PUNCT,
text8,1,2,*,*,PUNCT,
text8,1,3,Chatkontrolle,Chatkontrolle,PROPN,
text8,1,4,*,*,NOUN,
text8,1,5,*,*,NOUN,
text8,1,6,–,–,PUNCT,
text8,1,7,dem,dem,ADJ,NORP_B
text8,1,8,Großangriff,Großangriff,PROPN,ORG_B
text8,1,9,der,der,PROPN,
text8,1,10,EU,EU,PROPN,ORG_B
text8,1,11,-,-,PUNCT,ORG_I
text8,1,12,Kommission,Kommission,PROPN,ORG_I
text8,1,13,auf,auf,PROPN,
text8,1,14,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text8,1,15,und,und,PROPN,
