doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Dr.,Dr.,PROPN,
text1,1,2,Thomas,Thomas,PROPN,PERSON_B
text1,1,3,-,-,PUNCT,PERSON_I
text1,1,4,Gabriel,Gabriel,PROPN,PERSON_I
text1,1,5,Rüdiger,Rüdiger,PROPN,PERSON_I
text1,1,6,ist,ist,PROPN,
text1,1,7,Leiter,Leiter,PROPN,PERSON_B
text1,1,8,des,des,PROPN,PERSON_I
text1,1,9,Instituts,Instituts,PROPN,PERSON_I
text1,1,10,für,für,NOUN,
text1,1,11,Cyberkriminologie,Cyberkriminologie,PROPN,ORG_B
text1,1,12,an,an,DET,
text1,1,13,der,der,ADJ,
text1,1,14,Hochschule,Hochschule,PROPN,ORG_B
text1,1,15,der,der,PROPN,ORG_I
text1,1,16,Polizei,Polizei,PROPN,ORG_I
text1,1,17,des,des,PROPN,ORG_I
text1,1,18,Landes,Landes,PROPN,ORG_I
text1,1,19,Brandenburg,Brandenburg,PROPN,ORG_I
text1,1,20,.,.,PUNCT,
text1,2,1,Er,er,DET,
text1,2,2,forscht,forscht,NOUN,
text1,2,3,und,und,PROPN,
text1,2,4,arbeitet,arbeitet,NOUN,
text1,2,5,zu,zu,PROPN,
text1,2,6,digitalen,digitalen,NOUN,
text1,2,7,Formen,Formen,PROPN,PERSON_B
text1,2,8,der,der,PROPN,
text1,2,9,Polizeiarbeit,Polizeiarbeit,PROPN,ORG_B
text1,2,10,und,und,PROPN,
text1,2,11,digitalen,digitalen,ADJ,
text1,2,12,Straftaten,Straftaten,PROPN,PERSON_B
text1,2,13,(,(,PUNCT,
text1,2,14,Cyberkriminologie,Cyberkriminologie,PROPN,ORG_B
text1,2,15,),),PUNCT,
text1,2,16,.,.,PUNCT,
text3,1,1,*,*,PUNCT,
text3,1,2,*,*,PUNCT,
text3,1,3,netzpolitik.org,netzpolitik.org,X,
text3,1,4,:*,:*,PROPN,
text3,1,5,*,*,PUNCT,
text3,1,6,Sexualisierte,Sexualisierte,PROPN,
text3,1,7,Gewalt,Gewalt,PROPN,
text3,1,8,an,an,DET,
text3,1,9,Kindern,Kindern,PROPN,
text3,1,10,und,und,PROPN,
text3,1,11,Darstellungen,Darstellungen,PROPN,ORG_B
text3,1,12,dieser,dieser,NOUN,
text3,1,13,Taten,Taten,PROPN,PERSON_B
text3,1,14,zählen,zählen,PROPN,PERSON_I
text3,1,15,zu,zu,X,PERSON_I
text3,1,16,den,den,NOUN,PERSON_I
text3,1,17,schlimmsten,schlimmsten,VERB,
text3,1,18,und,und,NOUN,
text3,1,19,geächtetsten,geächtetsten,VERB,
text3,1,20,Straftaten,Straftaten,PROPN,
text3,1,21,.,.,PUNCT,
text3,2,1,Der,Der,PROPN,
text3,2,2,klassische,klassische,NOUN,
text3,2,3,und,und,PROPN,
text3,2,4,juristische,juristische,PROPN,ORG_B
text3,2,5,Begriff,Begriff,PROPN,ORG_I
text3,2,6,dafür,dafür,PROPN,
text3,2,7,ist,ist,VERB,
text3,2,8,„,„,PUNCT,
text3,2,9,Kinderpornografie,Kinderpornografie,PROPN,ORG_B
text3,2,10,“,"""",PUNCT,
text3,2,11,.,.,PUNCT,
text3,3,1,Viele,Viele,PROPN,
text3,3,2,kritisieren,kritisieren,PROPN,
text3,3,3,diesen,diesen,VERB,
text3,3,4,Begriff,Begriff,PROPN,ORG_B
text3,3,5,als,al,NOUN,
text3,3,6,problematisch,problematisch,NOUN,
text3,3,7,.,.,PUNCT,
text3,4,1,Warum,Warum,PROPN,
text3,4,2,?,?,PUNCT,
text5,1,1,*,*,PUNCT,
text5,1,2,*,*,PUNCT,
text5,1,3,Rüdiger,Rüdiger,PROPN,
text5,1,4,:*,:*,PROPN,
text5,1,5,*,*,PUNCT,
text5,1,6,Der,Der,PROPN,
text5,1,7,Begriff,Begriff,PROPN,
text5,1,8,als,al,NOUN,
text5,1,9,solches,solche,NOUN,
text5,1,10,ist,ist,VERB,
text5,1,11,durchaus,durchaus,NOUN,
text5,1,12,problematisch,problematisch,NOUN,
text5,1,13,und,und,VERB,
text5,1,14,er,er,INTJ,
text5,1,15,wird,wird,PROPN,
text5,1,16,aus,aus,PROPN,
text5,1,17,meiner,meiner,PROPN,
text5,1,18,Sicht,Sicht,PROPN,PERSON_B
text5,1,19,zu,zu,PROPN,PERSON_I
text5,1,20,Recht,Recht,PROPN,PERSON_I
text5,1,21,regelmäßig,regelmäßig,NOUN,
text5,1,22,kritisiert,kritisiert,NOUN,PERSON_B
text5,1,23,.,.,PUNCT,
text5,2,1,Mit,Mit,PROPN,ORG_B
text5,2,2,„,„,PUNCT,
text5,2,3,Pornografie,Pornografie,PROPN,
text5,2,4,“,"""",PUNCT,
text5,2,5,assoziieren,assoziieren,NOUN,
text5,2,6,viele,viele,PROPN,
