doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Irgendwie,Irgendwie,PROPN,GPE_B
text1,1,2,gab,gab,VERB,
text1,1,3,es,es,X,
text1,1,4,immer,immer,NOUN,
text1,1,5,wieder,wieder,NOUN,
text1,1,6,Hoffnung,Hoffnung,PROPN,GPE_B
text1,1,7,",",",",PUNCT,
text1,1,8,dass,dass,NOUN,
text1,1,9,die,die,VERB,
text1,1,10,EU,EU,PROPN,ORG_B
text1,1,11,-,-,PUNCT,ORG_I
text1,1,12,Kommission,Kommission,PROPN,ORG_I
text1,1,13,doch,doch,NOUN,
text1,1,14,noch,noch,PROPN,
text1,1,15,Abstand,Abstand,PROPN,GPE_B
text1,1,16,nimmt,nimmt,PROPN,
text1,1,17,von,von,PROPN,PERSON_B
text1,1,18,ihren,ihren,PROPN,PERSON_I
text1,1,19,Plänen,Plänen,PROPN,ORG_B
text1,1,20,.,.,PUNCT,
text1,2,1,Doch,Doch,PROPN,PERSON_B
text1,2,2,nun,nun,NOUN,
text1,2,3,ist,ist,AUX,
text1,2,4,nach,nach,PROPN,
text1,2,5,zahlreichen,zahlreichen,PROPN,
text1,2,6,Verschiebungen,Verschiebungen,PROPN,ORG_B
text1,2,7,doch,doch,PROPN,
text1,2,8,gekommen,gekomman,NOUN,
text1,2,9,",",",",PUNCT,
text1,2,10,wovor,wovor,VERB,
text1,2,11,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,PERSON_B
text1,2,12,seit,seit,NOUN,
text1,2,13,Monaten,Monaten,PROPN,PERSON_B
text1,2,14,warnen,warnen,NOUN,PERSON_I
text1,2,15,.,.,PUNCT,
text1,3,1,Die,die,VERB,ORG_B
text1,3,2,EU,EU,PROPN,ORG_I
text1,3,3,-,-,PUNCT,ORG_I
text1,3,4,Kommission,Kommission,PROPN,ORG_I
text1,3,5,hat,hat,NOUN,
text1,3,6,ihre,ihre,ADJ,
text1,3,7,Pläne,Pläne,PROPN,
text1,3,8,vorgestellt,vorgestellt,ADJ,
text1,3,9,und,und,NOUN,
text1,3,10,will,will,AUX,
text1,3,11,mit,mit,VERB,
text1,3,12,der,der,PROPN,
text1,3,13,sogenannten,sogenannten,VERB,
text1,3,14,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,15,eine,eine,NOUN,
text1,3,16,neue,neue,NOUN,
text1,3,17,umfassende,umfassende,NOUN,
text1,3,18,",",",",PUNCT,
text1,3,19,anlasslose,anlasslose,VERB,
text1,3,20,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,21,aller,aller,NOUN,
text1,3,22,Bürger,Bürger,PROPN,PERSON_B
text1,3,23,:,:,PUNCT,
text1,3,24,innen,innen,NOUN,
text1,3,25,einführen,einführen,PROPN,
text1,3,26,.,.,PUNCT,
text3,1,1,Messengerdienste,Messengerdienste,PROPN,PERSON_B
text3,1,2,wie,wie,NOUN,
text3,1,3,WhatsApp,WhatsApp,PROPN,ORG_B
text3,1,4,oder,oder,NOUN,
text3,1,5,Signal,Signal,PROPN,ORG_B
text3,1,6,sollen,sollen,PROPN,
text3,1,7,gezwungen,gezwungen,NOUN,
text3,1,8,werden,werden,NOUN,
text3,1,9,",",",",PUNCT,
text3,1,10,Dateien,Dateien,PROPN,PERSON_B
text3,1,11,daraufhin,daraufhin,PROPN,
text3,1,12,zu,zu,PROPN,PERSON_B
text3,1,13,untersuchen,untersuchen,PROPN,PERSON_I
text3,1,14,",",",",PUNCT,
text3,1,15,ob,ob,PROPN,
text3,1,16,sie,sie,PROPN,
text3,1,17,Inhalte,Inhalte,PROPN,NORP_B
text3,1,18,wie,wie,PROPN,
text3,2,1,Darstellungen,Darstellungen,PROPN,PERSON_B
text3,2,2,von,von,PROPN,PERSON_I
text3,2,3,Kindesmissbrauch,Kindesmissbrauch,PROPN,PERSON_I
text3,2,4,enthalten,enthalten,VERB,
text3,2,5,.,.,PUNCT,
text3,3,1,Das,Das,PROPN,
text3,3,2,Problem,Problem,PROPN,
text3,3,3,ist,ist,NOUN,
text3,3,4,:,:,PUNCT,
text3,3,5,Das,Das,PROPN,ORG_B
text3,3,6,Vorhaben,Vorhaben,PROPN,ORG_I
text3,3,7,etabliert,etabliert,NOUN,
text3,3,8,eine,eine,NOUN,
text3,3,9,Infrastruktur,Infrastruktur,PROPN,ORG_B
text3,3,10,",",",",PUNCT,
text3,3,11,mit,mit,VERB,ORG_B
text3,3,12,der,der,PROPN,
text3,3,13,man,man,NOUN,
text3,3,14,theoretisch,theoretisch,PROPN,
text3,3,15,jedwede,jedwede,PROPN,
text3,4,1,Datei,Datei,PROPN,ORG_B
text3,4,2,suchen,suchen,PROPN,
text3,4,3,und,und,VERB,
text3,4,4,an,an,DET,
text3,4,5,Behörden,Behörden,PROPN,GPE_B
text3,4,6,melden,melden,ADJ,
text3,4,7,kann,kann,NOUN,
text3,4,8,.,.,PUNCT,
text3,5,1,Die,die,VERB,ORG_B
text3,5,2,Technologie,Technologie,PROPN,ORG_I
text3,5,3,ist,ist,NOUN,
text3,5,4,ein,ein,PROPN,
text3,6,1,Angriff,Angriff,PROPN,PERSON_B
text3,6,2,auf,auf,PROPN,
text3,6,3,die,die,VERB,
text3,6,4,sichere,sichere,ADV,
text3,6,5,",",",",PUNCT,
text3,6,6,private,private,ADJ,
text3,6,7,und,und,PROPN,
text3,6,8,verschlüsselte,verschlüsselte,NOUN,
text3,6,9,Kommunikation,Kommunikation,PROPN,ORG_B
text3,6,10,und,und,PROPN,
text3,6,11,die,die,VERB,
text3,6,12,Integrität,Integrität,PROPN,ORG_B
text3,6,13,unserer,unserer,NOUN,
text3,6,14,Endgeräte,Endgeräte,PROPN,
text3,6,15,.,.,PUNCT,
text3,7,1,Das,Das,PROPN,
text3,7,2,sieht,sieht,PROPN,PERSON_B
text3,7,3,ein,ein,NOUN,PERSON_I
text3,7,4,Konzern,konzern,ADJ,PERSON_I
text3,7,5,wie,wie,NOUN,
text3,7,6,Facebook,Facebook,PROPN,
text3,7,7,genauso,genauso,PROPN,
text3,7,8,wie,wie,PROPN,
text3,7,9,die,die,PROPN,
text3,8,1,Hacker,Hacker,PROPN,PERSON_B
text3,8,2,:,:,PUNCT,
text3,8,3,innen,innen,NOUN,
text3,8,4,vom,vom,NOUN,
text3,8,5,CCC,CCC,PROPN,ORG_B
text3,8,6,oder,oder,NOUN,
text3,8,7,ein,ein,PROPN,
text3,8,8,EU,EU,PROPN,ORG_B
text3,8,9,-,-,PUNCT,ORG_I
text3,8,10,Abgeordneter,Abgeordneter,PROPN,ORG_I
text3,8,11,der,der,NOUN,
text3,8,12,FDP,FDP,PROPN,
text3,8,13,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Angriff,Angriff,PROPN,PERSON_B
text5,1,4,auf,auf,PROPN,
text5,1,5,die,die,NOUN,
text5,1,6,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text7,1,1,Da,da,VERB,
text7,1,2,kann,kann,NOUN,
text7,1,3,sich,sich,NOUN,
text7,1,4,die,die,VERB,
text7,1,5,EU,EU,PROPN,ORG_B
text7,1,6,-,-,PUNCT,
text7,1,7,Innenkommissarin,Innenkommissarin,PROPN,
text7,1,8,noch,noch,ADV,
text7,1,9,so,so,ADV,
text7,1,10,harmlos,harmlos,PROPN,
text7,1,11,hinstellen,hinstellen,VERB,
text7,1,12,und,und,VERB,
text7,1,13,so,so,ADV,
text7,1,14,tun,tun,NOUN,
text7,1,15,",",",",PUNCT,
text7,1,16,als,al,NOUN,
text7,1,17,handele,handele,VERB,
text7,1,18,es,es,PROPN,
text7,1,19,sich,sich,PROPN,
text7,1,20,nur,nur,VERB,
text7,1,21,um,um,INTJ,
text7,1,22,eine,eine,NOUN,
text7,1,23,Art,Art,PROPN,PERSON_B
text7,1,24,Spamfilter,Spamfilter,PROPN,PERSON_I
text7,1,25,.,.,PUNCT,
text7,2,1,Nein,Nein,PROPN,PERSON_B
text7,2,2,",",",",PUNCT,
text7,2,3,die,die,VERB,
text7,2,4,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text7,2,5,ist,ist,NOUN,
text7,2,6,kein,kein,PROPN,PERSON_B
text7,2,7,Spamfilter,Spamfilter,PROPN,PERSON_I
text7,2,8,",",",",PUNCT,
text7,2,9,der,der,PROPN,
text7,2,10,unverschlüsselte,unverschlüsselte,PROPN,
text7,2,11,E‑Mails,e‑mail,NOUN,
text7,2,12,anschaut,anschaut,NOUN,
text7,2,13,.,.,PUNCT,
text7,3,1,Es,es,INTJ,
text7,3,2,geht,geht,NOUN,
text7,3,3,darum,darum,NOUN,
text7,3,4,",",",",PUNCT,
text7,3,5,Zugriff,Zugriff,PROPN,NORP_B
text7,3,6,auf,auf,PROPN,
text7,3,7,die,die,VERB,
text7,3,8,Dateien,Dateien,PROPN,PERSON_B
text7,3,9,unbescholtener,unbescholtener,NOUN,PERSON_I
text7,3,10,Menschen,Menschen,PROPN,PERSON_I
text7,3,11,zu,zu,PROPN,PERSON_I
text7,3,12,bekommen,bekomman,NOUN,
text7,3,13,.,.,PUNCT,
text7,4,1,Das,Das,PROPN,
text7,4,2,geht,geht,NOUN,
text7,4,3,nur,nur,NOUN,
