doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ein,Ein,PROPN,
text1,1,2,ganz,ganz,NOUN,
text1,1,3,normaler,normaler,NOUN,
text1,1,4,Montagabend,Montagabend,PROPN,PERSON_B
text1,1,5,",",",",PUNCT,
text1,1,6,du,du,PROPN,
text1,1,7,sitzt,sitzt,PROPN,
text1,1,8,auf,auf,PROPN,ORG_B
text1,1,9,der,der,PROPN,ORG_I
text1,1,10,Couch,Couch,PROPN,ORG_I
text1,1,11,",",",",PUNCT,
text1,1,12,schaust,schaust,NOUN,
text1,1,13,„,„,PUNCT,
text1,1,14,hartaberfair,hartaberfair,NOUN,
text1,1,15,“,"""",PUNCT,
text1,1,16,:,:,PUNCT,
text1,1,17,Plötzlich,Plötzlich,PROPN,
text1,1,18,überkommt,überkommt,NOUN,
text1,1,19,dich,dich,ADJ,
text1,1,20,eine,eine,NOUN,
text1,1,21,unbekannte,unbekannte,NOUN,
text1,1,22,Macht,Macht,PROPN,ORG_B
text1,1,23,.,.,PUNCT,
text1,2,1,Wie,wie,NOUN,ORG_B
text1,2,2,durch,durch,NOUN,
text1,2,3,die,die,VERB,
text1,2,4,neueste,neueste,NOUN,
text1,2,5,3.500,3.500,NUM,PRODUCT_B
text1,2,6,-,-,PUNCT,PRODUCT_I
text1,2,7,Euro,euro,NOUN,PRODUCT_I
text1,2,8,-,-,PUNCT,PRODUCT_I
text1,2,9,VR,VR,PROPN,PRODUCT_I
text1,2,10,-,-,PUNCT,PRODUCT_I
text1,2,11,Brille,Brille,PROPN,PRODUCT_I
text1,2,12,siehst,siehst,NOUN,
text1,2,13,du,du,PROPN,
text1,2,14,dich,dich,PROPN,
text1,2,15,selbst,selbst,PROPN,
text1,3,1,i,I,PRON,
text1,3,2,m,m,VERB,
text1,3,3,3rd,3rd,ADJ,PERSON_B
text1,3,4,-,-,PUNCT,PERSON_I
text1,3,5,Person,Person,PROPN,PERSON_I
text1,3,6,-,-,PUNCT,PERSON_I
text1,3,7,Mode,Mode,PROPN,PERSON_I
text1,3,8,.,.,PUNCT,
text1,4,1,Deine,deine,VERB,PERSON_B
text1,4,2,linke,linke,ADJ,PERSON_I
text1,4,3,Hand,Hand,PROPN,PERSON_I
text1,4,4,greift,greift,NOUN,PERSON_I
text1,4,5,zum,zum,NOUN,PERSON_B
text1,4,6,Handy,Handy,PROPN,PERSON_I
text1,4,7,",",",",PUNCT,
text1,4,8,deine,deine,NOUN,
text1,4,9,rechte,rechte,PROPN,
text1,4,10,Hand,Hand,PROPN,
text1,4,11,zieht,zieht,NOUN,
text1,4,12,die,die,VERB,
text1,4,13,Hose,Hose,PROPN,PERSON_B
text1,4,14,runter,runter,NOUN,
text1,4,15,.,.,PUNCT,
text1,5,1,*,*,PUNCT,
text1,6,1,Klick,Klick,PROPN,
text1,6,2,*,*,PUNCT,
text1,6,3,–,–,PUNCT,
text1,6,4,ein,ein,NOUN,
text1,6,5,Foto,Foto,PROPN,
text1,6,6,von,von,PROPN,
text1,6,7,deinem,deinem,PROPN,
text1,6,8,Penis,Penis,PROPN,
text1,6,9,.,.,PUNCT,
text1,7,1,Dein,Dein,PROPN,PERSON_B
text1,7,2,Körper,Körper,PROPN,PERSON_I
text1,7,3,gehorcht,gehorcht,PROPN,
text1,7,4,dir,dir,PROPN,
text1,7,5,nicht,nicht,NOUN,
text1,7,6,!,!,PUNCT,
text1,8,1,Dein,Dein,PROPN,PERSON_B
text1,8,2,Zeigefinger,Zeigefinger,PROPN,PERSON_I
text1,8,3,öffnet,öffnet,NOUN,
text1,8,4,den,den,NOUN,
text1,8,5,Chat,Chat,PROPN,NORP_B
text1,8,6,mit,mit,NOUN,
text1,8,7,einer,einer,NOUN,
text1,8,8,Bekannten,Bekannten,PROPN,PERSON_B
text1,8,9,.,.,PUNCT,
text1,9,1,*,*,PUNCT,
text1,9,2,Klick,Klick,PROPN,
text1,9,3,*,*,PROPN,
text1,9,4,.,.,PUNCT,
text1,10,1,Das,Das,PROPN,
text1,10,2,Foto,Foto,PROPN,
text1,10,3,ist,ist,NOUN,
text1,10,4,verschickt,verschickt,NOUN,
text1,10,5,.,.,PUNCT,
text1,11,1,Du,Du,PROPN,
text1,11,2,bist,bist,ADJ,
text1,11,3,wie,wie,PROPN,
text1,11,4,besessen,besessen,VERB,
text1,11,5,.,.,PUNCT,
text1,12,1,Besessen,Besessen,PROPN,GPE_B
text1,12,2,vom,vom,NOUN,
text1,12,3,Internet,Internet,PROPN,
text1,12,4,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,Internet,Internet,PROPN,
text3,1,3,schränkt,schränkt,NOUN,
text3,1,4,den,den,VERB,
