doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,Kritik,Kritik,PROPN,ORG_I
text1,1,3,ist,ist,ADJ,
text1,1,4,grundlegend,grundlegend,PROPN,
text1,1,5,",",",",PUNCT,
text1,1,6,teils,teil,VERB,
text1,1,7,vernichtend,vernichtend,NOUN,
text1,1,8,.,.,PUNCT,
text1,2,1,Sexualisierte,Sexualisierte,PROPN,
text1,2,2,Gewalt,Gewalt,PROPN,PERSON_B
text1,2,3,gegen,gegen,NOUN,
text1,2,4,Kinder,Kinder,PROPN,NORP_B
text1,2,5,ist,ist,VERB,
text1,2,6,„,„,PUNCT,
text1,2,7,ein,ein,NOUN,
text1,2,8,besonders,besonder,NOUN,
text1,2,9,schweres,schwere,NOUN,
text1,2,10,und,und,VERB,
text1,2,11,abscheuliches,abscheuliche,VERB,
text1,2,12,Verbrechen,verbrechen,ADV,PERSON_B
text1,2,13,“,"""",PUNCT,PERSON_I
text1,2,14,",",",",PUNCT,PERSON_I
text1,2,15,schreiben,schreiben,PROPN,PERSON_B
text1,2,16,der,der,PROPN,
text1,2,17,Europäische,Europäische,PROPN,ORG_B
text1,2,18,Datenschutzausschuss,Datenschutzausschuss,PROPN,ORG_I
text1,2,19,(,(,PUNCT,
text1,2,20,EDPB,EDPB,PROPN,
text1,2,21,),),PUNCT,
text1,2,22,und,und,NOUN,
text1,2,23,der,der,NOUN,
text1,2,24,Europäische,Europäische,PROPN,PERSON_B
text1,2,25,Datenschutzbeauftragte,Datenschutzbeauftragte,PROPN,PERSON_I
text1,2,26,(,(,PUNCT,
text1,2,27,EDPS,EDPS,PROPN,
text1,2,28,),),PUNCT,
text1,2,29,in,in,ADP,
text1,2,30,einer,einer,NOUN,
text1,2,31,Stellungnahme,Stellungnahme,PROPN,ORG_B
text1,2,32,.,.,PUNCT,
text1,3,1,Etwas,Etwas,PROPN,
text1,3,2,dagegen,dagegen,NOUN,
text1,3,3,zu,zu,PROPN,
text1,3,4,unternehmen,unternehmen,PROPN,
text1,3,5,",",",",PUNCT,
text1,3,6,um,um,INTJ,
text1,3,7,die,die,VERB,
text1,3,8,Opfer,Opfer,PROPN,
text1,3,9,zu,zu,ADJ,
text1,3,10,schützen,schützen,NOUN,
text1,3,11,",",",",PUNCT,
text1,3,12,sei,sei,PROPN,
text1,3,13,ein,ein,PROPN,
text1,3,14,gemeinsames,gemeinsame,VERB,
text1,3,15,Ziel,Ziel,PROPN,PERSON_B
text1,3,16,der,der,PROPN,PERSON_I
text1,3,17,EU,EU,PROPN,PERSON_I
text1,3,18,.,.,PUNCT,
text1,4,1,An,an,DET,
text1,4,2,diesem,diesem,PROPN,
text1,4,3,Punkt,Punkt,PROPN,ORG_B
text1,4,4,hört,hört,NOUN,
text1,4,5,die,die,VERB,
text1,4,6,Einigkeit,Einigkeit,PROPN,
text1,4,7,der,der,PROPN,
text1,4,8,Datenschützer,Datenschützer,PROPN,PERSON_B
text1,4,9,mit,mit,VERB,
text1,4,10,der,der,PROPN,
text1,4,11,EU,EU,PROPN,ORG_B
text1,4,12,-,-,PUNCT,ORG_I
text1,4,13,Kommission,Kommission,PROPN,ORG_I
text1,4,14,aber,aber,PROPN,
text1,4,15,offenbar,offenbar,NOUN,
text1,4,16,auf,auf,PROPN,
text1,4,17,.,.,PUNCT,
text1,5,1,In,in,ADP,
text1,5,2,ihrem,ihrem,ADJ,
text1,5,3,36,36,NUM,CARDINAL_B
text1,5,4,-,-,PUNCT,
text1,5,5,seitigen,seitigen,NOUN,
text1,5,6,Papier,Papier,PROPN,PRODUCT_B
text1,5,7,kritisieren,kritisieren,PROPN,
text1,5,8,sie,sie,PROPN,
text1,5,9,aufs,aufs,NOUN,
text1,5,10,Schärfste,Schärfste,PROPN,
text1,5,11,den,den,VERB,
text1,5,12,Gesetzentwurf,Gesetzentwurf,PROPN,ORG_B
text1,5,13,der,der,PROPN,ORG_I
text1,5,14,Kommission,Kommission,PROPN,ORG_I
text1,5,15,zur,zur,PROPN,
text1,5,16,Bekämpfung,Bekämpfung,PROPN,
text1,5,17,sexualisierter,sexualisierter,NOUN,
text1,5,18,Gewalt,Gewalt,PROPN,PERSON_B
text1,5,19,gegen,gegen,NOUN,
text1,5,20,Kinder,Kinder,PROPN,
text1,5,21,i,I,PRON,
text1,5,22,m,m,VERB,
text1,5,23,Netz,Netz,VERB,PERSON_B
text1,5,24,.,.,PUNCT,
text3,1,1,Der,Der,PROPN,ORG_B
text3,1,2,Entwurf,Entwurf,PROPN,ORG_I
text3,1,3,der,der,PROPN,
text3,1,4,Kommission,Kommission,PROPN,PERSON_B
text3,1,5,sieht,sieht,PROPN,PERSON_I
text3,1,6,unter,unter,NOUN,PERSON_I
text3,1,7,anderem,anderem,NOUN,PERSON_I
text3,1,8,vor,vor,NOUN,
text3,1,9,",",",",PUNCT,
text3,1,10,dass,dass,NOUN,
text3,1,11,Kommunikations-,Kommunikations-,PROPN,PERSON_B
text3,2,1,und,und,ADJ,
text3,2,2,Hostinganbieter,Hostinganbieter,PROPN,ORG_B
text3,2,3,per,per,ADP,ORG_I
text3,2,4,Anordnung,Anordnung,PROPN,ORG_I
text3,2,5,dazu,dazu,NOUN,
text3,2,6,verpflichtet,verpflichtet,PROPN,
text3,2,7,werden,werden,PROPN,
text3,2,8,können,können,PROPN,ORG_B
text3,2,9,",",",",PUNCT,
text3,2,10,auch,auch,ADJ,
text3,2,11,private,private,ADJ,
text3,2,12,Inhalte,Inhalte,PROPN,NORP_B
text3,2,13,zu,zu,NOUN,
text3,2,14,scannen,scannen,NOUN,
text3,2,15,.,.,PUNCT,
text3,3,1,Dadurch,dadurch,NOUN,
text3,3,2,sollen,sollen,NOUN,
text3,3,3,sie,sie,VERB,
text3,3,4,Hinweise,Hinweise,PROPN,PRODUCT_B
text3,3,5,auf,auf,PROPN,
text3,3,6,bekannte,bekannte,NOUN,
text3,3,7,und,und,PROPN,
text3,3,8,bisher,bisher,PROPN,
text3,3,9,unbekannte,unbekannte,NOUN,
text3,4,1,Darstellungen,Darstellungen,PROPN,ORG_B
text3,4,2,von,von,PROPN,
text3,4,3,sexualisierter,sexualisierter,NOUN,
text3,4,4,Gewalt,Gewalt,PROPN,PERSON_B
text3,4,5,gegen,gegen,NOUN,
text3,4,6,Minderjährige,Minderjährige,PROPN,PERSON_B
text3,4,7,aufspüren,aufspüren,PROPN,
text3,4,8,",",",",PUNCT,
text3,4,9,ebenso,ebenso,NOUN,
text3,4,10,wie,wie,PROPN,
text3,4,11,Anhaltspunkte,Anhaltspunkte,PROPN,ORG_B
text3,4,12,für,für,NOUN,
text3,4,13,Grooming,Grooming,PROPN,PERSON_B
text3,4,14,.,.,PUNCT,
text3,5,1,So,so,ADV,
text3,5,2,bezeichnet,bezeichnet,NOUN,
text3,5,3,man,man,NOUN,
text3,5,4,es,es,PROPN,
text3,5,5,",",",",PUNCT,
text3,5,6,wenn,wenn,PROPN,
text3,5,7,etwa,etwa,NOUN,
text3,5,8,Erwachsene,Erwachsene,PROPN,PERSON_B
text3,5,9,Minderjährige,Minderjährige,PROPN,PERSON_I
text3,5,10,anschreiben,anschreiben,PROPN,PERSON_I
text3,5,11,",",",",PUNCT,
text3,5,12,um,um,INTJ,
text3,5,13,einen,einen,NOUN,
text3,5,14,sexualisierten,sexualisierten,ADV,
text3,5,15,Kontakt,Kontakt,PROPN,ORG_B
text3,5,16,anzubahnen,anzubahnen,PROPN,
text3,5,17,.,.,PUNCT,
text5,1,1,#,#,SYM,MONEY_B
text5,1,2,#,#,NOUN,MONEY_I
text5,1,3,Kern,Kern,PROPN,MONEY_I
text5,1,4,des,des,X,
text5,1,5,Grundrechts,Grundrechts,PROPN,
text5,1,6,auf,auf,PROPN,
text5,1,7,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text5,1,8,getroffen,getroffen,VERB,
text7,1,1,Die,die,VERB,
text7,1,2,EU,EU,PROPN,
text7,1,3,-,-,PUNCT,
text7,1,4,Datenschützer,Datenschützer,PROPN,
text7,1,5,:,:,PUNCT,
text7,1,6,innen,innen,NOUN,PERSON_B
text7,1,7,haben,haben,NOUN,PERSON_I
text7,1,8,„,„,PUNCT,
text7,1,9,ernste,ernste,VERB,
text7,1,10,Bedenken,Bedenken,PROPN,GPE_B
text7,1,11,“,"""",PUNCT,
text7,1,12,",",",",PUNCT,
text7,1,13,ob,ob,NOUN,
text7,1,14,die,die,VERB,
