doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,*,*,PUNCT,
text1,1,2,Liebe,Liebe,PROPN,
text1,1,3,Leser,Leser,PROPN,
text1,1,4,:,:,PUNCT,
text1,1,5,innen,innen,NOUN,
text1,1,6,",",",",PUNCT,
text1,1,7,*,*,NOUN,
text3,1,1,geht,geht,VERB,
text3,1,2,es,es,PROPN,
text3,1,3,Euch,Euch,PROPN,
text3,1,4,auch,auch,NOUN,
text3,1,5,so,so,ADV,
text3,1,6,",",",",PUNCT,
text3,1,7,dass,dass,NOUN,
text3,1,8,Ihr,Ihr,PROPN,PERSON_B
text3,1,9,Euch,Euch,PROPN,PERSON_I
text3,1,10,manchmal,manchmal,ADJ,
text3,1,11,hilflos,hilflo,NOUN,
text3,1,12,und,und,VERB,
text3,1,13,ohnmächtig,ohnmächtig,PROPN,
text3,1,14,fühlt,fühlt,NOUN,
text3,1,15,",",",",PUNCT,
text3,1,16,wenn,wenn,PROPN,
text3,1,17,Ihr,Ihr,PROPN,PERSON_B
text3,1,18,seht,seht,PROPN,
text3,1,19,",",",",PUNCT,
text3,1,20,auf,auf,PROPN,ORG_B
text3,1,21,welchen,welchen,PROPN,
text3,2,1,Pfad,Pfad,PROPN,ORG_B
text3,2,2,unsere,unsere,NOUN,
text3,2,3,Demokratie,Demokratie,PROPN,ORG_B
text3,2,4,gerade,gerade,NOUN,
text3,2,5,gerät,gerät,NOUN,
text3,2,6,?,?,PUNCT,
text3,3,1,Und,Und,PROPN,
text3,3,2,nein,nein,NOUN,
text3,3,3,",",",",PUNCT,
text3,3,4,es,es,PROPN,
text3,3,5,soll,soll,PROPN,GPE_B
text3,3,6,heute,heute,PROPN,
text3,3,7,nicht,nicht,PROPN,
text3,3,8,um,um,INTJ,
text3,3,9,die,die,VERB,
text3,3,10,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,3,11,gehen,gehen,PROPN,
text3,3,12,",",",",PUNCT,
text3,3,13,wo,will,AUX,
text3,3,14,gerade,gerade,VERB,
text3,3,15,nach,nach,PROPN,
text3,3,16,den,den,VERB,
text3,3,17,Enthüllungen,Enthüllungen,PROPN,ORG_B
text3,3,18,über,über,PROPN,
text3,3,19,Lobby,Lobby,PROPN,ORG_B
text3,3,20,-,-,PUNCT,ORG_I
text3,3,21,Verflechtungen,Verflechtungen,PROPN,ORG_I
text3,3,22,viel,viel,NOUN,
text3,3,23,in,in,ADP,
text3,3,24,Bewegung,Bewegung,PROPN,GPE_B
text3,3,25,ist,ist,NOUN,
text3,3,26,.,.,PUNCT,
text5,1,1,Es,es,INTJ,
text5,1,2,geht,geht,NOUN,
text5,1,3,darum,darum,NOUN,
text5,1,4,",",",",PUNCT,
text5,1,5,wie,wie,PROPN,
text5,1,6,Menschenrechte,Menschenrechte,PROPN,ORG_B
text5,1,7,und,und,NOUN,
text5,1,8,die,die,VERB,
text5,1,9,Demokratie,Demokratie,PROPN,ORG_B
text5,1,10,als,al,NOUN,ORG_I
text5,2,1,Ganzes,ganze,NOUN,
text5,2,2,immer,immer,NOUN,
text5,2,3,weiter,weiter,PROPN,
text5,2,4,zur,zur,PROPN,
text5,2,5,Disposition,Disposition,PROPN,
text5,2,6,stehen,stehen,ADV,
text5,2,7,.,.,PUNCT,
text5,3,1,Es,es,INTJ,
text5,3,2,geht,geht,NOUN,
text5,3,3,darum,darum,NOUN,
text5,3,4,",",",",PUNCT,
text5,3,5,wie,wie,PROPN,
text5,3,6,autoritäre,autoritäre,PROPN,
text5,3,7,",",",",PUNCT,
text5,3,8,rechtsradikale,rechtsradikale,NOUN,
text5,3,9,Diskurse,Diskurse,PROPN,PERSON_B
text5,3,10,einsickern,einsickern,NOUN,
text5,3,11,",",",",PUNCT,
text5,3,12,wie,wie,PROPN,
text5,3,13,konservative,konservative,ADJ,
text5,3,14,Akteure,Akteure,PROPN,PRODUCT_B
text5,3,15,das,das,PROPN,PRODUCT_I
text5,3,16,Sagbare,Sagbare,PROPN,PRODUCT_I
text5,3,17,nach,nach,VERB,
text5,3,18,rechts,recht,NOUN,
text5,3,19,verschieben,verschieben,PROPN,
text5,3,20,",",",",PUNCT,
text5,3,21,wie,wie,PROPN,
text5,3,22,sie,sie,PROPN,
text5,3,23,die,die,VERB,
text5,3,24,Faschisten,Faschisten,PROPN,PERSON_B
text5,3,25,der,der,PROPN,PERSON_I
text5,3,26,AfD,afd,NOUN,PERSON_I
text5,3,27,aktiv,aktiv,PROPN,PERSON_I
text5,3,28,salonfähig,salonfähig,PROPN,
text5,3,29,machen,machen,PROPN,
text5,3,30,–,–,PUNCT,
text5,3,31,und,und,PROPN,
text5,3,32,wie,wie,PROPN,
text5,3,33,demokratische,demokratische,PROPN,
text5,3,34,Regierungsparteien,Regierungsparteien,PROPN,
text5,3,35,in,in,ADP,
text5,3,36,Furcht,Furcht,PROPN,GPE_B
text5,3,37,vor,vor,VERB,
text5,3,38,einem,einem,PROPN,
text5,3,39,Machtverlust,Machtverlust,PROPN,
text5,3,40,vorauseilend,vorauseilend,NOUN,
text5,3,41,selbst,selbst,PROPN,
text5,3,42,die,die,VERB,
text5,3,43,rechte,rechte,NOUN,
text5,3,44,Migrationspolitik,Migrationspolitik,PROPN,PERSON_B
text5,3,45,der,der,PROPN,
text5,3,46,Orbáns,Orbáns,PROPN,
text5,3,47,und,und,VERB,
text5,3,48,Melonis,Melonis,PROPN,NORP_B
text5,3,49,mitmachen,mitmachen,NOUN,
text5,3,50,.,.,PUNCT,
text7,1,1,Wer,wer,INTJ,
text7,1,2,einigermaßen,einigermaßen,NOUN,
text7,1,3,vernunftbegabt,vernunftbegabt,PROPN,
text7,1,4,ist,ist,PROPN,
text7,1,5,",",",",PUNCT,
text7,1,6,dürfte,dürfte,PROPN,
text7,1,7,fassungslos,fassungslos,PROPN,
text7,1,8,sein,sein,PROPN,
text7,1,9,",",",",PUNCT,
text7,1,10,dass,dass,NOUN,
text7,1,11,wir,wir,NOUN,
text7,1,12,in,in,ADP,
text7,1,13,einem,einem,PROPN,
text7,1,14,Land,Land,PROPN,
text7,1,15,",",",",PUNCT,
text7,1,16,das,das,PROPN,
text7,1,17,Zuwanderung,Zuwanderung,PROPN,PERSON_B
text7,1,18,dringend,dringend,VERB,
text7,1,19,braucht,braucht,NOUN,
text7,1,20,",",",",PUNCT,
text7,1,21,schon,schon,ADJ,
text7,1,22,wieder,wieder,NOUN,
text7,1,23,eine,eine,NOUN,
text7,1,24,unselige,unselige,ADJ,
text7,1,25,Migrationsdebatte,Migrationsdebatte,PROPN,PERSON_B
text7,1,26,aufmachen,aufmachen,NOUN,
text7,1,27,.,.,PUNCT,
text7,2,1,Eine,Eine,PROPN,PERSON_B
text7,2,2,Debatte,Debatte,PROPN,PERSON_I
text7,2,3,",",",",PUNCT,
text7,2,4,in,in,ADP,
text7,2,5,der,der,PROPN,
text7,2,6,Medien,Medien,PROPN,PERSON_B
text7,2,7,wie,wie,PROPN,
text7,2,8,der,der,NOUN,
text7,2,9,Spiegel,Spiegel,PROPN,PERSON_B
text7,2,10,auf,auf,PROPN,
text7,2,11,seiner,seiner,NOUN,
text7,2,12,Titelseite,Titelseite,PROPN,PERSON_B
text7,2,13,ohne,ohne,PROPN,
text7,2,14,Rücksicht,Rücksicht,PROPN,PERSON_B
text7,2,15,auf,auf,PROPN,
text7,2,16,Verluste,Verluste,PROPN,PERSON_B
text7,2,17,rassistische,rassistische,VERB,
text7,2,18,Ängste,Ängste,PROPN,PERSON_B
text7,2,19,schüren,schüren,PROPN,PERSON_I
text7,2,20,und,und,VERB,
text7,2,21,CDU,CDU,PROPN,ORG_B
text7,2,22,-,-,PUNCT,ORG_I
text7,2,23,Politiker,Politiker,PROPN,ORG_I
text7,2,24,wie,wie,NOUN,
text7,3,1,Friedrich,Friedrich,PROPN,PERSON_B
text7,3,2,Merz,Merz,PROPN,PERSON_I
text7,3,3,mit,mit,VERB,
text7,3,4,seiner,seiner,NOUN,
text7,3,5,Zahnarzt,Zahnarzt,PROPN,ORG_B
text7,3,6,-,-,PUNCT,ORG_I
text7,3,7,Lüge,Lüge,PROPN,ORG_I
text7,3,8,rechtsradikale,rechtsradikale,NOUN,
text7,3,9,Desinformation,Desinformation,PROPN,
text7,3,10,betreiben,betreiben,PROPN,
text7,3,11,.,.,PUNCT,
text7,4,1,Sie,Sie,PROPN,
text7,4,2,spielen,spielen,PROPN,
text7,4,3,das,das,PROPN,PERSON_B
text7,4,4,Spiel,Spiel,PROPN,PERSON_I
text7,4,5,der,der,PROPN,
text7,4,6,AfD.,AfD.,NOUN,
text7,5,1,Sie,Sie,PROPN,GPE_B
text7,5,2,machen,machen,PROPN,
text7,5,3,diese,diese,PROPN,NORP_B
text7,5,4,Partei,Partei,PROPN,
text7,5,5,stark,stark,ADJ,
text7,5,6,.,.,PUNCT,
text7,6,1,Sie,Sie,PROPN,
text7,6,2,handeln,handeln,NOUN,
text7,6,3,unverantwortlich,unverantwortlich,VERB,
text7,6,4,wider,wide,ADJ,
text7,6,5,die,die,NOUN,
text7,6,6,Demokratie,Demokratie,PROPN,PERSON_B
text7,6,7,.,.,PUNCT,
text9,1,1,Und,und,NOUN,
text9,1,2,nebenbei,nebenbei,ADJ,GPE_B
text9,1,3,erleben,erleben,PROPN,
text9,1,4,wir,wir,NOUN,
text9,1,5,",",",",PUNCT,
text9,1,6,wie,wie,NOUN,
text9,1,7,die,die,VERB,
text9,1,8,CDU,CDU,PROPN,ORG_B
text9,1,9,schleichend,schleichend,PROPN,
text9,1,10,",",",",PUNCT,
text9,1,11,aber,aber,PROPN,
text9,1,12,sehr,sehr,PROPN,
text9,1,13,deutlich,deutlich,PROPN,
