doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,russische,russische,NOUN,
text1,1,3,Suchmaschine,Suchmaschine,PROPN,NORP_B
text1,1,4,Yandex,Yandex,PROPN,
text1,1,5,ist,ist,NOUN,
text1,1,6,nicht,nicht,PROPN,
text1,1,7,gerade,gerade,VERB,
text1,1,8,für,für,PROPN,
text1,1,9,ihre,ihre,ADJ,
text1,1,10,Unabhängigkeit,Unabhängigkeit,PROPN,GPE_B
text1,1,11,bekannt,bekannt,NOUN,
text1,1,12,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,bestätigt,bestätigt,PROPN,
text1,2,3,sich,sich,PROPN,
text1,2,4,nun,nun,PROPN,
text1,2,5,i,I,PRON,
text1,2,6,m,m,VERB,
text1,2,7,Kontext,Kontext,PROPN,ORG_B
text1,2,8,des,des,X,ORG_I
text1,2,9,Krieges,Krieges,PROPN,ORG_I
text1,2,10,in,in,ADP,
text1,2,11,der,der,PROPN,
text1,2,12,Ukraine,Ukraine,PROPN,GPE_B
text1,2,13,.,.,PUNCT,
text1,3,1,Wer,Wer,PROPN,PERSON_B
text1,3,2,Butscha,Butscha,PROPN,PERSON_I
text1,3,3,",",",",PUNCT,
text1,3,4,den,den,VERB,
text1,3,5,Tatort,tatort,NOUN,
text1,3,6,russischer,russischer,NOUN,
text1,3,7,Kriegsverbrechen,Kriegsverbrechen,PROPN,PERSON_B
text1,3,8,",",",",PUNCT,
text1,3,9,auf,auf,PROPN,
text1,3,10,russisch,russisch,NOUN,PERSON_B
text1,3,11,eingibt,eingibt,PROPN,PERSON_I
text1,3,12,",",",",PUNCT,
text1,3,13,findet,findet,ADJ,PERSON_B
text1,3,14,statt,statt,NOUN,PERSON_I
text1,3,15,erschossener,erschossener,NOUN,
text1,3,16,Zivilist,Zivilist,PROPN,NORP_B
text1,3,17,:,:,PUNCT,
text1,3,18,innen,innen,NOUN,
text1,3,19,eine,eine,NOUN,
text1,3,20,idyllische,idyllische,PROPN,
text1,3,21,Kleinstadt,Kleinstadt,PROPN,GPE_B
text1,3,22,.,.,PUNCT,
text1,4,1,Das,Das,PROPN,
text1,4,2,größte,größte,PROPN,
text1,4,3,IT,IT,PROPN,
text1,4,4,-,-,PUNCT,
text1,4,5,Unternehmen,Unternehmen,PROPN,
text1,4,6,Russlands,Russlands,PROPN,
text1,4,7,macht,macht,VERB,
text1,4,8,sich,sich,ADJ,
text1,4,9,damit,damit,PROPN,
text1,4,10,zum,zum,PROPN,
text1,4,11,Komplizen,Komplizen,PROPN,ORG_B
text1,4,12,des,des,X,
text1,4,13,Angriffskrieges,Angriffskrieges,PROPN,
