doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,heutige,heutige,PROPN,
text1,1,3,Kolumne,Kolumne,PROPN,PERSON_B
text1,1,4,muss,muss,NOUN,
text1,1,5,sich,sich,PROPN,
text1,1,6,wohl,wohl,PROPN,
text1,1,7,mit,mit,VERB,
text1,1,8,sogenannter,sogenannter,PROPN,
text1,1,9,künstlicher,künstlicher,PROPN,
text1,1,10,Intelligenz,Intelligenz,PROPN,PERSON_B
text1,1,11,",",",",PUNCT,
text1,1,12,kurz,kurz,PROPN,PERSON_B
text1,1,13,KI,KI,PROPN,PERSON_I
text1,1,14,",",",",PUNCT,
text1,1,15,beschäftigen,beschäftigen,NOUN,
text1,1,16,.,.,PUNCT,
text1,2,1,Vermeintlich,vermeintlich,NOUN,
text1,2,2,innovativ,innovativ,ADJ,PERSON_B
text1,2,3,wäre,wäre,PROPN,
text1,2,4,es,es,PROPN,
text1,2,5,",",",",PUNCT,
text1,2,6,das,das,PROPN,PERSON_B
text1,2,7,Intro,Intro,PROPN,PERSON_I
text1,2,8,vom,vom,NOUN,
text1,2,9,neuen,neuen,NOUN,
text1,2,10,Chatbot,Chatbot,PROPN,PERSON_B
text1,2,11,ChatGPT,ChatGPT,PROPN,
text1,2,12,schreiben,schreiben,PROPN,
text1,2,13,zu,zu,PROPN,
text1,2,14,lassen,lassen,PROPN,
text1,2,15,.,.,PUNCT,
text1,3,1,Leider,Leider,PROPN,PERSON_B
text1,3,2,konnte,konnte,NOUN,PERSON_I
text1,3,3,ich,ich,PROPN,
text1,3,4,mich,mich,PROPN,ORG_B
text1,3,5,mit,mit,VERB,ORG_I
text1,3,6,ChatGPT,chatgpt,ADJ,ORG_I
text1,3,7,nicht,nicht,PROPN,ORG_I
text1,3,8,bei,bei,PROPN,
text1,3,9,der,der,PROPN,
text1,3,10,Schreibweise,Schreibweise,PROPN,PRODUCT_B
text1,3,11,der,der,PROPN,PERSON_B
text1,3,12,korrekt,korrekt,PROPN,PERSON_I
text1,3,13,falschen,falschen,PROPN,PERSON_I
text1,3,14,",",",",PUNCT,
text1,3,15,für,für,NOUN,
text1,3,16,diese,diese,PROPN,NORP_B
text1,3,17,Kolumne,Kolumne,PROPN,PERSON_B
text1,3,18,höchst,höchst,NOUN,
text1,3,19,sinnstiftenden,sinnstiftenden,NOUN,
text1,3,20,Wortschöpfung,Wortschöpfung,PROPN,PERSON_B
text1,3,21,„,„,PUNCT,PERSON_I
text1,3,22,Degitalisierung,Degitalisierung,PROPN,PERSON_I
text1,3,23,“,"""",PUNCT,
text1,3,24,einigen,einigen,NOUN,
text1,3,25,.,.,PUNCT,
text1,4,1,Und,und,NOUN,
text1,4,2,nun,nun,NOUN,
text1,4,3,kommt,kommt,PROPN,PERSON_B
text1,4,4,dieser,dieser,PROPN,
text1,4,5,Text,Text,PROPN,
text1,4,6,halt,halt,NOUN,
text1,4,7,wieder,wieder,NOUN,
text1,4,8,von,von,PROPN,PERSON_B
text1,4,9,mir,mir,PROPN,PERSON_I
text1,4,10,persönlich,persönlich,PROPN,
text1,4,11,.,.,PUNCT,
text1,5,1,Sorry,sorry,INTJ,
text1,5,2,.,.,PUNCT,
text3,1,1,Es,es,INTJ,
text3,1,2,ist,ist,ADJ,
text3,1,3,schon,schon,ADJ,
text3,1,4,toll,toll,NOUN,
text3,1,5,",",",",PUNCT,
text3,1,6,dass,dass,NOUN,
text3,1,7,es,es,PROPN,
text3,1,8,jetzt,jetzt,PROPN,
text3,1,9,magische,magische,PROPN,
text3,1,10,KI,KI,PROPN,GPE_B
text3,1,11,-,-,PUNCT,
text3,1,12,Tools,Tools,PROPN,
text3,1,13,gibt,gibt,NOUN,
text3,1,14,",",",",PUNCT,
text3,1,15,die,die,VERB,
text3,1,16,wie,wie,NOUN,
text3,1,17,kleine,kleine,NOUN,
text3,1,18,digitale,digitale,NOUN,
text3,1,19,Heinzelmännchen,Heinzelmännchen,PROPN,PERSON_B
text3,1,20,Unmengen,Unmengen,PROPN,PERSON_I
text3,1,21,an,an,DET,
text3,1,22,wundersamen,wundersaman,NOUN,
text3,1,23,digitalen,digitalen,ADJ,
text3,1,24,Dingen,Dingen,PROPN,ORG_B
text3,1,25,herzaubern,herzaubern,PROPN,
text3,1,26,.,.,PUNCT,
text3,2,1,Endlich,endlich,ADJ,
text3,2,2,eine,eine,NOUN,
text3,2,3,Lösung,Lösung,PROPN,PERSON_B
text3,2,4,für,für,ADV,
text3,2,5,all,all,ADV,
text3,2,6,unsere,unsere,ADV,
text3,2,7,…,…,PUNCT,
text3,2,8,tja,tja,NOUN,
text3,2,9,",",",",PUNCT,
text3,2,10,was,be,AUX,
text3,2,11,eigentlich,eigentlich,PROPN,
text3,2,12,genau,genau,PROPN,
text3,2,13,?,?,PUNCT,
text5,1,1,Wir,Wir,PROPN,
text5,1,2,befinden,befinden,NOUN,
text5,1,3,uns,un,VERB,
text5,1,4,aktuell,aktuell,PROPN,
text5,1,5,an,an,DET,
text5,1,6,vielen,vielen,ADJ,
text5,1,7,Ecken,Ecken,PROPN,ORG_B
text5,1,8,des,des,X,ORG_I
text5,1,9,Technologiefelds,Technologiefelds,PROPN,ORG_I
text5,1,10,der,der,NOUN,
text5,1,11,sogenannten,sogenannten,VERB,
text5,1,12,Künstlichen,Künstlichen,PROPN,PERSON_B
