doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ungarn,Ungarn,PROPN,
text1,1,2,legt,legt,NOUN,
text1,1,3,den,den,VERB,
text1,1,4,EU,EU,PROPN,ORG_B
text1,1,5,-,-,PUNCT,
text1,1,6,Staaten,Staaten,PROPN,
text1,1,7,heute,heute,NOUN,
text1,1,8,einen,einen,NOUN,
text1,1,9,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text1,1,10,zur,zur,NOUN,
text1,1,11,Abstimmung,Abstimmung,PROPN,ORG_B
text1,1,12,vor,vor,NOUN,
text1,1,13,",",",",PUNCT,
text1,1,14,um,um,INTJ,
text1,1,15,die,die,VERB,
text1,1,16,seit,seit,NOUN,
text1,1,17,Jahren,Jahren,PROPN,PERSON_B
text1,1,18,umstrittene,umstrittene,NOUN,
text1,1,19,Verordnung,Verordnung,PROPN,ORG_B
text1,1,20,zur,zur,NOUN,ORG_I
text1,1,21,verpflichtenden,verpflichtenden,NOUN,
text1,1,22,Chatkontrolle,Chatkontrolle,PROPN,NORP_B
text1,1,23,doch,doch,PROPN,
text1,1,24,noch,noch,PROPN,
text1,1,25,zustimmungsfähig,zustimmungsfähig,PROPN,PERSON_B
text1,1,26,zu,zu,PROPN,PERSON_I
text1,1,27,machen,machen,PROPN,PERSON_I
text1,1,28,.,.,PUNCT,
text1,2,1,Nach,Nach,PROPN,
text1,2,2,nun,nun,NOUN,
text1,2,3,schon,schon,VERB,
text1,2,4,31,31,NUM,CARDINAL_B
text1,3,1,Verhandlungsrunden,Verhandlungsrunden,PROPN,PERSON_B
text1,3,2,der,der,PROPN,
text1,3,3,Vertreter,Vertreter,PROPN,PERSON_B
text1,3,4,der,der,PROPN,PERSON_I
text1,3,5,nationalen,nationalen,VERB,PERSON_B
text1,3,6,Regierungen,Regierungen,PROPN,PERSON_I
text1,3,7,in,in,ADP,
text1,3,8,der,der,PROPN,
text1,3,9,Arbeitsgruppe,Arbeitsgruppe,PROPN,PERSON_B
text1,3,10,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text1,3,11,(,(,PUNCT,
text1,3,12,Law,Law,PROPN,ORG_B
text1,3,13,Enforcement,Enforcement,PROPN,ORG_I
text1,3,14,Working,Working,PROPN,ORG_I
text1,3,15,Party,Party,PROPN,ORG_I
text1,3,16,–,–,PUNCT,
text1,3,17,Police,Police,PROPN,
text1,3,18,",",",",PUNCT,
text1,3,19,LEWP‑P,lewp‑p,X,ORG_B
text1,3,20,),),PUNCT,
text1,4,1,hofft,hofft,PROPN,
text1,4,2,die,die,VERB,
text1,4,3,ungarische,ungarische,NOUN,
text1,4,4,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,
text1,4,5,offenbar,offenbar,PROPN,
text1,4,6,darauf,darauf,PROPN,
text1,4,7,",",",",PUNCT,
text1,4,8,die,die,AUX,
text1,4,9,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text1,4,10,mit,mit,VERB,PERSON_I
text1,4,11,dem,dem,ADJ,PERSON_I
text1,4,12,Europäischen,Europäischen,PROPN,ORG_B
text1,4,13,Parlament,Parlament,PROPN,ORG_I
text1,4,14,doch,doch,PROPN,
text1,4,15,noch,noch,PROPN,
text1,4,16,aufzunehmen,aufzunehmen,PROPN,
text1,4,17,zu,zu,PROPN,
text1,4,18,können,können,PROPN,
text1,4,19,.,.,PUNCT,
text3,1,1,Ein,Ein,PROPN,PERSON_B
text3,1,2,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_I
text3,1,3,zur,zur,NOUN,
text3,1,4,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,5,war,war,NOUN,
text3,1,6,i,I,PRON,
text3,1,7,m,m,VERB,
text3,1,8,Jahr,Jahr,PROPN,PERSON_B
text3,1,9,2022,2022,NUM,PERSON_I
text3,1,10,von,von,PROPN,PERSON_I
text3,1,11,der,der,PROPN,PERSON_I
text3,1,12,EU,EU,PROPN,ORG_B
text3,1,13,-,-,PUNCT,ORG_I
text3,1,14,Kommission,Kommission,PROPN,ORG_I
text3,1,15,vorgelegt,vorgelegt,VERB,
text3,1,16,worden,worden,NOUN,
text3,1,17,.,.,PUNCT,
text3,2,1,Diese,diese,ADJ,NORP_B
text3,2,2,sogenannte,sogenannte,NOUN,
text3,2,3,CSAM,CSAM,PROPN,ORG_B
text3,2,4,-,-,PUNCT,ORG_I
