doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Letzte,Letzte,PROPN,ORG_B
text1,1,2,Woche,Woche,PROPN,ORG_I
text1,1,3,hatte,hatte,PROPN,PERSON_B
text1,1,4,der,der,PROPN,PERSON_I
text1,1,5,Innenausschuss,Innenausschuss,PROPN,PERSON_I
text1,1,6,des,des,PROPN,PERSON_I
text1,1,7,Europaparlaments,Europaparlaments,PROPN,PERSON_I
text1,1,8,von,von,PROPN,PERSON_I
text1,1,9,der,der,PROPN,PERSON_I
text1,1,10,EU,EU,PROPN,ORG_B
text1,1,11,-,-,PUNCT,
text1,1,12,Innenkommissarin,Innenkommissarin,PROPN,PERSON_B
text1,1,13,Ylva,Ylva,PROPN,PERSON_I
text1,1,14,Johansson,Johansson,PROPN,PERSON_I
text1,1,15,eine,eine,NOUN,
text1,1,16,Erklärung,Erklärung,PROPN,PERSON_B
text1,1,17,zu,zu,PROPN,PERSON_I
text1,1,18,den,den,NOUN,PERSON_I
text1,1,19,Lobby,Lobby,PROPN,ORG_B
text1,1,20,-,-,PUNCT,ORG_I
text1,1,21,Verflechtungen,Verflechtungen,PROPN,ORG_I
text1,1,22,ihres,ihre,VERB,
text1,1,23,Hauses,Hauses,PROPN,
text1,1,24,in,in,ADP,
text1,1,25,Sachen,Sachen,PROPN,GPE_B
text1,1,26,Chatkontrolle,Chatkontrolle,PROPN,GPE_I
text1,1,27,gefordert,gefordert,PROPN,GPE_I
text1,1,28,.,.,PUNCT,
text1,2,1,Jetzt,jetzt,NOUN,
text1,2,2,hat,hat,PROPN,
text1,2,3,Johansson,Johansson,PROPN,PERSON_B
text1,2,4,per,per,ADP,
text1,2,5,Brief,Brief,PROPN,
text1,2,6,geantwortet,geantwortet,NOUN,
text1,2,7,.,.,PUNCT,
text3,1,1,Die,die,VERB,PERSON_B
text3,1,2,Berichte,Berichte,PROPN,PERSON_I
text3,1,3,verschiedener,verschiedener,NOUN,
text3,1,4,europäischer,europäischer,NOUN,
text3,1,5,Medien,Medien,PROPN,PERSON_B
text3,1,6,hatten,hatten,PROPN,
text3,1,7,zuletzt,zuletzt,PROPN,
text3,1,8,offengelegt,offengelegt,PROPN,
text3,1,9,",",",",PUNCT,
text3,1,10,wie,wie,PROPN,
text3,1,11,IT-,IT-,PROPN,
text3,1,12,und,und,VERB,
text3,1,13,KI,KI,PROPN,ORG_B
text3,1,14,-,-,PUNCT,ORG_I
text3,1,15,Firmen,firmen,NOUN,ORG_I
text3,1,16,zusammen,zusamman,NOUN,
text3,1,17,mit,mit,NOUN,
text3,2,1,Stiftungen,Stiftungen,PROPN,PRODUCT_B
text3,2,2,",",",",PUNCT,
text3,2,3,NGOs,NGOs,PROPN,
text3,2,4,",",",",PUNCT,
text3,2,5,Sicherheitsbehörden,Sicherheitsbehörden,PROPN,ORG_B
text3,2,6,und,und,ADJ,
text3,2,7,PR,PR,PROPN,
text3,2,8,-,-,PUNCT,
text3,2,9,Agenturen,Agenturen,PROPN,PERSON_B
text3,2,10,seit,seit,NOUN,
text3,2,11,Jahren,Jahren,PROPN,PERSON_B
text3,2,12,und,und,PROPN,
text3,2,13,unter,unter,NOUN,
text3,2,14,Einsatz,Einsatz,PROPN,PERSON_B
text3,2,15,von,von,PROPN,PERSON_I
text3,2,16,Millionen,Millionen,PROPN,PERSON_I
text3,2,17,von,von,PROPN,PERSON_I
text3,2,18,US,US,PROPN,PERSON_I
text3,2,19,-,-,PUNCT,
text3,2,20,Dollar,Dollar,PROPN,
text3,2,21,bei,bei,PROPN,
text3,2,22,der,der,PROPN,
text3,2,23,EU,EU,PROPN,ORG_B
text3,2,24,-,-,PUNCT,ORG_I
text3,2,25,Kommission,Kommission,PROPN,ORG_I
text3,2,26,für,für,NOUN,
text3,2,27,die,die,VERB,
text3,2,28,sogenannte,sogenannte,NOUN,
text3,2,29,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,2,30,lobbyieren,lobbyieren,PROPN,
text3,2,31,.,.,PUNCT,
text5,1,1,In,in,ADP,
text5,1,2,ihrer,ihrer,NOUN,
text5,1,3,Antwort,Antwort,PROPN,GPE_B
text5,1,4,",",",",PUNCT,
text5,1,5,die,die,VERB,
text5,1,6,wir,wir,NOUN,
text5,1,7,i,I,PRON,
text5,1,8,m,m,VERB,
text5,1,9,Volltext,Volltext,PROPN,PERSON_B
text5,1,10,veröffentlichen,veröffentlichen,NOUN,
text5,1,11,",",",",PUNCT,
text5,1,12,spricht,spricht,PROPN,
text5,1,13,Johansson,Johansson,PROPN,PERSON_B
text5,1,14,von,von,PROPN,PERSON_I
text5,1,15,„,„,PUNCT,PERSON_I
text5,1,16,sensationslüsternen,sensationslüsternen,NOUN,
text5,1,17,Medien,Medien,PROPN,PERSON_B
text5,1,18,“,"""",PUNCT,
text5,1,19,",",",",PUNCT,
text5,1,20,die,die,AUX,
text5,1,21,den,den,VERB,
text5,1,22,Eindruck,Eindruck,PROPN,
text5,1,23,erwecken,erwecken,ADJ,
text5,1,24,wollten,wollten,NOUN,
text5,1,25,",",",",PUNCT,
text5,1,26,dass,dass,PROPN,
text5,1,27,ein,ein,PROPN,GPE_B
text5,1,28,Fehlverhalten,Fehlverhalten,PROPN,GPE_B
text5,1,29,bestehe,bestehe,NOUN,
text5,1,30,.,.,PUNCT,
text5,2,1,Dafür,Dafür,PROPN,PERSON_B
text5,2,2,hätten,hätten,VERB,
text5,2,3,diese,diese,ADJ,
text5,2,4,Medien,Medien,PROPN,PERSON_B
text5,2,5,„,„,PUNCT,
text5,2,6,öffentlich,öffentlich,PROPN,
text5,2,7,zugängliche,zugängliche,PROPN,
text5,2,8,Informationen,Informationen,PROPN,
text5,2,9,als,al,NOUN,
text5,2,10,Enthüllungen,Enthüllungen,PROPN,ORG_B
text5,2,11,dargestellt,dargestellt,VERB,
text5,2,12,und,und,VERB,
text5,2,13,unzusammenhängende,unzusammenhängende,NOUN,
text5,2,14,Ereignisse,Ereignisse,PROPN,ORG_B
text5,2,15,und,und,VERB,
text5,2,16,Meinungen,Meinungen,PROPN,ORG_B
text5,2,17,nebeneinander,nebeneinander,NOUN,
text5,2,18,gestellt,gestellt,PROPN,
text5,2,19,",",",",PUNCT,
text5,2,20,um,um,INTJ,
text5,2,21,eine,eine,NOUN,
text5,2,22,Verschwörung,Verschwörung,PROPN,PRODUCT_B
text5,2,23,zu,zu,ADJ,
text5,2,24,unterstellen,unterstellen,NOUN,
text5,2,25,.,.,PUNCT,
text5,2,26,“,"""",PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,„,„,NOUN,
text7,1,4,Normale,Normale,PROPN,
text7,1,5,Konsultationstätigkeit,Konsultationstätigkeit,PROPN,
text7,1,6,“,"""",PUNCT,
text9,1,1,Die,die,VERB,
text9,1,2,Recherchen,Recherchen,PROPN,
text9,1,3,europäischer,europäischer,NOUN,
text9,1,4,Medien,Medien,PROPN,PERSON_B
