doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Nachdem,Nachdem,PROPN,ORG_B
text1,1,2,die,die,VERB,
text1,1,3,EU,EU,PROPN,ORG_B
text1,1,4,-,-,PUNCT,ORG_I
text1,1,5,Kommission,Kommission,PROPN,ORG_I
text1,1,6,vergangene,vergangene,NOUN,
text1,1,7,Woche,Woche,PROPN,
text1,1,8,ihren,ihren,PROPN,
text1,1,9,Entwurf,Entwurf,PROPN,ORG_B
text1,1,10,zur,zur,PROPN,
text1,1,11,sogenannten,sogenannten,VERB,
text1,1,12,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,13,vorgelegt,vorgelegt,VERB,
text1,1,14,hat,hat,NOUN,
text1,1,15,",",",",PUNCT,
text1,2,1,gibt,gibt,NOUN,
text1,2,2,es,es,X,
text1,2,3,weitere,weitere,VERB,
text1,2,4,Kritik,Kritik,PROPN,PRODUCT_B
text1,2,5,an,an,DET,
text1,2,6,dem,dem,ADJ,
text1,2,7,Vorhaben,Vorhaben,PROPN,
text1,2,8,.,.,PUNCT,
text1,3,1,Verkehrs-,Verkehrs-,PUNCT,
text1,4,1,und,und,VERB,
text1,4,2,Digitalminister,Digitalminister,PROPN,
text1,4,3,Volker,Volker,PROPN,
text1,4,4,Wissing,Wissing,PROPN,
text1,4,5,(,(,PUNCT,
text1,4,6,FDP,FDP,PROPN,ORG_B
text1,4,7,),),PUNCT,
text1,4,8,schreibt,schreibt,NOUN,
text1,4,9,heute,heute,NOUN,
text1,4,10,in,in,ADP,
text1,4,11,einem,einem,PROPN,
text1,4,12,Statement,statement,NOUN,
text1,4,13,:,:,PUNCT,
text1,4,14,„,„,PUNCT,
text1,4,15,Allgemeine,Allgemeine,PROPN,PERSON_B
text1,4,16,Chatkontrollen,Chatkontrollen,PROPN,PERSON_I
text1,4,17,sind,sind,NOUN,
text1,4,18,nicht,nicht,NOUN,
text1,4,19,hinnehmbar,hinnehmbar,NOUN,
text1,4,20,“,"""",PUNCT,
text1,4,21,.,.,PUNCT,
text1,5,1,Es,es,INTJ,
text1,5,2,gebe,gebe,NOUN,
text1,5,3,ein,ein,PROPN,
text1,5,4,Recht,Recht,PROPN,ORG_B
text1,5,5,auf,auf,PROPN,
text1,5,6,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text1,5,7,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Kommission,Kommission,PROPN,ORG_I
text3,1,5,verlangt,verlangt,NOUN,
text3,1,6,in,in,ADP,
text3,1,7,ihrem,ihrem,PROPN,ORG_B
text3,1,8,Entwurf,Entwurf,PROPN,ORG_I
text3,1,9,",",",",PUNCT,
text3,1,10,dass,dass,NOUN,
text3,1,11,einige,einige,NOUN,
text3,1,12,Online,Online,PROPN,PRODUCT_B
text3,1,13,-,-,PUNCT,PRODUCT_I
text3,1,14,Anbieter,Anbieter,PROPN,PRODUCT_I
text3,1,15,auch,auch,NOUN,
text3,1,16,private,private,ADJ,
text3,1,17,Chats,Chats,PROPN,PERSON_B
text3,1,18,durchleuchten,durchleuchten,VERB,
text3,1,19,müssen,müssen,PROPN,PERSON_B
text3,1,20,",",",",PUNCT,
text3,1,21,um,um,INTJ,
text3,1,22,Aufnahmen,Aufnahmen,PROPN,GPE_B
text3,1,23,sexualisierter,sexualisierter,NOUN,
text3,1,24,Gewalt,Gewalt,PROPN,PERSON_B
text3,1,25,gegen,gegen,NOUN,
text3,1,26,Kinder,Kinder,PROPN,
text3,1,27,zu,zu,PROPN,
text3,1,28,suchen,suchen,ADV,
text3,1,29,.,.,PUNCT,
text3,2,1,Verdächtige,Verdächtige,PROPN,PERSON_B
text3,2,2,Inhalte,Inhalte,PROPN,PERSON_I
text3,2,3,würden,würden,VERB,
text3,2,4,an,an,DET,
text3,2,5,Behörden,Behörden,PROPN,GPE_B
text3,2,6,weitergeleitet,weitergeleitet,NOUN,
text3,2,7,.,.,PUNCT,
text3,3,1,Auf,auf,DET,
text3,3,2,den,den,NOUN,
text3,3,3,Vorstoß,Vorstoß,NOUN,GPE_B
text3,3,4,gab,gab,VERB,
text3,3,5,es,es,X,
text3,3,6,scharfe,scharfe,ADJ,
text3,3,7,Kritik,Kritik,PROPN,PRODUCT_B
text3,3,8,aus,aus,ADP,PRODUCT_I
text3,3,9,Zivilgesellschaft,Zivilgesellschaft,PROPN,PRODUCT_I
text3,3,10,und,und,PROPN,
text3,3,11,Politik,Politik,PROPN,ORG_B
text3,3,12,.,.,PUNCT,
text5,1,1,„,„,PUNCT,
text5,1,2,Einige,Einige,PROPN,
text5,1,3,der,der,NOUN,
text5,1,4,Vorschläge,Vorschläge,PROPN,PERSON_B
text5,1,5,der,der,PROPN,PERSON_I
text5,1,6,Kommission,Kommission,PROPN,PERSON_I
text5,1,7,beunruhigen,beunruhigen,NOUN,
text5,1,8,mich,mich,PROPN,GPE_B
text5,1,9,",",",",PUNCT,
text5,1,10,weil,weil,PROPN,
text5,1,11,sie,sie,PROPN,
text5,1,12,einen,einen,PROPN,
text5,1,13,Eingriff,Eingriff,PROPN,PERSON_B
text5,1,14,in,in,ADP,
text5,1,15,den,den,NOUN,
text5,1,16,geschützten,geschützten,VERB,
text5,1,17,Raum,Raum,PROPN,ORG_B
text5,1,18,der,der,PROPN,
text5,1,19,Vertraulichkeit,Vertraulichkeit,PROPN,ORG_B
text5,1,20,der,der,PROPN,ORG_I
text5,1,21,Kommunikation,Kommunikation,PROPN,ORG_I
text5,1,22,darstellen,darstellen,PROPN,
text5,1,23,könnten,könnten,PROPN,
text5,1,24,“,"""",PUNCT,
text5,1,25,",",",",PUNCT,
text5,1,26,schreibt,schreibt,ADJ,
text5,1,27,nun,nun,NOUN,
text5,1,28,Digitalminister,Digitalminister,PROPN,PERSON_B
text5,1,29,Wissing,Wissing,PROPN,PERSON_I
text5,1,30,.,.,PUNCT,
text5,2,1,Der,Der,PROPN,PERSON_B
text5,2,2,Schutz,Schutz,PROPN,PERSON_I
text5,2,3,dieser,dieser,PROPN,
text5,2,4,Vertraulichkeit,Vertraulichkeit,PROPN,ORG_B
text5,2,5,sei,sei,PROPN,
text5,2,6,ein,ein,PROPN,
text5,2,7,Grundrecht,Grundrecht,PROPN,ORG_B
text5,2,8,.,.,PUNCT,
text5,3,1,Auch,auch,ADJ,
text5,3,2,das,das,PROPN,
text5,3,3,Berufsgeheimnis,Berufsgeheimnis,PROPN,
text5,3,4,sei,sei,ADJ,
text5,3,5,betroffen,betroffen,NOUN,
text5,3,6,.,.,PUNCT,
text5,4,1,Konkret,Konkret,PROPN,
text5,4,2,nennt,nennt,PROPN,
text5,4,3,Wissing,Wissing,PROPN,PERSON_B
text5,4,4,Anwält,Anwält,PROPN,PERSON_I
text5,4,5,:,:,PUNCT,
text5,4,6,innen,innen,NOUN,
text5,4,7,",",",",PUNCT,
text5,4,8,Ärzt,ärzt,NOUN,ORG_B
text5,4,9,:,:,PUNCT,
text5,4,10,innen,innen,NOUN,
text5,4,11,und,und,VERB,
