doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Richtlinie,Richtlinie,PROPN,ORG_I
text1,1,5,zu,zu,ADJ,ORG_I
text1,1,6,Fluggastdatensätzen,Fluggastdatensätzen,PROPN,ORG_I
text1,1,7,(,(,PUNCT,
text1,1,8,PNR,PNR,PROPN,ORG_B
text1,1,9,-,-,PUNCT,ORG_I
text1,1,10,Richtlinie,Richtlinie,PROPN,ORG_I
text1,1,11,),),PUNCT,
text1,1,12,verpflichtet,verpflichtet,NOUN,
text1,1,13,die,die,VERB,
text1,1,14,EU,EU,PROPN,ORG_B
text1,1,15,-,-,PUNCT,
text1,1,16,Mitgliedsstaaten,Mitgliedsstaaten,PROPN,
text1,1,17,seit,seit,NOUN,
text1,1,18,2016,2016,NUM,DATE_B
text1,1,19,dazu,dazu,NOUN,
text1,1,20,",",",",PUNCT,
text1,1,21,europaweit,europaweit,ADJ,
text1,1,22,Daten,Daten,PROPN,PERSON_B
text1,1,23,über,über,PROPN,
text1,1,24,Fluggäste,Fluggäste,PROPN,GPE_B
text1,1,25,zu,zu,PROPN,
text1,1,26,erheben,erheben,PROPN,
text1,1,27,und,und,PROPN,
text1,1,28,untereinander,untereinander,NOUN,
text1,1,29,auszutauschen,auszutauschen,NOUN,
text1,1,30,.,.,PUNCT,
text1,2,1,Ein,Ein,PROPN,PERSON_B
text1,2,2,EuGH,EuGH,PROPN,PERSON_I
text1,2,3,-,-,PUNCT,PERSON_I
text1,2,4,Urteil,Urteil,PROPN,PERSON_I
text1,2,5,i,I,PRON,
text1,2,6,m,m,VERB,
text1,2,7,Jahr,Jahr,PROPN,PERSON_B
text1,2,8,2022,2022,NUM,PERSON_I
text1,2,9,beschränkte,beschränkte,VERB,
text1,2,10,diese,diese,ADJ,NORP_B
text1,2,11,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,2,12,bei,bei,PROPN,
text1,2,13,Flugreisen,Flugreisen,PROPN,
text1,2,14,und,und,PROPN,
text1,2,15,legte,legte,NOUN,
text1,2,16,auch,auch,NOUN,
text1,2,17,ein,ein,NOUN,
text1,2,18,Diskriminierungsverbot,Diskriminierungsverbot,PROPN,PERSON_B
text1,2,19,fest,fest,ADV,
text1,2,20,.,.,PUNCT,
text1,3,1,Die,die,VERB,ORG_B
text1,3,2,PNR,PNR,PROPN,ORG_I
text1,3,3,-,-,PUNCT,ORG_I
text1,3,4,Richtlinie,Richtlinie,PROPN,ORG_I
text1,3,5,blieb,blieb,NOUN,
text1,3,6,jedoch,jedoch,PROPN,
text1,3,7,bestehen,bestehen,PROPN,
text1,3,8,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,PNR,PNR,PROPN,
text3,1,3,-,-,PUNCT,
text3,1,4,Daten,Daten,PROPN,
text3,1,5,sollen,sollen,NOUN,
text3,1,6,vor,vor,VERB,
text3,1,7,allem,allem,NOUN,
text3,1,8,sogenannte,sogenannte,NOUN,
text3,1,9,terroristische,terroristische,PROPN,
text3,1,10,Gefährder,Gefährder,PROPN,NORP_B
text3,1,11,identifizieren,identifizieren,NOUN,
text3,1,12,–,–,PUNCT,
text3,1,13,unter,unter,NOUN,PERSON_B
text3,1,14,anderem,anderem,NOUN,PERSON_I
text3,1,15,mit,mit,NOUN,
text3,1,16,Hilfe,Hilfe,PROPN,ORG_B
text3,1,17,sogenannter,sogenannter,NOUN,
text3,1,18,Künstlicher,Künstlicher,PROPN,PERSON_B
text3,1,19,Intelligenz,Intelligenz,PROPN,PERSON_I
text3,1,20,(,(,PUNCT,
text3,1,21,KI,KI,PROPN,GPE_B
text3,1,22,),),PUNCT,
text3,1,23,.,.,PUNCT,
text3,2,1,Mehrere,mehrere,NOUN,
text3,2,2,europäische,europäische,NOUN,
text3,2,3,Länder,Länder,PROPN,PERSON_B
text3,2,4,(,(,PUNCT,
text3,2,5,pdf,pdf,NOUN,
text3,2,6,),),PUNCT,
text3,2,7,–,–,PUNCT,
text3,2,8,darunter,darunter,ADJ,
text3,2,9,auch,auch,NOUN,
text3,2,10,Deutschland,Deutschland,PROPN,GPE_B
text3,2,11,–,–,PUNCT,
text3,2,12,setzen,setzen,NOUN,
text3,2,13,KI,KI,PROPN,ORG_B
text3,2,14,bereits,bereit,NOUN,
text3,2,15,für,für,ADV,
text3,2,16,die,die,VERB,
text3,2,17,Strafverfolgung,Strafverfolgung,PROPN,PERSON_B
text3,2,18,und,und,VERB,
text3,2,19,die,die,VERB,
text3,2,20,Vorhersage,Vorhersage,PROPN,PERSON_B
text3,2,21,von,von,PROPN,PERSON_I
text3,2,22,Verbrechen,Verbrechen,PROPN,PERSON_I
text3,2,23,ein,ein,PROPN,PERSON_I
text3,2,24,.,.,PUNCT,
text5,1,1,Ebendies,ebendies,NOUN,
text5,1,2,kritisiert,kritisiert,NOUN,
text5,1,3,Douwe,Douwe,PROPN,PERSON_B
text5,1,4,Korff,Korff,PROPN,PERSON_I
text5,1,5,",",",",PUNCT,
text5,1,6,Jura,Jura,PROPN,ORG_B
text5,1,7,-,-,PUNCT,ORG_I
text5,1,8,Professor,Professor,PROPN,ORG_I
text5,1,9,an,an,DET,
text5,1,10,der,der,ADJ,
text5,1,11,London,London,PROPN,ORG_B
text5,1,12,Metropolitan,Metropolitan,PROPN,ORG_I
text5,1,13,University,University,PROPN,ORG_I
text5,1,14,und,und,PROPN,
text5,1,15,Anwalt,Anwalt,PROPN,PERSON_B
text5,1,16,für,für,PROPN,
text5,1,17,Menschenrechte,Menschenrechte,PROPN,PERSON_B
text5,1,18,",",",",PUNCT,
text5,1,19,in,in,ADP,
text5,1,20,seiner,seiner,PROPN,
text5,1,21,kürzlich,kürzlich,PROPN,PERSON_B
text5,1,22,veröffentlichten,veröffentlichten,PROPN,PERSON_I
text5,1,23,wissenschaftlichen,wissenschaftlichen,ADJ,
text5,1,24,Forschung,Forschung,PROPN,PERSON_B
text5,1,25,.,.,PUNCT,
text5,2,1,Er,er,DET,
text5,2,2,zählt,zählt,ADJ,
text5,2,3,drei,drei,NOUN,
text5,2,4,grundlegende,grundlegende,NOUN,
text5,2,5,Probleme,Probleme,PROPN,ORG_B
text5,2,6,auf,auf,PROPN,
text5,2,7,",",",",PUNCT,
text5,2,8,die,die,VERB,
text5,2,9,all,all,DET,
text5,2,10,jenen,jenen,NOUN,
text5,2,11,algorithmischen,algorithmischen,PROPN,
text5,3,1,Verfahren,Verfahren,PROPN,PERSON_B
text5,3,2,gemein,gemein,NOUN,
text5,3,3,sind,sind,NOUN,
text5,3,4,",",",",PUNCT,
text5,3,5,die,die,VERB,
text5,3,6,dem,dem,ADJ,NORP_B
text5,3,7,Profiling,profiling,NOUN,
text5,3,8,von,von,PROPN,
text5,3,9,potenziellen,potenziellen,NOUN,
text5,3,10,Gefährder,Gefährder,PROPN,
text5,3,11,:,:,PUNCT,
text5,3,12,innen,innen,NOUN,PERSON_B
text5,3,13,dienen,dienen,NOUN,PERSON_I
text5,3,14,.,.,PUNCT,
text7,1,1,#,#,SYM,MONEY_B
text7,1,2,#,#,NOUN,MONEY_I
text7,1,3,500.000,500.000,NUM,MONEY_I
text7,1,4,potenzielle,potenzielle,NOUN,
text7,1,5,Terrorist,Terrorist,PROPN,
text7,1,6,:,:,PUNCT,
text7,1,7,innen,innen,NOUN,
text9,1,1,Als,Als,PROPN,PERSON_B
text9,1,2,Erstes,Erstes,PROPN,PERSON_I
text9,1,3,benennt,benennt,NOUN,
text9,1,4,er,er,INTJ,
text9,1,5,einen,einen,NOUN,
text9,1,6,statistischen,statistischen,NOUN,
text9,1,7,Fehlschluss,Fehlschluss,PROPN,ORG_B
text9,1,8,",",",",PUNCT,
text9,1,9,den,den,NOUN,
text9,1,10,sogenannten,sogenannten,VERB,
text9,1,11,Prävalenzfehler,Prävalenzfehler,PROPN,ORG_B
text9,1,12,.,.,PUNCT,
text9,2,1,Dieser,Dieser,PROPN,PERSON_B
text9,2,2,Fehler,Fehler,PROPN,PERSON_I
text9,2,3,beschreibt,beschreibt,PROPN,
text9,2,4,",",",",PUNCT,
text9,2,5,dass,dass,PROPN,
text9,2,6,vermeintlich,vermeintlich,NOUN,
text9,2,7,zuverlässige,zuverlässige,PROPN,PERSON_B
text9,2,8,statistische,statistische,PROPN,PERSON_I
text9,2,9,Modelle,Modelle,PROPN,PERSON_I
text9,2,10,dazu,dazu,PROPN,
text9,2,11,neigen,neigen,PROPN,
text9,2,12,",",",",PUNCT,
text9,2,13,besonders,besonder,NOUN,
text9,2,14,unwahrscheinliche,unwahrscheinliche,VERB,
text9,2,15,Ereignisse,Ereignisse,PROPN,
text9,2,16,disproportional,disproportional,ADJ,
text9,2,17,häufig,häufig,PROPN,
text9,2,18,vorherzusagen,vorherzusagen,PROPN,
text9,2,19,.,.,PUNCT,
text11,1,1,Selbst,Selbst,PROPN,
text11,1,2,wenn,wenn,PROPN,
text11,1,3,beispielsweise,beispielsweise,PROPN,
text11,1,4,ein,ein,PROPN,
text11,1,5,KI,KI,PROPN,ORG_B
text11,1,6,-,-,PUNCT,ORG_I
text11,1,7,Modell,Modell,PROPN,ORG_I
text11,1,8,Terrorist,Terrorist,PROPN,ORG_I
text11,1,9,:,:,PUNCT,
text11,1,10,innen,innen,NOUN,
text11,1,11,in,in,ADP,
text11,1,12,"99,9","99,9",PROPN,
text11,1,13,Prozent,Prozent,PROPN,ORG_B
text11,1,14,der,der,NOUN,
text11,1,15,Fälle,Fälle,PROPN,PERSON_B
text11,1,16,frühzeitig,frühzeitig,PROPN,
text11,1,17,erkennen,erkennen,PROPN,
text11,1,18,könnte,könnte,PROPN,
text11,1,19,",",",",PUNCT,
text11,1,20,würde,würde,PROPN,
text11,1,21,das,das,PROPN,PERSON_B
text11,1,22,Modell,Modell,PROPN,PERSON_I
text11,1,23,viele,viele,INTJ,
text11,2,1,Unschuldige,Unschuldige,PROPN,ORG_B
text11,2,2,gleichermaßen,gleichermaßen,VERB,
text11,2,3,verdächtigen,verdächtigen,NOUN,
text11,2,4,",",",",PUNCT,
text11,2,5,da,da,INTJ,
text11,2,6,die,die,VERB,
text11,2,7,absolute,absolute,ADJ,
text11,2,8,Häufigkeit,Häufigkeit,PROPN,PERSON_B
text11,2,9,von,von,PROPN,PERSON_I
text11,2,10,Terrorist,Terrorist,PROPN,PERSON_I
text11,2,11,:,:,PUNCT,
text11,2,12,innen,innen,NOUN,
text11,2,13,in,in,ADP,
text11,2,14,der,der,PROPN,
text11,2,15,Bevölkerung,Bevölkerung,PROPN,PERSON_B
text11,2,16,außerordentlich,außerordentlich,PROPN,
text11,2,17,gering,gering,NOUN,
text11,2,18,ist,ist,NOUN,
text11,2,19,.,.,PUNCT,
text11,3,1,Dieses,Dieses,PROPN,
text11,3,2,Problem,Problem,PROPN,
text11,3,3,ist,ist,AUX,
text11,3,4,weitgehend,weitgehend,VERB,
text11,3,5,unabhängig,unabhängig,ADJ,
