doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,ORG_B
text1,1,2,Deutsche,Deutsche,PROPN,ORG_I
text1,1,3,Kinderschutzbund,Kinderschutzbund,PROPN,ORG_I
text1,1,4,stellt,stellt,ADJ,
text1,1,5,sich,sich,ADJ,
text1,1,6,erneut,erneut,NOUN,
text1,1,7,gegen,gegen,X,
text1,1,8,die,die,VERB,
text1,1,9,EU,EU,PROPN,ORG_B
text1,1,10,-,-,PUNCT,
text1,1,11,Pläne,Pläne,PROPN,
text1,1,12,einer,einer,NOUN,
text1,1,13,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,14,.,.,PUNCT,
text1,2,1,Am,be,AUX,
text1,2,2,14,14,NUM,CARDINAL_B
text1,2,3,.,.,PUNCT,
text1,3,1,Oktober,Oktober,PROPN,
text1,3,2,soll,soll,NOUN,
text1,3,3,i,i,PROPN,
text1,3,4,m,m,VERB,
text1,3,5,EU,EU,PROPN,PERSON_B
text1,3,6,-,-,PUNCT,PERSON_I
text1,3,7,Rat,Rat,PROPN,PERSON_I
text1,3,8,über,über,PROPN,
text1,3,9,einen,einen,NOUN,
text1,3,10,Vorschlag,Vorschlag,PROPN,ORG_B
text1,3,11,der,der,PROPN,
text1,3,12,dänischen,dänischen,PROPN,
text1,3,13,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text1,3,14,abgestimmt,abgestimmt,PROPN,PERSON_I
text1,3,15,werden,werden,PROPN,
text1,3,16,",",",",PUNCT,
text1,3,17,der,der,PROPN,ORG_B
text1,3,18,ein,ein,PROPN,ORG_I
text1,3,19,anlassloses,anlasslose,VERB,
text1,3,20,Scannen,Scannen,PROPN,ORG_B
text1,3,21,privater,privater,NOUN,
text1,3,22,Kommunikation,Kommunikation,PROPN,PERSON_B
text1,3,23,von,von,PROPN,PERSON_I
text1,3,24,EU,EU,PROPN,PERSON_I
text1,3,25,-,-,PUNCT,PERSON_I
text1,3,26,Bürger,Bürger,PROPN,PERSON_I
text1,3,27,:,:,PUNCT,
text1,3,28,innen,innen,NOUN,
text1,3,29,enthält,enthält,NOUN,
text1,3,30,.,.,PUNCT,
text1,4,1,Dabei,Dabei,NOUN,
text1,4,2,ist,ist,AUX,
text1,4,3,die,die,VERB,
text1,4,4,Position,Position,PROPN,
text1,4,5,der,der,NOUN,
text1,4,6,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text1,4,7,entscheidend,entscheidend,NOUN,
text1,4,8,.,.,PUNCT,
text1,5,1,Die,die,AUX,
text1,5,2,beteiligten,beteiligten,VERB,
text1,5,3,Ministerien,Ministerien,PROPN,PERSON_B
text1,5,4,sollen,sollen,PROPN,
text1,5,5,laut,laut,PROPN,
text1,5,6,Informationen,Informationen,PROPN,ORG_B
text1,5,7,von,von,PROPN,ORG_I
text1,5,8,netzpolitik.org,netzpolitik.org,PROPN,ORG_I
text1,5,9,und,und,VERB,
text1,5,10,D64,D64,PROPN,ORG_B
text1,5,11,am,be,AUX,
text1,5,12,morgigen,morgigen,NOUN,
text1,5,13,Dienstag,Dienstag,PROPN,PERSON_B
text1,5,14,über,über,PROPN,PERSON_I
text1,5,15,diese,diese,PROPN,NORP_B
text1,5,16,entscheiden,entscheiden,PROPN,
text1,5,17,.,.,PUNCT,
text3,1,1,Der,Der,PROPN,ORG_B
text3,1,2,mit,mit,VERB,
text3,1,3,50.000,50.000,NUM,CARDINAL_B
text3,1,4,Einzelmitgliedern,einzelmitgliedern,ADJ,
text3,1,5,mitgliederstärkste,mitgliederstärkste,NOUN,
text3,1,6,Kinderschutzverband,Kinderschutzverband,PROPN,GPE_B
text3,1,7,in,in,ADP,
text3,1,8,Deutschland,Deutschland,PROPN,GPE_B
text3,1,9,unterstützt,unterstützt,PROPN,
text3,1,10,grundsätzlich,grundsätzlich,PROPN,
text3,1,11,",",",",PUNCT,
text3,1,12,dass,dass,PROPN,
text3,1,13,die,die,VERB,
text3,1,14,EU,EU,PROPN,ORG_B
text3,1,15,-,-,PUNCT,
text3,1,16,Kommission,Kommission,PROPN,PERSON_B
text3,1,17,Darstellungen,Darstellungen,PROPN,PERSON_I
text3,1,18,sexualisierter,sexualisierter,NOUN,
text3,1,19,Gewalt,Gewalt,PROPN,PERSON_B
text3,1,20,bekämpfen,bekämpfen,NOUN,
text3,1,21,will,will,AUX,
text3,1,22,.,.,PUNCT,
text3,2,1,„,„,PUNCT,
text3,2,2,Allerdings,allerdings,ADJ,
text3,2,3,lehnen,lehnen,NOUN,
text3,2,4,wir,wir,NOUN,
text3,2,5,die,die,VERB,
text3,2,6,Möglichkeit,Möglichkeit,PROPN,
text3,2,7,zum,zum,NOUN,
text3,2,8,Scan,scan,ADJ,NORP_B
text3,2,9,verschlüsselter,verschlüsselter,NOUN,
text3,2,10,privater,privater,NOUN,
text3,2,11,Kommunikation,Kommunikation,PROPN,ORG_B
text3,2,12,",",",",PUNCT,
text3,2,13,die,die,NOUN,
text3,2,14,sogenannte,sogenannte,PROPN,
text3,2,15,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,2,16,",",",",PUNCT,
text3,2,17,ab,ab,PROPN,
text3,2,18,“,"""",PUNCT,
text3,2,19,",",",",PUNCT,
text3,2,20,sagt,sagt,ADP,
text3,2,21,Elena,Elena,PROPN,ORG_B
text3,2,22,Frense,Frense,PROPN,ORG_I
text3,2,23,",",",",PUNCT,
text3,2,24,Fachreferentin,Fachreferentin,PROPN,GPE_B
text3,2,25,für,für,NOUN,
text3,2,26,Medien,Medien,PROPN,PERSON_B
text3,2,27,und,und,VERB,
text3,2,28,Digitales,Digitales,PROPN,ORG_B
text3,2,29,des,des,X,ORG_I
text3,2,30,Verbandes,Verbandes,PROPN,ORG_I
text3,2,31,gegenüber,gegenüber,PROPN,
text3,2,32,netzpolitik.org,netzpolitik.org,NUM,
text3,2,33,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,„,„,PUNCT,
text5,1,4,Zielgerichtete,Zielgerichtete,PROPN,
text5,1,5,Maßnahmen,Maßnahmen,PROPN,
text5,1,6,statt,statt,PROPN,
text5,1,7,anlassloser,anlassloser,PROPN,
text5,1,8,Überwachung,Überwachung,PROPN,
text5,1,9,“,"""",PUNCT,
text7,1,1,Laut,Laut,PROPN,ORG_B
text7,1,2,dem,dem,PROPN,ORG_I
text7,1,3,Verband,Verband,PROPN,ORG_I
text7,1,4,setze,setze,NOUN,
text7,1,5,die,die,VERB,
text7,1,6,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text7,1,7,an,an,DET,
text7,1,8,der,der,NOUN,
text7,1,9,falschen,falschen,NOUN,
text7,1,10,Stelle,Stelle,PROPN,PERSON_B
text7,1,11,an,an,PROPN,
text7,1,12,",",",",PUNCT,
text7,1,13,da,da,PROPN,
text7,1,14,Darstellungen,Darstellungen,PROPN,ORG_B
text7,1,15,sexualisierter,sexualisierter,NOUN,
text7,1,16,Gewalt,Gewalt,PROPN,PERSON_B
text7,1,17,in,in,ADP,
text7,1,18,der,der,PROPN,
text7,1,19,Regel,Regel,PROPN,PERSON_B
text7,1,20,nicht,nicht,PROPN,
text7,1,21,über,über,PROPN,
text7,1,22,private,private,PROPN,
text7,1,23,Messenger,Messenger,PROPN,PERSON_B
text7,1,24,",",",",PUNCT,
text7,1,25,sondern,sondern,NOUN,
text7,1,26,File,File,PROPN,ORG_B
text7,1,27,-,-,PUNCT,ORG_I
text7,1,28,Hosting,Hosting,PROPN,ORG_I
text7,1,29,-,-,PUNCT,ORG_I
text7,1,30,Dienste,Dienste,PROPN,ORG_I
text7,1,31,ausgetauscht,ausgetauscht,NOUN,
text7,1,32,würden,würden,NOUN,GPE_B
text7,1,33,.,.,PUNCT,
text7,2,1,Der,Der,PROPN,PERSON_B
text7,2,2,Verband,Verband,PROPN,PERSON_I
text7,2,3,lehnt,lehnt,PROPN,
text7,2,4,die,die,VERB,
text7,2,5,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text7,2,6,ab,ab,PROPN,PERSON_I
text7,2,7,",",",",PUNCT,
text7,2,8,„,„,PROPN,
text7,2,9,weil,weil,PROPN,
text7,2,10,sie,sie,PROPN,
text7,2,11,tief,tief,PROPN,
text7,2,12,in,in,ADP,
text7,2,13,die,die,PROPN,
text7,2,14,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text7,2,15,aller,aller,NOUN,
text7,2,16,eingreifen,eingreifen,PROPN,PERSON_B
text7,2,17,würde,würde,PROPN,PERSON_I
text7,2,18,–,–,PUNCT,
text7,2,19,auch,auch,NOUN,
text7,2,20,in,in,ADP,
text7,2,21,die,die,ADJ,
text7,2,22,von,von,PROPN,PERSON_B
text7,2,23,Kindern,Kindern,PROPN,PERSON_I
text7,2,24,.,.,PUNCT,
text7,2,25,“,"""",PUNCT,
text7,3,1,Auch,Auch,PROPN,
text7,3,2,Kinder,Kinder,PROPN,
text7,3,3,hätten,hätten,VERB,
text7,3,4,ein,ein,NOUN,
text7,3,5,Recht,Recht,PROPN,ORG_B
text7,3,6,auf,auf,PROPN,
text7,3,7,vertrauliche,vertrauliche,PROPN,
text7,3,8,Kommunikation,Kommunikation,PROPN,ORG_B
text7,3,9,–,–,PUNCT,
text7,3,10,wenn,wenn,PROPN,
text7,3,11,ihre,ihre,ADJ,
text7,3,12,Chats,Chats,PROPN,ORG_B
text7,3,13,ohne,ohne,PROPN,
text7,3,14,Anlass,Anlass,PROPN,PRODUCT_B
text7,3,15,überwacht,überwacht,NOUN,PERSON_B
text7,3,16,werden,werden,PROPN,PERSON_I
text7,3,17,",",",",PUNCT,
text7,3,18,würden,würden,ADJ,GPE_B
text7,3,19,ihre,ihre,ADJ,
text7,3,20,Privatsphäre,Privatsphäre,PROPN,
text7,3,21,und,und,VERB,
text7,3,22,ihre,ihre,ADJ,
text7,3,23,Grundrechte,Grundrechte,PROPN,PERSON_B
text7,3,24,verletzt,verletzt,NOUN,
text7,3,25,",",",",PUNCT,
text7,3,26,so,so,ADV,
text7,3,27,Frense,Frense,PROPN,NORP_B
text7,3,28,weiter,weiter,NOUN,
text7,3,29,.,.,PUNCT,
text9,1,1,„,„,PUNCT,
text9,1,2,Die,Die,PROPN,WORK_OF_ART_B
text9,1,3,Bundesregierung,Bundesregierung,PROPN,WORK_OF_ART_I
text9,1,4,muss,muss,NOUN,
text9,1,5,sich,sich,PROPN,
text9,1,6,dafür,dafür,ADJ,
text9,1,7,einsetzen,einsetzen,NOUN,
text9,1,8,",",",",PUNCT,
text9,1,9,dass,dass,PROPN,
text9,1,10,Kinderschutz,Kinderschutz,PROPN,PERSON_B
text9,1,11,mit,mit,NOUN,
text9,1,12,den,den,VERB,
text9,1,13,Kinder-,Kinder-,PROPN,PERSON_B
text9,1,14,und,und,VERB,
text9,1,15,Grundrechten,Grundrechten,PROPN,
text9,1,16,vereinbar,vereinbar,ADJ,
text9,1,17,bleibt,bleibt,NOUN,
text9,1,18,.,.,PUNCT,
text9,1,19,“,"""",PUNCT,
text9,2,1,Statt,Statt,PROPN,PERSON_B
text9,2,2,anlassloser,anlassloser,NOUN,
text9,2,3,Überwachung,Überwachung,PROPN,NORP_B
text9,2,4,brauche,brauche,NOUN,
text9,2,5,es,es,X,
text9,2,6,zielgerichtete,zielgerichtete,ADJ,
text9,2,7,Maßnahmen,Maßnahmen,PROPN,
text9,2,8,:,:,PUNCT,
text9,3,1,Prävention,Prävention,PROPN,
text9,3,2,",",",",PUNCT,
text9,3,3,Aufklärung,Aufklärung,PROPN,GPE_B
text9,3,4,und,und,PROPN,
text9,3,5,klare,klare,NOUN,
text9,3,6,Verpflichtungen,Verpflichtungen,PROPN,PERSON_B
text9,3,7,für,für,NOUN,
text9,3,8,Anbieter,Anbieter,PROPN,PERSON_B
text9,3,9,:,:,PUNCT,
text9,3,10,etwa,etwa,NOUN,
text9,3,11,verbindliche,verbindliche,PROPN,
text9,3,12,Sicherheitsauflagen,Sicherheitsauflagen,PROPN,ORG_B
text9,3,13,",",",",PUNCT,
text9,3,14,Risikoanalysen,Risikoanalysen,PROPN,
text9,3,15,und,und,NOUN,
text9,3,16,den,den,VERB,
text9,3,17,Scan,scan,ADJ,NORP_B
