doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,der,der,ADJ,ORG_B
text1,1,3,letzten,letzten,VERB,ORG_I
text1,1,4,Woche,Woche,PROPN,ORG_I
text1,1,5,hat,hat,PROPN,
text1,1,6,der,der,PROPN,
text1,1,7,US,US,PROPN,GPE_B
text1,1,8,-,-,PUNCT,
text1,1,9,Senat,Senat,PROPN,
text1,1,10,mit,mit,VERB,
text1,1,11,dem,dem,ADJ,
text1,2,1,„,„,PUNCT,
text1,2,2,Stop,stop,VERB,
text1,2,3,CSAM,CSAM,PROPN,
text1,2,4,Act,Act,PROPN,
text1,2,5,“,"""",PUNCT,
text1,2,6,ein,ein,PROPN,
text1,2,7,neues,neue,VERB,
text1,2,8,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,PRODUCT_B
text1,2,9,eingebracht,eingebracht,PROPN,
text1,2,10,",",",",PUNCT,
text1,2,11,das,das,PROPN,PERSON_B
text1,2,12,sich,sich,PROPN,PERSON_I
text1,2,13,gegen,gegen,PROPN,
text1,2,14,Darstellungen,Darstellungen,PROPN,ORG_B
text1,2,15,sexualisierten,sexualisierten,ADV,
text1,2,16,Kindesmissbrauchs,Kindesmissbrauchs,PROPN,ORG_B
text1,2,17,richten,richten,PROPN,
text1,2,18,soll,soll,NOUN,
text1,2,19,.,.,PUNCT,
text1,3,1,Nach,Nach,PROPN,PERSON_B
text1,3,2,Ansicht,Ansicht,PROPN,PERSON_I
text1,3,3,der,der,NOUN,
text1,3,4,Bürgerrechtsorganisation,Bürgerrechtsorganisation,PROPN,PERSON_B
text1,3,5,EFF,EFF,PROPN,PERSON_I
text1,3,6,könnte,könnte,NOUN,
text1,3,7,das,das,PROPN,PRODUCT_B
text1,3,8,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,PRODUCT_I
text1,3,9,sowohl,sowohl,VERB,
text1,3,10,Ende,Ende,PROPN,
text1,3,11,-,-,PUNCT,
text1,3,12,zu,zu,NOUN,
text1,3,13,-,-,PUNCT,
text1,3,14,Ende,ende,ADJ,
text1,3,15,-,-,PUNCT,
text1,3,16,Verschlüsselung,Verschlüsselung,PROPN,
text1,3,17,als,al,NOUN,
text1,3,18,auch,auch,NOUN,
text1,3,19,die,die,VERB,
text1,3,20,Meinungsfreiheit,meinungsfreiheit,NOUN,ORG_B
text1,3,21,gefährden,gefährden,ADJ,
text1,3,22,.,.,PUNCT,
text1,4,1,Die,die,VERB,
text1,4,2,EFF,EFF,PROPN,PRODUCT_B
text1,4,3,fordert,fordert,NOUN,
text1,4,4,deswegen,deswegen,NOUN,
text1,4,5,",",",",PUNCT,
text1,4,6,das,das,PROPN,PERSON_B
text1,4,7,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,PERSON_I
text1,4,8,abzulehnen,abzulehnen,NOUN,
text1,4,9,.,.,PUNCT,
text3,1,1,Der,Der,PROPN,PERSON_B
text3,1,2,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_I
text3,1,3,hat,hat,NOUN,
text3,1,4,„,„,PUNCT,
text3,1,5,interaktive,interaktive,ADJ,
text3,1,6,Computerdienste,Computerdienste,PROPN,
text3,1,7,“,"""",PUNCT,
text3,1,8,i,I,PRON,
text3,1,9,m,m,VERB,
text3,1,10,Fokus,Fokus,PROPN,PERSON_B
text3,1,11,",",",",PUNCT,
text3,1,12,laut,laut,PROPN,PERSON_B
text3,1,13,der,der,PROPN,PERSON_I
text3,1,14,EFF,EFF,PROPN,ORG_B
text3,1,15,seien,seien,PROPN,
text3,1,16,dies,die,VERB,
text3,1,17,i,I,PRON,
text3,1,18,m,m,VERB,
text3,1,19,weitesten,weitesten,ADJ,
text3,2,1,Sinne,Sinne,PROPN,NORP_B
text3,2,2,private,private,ADJ,
text3,2,3,Messaging-,Messaging-,PROPN,
text3,2,4,und,und,PROPN,
text3,2,5,E‑Mail,E‑Mail,PROPN,
text3,2,6,-,-,PUNCT,
text3,2,7,Apps,Apps,PROPN,
text3,2,8,",",",",PUNCT,
text3,2,9,Social,Social,PROPN,
text3,2,10,-,-,PUNCT,
text3,2,11,Media,Media,PROPN,
text3,2,12,-,-,PUNCT,
text3,2,13,Plattformen,Plattformen,PROPN,
text3,2,14,",",",",PUNCT,
text3,2,15,Cloud,Cloud,PROPN,PERSON_B
text3,2,16,-,-,PUNCT,PERSON_I
text3,2,17,Speicheranbieter,Speicheranbieter,PROPN,PERSON_I
text3,2,18,und,und,NOUN,
text3,2,19,viele,viele,NOUN,
text3,2,20,andere,andere,VERB,
text3,2,21,Online,Online,PROPN,
text3,2,22,-,-,PUNCT,
text3,2,23,Diensteanbieter,Diensteanbieter,PROPN,
text3,2,24,.,.,PUNCT,
text3,3,1,Geplant,Geplant,PROPN,
text3,3,2,ist,ist,NOUN,
text3,3,3,",",",",PUNCT,
text3,3,4,dass,dass,PROPN,
text3,3,5,es,es,PROPN,
text3,3,6,zu,zu,PROPN,
text3,3,7,einer,einer,NOUN,
text3,3,8,Straftat,Straftat,PROPN,ORG_B
text3,3,9,werden,werden,PROPN,
text3,3,10,soll,soll,PROPN,
text3,3,11,",",",",PUNCT,
text3,3,12,wenn,wenn,PROPN,
text3,3,13,Anbieter,Anbieter,PROPN,PERSON_B
text3,3,14,Inhalte,Inhalte,PROPN,PERSON_I
text3,3,15,sexualisierten,sexualisierten,ADV,
text3,3,16,Kindesmissbrauchs,Kindesmissbrauchs,PROPN,PERSON_B
text3,3,17,(,(,PUNCT,
text3,3,18,CSAM,CSAM,PROPN,ORG_B
text3,3,19,),),PUNCT,
text3,4,1,„,„,PUNCT,
text3,4,2,wissentlich,wissentlich,NOUN,
text3,4,3,hosten,hosten,VERB,
text3,4,4,oder,oder,NOUN,
text3,4,5,speichern,speichern,ADJ,
text3,4,6,“,"""",PUNCT,
text3,4,7,oder,oder,NOUN,
text3,4,8,die,die,VERB,
text3,4,9,sexuelle,sexuelle,NOUN,
text3,4,10,Ausbeutung,Ausbeutung,PROPN,PERSON_B
text3,4,11,von,von,PROPN,PERSON_I
text3,4,12,Kindern,Kindern,PROPN,PERSON_I
text3,4,13,",",",",PUNCT,
text3,4,14,einschließlich,einschließlich,NOUN,
text3,4,15,der,der,PROPN,
text3,4,16,Erstellung,Erstellung,PROPN,PERSON_B
text3,4,17,von,von,PROPN,PERSON_I
text3,4,18,CSAM,CSAM,PROPN,PERSON_I
text3,4,19,",",",",PUNCT,
text3,4,20,auf,auf,PROPN,
text3,4,21,ihren,ihren,PROPN,
text3,4,22,Plattformen,Plattformen,PROPN,
text3,5,1,„,„,PUNCT,
text3,5,2,wissentlich,wissentlich,NOUN,
text3,5,3,fördern,fördern,ADJ,
text3,5,4,oder,oder,NOUN,
text3,5,5,erleichtern,erleichtern,PROPN,
text3,5,6,“,"""",PUNCT,
text3,5,7,.,.,PUNCT,
text3,6,1,Die,die,VERB,PERSON_B
text3,6,2,Verbreitung,Verbreitung,PROPN,PERSON_I
text3,6,3,von,von,PROPN,PERSON_I
text3,6,4,CSAM,CSAM,NOUN,PERSON_I
text3,6,5,ist,ist,VERB,
text3,6,6,in,in,ADP,
text3,6,7,den,den,NOUN,
text3,6,8,USA,USA,PROPN,GPE_B
text3,6,9,bereits,bereit,NOUN,
text3,6,10,verboten,verboten,VERB,
text3,6,11,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Weit,Weit,PROPN,
text5,1,4,gefasster,gefasster,NOUN,
text5,1,5,zivilrechtlicher,zivilrechtlicher,NOUN,
text5,1,6,Anspruch,Anspruch,PROPN,
text7,1,1,Hinzu,Hinzu,PROPN,PERSON_B
text7,1,2,kommt,kommt,PROPN,PERSON_I
text7,1,3,laut,laut,PROPN,PERSON_I
text7,1,4,der,der,PROPN,
text7,1,5,Bürgerrechtsorganisation,Bürgerrechtsorganisation,PROPN,PERSON_B
text7,1,6,auch,auch,PROPN,
text7,1,7,ein,ein,PROPN,
text7,1,8,neuer,neuer,NOUN,
text7,1,9,zivilrechtlicher,zivilrechtlicher,PROPN,
text7,1,10,Anspruch,Anspruch,PROPN,
text7,1,11,",",",",PUNCT,
text7,1,12,der,der,ADJ,
text7,1,13,Privatklagen,Privatklagen,PROPN,PERSON_B
text7,1,14,gegen,gegen,NOUN,
text7,1,15,Internetunternehmen,Internetunternehmen,PROPN,
text7,1,16,und,und,VERB,
text7,1,17,App,App,PROPN,ORG_B
text7,1,18,-,-,PUNCT,ORG_I
text7,1,19,Stores,Stores,PROPN,ORG_I
text7,1,20,wegen,wegen,NOUN,
text7,1,21,der,der,NOUN,
text7,1,22,„,„,PUNCT,
text7,1,23,Förderung,Förderung,PROPN,WORK_OF_ART_B
text7,1,24,oder,oder,NOUN,WORK_OF_ART_I
text7,1,25,Erleichterung,Erleichterung,PROPN,WORK_OF_ART_I
text7,1,26,“,"""",PUNCT,WORK_OF_ART_I
text7,1,27,der,der,PROPN,WORK_OF_ART_I
text7,1,28,Ausbeutung,Ausbeutung,PROPN,WORK_OF_ART_I
text7,1,29,von,von,PROPN,WORK_OF_ART_I
text7,1,30,Kindern,Kindern,PROPN,WORK_OF_ART_I
text7,1,31,",",",",PUNCT,
text7,1,32,des,des,PROPN,
text7,1,33,„,„,NOUN,
text7,1,34,Hostings,hostings,NOUN,
text7,1,35,oder,oder,NOUN,
text7,1,36,Speicherns,Speicherns,PROPN,PERSON_B
text7,1,37,von,von,PROPN,PERSON_I
text7,1,38,Kinderpornografie,Kinderpornografie,PROPN,PERSON_I
text7,1,39,“,"""",PUNCT,
text7,1,40,oder,oder,PROPN,
text7,1,41,des,des,PROPN,
text7,1,42,„,„,PROPN,
text7,1,43,Zugänglichmachens,Zugänglichmachens,PROPN,PERSON_B
text7,1,44,von,von,PROPN,PERSON_I
text7,1,45,Kinderpornografie,Kinderpornografie,PROPN,PERSON_I
text7,1,46,für,für,NOUN,
text7,1,47,jedermann,jedermann,PROPN,PERSON_B
text7,1,48,“,"""",PUNCT,
text7,1,49,ermöglichen,ermöglichen,PROPN,
text7,1,50,soll,soll,PROPN,
text7,1,51,.,.,PUNCT,
text7,2,1,Dies,die,NOUN,
text7,2,2,geschehe,geschehe,NOUN,
text7,2,3,alles,alle,VERB,
text7,2,4,auf,auf,PROPN,
text7,2,5,der,der,NOUN,PERSON_B
text7,2,6,Grundlage,Grundlage,PROPN,PERSON_I
text7,2,7,eines,eine,VERB,
text7,2,8,sehr,sehr,PROPN,
text7,2,9,niedrigen,niedrigen,NOUN,
text7,2,10,Fahrlässigkeitsstandards,Fahrlässigkeitsstandards,PROPN,ORG_B
text7,2,11,",",",",PUNCT,
text7,2,12,so,so,ADV,
text7,2,13,die,die,VERB,
text7,2,14,EFF,EFF,PROPN,ORG_B
text7,2,15,.,.,PUNCT,
text9,1,1,Außerdem,Außerdem,PROPN,ORG_B
text9,1,2,wird,wird,PROPN,
text9,1,3,ein,ein,PROPN,FAC_B
text9,1,4,Benachrichtigungs-,Benachrichtigungs-,PROPN,FAC_I
text9,1,5,und,und,VERB,
text9,1,6,Löschsystem,Löschsystem,PROPN,
text9,1,7,geschaffen,geschaffen,NOUN,
text9,1,8,",",",",PUNCT,
text9,1,9,das,das,PROPN,PERSON_B
text9,1,10,von,von,PROPN,PERSON_I
text9,1,11,einem,einem,PROPN,PERSON_I
text9,1,12,neu,neu,PROPN,
text9,1,13,geschaffenen,geschaffenen,PROPN,
text9,1,14,Ausschuss,Ausschuss,PROPN,
text9,1,15,für,für,NOUN,
text9,1,16,den,den,VERB,
text9,1,17,Schutz,Schutz,PROPN,PERSON_B
text9,1,18,von,von,PROPN,PERSON_I
text9,1,19,Kindern,Kindern,PROPN,PERSON_I
text9,2,1,i,I,PRON,
text9,2,2,m,m,VERB,
text9,2,3,Internet,Internet,PROPN,
text9,2,4,beaufsichtigt,beaufsichtigt,PROPN,
text9,2,5,wird,wird,PROPN,
text9,2,6,und,und,PROPN,
text9,2,7,von,von,PROPN,PERSON_B
text9,2,8,den,den,VERB,PERSON_I
text9,2,9,Anbietern,anbietern,ADJ,PERSON_I
text9,2,10,verlangt,verlangt,NOUN,
text9,2,11,",",",",PUNCT,
text9,2,12,Inhalte,Inhalte,PROPN,NORP_B
text9,2,13,auf,auf,PROPN,
text9,2,14,Anfrage,Anfrage,PROPN,
text9,2,15,zu,zu,ADJ,PERSON_B
text9,2,16,entfernen,entfernen,NOUN,PERSON_I
text9,2,17,oder,oder,NOUN,
text9,2,18,zu,zu,NOUN,PERSON_B
text9,2,19,deaktivieren,deaktivieren,NOUN,PERSON_I
text9,2,20,",",",",PUNCT,
text9,2,21,noch,noch,PROPN,
text9,2,22,bevor,bevor,PROPN,
text9,2,23,eine,eine,VERB,
text9,2,24,administrative,administrative,ADJ,
text9,2,25,oder,oder,NOUN,
text9,2,26,gerichtliche,gerichtliche,PROPN,
text9,2,27,Entscheidung,Entscheidung,PROPN,
text9,2,28,vorliegt,vorliegt,VERB,
text9,2,29,",",",",PUNCT,
text9,2,30,dass,dass,PROPN,
text9,2,31,es,es,X,
text9,2,32,sich,sich,PROPN,
text9,2,33,bei,bei,PROPN,
text9,2,34,den,den,VERB,
text9,2,35,Inhalten,Inhalten,PROPN,
text9,2,36,tatsächlich,tatsächlich,NOUN,
text9,2,37,um,um,INTJ,
text9,2,38,CSAM,CSAM,PROPN,ORG_B
text9,2,39,handelt,handelt,VERB,
text9,2,40,.,.,PUNCT,
text11,1,1,Damit,Damit,PROPN,ORG_B
text11,1,2,geht,geht,VERB,
text11,1,3,das,das,PROPN,
text11,1,4,geplante,geplante,VERB,
text11,1,5,Gesetz,Gesetz,PROPN,ORG_B
text11,1,6,lange,lange,ADJ,
text11,1,7,nicht,nicht,NOUN,
text11,1,8,so,so,SCONJ,
text11,1,9,weit,weit,PROPN,
text11,1,10,wie,wie,PROPN,
text11,1,11,die,die,VERB,
text11,1,12,europäische,europäische,NOUN,
text11,1,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text11,1,14,oder,oder,NOUN,
text11,1,15,der,der,PROPN,
text11,1,16,britische,britische,PROPN,
text11,1,17,Online,Online,PROPN,LAW_B
text11,1,18,Safety,Safety,PROPN,LAW_I
text11,1,19,Act,Act,PROPN,LAW_I
text11,1,20,",",",",PUNCT,
text11,1,21,welche,welche,PROPN,
text11,1,22,derzeit,derzeit,PROPN,PERSON_B
text11,1,23,von,von,PROPN,PERSON_I
text11,1,24,den,den,NOUN,PERSON_I
text11,1,25,Anbietern,Anbietern,PROPN,PERSON_I
text11,1,26,verlangen,verlangen,NOUN,
text11,1,27,",",",",PUNCT,
text11,1,28,die,die,VERB,
text11,1,29,Kommunikationsinhalte,Kommunikationsinhalte,PROPN,PERSON_B
text11,1,30,und,und,PROPN,
text11,1,31,gespeicherte,gespeicherte,NOUN,
text11,1,32,Dateien,Dateien,PROPN,PERSON_B
text11,1,33,vor,vor,NOUN,
text11,1,34,der,der,NOUN,
text11,1,35,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text11,1,36,zu,zu,PROPN,PERSON_I
text11,1,37,durchsuchen,durchsuchen,NOUN,PERSON_I
text11,1,38,.,.,PUNCT,
text11,2,1,Dennoch,Dennoch,PROPN,
text11,2,2,sieht,sieht,PROPN,
text11,2,3,die,die,VERB,
text11,2,4,EFF,EFF,PROPN,ORG_B
text11,2,5,in,in,ADP,
text11,2,6,den,den,NOUN,
text11,2,7,Formulierungen,Formulierungen,PROPN,ORG_B
text11,2,8,des,des,X,ORG_I
text11,2,9,Gesetzes,Gesetzes,PROPN,ORG_I
text11,2,10,große,große,NOUN,
text11,2,11,Fallstricke,Fallstricke,PROPN,
text11,2,12,:,:,PUNCT,
text11,2,13,Die,die,VERB,
text11,2,14,Begriffe,Begriffe,PROPN,
text11,2,15,„,„,PUNCT,
text11,2,16,fördern,fördern,ADJ,
text11,2,17,“,"""",PUNCT,
text11,2,18,und,und,ADJ,
text11,2,19,„,„,ADJ,
text11,2,20,erleichtern,erleichtern,ADJ,
text11,2,21,“,"""",PUNCT,
text11,2,22,seien,seien,NOUN,
text11,2,23,weit,weit,NOUN,ORG_B
text11,2,24,gefasst,gefasst,PROPN,ORG_I
text11,2,25,",",",",PUNCT,
text11,2,26,und,und,NOUN,
text11,2,27,die,die,VERB,
text11,2,28,zivilrechtliche,zivilrechtliche,PUNCT,
text11,3,1,Haftung,Haftung,PROPN,GPE_B
text11,3,2,könne,könne,PROPN,
text11,3,3,sehr,sehr,PROPN,
text11,3,4,schnell,schnell,PROPN,
text11,3,5,auferlegt,auferlegt,VERB,
text11,3,6,werden,werden,X,
text11,3,7,.,.,PUNCT,
text11,4,1,Es,es,INTJ,
text11,4,2,sei,sei,ADJ,
text11,4,3,derselbe,derselbe,ADJ,
text11,4,4,Standard,Standard,PROPN,
text11,4,5,",",",",PUNCT,
text11,4,6,der,der,PROPN,
text11,4,7,bei,bei,PROPN,
text11,4,8,Autounfällen,Autounfällen,PROPN,
text11,4,9,und,und,PROPN,
text11,4,10,anderen,anderen,NOUN,
text11,4,11,Situationen,Situationen,PROPN,PERSON_B
text11,4,12,angewandt,angewandt,PROPN,
text11,4,13,wird,wird,NOUN,
text11,4,14,",",",",PUNCT,
text11,4,15,in,in,ADP,
text11,4,16,denen,denen,NOUN,
text11,4,17,der,der,NOUN,
text11,4,18,Beklagte,Beklagte,PROPN,
text11,4,19,nicht,nicht,PROPN,
text11,4,20,beabsichtigt,beabsichtigt,PROPN,
text11,4,21,hat,hat,PROPN,
text11,4,22,",",",",PUNCT,
text11,4,23,dass,dass,NOUN,
text11,4,24,ein,ein,PROPN,
text11,4,25,Schaden,Schaden,PROPN,GPE_B
text11,4,26,entsteht,entsteht,PROPN,
text11,4,27,",",",",PUNCT,
text11,4,28,dieser,dieser,PROPN,
text11,4,29,aber,aber,PROPN,
text11,4,30,aufgrund,aufgrund,PROPN,
text11,4,31,von,von,PROPN,
text11,5,1,Unachtsamkeit,Unachtsamkeit,PROPN,
text11,5,2,oder,oder,NOUN,
text11,5,3,auch,auch,NOUN,
text11,5,4,nur,nur,NOUN,
text11,5,5,Untätigkeit,Untätigkeit,PROPN,ORG_B
text11,5,6,dennoch,dennoch,ADV,
text11,5,7,eingetreten,eingetreten,VERB,
text11,5,8,sei,sei,ADJ,
text11,5,9,.,.,PUNCT,
text13,1,1,#,#,SYM,
text13,1,2,#,#,NOUN,
text13,1,3,Verschlüsselung,Verschlüsselung,PROPN,
text13,1,4,als,al,NOUN,
text13,1,5,„,„,PUNCT,
text13,1,6,Erleichterung,Erleichterung,PROPN,
text13,1,7,“,"""",PUNCT,
text13,1,8,?,?,PUNCT,
text15,1,1,Weil,Weil,PROPN,
text15,1,2,die,die,VERB,
text15,1,3,Verbreitung,Verbreitung,PROPN,PERSON_B
text15,1,4,von,von,PROPN,PERSON_I
text15,1,5,CSAM,CSAM,NOUN,PERSON_I
text15,1,6,heute,heute,VERB,
text15,1,7,schon,schon,NOUN,
text15,1,8,verboten,verboten,VERB,
text15,1,9,sei,sei,ADJ,
text15,1,10,",",",",PUNCT,
text15,1,11,könne,könne,PROPN,PERSON_B
text15,1,12,es,es,PROPN,PERSON_I
text15,1,13,sein,sein,PROPN,
text15,1,14,",",",",PUNCT,
text15,1,15,dass,dass,NOUN,
text15,1,16,die,die,VERB,
text15,1,17,Bereitstellung,Bereitstellung,PROPN,PERSON_B
text15,1,18,von,von,PROPN,PERSON_I
text15,1,19,Verschlüsselung,Verschlüsselung,PROPN,PERSON_I
text15,1,20,als,al,VERB,
text15,2,1,Erleichterung,Erleichterung,PROPN,
text15,2,2,für,für,ADV,
text15,2,3,die,die,VERB,
text15,2,4,Verbreitung,Verbreitung,PROPN,PERSON_B
text15,2,5,des,des,PROPN,
text15,2,6,illegalen,illegalen,PROPN,
text15,2,7,Materials,Materials,PROPN,
text15,2,8,angesehen,angesehen,NOUN,
text15,2,9,werden,werden,X,
text15,2,10,könnte,könnte,PROPN,
text15,2,11,.,.,PUNCT,
text15,3,1,Die,die,VERB,ORG_B
text15,3,2,Anwälte,Anwälte,PROPN,ORG_I
text15,3,3,der,der,NOUN,
text15,3,4,Kläger,Kläger,PROPN,PERSON_B
text15,3,5,:,:,PUNCT,
text15,3,6,innen,innen,NOUN,PERSON_B
text15,3,7,würden,würden,ADJ,PERSON_I
text15,3,8,dann,dann,NOUN,PERSON_I
text15,3,9,zu,zu,PROPN,PERSON_I
text15,3,10,Unrecht,Unrecht,PROPN,PERSON_I
text15,3,11,argumentieren,argumentieren,NOUN,
text15,3,12,",",",",PUNCT,
text15,3,13,dass,dass,NOUN,
text15,3,14,die,die,VERB,
text15,3,15,bloße,bloße,DET,
text15,3,16,Bereitstellung,Bereitstellung,PROPN,PERSON_B
text15,3,17,eines,eine,NOUN,
text15,3,18,verschlüsselten,verschlüsselten,VERB,
text15,3,19,Dienstes,Dienstes,PROPN,PERSON_B
text15,3,20,",",",",PUNCT,
text15,3,21,der,der,PROPN,PERSON_B
text15,3,22,zur,zur,PROPN,PERSON_I
text15,3,23,Speicherung,Speicherung,PROPN,PERSON_I
text15,3,24,beliebiger,beliebiger,NOUN,PERSON_I
text15,3,25,Bilder,Bilder,PROPN,PERSON_B
text15,3,26,–,–,PUNCT,
text15,3,27,nicht,nicht,PROPN,
text15,3,28,notwendigerweise,notwendigerweise,PROPN,
text15,3,29,CSAM,CSAM,PROPN,ORG_B
text15,3,30,–,–,PUNCT,
text15,3,31,verwendet,verwendet,NOUN,
text15,3,32,werden,werden,NOUN,
text15,3,33,kann,kann,NOUN,
text15,3,34,",",",",PUNCT,
text15,3,35,die,die,VERB,
text15,3,36,Weitergabe,Weitergabe,PROPN,
text15,3,37,illegaler,illegaler,NOUN,
text15,3,38,Inhalte,Inhalte,PROPN,NORP_B
text15,3,39,unzulässig,unzulässig,ADJ,
text15,3,40,erleichtern,erleichtern,ADJ,
text15,3,41,würde,würde,NOUN,
text15,3,42,.,.,PUNCT,
text17,1,1,Das,Das,PROPN,ORG_B
text17,1,2,Problem,Problem,PROPN,ORG_I
text17,1,3,sei,sei,ADJ,
text17,1,4,",",",",PUNCT,
text17,1,5,dass,dass,ADJ,
text17,1,6,nicht,nicht,NOUN,
text17,1,7,jede,jede,VERB,
text17,1,8,Plattform,Plattform,PROPN,
text17,1,9,über,über,ADJ,
text17,1,10,die,die,PROPN,
text17,1,11,Ressourcen,Ressourcen,PROPN,PERSON_B
text17,1,12,verfüge,verfüge,PROPN,PERSON_I
text17,1,13,",",",",PUNCT,
text17,1,14,um,um,INTJ,
text17,1,15,sich,sich,PROPN,
text17,1,16,gerichtlich,gerichtlich,PROPN,
text17,1,17,gegen,gegen,NOUN,
text17,1,18,solche,solche,PROPN,
text17,1,19,Vorwürfe,Vorwürfe,PROPN,PRODUCT_B
text17,1,20,zu,zu,ADJ,
text17,1,21,wehren,wehren,NOUN,
text17,1,22,.,.,PUNCT,
text17,2,1,Dies,die,NOUN,
text17,2,2,betreffe,betreffe,VERB,
text17,2,3,vor,vor,NOUN,
text17,2,4,allem,allem,NOUN,
