doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Irgendwas,irgendwas,AUX,
text1,1,2,mit,mit,VERB,
text1,1,3,Millionen,Millionen,PROPN,PERSON_B
text1,1,4,–,–,PUNCT,
text1,1,5,das,das,PROPN,
text1,1,6,ist,ist,VERB,
text1,1,7,die,die,PROPN,
text1,1,8,Zahl,Zahl,PROPN,ORG_B
text1,1,9,",",",",PUNCT,
text1,1,10,die,die,VERB,
text1,1,11,hängen,hängen,PROPN,
text1,1,12,bleibt,bleibt,PROPN,
text1,1,13,",",",",PUNCT,
text1,1,14,wenn,wenn,PROPN,
text1,1,15,man,man,NOUN,
text1,1,16,Berichte,Berichte,PROPN,PERSON_B
text1,1,17,über,über,NOUN,
text1,1,18,sexualisierte,sexualisierte,NOUN,
text1,1,19,Gewalt,Gewalt,PROPN,PERSON_B
text1,1,20,gegen,gegen,NOUN,
text1,1,21,Kinder,Kinder,PROPN,
text1,1,22,liest,liest,NOUN,
text1,1,23,.,.,PUNCT,
text1,2,1,Zahlen,Zahlen,ADJ,PERSON_B
text1,2,2,sind,sind,NOUN,
text1,2,3,Nachrichten,Nachrichten,PROPN,
text1,2,4,",",",",PUNCT,
text1,2,5,und,und,ADJ,
text1,2,6,bei,bei,PROPN,
text1,2,7,derart,derart,PROPN,
text1,2,8,schweren,schweren,PROPN,
text1,2,9,Verbrechen,Verbrechen,PROPN,PERSON_B
text1,2,10,ist,ist,NOUN,PERSON_I
text1,2,11,ihr,ihr,VERB,
text1,2,12,Nachrichtenwert,Nachrichtenwert,PROPN,PERSON_B
text1,2,13,besonders,besonder,NOUN,
text1,2,14,hoch,hoch,NOUN,
text1,2,15,.,.,PUNCT,
text1,3,1,Aber,Aber,PROPN,PERSON_B
text1,3,2,Zahlen,Zahlen,PROPN,PERSON_I
text1,3,3,müssen,müssen,PROPN,PERSON_I
text1,3,4,auch,auch,ADJ,
text1,3,5,stimmen,stimman,NOUN,
text1,3,6,",",",",PUNCT,
text1,3,7,und,und,PROPN,
text1,3,8,genau,genau,PROPN,
text1,3,9,hier,hier,PROPN,
text1,3,10,mangelt,mangelt,NOUN,
text1,3,11,es,es,PROPN,
text1,3,12,bei,bei,PROPN,
text1,3,13,Nachrichtenmedien,Nachrichtenmedien,PROPN,GPE_B
text1,3,14,und,und,PROPN,
text1,3,15,Politik,Politik,PROPN,
text1,3,16,an,an,DET,
text1,3,17,Einordnung,Einordnung,PROPN,
text1,3,18,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,ist,ist,ADP,
text3,1,3,derzeit,derzeit,PROPN,
text3,1,4,besonders,besonders,PROPN,
text3,1,5,wichtig,wichtig,PROPN,
text3,1,6,",",",",PUNCT,
text3,1,7,denn,denn,NOUN,
text3,1,8,es,es,PROPN,
text3,1,9,gibt,gibt,NOUN,
text3,1,10,eine,eine,NOUN,
text3,1,11,hitzige,hitzige,NOUN,
text3,1,12,Debatte,Debatte,PROPN,ORG_B
text3,1,13,unter,unter,NOUN,
text3,1,14,Politiker,Politiker,PROPN,
text3,1,15,:,:,PUNCT,
text3,1,16,innen,innen,NOUN,
text3,1,17,",",",",PUNCT,
text3,1,18,Kinderschützer,Kinderschützer,PROPN,PERSON_B
text3,1,19,:,:,PUNCT,
text3,1,20,innen,innen,NOUN,
text3,1,21,",",",",PUNCT,
text3,1,22,Bürgerrechts,Bürgerrechts,PROPN,PERSON_B
text3,1,23,-,-,PUNCT,PERSON_I
text3,1,24,Organisationen,Organisationen,PROPN,PERSON_I
text3,1,25,und,und,VERB,
text3,1,26,IT,IT,PROPN,
text3,1,27,-,-,PUNCT,
text3,1,28,Expert,Expert,PROPN,
text3,1,29,:,:,PUNCT,
text3,1,30,innen,innen,NOUN,
text3,1,31,.,.,PUNCT,
text3,2,1,Der,Der,PROPN,PERSON_B
text3,2,2,Streit,Streit,PROPN,PERSON_I
text3,2,3,dreht,dreht,PROPN,
text3,2,4,sich,sich,PROPN,
text3,2,5,um,um,INTJ,
text3,2,6,ein,ein,PROPN,
text3,2,7,Vorhaben,Vorhaben,PROPN,ORG_B
text3,2,8,der,der,PROPN,
text3,2,9,EU,EU,PROPN,ORG_B
text3,2,10,-,-,PUNCT,ORG_I
text3,2,11,Kommission,Kommission,PROPN,ORG_I
text3,2,12,.,.,PUNCT,
text3,3,1,Es,es,INTJ,
text3,3,2,sieht,sieht,VERB,
text3,3,3,vor,vor,NOUN,
text3,3,4,",",",",PUNCT,
text3,3,5,dass,dass,NOUN,
text3,3,6,Online,Online,PROPN,PERSON_B
text3,3,7,-,-,PUNCT,PERSON_I
text3,3,8,Anbieter,Anbieter,PROPN,PERSON_I
text3,3,9,auf,auf,PROPN,
text3,3,10,Anordnung,Anordnung,PROPN,PERSON_B
text3,3,11,auch,auch,ADJ,
text3,3,12,private,private,ADJ,
text3,3,13,Chats,Chats,PROPN,NORP_B
text3,3,14,durchleuchten,durchleuchten,VERB,
text3,3,15,müssen,müssen,NOUN,PERSON_B
text3,3,16,.,.,PUNCT,
text3,4,1,Diese,Diese,PROPN,NORP_B
