doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,das,das,PROPN,PERSON_B
text3,1,2,Jahr,Jahr,PROPN,PERSON_I
text3,1,3,neigt,neigt,PROPN,
text3,1,4,sich,sich,PROPN,
text3,1,5,dem,dem,PROPN,NORP_B
text3,1,6,Ende,Ende,PROPN,
text3,1,7,zu,zu,NOUN,
text3,1,8,.,.,PUNCT,
text3,2,1,Und,und,NOUN,
text3,2,2,wir,wir,NOUN,
text3,2,3,schauen,schauen,VERB,
text3,2,4,mehrfach,mehrfach,NOUN,
text3,2,5,zurück,zurück,NOUN,
text3,2,6,–,–,PUNCT,
text3,2,7,und,und,ADJ,
text3,2,8,nach,nach,NOUN,
text3,2,9,vorn,vorn,ADJ,
text3,2,10,.,.,PUNCT,
text5,1,1,Rückblick,rückblick,NOUN,
text5,1,2,#,#,SYM,
text5,1,3,1,1,NUM,MONEY_B
text5,1,4,:,:,PUNCT,
text5,1,5,Unser,Unser,PROPN,
text5,1,6,thematischer,thematischer,INTJ,
text5,1,7,Jahresrückblick,Jahresrückblick,PROPN,PERSON_B
text5,1,8,ist,ist,VERB,PERSON_I
text5,1,9,da,da,PROPN,PERSON_I
text5,1,10,.,.,PUNCT,
text5,2,1,Es,es,INTJ,
text5,2,2,war,war,NOUN,
text5,2,3,gewiss,gewiss,VERB,
text5,2,4,nicht,nicht,PROPN,
text5,2,5,das,das,PROPN,PRODUCT_B
text5,2,6,erbaulichste,erbaulichste,VERB,
text5,2,7,Jahr,Jahr,PROPN,PERSON_B
text5,2,8,.,.,PUNCT,
text5,3,1,Aber,Aber,PROPN,PERSON_B
text5,3,2,immerhin,immerhin,ADV,
text5,3,3,hielt,hielt,VERB,
text5,3,4,es,es,PROPN,
text5,3,5,sehr,sehr,PROPN,NORP_B
text5,3,6,viele,viele,PROPN,
text5,3,7,netzpolitische,netzpolitische,PROPN,ORG_B
text5,3,8,Themen,Themen,PROPN,ORG_I
text5,3,9,bereit,bereit,NOUN,
text5,3,10,:,:,PUNCT,
text5,3,11,von,von,PROPN,
text5,3,12,AI,AI,PROPN,
text5,3,13,Act,Act,PROPN,
text5,3,14,und,und,VERB,
text5,3,15,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,3,16,über,über,NOUN,
text5,3,17,Open,Open,PROPN,
text5,3,18,Source,Source,PROPN,
text5,3,19,",",",",PUNCT,
text5,3,20,Pornografie,Pornografie,PROPN,
text5,3,21,und,und,ADJ,
text5,3,22,Sicherheitspaket,Sicherheitspaket,PROPN,
text5,3,23,bis,bis,ADJ,
text5,3,24,zu,zu,PROPN,
text5,3,25,Wahlkämpfe,Wahlkämpfe,PROPN,
text5,3,26,und,und,ADJ,
text5,3,27,X‑odus,x‑odu,NOUN,
text5,3,28,.,.,PUNCT,
text5,4,1,Und,und,NOUN,
text5,4,2,die,die,VERB,
text5,4,3,Zahlen,Zahlen,PROPN,PERSON_B
text5,4,4,des,des,X,
text5,4,5,Jahres,Jahres,PROPN,
text5,4,6,haben,haben,NOUN,
text5,4,7,wir,wir,NOUN,
text5,4,8,euch,euch,NOUN,
text5,4,9,auch,auch,NOUN,
text5,4,10,aufbereitet,aufbereitet,NOUN,
text5,4,11,.,.,PUNCT,
text7,1,1,Rückblick,rückblick,VERB,
text7,1,2,#,#,SYM,
text7,1,3,2,2,NUM,MONEY_B
text7,1,4,:,:,PUNCT,
text7,1,5,Viele,Viele,PROPN,
text7,1,6,dieser,dieser,NOUN,
text7,1,7,Themen,Themen,PROPN,PERSON_B
text7,1,8,prägten,prägten,VERB,
text7,1,9,Mitte,Mitte,PROPN,PERSON_B
text7,1,10,September,September,PROPN,DATE_B
text7,1,11,auch,auch,NOUN,
text7,1,12,unsere,unsere,NOUN,
text7,1,13,netzpolitische,netzpolitische,PROPN,
text7,1,14,Konferenz,Konferenz,PROPN,PERSON_B
text7,1,15,„,„,PUNCT,PERSON_I
text7,1,16,Bildet,Bildet,PROPN,PERSON_I
text7,1,17,Netze,Netze,PROPN,PERSON_I
text7,1,18,!,!,PUNCT,
text7,1,19,“,"""",PUNCT,
text7,1,20,in,in,ADP,
text7,1,21,Berlin,Berlin,PROPN,GPE_B
text7,1,22,.,.,PUNCT,
text7,2,1,Es,es,VERB,
text7,2,2,war,war,NOUN,
text7,2,3,ein,ein,PROPN,
text7,2,4,unvergesslicher,unvergesslicher,ADV,
text7,2,5,Tag,Tag,PROPN,
text7,2,6,mit,mit,NOUN,
text7,2,7,vielen,vielen,NOUN,
text7,2,8,spannenden,spannenden,ADJ,
text7,2,9,Gesprächen,Gesprächen,PROPN,GPE_B
text7,2,10,und,und,PROPN,
text7,2,11,schönen,schönen,PROPN,
text7,2,12,Eindrücken,Eindrücken,PROPN,
text7,2,13,.,.,PUNCT,
text7,3,1,Einen,einen,NOUN,
text7,3,2,großen,großen,NOUN,
text7,3,3,Dank,Dank,PROPN,
text7,3,4,an,an,DET,
text7,3,5,alle,alle,NOUN,
text7,3,6,",",",",PUNCT,
text7,3,7,die,die,PROPN,
text7,3,8,das,das,PROPN,PRODUCT_B
text7,3,9,ermöglicht,ermöglicht,NOUN,PRODUCT_I
text7,3,10,haben,haben,PROPN,
text7,3,11,und,und,PROPN,
text7,3,12,die,die,VERB,
text7,3,13,vor,vor,VERB,
text7,3,14,Ort,ort,ADJ,
text7,3,15,waren,waren,NOUN,
text7,3,16,!,!,PUNCT,
