doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Am,be,AUX,
text1,1,2,3,3,NUM,CARDINAL_B
text1,1,3,.,.,PUNCT,
text1,2,1,April,April,PROPN,DATE_B
text1,2,2,wird,wird,NOUN,
text1,2,3,eine,eine,NOUN,
text1,2,4,Ausnahmeregel,Ausnahmeregel,PROPN,PERSON_B
text1,2,5,auslaufen,auslaufen,PROPN,
text1,2,6,",",",",PUNCT,
text1,2,7,die,die,VERB,
text1,2,8,Anbietern,anbietern,ADJ,PERSON_B
text1,2,9,von,von,PROPN,PERSON_I
text1,2,10,Kommunikationsdiensten,Kommunikationsdiensten,PROPN,PERSON_I
text1,2,11,erlaubt,erlaubt,VERB,
text1,2,12,",",",",PUNCT,
text1,2,13,Nachrichten,Nachrichten,PROPN,
text1,2,14,ihrer,ihrer,NOUN,
text1,2,15,Nutzenden,Nutzenden,PROPN,
text1,2,16,zu,zu,NOUN,
text1,2,17,scannen,scannen,NOUN,
text1,2,18,.,.,PUNCT,
text1,3,1,Sie,Sie,PROPN,
text1,3,2,sollen,sollen,NOUN,
text1,3,3,darin,darin,PROPN,
text1,3,4,nach,nach,NOUN,
text1,3,5,Missbrauchsdarstellungen,Missbrauchsdarstellungen,PROPN,PERSON_B
text1,3,6,von,von,PROPN,PERSON_I
text1,3,7,Kindern,Kindern,PROPN,PERSON_I
text1,3,8,und,und,VERB,
text1,3,9,Jugendlichen,Jugendlichen,PROPN,
text1,3,10,zu,zu,NOUN,
text1,3,11,suchen,suchen,PROPN,
text1,3,12,",",",",PUNCT,
text1,3,13,um,um,INTJ,
text1,3,14,diese,diese,VERB,NORP_B
text1,3,15,an,an,DET,
text1,3,16,Behörden,Behörden,PROPN,GPE_B
text1,3,17,zu,zu,NOUN,
text1,3,18,melden,melden,NOUN,
text1,3,19,.,.,PUNCT,
text1,4,1,Diese,diese,ADJ,NORP_B
text1,4,2,„,„,ADJ,
text1,4,3,Chatkontrolle,Chatkontrolle,PROPN,
text1,4,4,1.0,1.0,NUM,
text1,4,5,“,“,NUM,
text1,4,6,genannte,genannte,NOUN,
text1,4,7,Regelung,Regelung,PROPN,GPE_B
text1,4,8,gibt,gibt,NOUN,
text1,4,9,es,es,X,
text1,4,10,seit,seit,NOUN,
text1,4,11,2021,2021,NUM,DATE_B
text1,4,12,",",",",PUNCT,
text1,4,13,sie,sie,PROPN,
text1,4,14,schafft,schafft,NOUN,
text1,4,15,eine,eine,VERB,
text1,4,16,Ausnahme,Ausnahme,PROPN,
