doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Netzpolitik,Netzpolitik,PROPN,ORG_B
text1,1,2,ist,ist,VERB,
text1,1,3,nicht,nicht,PROPN,
text1,1,4,*,*,PROPN,
text1,1,5,das,das,PROPN,
text1,1,6,*,*,PROPN,
text1,1,7,heiße,heiße,PROPN,
text1,1,8,Thema,Thema,PROPN,GPE_B
text1,1,9,in,in,ADP,
text1,1,10,diesem,diesem,PROPN,
text1,1,11,Bundestagswahlkampf,Bundestagswahlkampf,PROPN,
text1,1,12,.,.,PUNCT,
text1,2,1,Und,und,VERB,
text1,2,2,vermutlich,vermutlich,NOUN,
text1,2,3,wird,wird,PROPN,
text1,2,4,sie,sie,PROPN,
text1,2,5,auch,auch,PROPN,
text1,2,6,nicht,nicht,PROPN,
text1,2,7,die,die,VERB,
text1,2,8,Priorität,Priorität,PROPN,NORP_B
text1,2,9,der,der,NOUN,
text1,2,10,nächsten,nächsten,VERB,
text1,2,11,Regierung,Regierung,PROPN,GPE_B
text1,2,12,sein,sein,PROPN,
text1,2,13,.,.,PUNCT,
text1,3,1,Dennoch,Dennoch,PROPN,
text1,3,2,beobachten,beobachten,NOUN,
text1,3,3,Organisationen,Organisationen,PROPN,PERSON_B
text1,3,4,aus,aus,ADP,
text1,3,5,der,der,PROPN,
text1,3,6,digitalen,digitalen,NOUN,
text1,3,7,Zivilgesellschaft,Zivilgesellschaft,PROPN,NORP_B
text1,3,8,aufmerksam,aufmerksam,PROPN,
text1,3,9,",",",",PUNCT,
text1,3,10,was,be,AUX,
text1,3,11,sich,sich,ADJ,
text1,3,12,tut,tut,NOUN,
text1,3,13,.,.,PUNCT,
text1,4,1,Denn,denn,NOUN,
text1,4,2,aktuelle,aktuelle,NOUN,
text1,4,3,Umfragewerte,Umfragewerte,PROPN,PERSON_B
text1,4,4,sowie,sowie,NOUN,
text1,4,5,die,die,VERB,
text1,4,6,Diskussionen,Diskussionen,PROPN,
text1,4,7,etwa,etwa,NOUN,
text1,4,8,um,um,INTJ,
text1,4,9,Biometrie,Biometrie,PROPN,ORG_B
text1,4,10,und,und,PROPN,
text1,4,11,sogenannte,sogenannte,PROPN,
text1,4,12,Künstliche,Künstliche,PROPN,PERSON_B
text1,4,13,Intelligenz,Intelligenz,PROPN,PERSON_I
text1,4,14,legen,legen,PROPN,
text1,4,15,nahe,nahe,PROPN,
text1,4,16,",",",",PUNCT,
text1,4,17,dass,dass,PROPN,
text1,4,18,die,die,VERB,
text1,4,19,nächste,nächste,NOUN,
text1,4,20,Legislatur,Legislatur,PROPN,PERSON_B
text1,4,21,zu,zu,PROPN,
text1,4,22,einem,einem,PROPN,
text1,4,23,Abwehrkampf,Abwehrkampf,PROPN,
text1,4,24,für,für,NOUN,
text1,4,25,all,all,DET,
text1,4,26,jene,jene,PROPN,
text1,4,27,wird,wird,NOUN,
text1,4,28,",",",",PUNCT,
text1,4,29,die,die,VERB,
text1,4,30,Grundrechte,Grundrechte,PROPN,PERSON_B
text1,4,31,verteidigen,verteidigen,NOUN,
text1,4,32,.,.,PUNCT,
text3,1,1,„,„,PUNCT,
text3,1,2,Bei,Bei,PROPN,
text3,1,3,den,den,VERB,
text3,1,4,aktuellen,aktuellen,NOUN,
text3,1,5,Wahlvorhersagen,Wahlvorhersagen,PROPN,ORG_B
text3,1,6,gehen,gehen,NOUN,
text3,1,7,wir,wir,NOUN,
text3,1,8,davon,davon,PROPN,
text3,1,9,aus,aus,PROPN,
text3,1,10,",",",",PUNCT,
text3,1,11,dass,dass,NOUN,
text3,1,12,in,in,ADP,
text3,1,13,einer,einer,NOUN,
text3,1,14,künftigen,künftigen,PROPN,PERSON_B
text3,1,15,Regierung,Regierung,PROPN,PERSON_I
text3,1,16,kaum,kaum,VERB,
text3,1,17,mehr,mehr,NOUN,
text3,1,18,Interesse,Interesse,PROPN,PRODUCT_B
text3,1,19,an,an,DET,PRODUCT_I
text3,1,20,Inhalten,Inhalten,PROPN,PRODUCT_I
text3,1,21,und,und,NOUN,
text3,1,22,Beiträgen,Beiträgen,PROPN,ORG_B
text3,1,23,einer,einer,NOUN,
text3,1,24,zukunftsgewandten,zukunftsgewandten,NOUN,
text3,1,25,und,und,NOUN,
text3,1,26,progressiven,progressiven,ADV,
text3,1,27,Zivilgesellschaft,Zivilgesellschaft,PROPN,NORP_B
text3,1,28,bestehen,bestehen,PROPN,
text3,1,29,wird,wird,NOUN,
text3,1,30,“,"""",PUNCT,
text3,1,31,",",",",PUNCT,
text3,1,32,schreibt,schreibt,PROPN,
text3,1,33,der,der,NOUN,
text3,1,34,Chaos,Chaos,PROPN,ORG_B
text3,1,35,Computer,Computer,PROPN,ORG_I
text3,1,36,Club,Club,PROPN,ORG_I
text3,1,37,(,(,PUNCT,
text3,1,38,CCC,CCC,PROPN,ORG_B
text3,1,39,),),PUNCT,
text3,1,40,auf,auf,PROPN,
text3,1,41,unsere,unsere,NOUN,
text3,2,1,Frage,Frage,PROPN,
text3,2,2,",",",",PUNCT,
text3,2,3,wie,wie,NOUN,
text3,2,4,er,er,INTJ,
text3,2,5,sich,sich,PROPN,
text3,2,6,auf,auf,PROPN,
text3,2,7,die,die,VERB,
text3,2,8,Arbeit,Arbeit,PROPN,GPE_B
text3,2,9,der,der,PROPN,
text3,2,10,kommenden,kommenden,PROPN,
text3,2,11,Jahre,Jahre,PROPN,NORP_B
text3,2,12,vorbereitet,vorbereitet,NOUN,
text3,2,13,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Vorbereitung,Vorbereitung,PROPN,PERSON_B
text5,1,4,auf,auf,PROPN,
text5,1,5,den,den,VERB,
text5,1,6,Abwehrkampf,Abwehrkampf,NOUN,
text7,1,1,Die,die,VERB,PERSON_B
text7,1,2,Hacker,Hacker,PROPN,PERSON_I
text7,1,3,:,:,PUNCT,
text7,1,4,innen,innen,NOUN,
text7,1,5,-,-,PUNCT,
text7,1,6,Vereinigung,Vereinigung,PROPN,
text7,1,7,blickt,blickt,PROPN,
text7,1,8,pessimistisch,pessimistisch,PROPN,
text7,1,9,auf,auf,PROPN,
text7,1,10,die,die,PROPN,
text7,1,11,bundespolitische,bundespolitische,PROPN,
text7,1,12,Lage,lage,NOUN,
text7,1,13,:,:,PUNCT,
text7,1,14,„,„,PUNCT,
text7,1,15,Wir,Wir,PROPN,
text7,1,16,gehen,gehen,PROPN,
text7,1,17,von,von,PROPN,
text7,1,18,erheblichen,erheblichen,ADV,
text7,2,1,Eingriffen,Eingriffen,PROPN,PERSON_B
text7,2,2,in,in,ADP,
text7,2,3,die,die,NOUN,
text7,2,4,Kommunikationssicherheit,Kommunikationssicherheit,PROPN,PERSON_B
text7,2,5,und,und,PROPN,
text7,2,6,‑freiheit,‑freiheit,PROPN,
text7,2,7,aus,aus,PROPN,
text7,2,8,.,.,PUNCT,
text7,2,9,“,"""",PUNCT,
text7,3,1,Deshalb,Deshalb,PROPN,ORG_B
text7,3,2,plant,plant,NOUN,
text7,3,3,der,der,PROPN,
text7,3,4,Verein,Verein,PROPN,PERSON_B
text7,3,5,",",",",PUNCT,
text7,3,6,verstärkt,verstärkt,NOUN,
text7,3,7,„,„,ADJ,
text7,3,8,Kenntnisse,Kenntnisse,PROPN,PRODUCT_B
text7,3,9,über,über,NOUN,
text7,3,10,technische,technische,NOUN,
