doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Es,es,INTJ,
text1,1,2,ist,ist,NOUN,
text1,1,3,ein,ein,PROPN,
text1,1,4,weitreichender,weitreichender,PROPN,
text1,1,5,Vorschlag,Vorschlag,PROPN,PERSON_B
text1,1,6,",",",",PUNCT,
text1,1,7,den,den,NOUN,
text1,1,8,die,die,PROPN,
text1,1,9,Europäische,Europäische,PROPN,
text1,1,10,Kommission,Kommission,PROPN,
text1,1,11,macht,macht,NOUN,
text1,1,12,:,:,PUNCT,
text1,1,13,Private,private,ADJ,
text1,1,14,Chatnachrichten,Chatnachrichten,PROPN,
text1,1,15,über,über,NOUN,
text1,1,16,beliebte,beliebte,NOUN,
text1,1,17,Apps,Apps,PROPN,PERSON_B
text1,1,18,wie,wie,NOUN,PERSON_I
text1,1,19,Instagram,Instagram,PROPN,PERSON_I
text1,1,20,",",",",PUNCT,
text1,1,21,WhatsApp,WhatsApp,PROPN,ORG_B
text1,1,22,oder,oder,NOUN,
text1,1,23,Signal,Signal,PROPN,ORG_B
text1,1,24,sollen,sollen,PROPN,
text1,1,25,künftig,künftig,PROPN,
text1,1,26,systematisch,systematisch,PROPN,
text1,1,27,durchleuchtet,durchleuchtet,PROPN,
text1,1,28,werden,werden,PROPN,
text1,1,29,",",",",PUNCT,
text1,1,30,wenn,wenn,PROPN,
text1,1,31,eine,eine,NOUN,
text1,1,32,EU,EU,PROPN,ORG_B
text1,1,33,-,-,PUNCT,
text1,1,34,Behörde,Behörde,PROPN,
text1,1,35,das,das,PROPN,
text1,1,36,anordnet,anordnet,NOUN,
text1,1,37,.,.,PUNCT,
text1,2,1,Möglich,Möglich,PROPN,
text1,2,2,machen,machen,PROPN,
text1,2,3,soll,soll,PROPN,
text1,2,4,das,das,PROPN,PRODUCT_B
text1,2,5,ein,ein,PROPN,PRODUCT_I
text1,2,6,Gesetzesentwurf,Gesetzesentwurf,PROPN,PRODUCT_I
text1,2,7,gegen,gegen,NOUN,PRODUCT_I
text1,2,8,Kindesmissbrauch,Kindesmissbrauch,PROPN,PRODUCT_I
text1,2,9,",",",",PUNCT,
text1,2,10,den,den,VERB,
text1,2,11,die,die,NOUN,
text1,2,12,Kommission,Kommission,PROPN,ORG_B
text1,2,13,heute,heute,VERB,
text1,2,14,vorgelegt,vorgelegt,VERB,
text1,2,15,hat,hat,NOUN,
text1,2,16,.,.,PUNCT,
text1,3,1,(,(,PUNCT,
text1,3,2,Wir,wir,ADJ,
text1,3,3,haben,haben,PROPN,
text1,3,4,vorab,vorab,PROPN,
text1,3,5,berichtet,berichtet,PROPN,
text1,3,6,.,.,PUNCT,
text1,3,7,),),PUNCT,
text3,1,1,Behörden,Behörden,PROPN,GPE_B
text3,1,2,sollen,sollen,NOUN,
text3,1,3,Internetdiensten,Internetdiensten,PROPN,
text3,1,4,künftig,künftig,PROPN,
text3,1,5,anordnen,anordnen,NOUN,
text3,1,6,dürfen,dürfen,PROPN,
text3,1,7,",",",",PUNCT,
text3,1,8,dass,dass,PROPN,
text3,1,9,sie,sie,PROPN,
text3,1,10,private,private,PROPN,
text3,1,11,Nachrichten,Nachrichten,PROPN,
text3,1,12,auf,auf,PROPN,
text3,1,13,den,den,VERB,
text3,1,14,Verdacht,Verdacht,PROPN,PERSON_B
text3,1,15,von,von,ADJ,
text3,1,16,Kindesmissbrauch,Kindesmissbrauch,PROPN,
text3,1,17,scannen,scannen,NOUN,
text3,1,18,müssen,müssen,NOUN,
text3,1,19,.,.,PUNCT,
text3,2,1,Wenn,Wenn,PROPN,
text3,2,2,die,die,VERB,
text3,2,3,Plattform,Plattform,PROPN,
text3,2,4,in,in,ADP,
text3,2,5,Bildern,bildern,ADJ,NORP_B
text3,2,6,oder,oder,NOUN,
text3,2,7,Videos,Videos,PROPN,GPE_B
text3,2,8,ihrer,ihrer,NOUN,
text3,2,9,Nutzer,Nutzer,PROPN,ORG_B
text3,2,10,:,:,PUNCT,
text3,3,1,innen,innen,NOUN,
text3,3,2,konkrete,konkrete,NOUN,
text3,3,3,Anzeichen,Anzeichen,PROPN,PERSON_B
text3,3,4,für,für,NOUN,
text3,3,5,Missbrauchsmaterial,Missbrauchsmaterial,PROPN,
text3,3,6,findet,findet,NOUN,
text3,3,7,",",",",PUNCT,
text3,3,8,muss,muss,NOUN,
text3,3,9,dies,die,VERB,
text3,3,10,den,den,VERB,
text3,3,11,Behörden,Behörden,PROPN,GPE_B
text3,3,12,gemeldet,gemeldet,PROPN,
text3,3,13,werden,werden,PROPN,
text3,3,14,.,.,PUNCT,
text3,4,1,Das,Das,PROPN,
text3,4,2,könnten,könnten,PROPN,
text3,4,3,etwa,etwa,VERB,
text3,4,4,Dateien,Dateien,PROPN,PERSON_B
text3,4,5,sein,sein,PROPN,
text3,4,6,",",",",PUNCT,
text3,4,7,die,die,VERB,
text3,4,8,ähnlich,ähnlich,NOUN,
text3,4,9,zu,zu,NOUN,
text3,4,10,bereits,bereit,NOUN,
text3,4,11,bekannten,bekannten,ADJ,
text3,4,12,Darstellungen,Darstellungen,PROPN,ORG_B
text3,4,13,sexualisierter,sexualisierter,NOUN,
text3,4,14,Gewalt,Gewalt,PROPN,PERSON_B
text3,4,15,sind,sind,NOUN,
text3,4,16,.,.,PUNCT,
text3,5,1,Welche,Welche,PROPN,PERSON_B
text3,5,2,Technologien,Technologien,PROPN,PERSON_I
text3,5,3,für,für,NOUN,
text3,5,4,diese,diese,PROPN,NORP_B
text3,5,5,Erkennung,Erkennung,PROPN,
text3,5,6,zum,zum,PROPN,PERSON_B
text3,5,7,Einsatz,Einsatz,PROPN,PERSON_I
text3,5,8,kommen,komman,NOUN,PERSON_I
text3,5,9,",",",",PUNCT,
text3,5,10,soll,soll,PROPN,PERSON_B
text3,5,11,ein,ein,PROPN,PERSON_I
text3,5,12,neues,neues,PROPN,
text3,5,13,EU,EU,PROPN,ORG_B
text3,5,14,-,-,PUNCT,
text3,5,15,Zentrum,Zentrum,PROPN,
text3,5,16,gegen,gegen,NOUN,
text3,6,1,Kindesmissbrauch,Kindesmissbrauch,PROPN,PERSON_B
text3,6,2,bereitstellen,bereitstellen,VERB,
text3,6,3,.,.,PUNCT,
text5,1,1,Diese,Diese,PROPN,NORP_B
text5,1,2,Pläne,Pläne,PROPN,
text5,1,3,halten,halten,NOUN,
text5,1,4,Kritiker,Kritiker,PROPN,PERSON_B
text5,1,5,:,:,PUNCT,
text5,1,6,innen,innen,NOUN,
text5,1,7,für,für,NOUN,
text5,1,8,einen,einen,NOUN,
text5,1,9,massiven,massiven,PROPN,
text5,1,10,Eingriff,Eingriff,PROPN,PERSON_B
text5,1,11,in,in,ADP,
text5,1,12,die,die,ADJ,
text5,1,13,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text5,1,14,.,.,PUNCT,
text5,2,1,Es,es,INTJ,
text5,2,2,sei,sei,ADJ,
text5,2,3,völlig,völlig,PROPN,
text5,2,4,unklar,unklar,PROPN,
text5,2,5,",",",",PUNCT,
text5,2,6,wie,wie,PROPN,
text5,2,7,zuverlässig,zuverlässig,ADJ,
text5,2,8,eine,eine,NOUN,
text5,2,9,solche,solche,PROPN,
text5,2,10,Technologie,Technologie,PROPN,ORG_B
text5,2,11,sei,sei,ADJ,
text5,2,12,–,–,PUNCT,
text5,2,13,etwa,etwa,NOUN,
text5,2,14,",",",",PUNCT,
text5,2,15,wie,wie,NOUN,
text5,2,16,leicht,leicht,PROPN,
text5,2,17,Unschuldige,Unschuldige,PROPN,
text5,2,18,in,in,ADP,
text5,2,19,ihr,ihr,NOUN,
text5,2,20,Visier,Visier,PROPN,PRODUCT_B
text5,2,21,geraten,geraten,NOUN,
text5,2,22,können,können,NOUN,
text5,2,23,.,.,PUNCT,
text5,3,1,Datenschützer,Datenschützer,PROPN,PERSON_B
text5,3,2,:,:,PUNCT,
text5,3,3,innen,innen,NOUN,
text5,3,4,warnen,warnen,PROPN,
text5,3,5,überdies,überdie,NOUN,
text5,3,6,",",",",PUNCT,
text5,3,7,wenn,wenn,PROPN,
text5,3,8,die,die,PROPN,
text5,3,9,EU,EU,PROPN,ORG_B
text5,3,10,das,das,PROPN,
text5,3,11,Scannen,Scannen,PROPN,PERSON_B
text5,3,12,von,von,PROPN,PERSON_I
text5,3,13,Inhalten,Inhalten,PROPN,PERSON_I
text5,3,14,direkt,direkt,NOUN,
text5,3,15,auf,auf,PROPN,
text5,3,16,den,den,NOUN,
text5,3,17,Geräten,Geräten,PROPN,PRODUCT_B
text5,3,18,anordne,anordne,NOUN,
text5,3,19,",",",",PUNCT,
text5,3,20,könne,könne,PROPN,PERSON_B
text5,3,21,das,das,PROPN,PERSON_I
text5,3,22,die,die,VERB,
text5,3,23,Ende,Ende,PROPN,
text5,3,24,-,-,PUNCT,
text5,3,25,zu,zu,NOUN,
text5,3,26,-,-,PUNCT,
text5,3,27,Ende,ende,ADJ,
text5,3,28,-,-,PUNCT,
text5,3,29,Verschlüsselung,Verschlüsselung,PROPN,
text5,3,30,von,von,PROPN,
text5,3,31,Messengern,Messengern,PROPN,
text5,3,32,wie,wie,NOUN,
text5,3,33,WhatsApp,WhatsApp,PROPN,ORG_B
text5,3,34,und,und,NOUN,
text5,3,35,Signal,Signal,PROPN,ORG_B
text5,3,36,unterlaufen,unterlaufen,VERB,
text5,3,37,.,.,PUNCT,
text7,1,1,Doch,Doch,PROPN,
text7,1,2,selbst,selbst,ADJ,
text7,1,3,interne,interne,ADJ,
text7,1,4,Einwände,Einwände,PROPN,ORG_B
text7,1,5,fanden,fanden,NOUN,
text7,1,6,kein,kein,X,
text7,1,7,Gehör,Gehör,PROPN,GPE_B
text7,1,8,bei,bei,PROPN,
text7,1,9,den,den,VERB,
text7,1,10,EU,EU,PROPN,ORG_B
text7,1,11,-,-,PUNCT,
text7,1,12,Spitzen,Spitzen,PROPN,
text7,1,13,.,.,PUNCT,
text7,2,1,Politisch,Politisch,PROPN,
text7,2,2,verantwortlich,verantwortlich,NOUN,
text7,2,3,sind,sind,NOUN,
text7,2,4,EU,EU,PROPN,ORG_B
text7,2,5,-,-,PUNCT,
text7,2,6,Innenkommissarin,Innenkommissarin,PROPN,PERSON_B
text7,2,7,Ylva,Ylva,PROPN,PERSON_I
text7,2,8,Johansson,Johansson,PROPN,PERSON_I
text7,2,9,und,und,PROPN,
text7,2,10,Kommissionschefin,Kommissionschefin,PROPN,PERSON_B
text7,2,11,Ursula,Ursula,PROPN,PERSON_I
text7,2,12,von,von,PROPN,PERSON_I
text7,2,13,der,der,PROPN,PERSON_I
text7,2,14,Leyen,Leyen,PROPN,GPE_B
text7,2,15,.,.,PUNCT,
text7,3,1,Johansson,Johansson,PROPN,PERSON_B
text7,3,2,betonte,betonte,NOUN,
text7,3,3,in,in,ADP,
text7,3,4,vergangenen,vergangenen,NOUN,
text7,3,5,Monaten,Monaten,PROPN,PERSON_B
text7,3,6,mantraartig,mantraartig,PROPN,PERSON_I
text7,3,7,",",",",PUNCT,
text7,3,8,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text7,3,9,und,und,PROPN,
text7,3,10,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text7,3,11,dürften,dürften,VERB,
text7,3,12,der,der,PROPN,
text7,3,13,Strafverfolgung,Strafverfolgung,PROPN,PERSON_B
text7,3,14,nicht,nicht,NOUN,
text7,4,1,i,I,PRON,
text7,4,2,m,m,VERB,
text7,4,3,Wege,Wege,PROPN,
text7,4,4,stehen,stehen,ADV,
text7,4,5,.,.,PUNCT,
text7,5,1,Für,Für,PROPN,PERSON_B
text7,5,2,Von,Von,PROPN,PERSON_I
text7,5,3,der,der,NOUN,
text7,5,4,Leyen,Leyen,PROPN,GPE_B
text7,5,5,sind,sind,NOUN,
text7,5,6,solche,solche,PROPN,
text7,5,7,Kontroversen,Kontroversen,PROPN,ORG_B
text7,5,8,nichts,nicht,NOUN,
text7,5,9,Neues,neue,NOUN,ORG_B
text7,5,10,:,:,PUNCT,
text7,5,11,Ihr,Ihr,PROPN,PERSON_B
text7,5,12,Vorschlag,Vorschlag,PROPN,PERSON_I
text7,5,13,für,für,NOUN,
text7,5,14,Netzsperren,Netzsperren,PROPN,PERSON_B
text7,5,15,gegen,gegen,NOUN,
text7,5,16,Kindesmissbrauchsinhalte,Kindesmissbrauchsinhalte,PROPN,PERSON_B
text7,5,17,sorgte,sorgte,VERB,
text7,5,18,2009,2009,NUM,DATE_B
text7,5,19,für,für,NOUN,
text7,5,20,massive,massive,ADJ,
text7,5,21,Proteste,proteste,NOUN,FAC_B
text7,5,22,gegen,gegen,NOUN,
text7,5,23,„,„,NOUN,
text7,5,24,Zensursula,Zensursula,PROPN,
text7,5,25,“,"""",PUNCT,
text7,5,26,in,in,ADP,
text7,5,27,Deutschland,Deutschland,PROPN,GPE_B
text7,5,28,.,.,PUNCT,
text9,1,1,#,#,SYM,
text9,1,2,#,#,NOUN,
text9,1,3,Ein,Ein,PROPN,PERSON_B
text9,1,4,Schauspieler,Schauspieler,PROPN,PERSON_I
text9,1,5,mit,mit,VERB,
text9,1,6,Nebenlinie,Nebenlinie,PROPN,PERSON_B
text9,1,7,als,al,NOUN,
text9,1,8,Überwachungsentrepreneur,Überwachungsentrepreneur,PROPN,GPE_B
text11,1,1,Der,Der,PROPN,PERSON_B
text11,1,2,neue,neue,NOUN,
text11,1,3,Überwachungsvorschlag,Überwachungsvorschlag,PROPN,ORG_B
text11,1,4,aus,aus,ADP,ORG_I
text11,1,5,Brüssel,Brüssel,PROPN,ORG_I
text11,1,6,weckt,weckt,VERB,
text11,1,7,freilich,freilich,PROPN,
text11,1,8,nicht,nicht,PROPN,
text11,1,9,nur,nur,VERB,
text11,1,10,lautstarke,lautstarke,PROPN,
text11,1,11,Opposition,Opposition,PROPN,
text11,1,12,",",",",PUNCT,
text11,1,13,er,er,INTJ,
text11,1,14,findet,findet,ADJ,
text11,1,15,auch,auch,PROPN,
text11,1,16,einflussreiche,einflussreiche,PROPN,
text11,1,17,Fürsprache,Fürsprache,PROPN,ORG_B
text11,1,18,.,.,PUNCT,
text11,2,1,Überaus,Überaus,PROPN,PERSON_B
text11,2,2,wirksames,wirksame,NOUN,
text11,2,3,Lobbying,lobby,VERB,
text11,2,4,für,für,NOUN,
text11,2,5,das,das,PROPN,
text11,2,6,Gesetz,Gesetz,PROPN,PERSON_B
text11,2,7,machte,machte,PROPN,PERSON_I
text11,2,8,dabei,dabei,VERB,
text11,2,9,offenbar,offenbar,ADJ,
text11,2,10,eine,eine,NOUN,
text11,2,11,Organisation,Organisation,PROPN,ORG_B
text11,2,12,namens,namen,VERB,
