doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Nach,nach,NOUN,
text1,1,2,mehr,mehr,NOUN,
text1,1,3,als,al,NOUN,
text1,1,4,drei,drei,VERB,
text1,1,5,Jahren,Jahren,PROPN,ORG_B
text1,1,6,haben,haben,NOUN,
text1,1,7,sich,sich,PRON,
text1,1,8,die,die,VERB,
text1,1,9,Vertreter,Vertreter,PROPN,
text1,1,10,:,:,PUNCT,
text1,1,11,innen,innen,NOUN,
text1,1,12,der,der,PROPN,
text1,1,13,EU,EU,PROPN,ORG_B
text1,1,14,-,-,PUNCT,ORG_I
text1,1,15,Länder,Länder,PROPN,ORG_I
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Rat,Rat,PROPN,
text1,2,4,auf,auf,PROPN,
text1,2,5,eine,eine,NOUN,
text1,2,6,gemeinsame,gemeinsame,NOUN,
text1,2,7,Position,Position,PROPN,ORG_B
text1,2,8,zur,zur,PROPN,
text1,2,9,„,„,PROPN,
text1,2,10,Chatkontrolle,Chatkontrolle,PROPN,
text1,2,11,“,"""",PUNCT,
text1,2,12,geeinigt,geeinigt,PROPN,
text1,2,13,.,.,PUNCT,
text1,3,1,Nachdem,Nachdem,PROPN,ORG_B
text1,3,2,das,das,PROPN,ORG_I
text1,3,3,Parlament,Parlament,PROPN,ORG_I
text1,3,4,schon,schon,NOUN,
text1,3,5,2023,2023,NUM,DATE_B
text1,3,6,eine,eine,NOUN,
text1,3,7,Position,position,NOUN,
text1,3,8,fand,fand,NOUN,
text1,3,9,",",",",PUNCT,
text1,3,10,geht,geht,VERB,
text1,3,11,die,die,VERB,
text1,3,12,Verordnung,Verordnung,PROPN,PERSON_B
text1,3,13,nun,nun,NOUN,PERSON_I
text1,3,14,in,in,ADP,
text1,3,15,den,den,NOUN,
text1,3,16,Trilog,Trilog,PROPN,PERSON_B
text1,3,17,",",",",PUNCT,
text1,3,18,die,die,VERB,
text1,3,19,Verhandlungen,Verhandlungen,PROPN,ORG_B
text1,3,20,zwischen,zwischen,PROPN,ORG_I
text1,3,21,Kommission,Kommission,PROPN,ORG_I
text1,3,22,",",",",PUNCT,
text1,3,23,Parlament,Parlament,PROPN,
text1,3,24,und,und,PROPN,
text1,3,25,Rat,Rat,PROPN,
text1,3,26,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Verordnung,Verordnung,PROPN,
text3,1,3,enthielt,enthielt,NOUN,
text3,1,4,mit,mit,VERB,
text3,1,5,der,der,PROPN,
text3,1,6,verpflichtenden,verpflichtenden,NOUN,
text3,1,7,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,8,eines,eine,VERB,
text3,1,9,der,der,PROPN,
text3,1,10,gefährlichsten,gefährlichsten,ADJ,
text3,1,11,Überwachungsprojekte,Überwachungsprojekte,PROPN,PERSON_B
text3,1,12,überhaupt,überhaupt,PROPN,
text3,1,13,",",",",PUNCT,
text3,1,14,das,das,PROPN,ORG_B
text3,1,15,vertrauliche,vertrauliche,PROPN,ORG_I
text3,1,16,",",",",PUNCT,
text3,1,17,private,private,ADJ,
text3,1,18,und,und,PROPN,
text3,1,19,verschlüsselte,verschlüsselte,ADJ,
text3,1,20,Kommunikation,Kommunikation,PROPN,PERSON_B
text3,1,21,aufs,aufs,NOUN,PERSON_I
text3,1,22,Spiel,Spiel,PROPN,PERSON_I
text3,1,23,setzt,setzt,NOUN,
text3,1,24,.,.,PUNCT,
text3,2,1,Bei,Bei,PROPN,
text3,2,2,derzeitigem,derzeitigem,NOUN,
text3,2,3,Stand,Stand,PROPN,
text3,2,4,scheint,scheint,VERB,
text3,2,5,zumindest,zumind,ADJ,NORP_B
text3,2,6,diese,diese,ADJ,NORP_I
text3,2,7,Gefahr,Gefahr,PROPN,
text3,2,8,gebannt,gebannt,NOUN,
text3,2,9,.,.,PUNCT,
text3,3,1,Aber,Aber,PROPN,
text3,3,2,die,die,VERB,
text3,3,3,Verordnung,Verordnung,PROPN,PERSON_B
text3,3,4,enthält,enthält,NOUN,
text3,3,5,weitere,weitere,VERB,
text3,3,6,Probleme,probleme,NOUN,GPE_B
text3,3,7,.,.,PUNCT,
text5,1,1,Wir,Wir,PROPN,
text5,1,2,erklären,erklären,PROPN,
text5,1,3,",",",",PUNCT,
text5,1,4,wie,wie,PROPN,
text5,1,5,es,es,PROPN,
text5,1,6,auf,auf,PROPN,
text5,1,7,dem,dem,PROPN,PERSON_B
text5,1,8,Weg,Weg,PROPN,PERSON_I
text5,1,9,zum,zum,NOUN,PERSON_I
text5,1,10,fertigen,fertigen,NOUN,PERSON_I
text5,1,11,Gesetz,Gesetz,PROPN,PRODUCT_B
text5,1,12,jetzt,jetzt,PROPN,
text5,1,13,weiter,weiter,PROPN,
text5,1,14,geht,geht,PROPN,
text5,1,15,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Inhalt,inhalt,NOUN,
text9,1,1,-,-,PUNCT,
text9,1,2,Was,be,AUX,
text9,1,3,hat,hat,NOUN,
text9,1,4,die,die,VERB,
text9,1,5,EU,EU,PROPN,ORG_B
text9,1,6,-,-,PUNCT,ORG_I
text9,1,7,Kommission,Kommission,PROPN,ORG_I
text9,1,8,vorgeschlagen,vorgeschlagen,NOUN,
text9,1,9,?,?,PUNCT,
text10,1,1,-,-,PUNCT,
text10,1,2,Was,be,AUX,
text10,1,3,ist,ist,ADJ,
text10,1,4,die,die,PROPN,
text10,1,5,Position,Position,PROPN,ORG_B
text10,1,6,des,des,PROPN,ORG_I
text10,1,7,EU,EU,PROPN,ORG_I
text10,1,8,-,-,PUNCT,ORG_I
text10,1,9,Parlaments,Parlaments,PROPN,ORG_I
text10,1,10,?,?,PUNCT,
text11,1,1,-,-,PUNCT,
text11,1,2,Was,be,AUX,
text11,1,3,ist,ist,ADJ,
text11,1,4,die,die,VERB,
text11,1,5,Position,Position,PROPN,ORG_B
text11,1,6,des,des,X,ORG_I
text11,1,7,Rats,rat,NOUN,ORG_I
text11,1,8,?,?,PUNCT,
text12,1,1,-,-,PUNCT,
text12,1,2,Was,be,AUX,
text12,1,3,ist,ist,NOUN,
text12,1,4,der,der,PROPN,
text12,1,5,Trilog,Trilog,PROPN,PERSON_B
text12,1,6,?,?,PUNCT,
text13,1,1,-,-,PUNCT,
text13,1,2,Welche,Welche,PROPN,
text13,1,3,Knackpunkte,Knackpunkte,PROPN,
text13,1,4,gibt,gibt,PROPN,
text13,1,5,es,es,PROPN,
text13,1,6,bei,bei,PROPN,
text13,1,7,den,den,VERB,
text13,1,8,Trilog,Trilog,PROPN,PERSON_B
text13,1,9,-,-,PUNCT,PERSON_I
text13,1,10,Verhandlungen,Verhandlungen,PROPN,PERSON_I
text13,1,11,?,?,PUNCT,
text14,1,1,-,-,PUNCT,
text14,1,2,Kann,Kann,PROPN,
text14,1,3,es,es,X,
text14,1,4,sein,sein,PROPN,
text14,1,5,",",",",PUNCT,
text14,1,6,dass,dass,PROPN,
text14,1,7,die,die,VERB,
text14,1,8,verpflichtende,verpflichtende,NOUN,
text14,1,9,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text14,1,10,doch,doch,PROPN,
text14,1,11,noch,noch,PROPN,
text14,1,12,kommt,kommt,PROPN,PERSON_B
text14,1,13,?,?,PUNCT,
text15,1,1,-,-,PUNCT,
text15,1,2,Was,be,AUX,
text15,1,3,ist,ist,ADJ,
text15,1,4,eine,eine,NOUN,
text15,1,5,freiwillige,freiwillige,NOUN,
text15,1,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text15,1,7,?,?,PUNCT,
text16,1,1,-,-,PUNCT,
text16,1,2,Was,be,AUX,
text16,1,3,ist,ist,ADJ,
text16,1,4,das,das,PROPN,PERSON_B
text16,1,5,Problem,Problem,PROPN,PERSON_I
text16,1,6,an,an,DET,
text16,1,7,der,der,NOUN,
text16,1,8,freiwilligen,freiwilligen,NOUN,
text16,1,9,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text16,1,10,?,?,PUNCT,
text17,1,1,-,-,PUNCT,
text17,1,2,Ist,Ist,PROPN,
text17,1,3,der,der,NOUN,
text17,1,4,jetzt,jetzt,NOUN,
text17,1,5,erreichte,erreichte,PROPN,
text17,1,6,Stand,Stand,PROPN,ORG_B
text17,1,7,ein,ein,PROPN,ORG_I
text17,1,8,Erfolg,Erfolg,PROPN,ORG_I
text17,1,9,für,für,NOUN,
text17,1,10,die,die,VERB,
text17,1,11,Grundrechte,Grundrechte,PROPN,PERSON_B
text17,1,12,?,?,PUNCT,
text18,1,1,-,-,PUNCT,
text18,1,2,Was,was,AUX,
text18,1,3,kann,kann,NOUN,
text18,1,4,ich,ich,NOUN,
text18,1,5,als,al,VERB,
text18,1,6,Einzelperson,Einzelperson,PROPN,PERSON_B
text18,1,7,tun,tun,NOUN,
text18,1,8,",",",",PUNCT,
text18,1,9,um,um,INTJ,
text18,1,10,gegen,gegen,NOUN,
text18,1,11,problematische,problematische,NOUN,
text18,1,12,Vorhaben,Vorhaben,PROPN,ORG_B
text18,1,13,wie,wie,NOUN,
text18,1,14,die,die,VERB,
text18,1,15,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text18,1,16,aktiv,aktiv,PROPN,PERSON_I
text18,1,17,zu,zu,PROPN,PERSON_I
text18,1,18,werden,werden,PROPN,PERSON_I
text18,1,19,?,?,PUNCT,
text19,1,1,-,-,PUNCT,
text19,1,2,Wie,wie,NOUN,
text19,1,3,lassen,lassen,NOUN,
text19,1,4,sich,sich,PROPN,
text19,1,5,Kinder,Kinder,PROPN,ORG_B
text19,1,6,und,und,VERB,
text19,1,7,Jugendliche,Jugendliche,PROPN,ORG_B
text19,1,8,vor,vor,VERB,
text19,1,9,sexualisierter,sexualisierter,NOUN,
text19,1,10,Gewalt,Gewalt,PROPN,PERSON_B
text19,1,11,schützen,schützen,NOUN,
text19,1,12,?,?,PUNCT,
text21,1,1,#,#,SYM,
text21,1,2,#,#,NOUN,MONEY_B
text21,1,3,Was,be,AUX,
text21,1,4,hat,hat,NOUN,
text21,1,5,die,die,VERB,
text21,1,6,EU,EU,PROPN,ORG_B
text21,1,7,-,-,PUNCT,ORG_I
text21,1,8,Kommission,Kommission,PROPN,ORG_I
text21,1,9,vorgeschlagen,vorgeschlagen,NOUN,
text21,1,10,?,?,PUNCT,
text23,1,1,Die,die,VERB,ORG_B
