doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,I,I,PRON,
text1,1,2,m,m,VERB,
text1,1,3,Jahr,Jahr,PROPN,PERSON_B
text1,1,4,2025,2025,NUM,PERSON_I
text1,1,5,ist,ist,ADJ,
text1,1,6,das,das,PROPN,ORG_B
text1,1,7,Team,Team,PROPN,ORG_I
text1,1,8,von,von,PROPN,ORG_I
text1,1,9,netzpolitik.org,netzpolitik.org,X,ORG_I
text1,1,10,gewachsen,gewachsen,PROPN,
text1,1,11,.,.,PUNCT,
text1,2,1,I,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Januar,Januar,PROPN,PRODUCT_B
text1,2,4,kam,kam,PROPN,
text1,2,5,David,David,PROPN,PERSON_B
text1,2,6,Giwojno,Giwojno,PROPN,PERSON_I
text1,2,7,als,al,NOUN,
text1,3,1,Werkstudent,Werkstudent,PROPN,
text1,3,2,für,für,NOUN,
text1,3,3,die,die,VERB,
text1,3,4,Technik,Technik,PROPN,ORG_B
text1,3,5,-,-,PUNCT,ORG_I
text1,3,6,Administration,Administration,PROPN,ORG_I
text1,3,7,dazu,dazu,NOUN,
text1,3,8,",",",",PUNCT,
text1,3,9,i,I,PRON,
text1,3,10,m,m,VERB,
text1,3,11,September,September,PROPN,DATE_B
text1,3,12,folgten,folgten,VERB,
text1,3,13,Lucas,Lucas,PROPN,ORG_B
text1,3,14,Fiola,Fiola,PROPN,ORG_I
text1,3,15,",",",",PUNCT,
text1,3,16,der,der,PROPN,
text1,3,17,ebenfalls,ebenfall,NOUN,
text1,3,18,als,al,VERB,
text1,3,19,Werkstudent,Werkstudent,PROPN,ORG_B
text1,3,20,unsere,unsere,NOUN,ORG_I
text1,3,21,Social,Social,PROPN,ORG_I
text1,3,22,-,-,PUNCT,ORG_I
text1,3,23,Media,Media,PROPN,ORG_I
text1,3,24,-,-,PUNCT,ORG_I
text1,3,25,Präsenz,Präsenz,PROPN,ORG_I
text1,3,26,aufmöbelt,aufmöbelt,VERB,
text1,3,27,",",",",PUNCT,
text1,3,28,und,und,VERB,
text1,3,29,Timur,Timur,PROPN,ORG_B
text1,3,30,Vorkul,Vorkul,PROPN,ORG_I
text1,3,31,",",",",PUNCT,
text1,3,32,unser,unser,NOUN,
text1,3,33,erster,erster,NOUN,
text1,3,34,Volontär,Volontär,PROPN,
text1,3,35,.,.,PUNCT,
text1,4,1,Ab,Ab,PROPN,
text1,4,2,Dezember,Dezember,PROPN,DATE_B
text1,4,3,unterstützt,unterstützt,NOUN,
text1,4,4,uns,un,VERB,
text1,4,5,unsere,unsere,NOUN,
text1,4,6,vorherige,vorherige,NOUN,
text1,4,7,Bundesfreiwillige,Bundesfreiwillige,PROPN,ORG_B
text1,4,8,Lilly,Lilly,PROPN,ORG_I
text1,4,9,Pursch,Pursch,PROPN,ORG_I
text1,4,10,bei,bei,VERB,
text1,4,11,der,der,PROPN,
text1,4,12,Spenden,Spenden,PROPN,ORG_B
text1,4,13,-,-,PUNCT,ORG_I
text1,4,14,Verwaltung,Verwaltung,PROPN,ORG_I
text1,4,15,.,.,PUNCT,
text1,5,1,Als,Als,PROPN,
text1,5,2,neuer,neuer,ADJ,
text1,5,3,Freiwilliger,Freiwilliger,PROPN,PERSON_B
text1,5,4,ist,ist,NOUN,
text1,5,5,seit,seit,NOUN,
text1,5,6,September,September,PROPN,
text1,5,7,Ben,Ben,PROPN,PERSON_B
text1,5,8,Kumi,Kumi,PROPN,PERSON_I
text1,5,9,i,I,PRON,
text1,5,10,m,m,VERB,
text1,5,11,Team,Team,PROPN,
text1,5,12,und,und,NOUN,
text1,5,13,als,al,NOUN,
text1,5,14,feste,feste,VERB,
text1,5,15,Freie,Freie,PROPN,NORP_B
text1,5,16,sind,sind,NOUN,
text1,5,17,seit,seit,NOUN,
text1,5,18,diesem,diesem,NOUN,
text1,5,19,Jahr,Jahr,PROPN,PERSON_B
text1,5,20,auch,auch,NOUN,
text1,5,21,Anna,Anna,PROPN,PERSON_B
text1,5,22,Ströbele,Ströbele,PROPN,PERSON_I
text1,5,23,Romero,Romero,PROPN,PERSON_I
text1,5,24,in,in,ADP,
text1,5,25,Brüssel,Brüssel,PROPN,GPE_B
text1,5,26,und,und,VERB,
text1,5,27,Esther,Esther,PROPN,
text1,5,28,Menhard,Menhard,PROPN,
text1,5,29,an,an,DET,
text1,5,30,Bord,Bord,PROPN,
text1,5,31,.,.,PUNCT,
text3,1,1,Damit,Damit,PROPN,ORG_B
text3,1,2,sind,sind,NOUN,
text3,1,3,wir,wir,NOUN,
text3,1,4,13,13,NUM,CARDINAL_B
text3,1,5,feste,feste,NOUN,
text3,1,6,Redakteur,Redakteur,PROPN,
text3,1,7,:,:,PUNCT,
text3,1,8,innen,innen,NOUN,
text3,1,9,",",",",PUNCT,
text3,1,10,die,die,VERB,
text3,1,11,von,von,PROPN,
text3,1,12,mehreren,mehreren,PROPN,
text3,1,13,freien,freien,PROPN,
text3,1,14,Autor,Autor,PROPN,
text3,1,15,:,:,PUNCT,
text3,1,16,innen,innen,NOUN,
text3,1,17,",",",",PUNCT,
text3,1,18,Kolumnist,Kolumnist,PROPN,NORP_B
text3,1,19,:,:,PUNCT,
text3,1,20,innen,innen,NOUN,
text3,1,21,und,und,VERB,
text3,1,22,unserem,unserem,ADJ,
text3,1,23,Podcast,Podcast,PROPN,
text3,1,24,-,-,PUNCT,
text3,1,25,Produzenten,Produzenten,PROPN,
text3,1,26,unterstützt,unterstützt,PROPN,
text3,1,27,werden,werden,NOUN,
text3,1,28,.,.,PUNCT,
text3,2,1,In,in,ADP,
text3,2,2,der,der,PROPN,
text3,2,3,Regel,Regel,PROPN,PERSON_B
text3,2,4,macht,macht,PROPN,
text3,2,5,außerdem,außerdem,PROPN,
text3,2,6,eine,eine,NOUN,
text3,2,7,Person,Person,PROPN,
text3,2,8,pro,pro,PROPN,
text3,2,9,Quartal,Quartal,PROPN,GPE_B
text3,2,10,ein,ein,PROPN,
text3,2,11,Praktikum,Praktikum,PROPN,NORP_B
text3,2,12,in,in,ADP,
text3,2,13,der,der,PROPN,GPE_B
text3,2,14,Redaktion,Redaktion,PROPN,GPE_I
text3,2,15,.,.,PUNCT,
text3,3,1,In,in,ADP,
text3,3,2,der,der,NOUN,
text3,3,3,IT,it,PRON,
text3,3,4,arbeiten,arbeiten,VERB,
text3,3,5,derzeit,derzeit,PROPN,
text3,3,6,zwei,zwei,PROPN,
text3,4,1,Menschen,Menschen,PROPN,
text3,4,2,",",",",PUNCT,
text3,4,3,in,in,ADP,
text3,4,4,Finanzen,Finanzen,PROPN,GPE_B
text3,4,5,und,und,NOUN,
text3,4,6,Verwaltung,Verwaltung,PROPN,GPE_B
text3,4,7,ebenfalls,ebenfall,NOUN,
text3,4,8,",",",",PUNCT,
text3,4,9,genau,genau,PROPN,
text3,4,10,wie,wie,PROPN,
text3,4,11,zu,zu,PROPN,
text3,4,12,den,den,VERB,
text3,4,13,Themen,Themen,PROPN,ORG_B
text3,4,14,Kreation,Kreation,PROPN,ORG_I
text3,4,15,",",",",PUNCT,
text3,4,16,Campaigning,Campaigning,PROPN,ORG_B
text3,4,17,und,und,VERB,ORG_I
text3,4,18,Social,Social,PROPN,ORG_I
text3,4,19,Media,medium,NOUN,ORG_I
text3,4,20,.,.,PUNCT,
text3,5,1,Eine,Eine,PROPN,PERSON_B
text3,5,2,Person,Person,PROPN,PERSON_I
text3,5,3,sorgt,sorgt,VERB,
text3,5,4,dafür,dafür,NOUN,
text3,5,5,",",",",PUNCT,
text3,5,6,dass,dass,NOUN,
text3,5,7,unser,unser,NOUN,
text3,5,8,Büro,Büro,PROPN,ORG_B
text3,5,9,jede,jede,VERB,
