doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,I,I,PRON,
text1,1,2,m,m,VERB,
text1,1,3,Gegensatz,gegensatz,ADJ,
text1,1,4,zu,zu,NOUN,
text1,1,5,den,den,VERB,
text1,1,6,Messengern,Messengern,PROPN,ORG_B
text1,1,7,WhatsApp,WhatsApp,PROPN,ORG_I
text1,1,8,und,und,VERB,
text1,1,9,Signal,Signal,PROPN,ORG_B
text1,1,10,erwägt,erwägt,NOUN,
text1,2,1,Threema,Threema,PROPN,
text1,2,2,keinen,keinen,NOUN,
text1,2,3,aktiven,aktiven,NOUN,
text1,2,4,Rückzug,Rückzug,PROPN,ORG_B
text1,2,5,aus,aus,PROPN,ORG_I
text1,2,6,Großbritannien,Großbritannien,PROPN,ORG_I
text1,2,7,",",",",PUNCT,
text1,2,8,wenn,wenn,PROPN,
text1,2,9,der,der,PROPN,
text1,2,10,„,„,PUNCT,
text1,2,11,Online,Online,PROPN,WORK_OF_ART_B
text1,2,12,Safety,Safety,PROPN,WORK_OF_ART_I
text1,2,13,Bill,Bill,PROPN,WORK_OF_ART_I
text1,2,14,“,"""",PUNCT,
text1,2,15,in,in,ADP,
text1,2,16,Kraft,Kraft,PROPN,ORG_B
text1,2,17,tritt,tritt,X,
text1,2,18,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,Unterhaus,Unterhaus,PROPN,PERSON_B
text1,3,3,hat,hat,PROPN,
text1,3,4,dem,dem,PROPN,
text1,3,5,umstrittenen,umstrittenen,NOUN,
text1,3,6,Überwachungsgesetz,Überwachungsgesetz,PROPN,
text1,3,7,bereits,bereit,VERB,
text1,3,8,zugestimmt,zugestimmt,PROPN,ORG_B
text1,3,9,",",",",PUNCT,
text1,3,10,nun,nun,PROPN,
text1,3,11,steht,steht,NOUN,
text1,3,12,demnächst,demnächst,NOUN,
text1,3,13,die,die,NOUN,
text1,3,14,finale,finale,NOUN,
text1,3,15,Verabschiedung,Verabschiedung,PROPN,ORG_B
text1,3,16,i,i,PROPN,ORG_I
text1,3,17,m,m,PROPN,ORG_I
text1,3,18,Oberhaus,Oberhaus,PROPN,ORG_I
text1,3,19,an,an,NOUN,
text1,3,20,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,schon,schon,PROPN,
text3,1,3,länger,läng,ADJ,
text3,1,4,diskutierte,diskutierte,NOUN,
text3,1,5,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,PRODUCT_B
text3,1,6,soll,soll,NOUN,
text3,1,7,Internetnutzer,Internetnutzer,PROPN,PERSON_B
text3,1,8,:,:,PUNCT,
text3,1,9,innen,innen,NOUN,
text3,1,10,vor,vor,NOUN,
text3,1,11,schädlichen,schädlichen,NOUN,
text3,1,12,und,und,VERB,
text3,1,13,illegalen,illegalen,ADJ,
text3,1,14,Inhalten,Inhalten,PROPN,
text3,1,15,i,I,PRON,
text3,1,16,m,m,VERB,
text3,1,17,Netz,Netz,PROPN,PERSON_B
text3,1,18,schützen,schützen,NOUN,
text3,1,19,.,.,PUNCT,
text3,2,1,Unter,Unter,PROPN,
text3,2,2,anderem,anderem,NOUN,
text3,2,3,enthält,enthält,NOUN,
text3,2,4,es,es,PROPN,
text3,2,5,Bestimmungen,Bestimmungen,PROPN,ORG_B
text3,2,6,",",",",PUNCT,
text3,2,7,die,die,VERB,
text3,2,8,den,den,PROPN,
text3,2,9,EU-,EU-,PROPN,
text3,2,10,Plänen,Plänen,PROPN,ORG_B
text3,2,11,für,für,NOUN,
text3,2,12,eine,eine,NOUN,
text3,2,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,2,14,ähneln,ähneln,VERB,
text3,2,15,.,.,PUNCT,
text3,3,1,In,in,ADP,
text3,3,2,der,der,ADJ,
text3,3,3,jetzigen,jetzigen,NOUN,
text3,3,4,Form,Form,PROPN,
text3,3,5,würde,würde,PROPN,
text3,3,6,das,das,PROPN,
text3,3,7,Gesetz,Gesetz,PROPN,
text3,3,8,die,die,VERB,
text3,3,9,Verschlüsselung,Verschlüsselung,PROPN,
text3,4,1,i,I,PRON,
text3,4,2,m,m,VERB,
text3,4,3,Vereinigten,Vereinigten,PROPN,PERSON_B
text3,4,4,Königreich,Königreich,PROPN,PERSON_I
text3,4,5,untergraben,untergraben,NOUN,
text3,4,6,.,.,PUNCT,
text3,5,1,Zudem,Zudem,PROPN,ORG_B
text3,5,2,schreibt,schreibt,PROPN,
text3,5,3,es,es,X,
text3,5,4,Online,Online,PROPN,PERSON_B
text3,5,5,-,-,PUNCT,PERSON_I
text3,5,6,Diensten,Diensten,PROPN,PERSON_I
text3,5,7,Überwachungspflichten,Überwachungspflichten,VERB,
text3,5,8,vor,vor,NOUN,
text3,5,9,.,.,PUNCT,
text3,6,1,Sie,Sie,PROPN,
text3,6,2,müssten,müssten,ADJ,
text3,6,3,dann,dann,PROPN,
text3,6,4,selbst,selbst,PROPN,
text3,6,5,aktiv,aktiv,PROPN,ORG_B
text3,6,6,nach,nach,PROPN,
text3,6,7,potenziell,potenziell,PROPN,
text3,6,8,schädlichen,schädlichen,NOUN,
text3,6,9,Inhalten,Inhalten,PROPN,PERSON_B
text3,6,10,Ausschau,Ausschau,PROPN,PERSON_I
text3,6,11,halten,halten,NOUN,
text3,6,12,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,„,„,PUNCT,
text5,1,4,Wird,Wird,PROPN,
text5,1,5,schwierig,schwierig,PROPN,
text5,1,6,",",",",PUNCT,
text5,1,7,die,die,VERB,
text5,1,8,Nutzung,Nutzung,PROPN,PERSON_B
text5,1,9,zu,zu,PROPN,PERSON_I
text5,1,10,verhindern,verhindern,NOUN,PERSON_I
text5,1,11,“,"""",PUNCT,
text7,1,1,I,I,PRON,
text7,1,2,m,m,VERB,
text7,1,3,Dezember,Dezember,PROPN,PERSON_B
text7,1,4,hatte,hatte,NOUN,
text7,1,5,der,der,PROPN,
text7,1,6,Messenger,Messenger,PROPN,PERSON_B
text7,1,7,-,-,PUNCT,PERSON_I
text7,1,8,Riese,Riese,PROPN,PERSON_I
text7,1,9,WhatsApp,WhatsApp,PROPN,ORG_B
text7,1,10,mit,mit,VERB,
text7,1,11,einem,einem,PROPN,
text7,1,12,Rückzug,Rückzug,PROPN,ORG_B
text7,1,13,von,von,PROPN,ORG_I
text7,1,14,der,der,NOUN,ORG_I
text7,1,15,Insel,Insel,PROPN,PERSON_B
text7,1,16,gedroht,gedroht,PROPN,
text7,1,17,",",",",PUNCT,
text7,1,18,sollte,sollte,PROPN,
text7,1,19,das,das,PROPN,
text7,1,20,Gesetz,Gesetz,PROPN,
text7,1,21,in,in,ADP,
text7,1,22,Kraft,Kraft,PROPN,ORG_B
text7,1,23,treten,treten,VERB,
text7,1,24,.,.,PUNCT,
text7,2,1,Zuletzt,Zuletzt,PROPN,PERSON_B
text7,2,2,hatte,hatte,NOUN,
text7,2,3,auch,auch,PROPN,
text7,2,4,Signal,Signal,PROPN,ORG_B
text7,2,5,einen,einen,NOUN,
text7,2,6,solchen,solchen,PROPN,
text7,2,7,Schritt,Schritt,PROPN,PERSON_B
text7,2,8,angekündigt,angekündigt,PROPN,
text7,2,9,.,.,PUNCT,
text7,3,1,Die,die,VERB,ORG_B
text7,3,2,Anbieter,Anbieter,PROPN,ORG_I
text7,3,3,weigern,weigern,NOUN,
text7,3,4,sich,sich,PROPN,
text7,3,5,",",",",PUNCT,
text7,3,6,eine,eine,NOUN,
text7,3,7,etwaige,etwaige,ADJ,
text7,3,8,Schwächung,Schwächung,PROPN,PRODUCT_B
text7,3,9,oder,oder,NOUN,
