doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,Europawahl,Europawahl,PROPN,ORG_I
text1,1,3,ist,ist,ADJ,
text1,1,4,ein,ein,PROPN,
text1,1,5,seltsames,seltsame,VERB,
text1,1,6,Ding,Ding,PROPN,PERSON_B
text1,1,7,.,.,PUNCT,
text1,2,1,450,450,NUM,CARDINAL_B
text1,2,2,Millionen,Millionen,PROPN,PERSON_B
text1,2,3,Europäer,Europäer,PROPN,PERSON_I
text1,2,4,:,:,PUNCT,
text1,2,5,innen,innen,NOUN,
text1,2,6,wählen,wählen,PROPN,
text1,2,7,ein,ein,PROPN,ORG_B
text1,2,8,Parlament,Parlament,PROPN,ORG_I
text1,2,9,",",",",PUNCT,
text1,2,10,damit,damit,PROPN,
text1,2,11,ist,ist,PROPN,
text1,2,12,sie,sie,PROPN,
text1,2,13,die,die,VERB,
text1,2,14,zweitgrößte,zweitgrößte,PROPN,
text1,2,15,demokratische,demokratische,PROPN,ORG_B
text1,2,16,Wahl,Wahl,PROPN,ORG_I
text1,2,17,der,der,PROPN,
text1,2,18,Welt,Welt,PROPN,PERSON_B
text1,2,19,.,.,PUNCT,
text1,3,1,Aber,Aber,PROPN,PERSON_B
text1,3,2,eigentlich,eigentlich,PROPN,
text1,3,3,müsste,müsste,NOUN,
text1,3,4,man,man,NOUN,
text1,3,5,eher,eher,PROPN,
text1,3,6,von,von,PROPN,PERSON_B
text1,3,7,Europawahlen,Europawahlen,PROPN,PERSON_I
text1,4,1,i,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,Plural,Plural,PROPN,
text1,4,4,sprechen,sprechen,PROPN,
text1,4,5,",",",",PUNCT,
text1,4,6,denn,denn,PROPN,
text1,4,7,eine,eine,NOUN,
text1,4,8,einheitliche,einheitliche,NOUN,
text1,4,9,Wahl,Wahl,PROPN,
text1,4,10,gibt,gibt,NOUN,
text1,4,11,es,es,PROPN,
text1,4,12,nicht,nicht,PROPN,
text1,4,13,:,:,PUNCT,
text1,4,14,Die,die,VERB,PERSON_B
text1,4,15,Bürger,Bürger,PROPN,PERSON_I
text1,4,16,:,:,PUNCT,
text1,5,1,innen,innen,NOUN,PERSON_B
text1,5,2,der,der,PROPN,PERSON_I
text1,5,3,27,27,NUM,CARDINAL_B
text1,5,4,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text1,5,5,wählen,wählen,VERB,
text1,5,6,jeweils,jeweil,NOUN,
text1,5,7,ihre,ihre,PROPN,
text1,5,8,nationalen,nationalen,PROPN,
text1,5,9,Parteien,Parteien,PROPN,
text1,5,10,.,.,PUNCT,
text1,6,1,Die,die,VERB,
text1,6,2,schließen,schließen,NOUN,
text1,6,3,sich,sich,INTJ,
text1,6,4,dann,dann,NOUN,
text1,6,5,zu,zu,ADJ,
text1,6,6,europäischen,europäischen,PROPN,
text1,6,7,Parteien,Parteien,PROPN,
text1,6,8,und,und,NOUN,
text1,6,9,schließlich,schließlich,NOUN,
