doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Über,über,NOUN,PERSON_B
text1,1,2,80,80,NUM,CARDINAL_B
text1,1,3,zivilgesellschaftliche,zivilgesellschaftliche,PROPN,
text1,1,4,Organisationen,Organisationen,PROPN,PERSON_B
text1,1,5,",",",",PUNCT,
text1,1,6,Wissenschaftlerinnen,Wissenschaftlerinnen,PROPN,ORG_B
text1,1,7,und,und,PROPN,
text1,1,8,Internetexperten,Internetexperten,PROPN,
text1,1,9,aus,aus,ADP,
text1,1,10,23,23,NUM,CARDINAL_B
text1,1,11,Ländern,ländern,ADJ,
text1,1,12,haben,haben,NOUN,
text1,1,13,sich,sich,NOUN,
text1,1,14,in,in,ADP,
text1,1,15,einem,einem,PROPN,
text1,1,16,offenen,offenen,NOUN,
text1,1,17,Brief,Brief,PROPN,
text1,1,18,an,an,DET,
text1,1,19,die,die,NOUN,
text1,1,20,britische,britische,NOUN,
text1,1,21,Regierung,Regierung,PROPN,NORP_B
text1,1,22,gewandt,gewandt,VERB,
text1,1,23,",",",",PUNCT,
text1,1,24,um,um,INTJ,
text1,1,25,die,die,VERB,
text1,1,26,Befugnisse,Befugnisse,PROPN,
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Online,Online,PROPN,PERSON_B
text1,2,4,Safety,Safety,PROPN,PERSON_I
text1,2,5,Bill,Bill,PROPN,PERSON_I
text1,2,6,zu,zu,NOUN,PERSON_I
text1,2,7,kritisieren,kritisieren,NOUN,PERSON_I
text1,2,8,.,.,PUNCT,
text1,3,1,Dieses,Dieses,PROPN,
text1,3,2,Gesetzesvorhaben,Gesetzesvorhaben,PROPN,
text1,3,3,ist,ist,ADP,
text1,3,4,das,das,PROPN,
text1,3,5,britische,britische,PROPN,
text1,3,6,Äquivalent,Äquivalent,PROPN,
text1,3,7,zur,zur,PROPN,
text1,3,8,EU,EU,PROPN,ORG_B
text1,3,9,-,-,PUNCT,
text1,3,10,Plänen,Plänen,PROPN,
text1,3,11,für,für,NOUN,
text1,3,12,die,die,VERB,
text1,3,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,3,14,.,.,PUNCT,
text1,4,1,Es,Es,PROPN,
text1,4,2,sieht,sieht,VERB,
text1,4,3,vor,vor,NOUN,
text1,4,4,",",",",PUNCT,
text1,4,5,dass,dass,VERB,
text1,4,6,auch,auch,ADJ,
text1,4,7,verschlüsselte,verschlüsselte,NOUN,
text1,4,8,Messaging,Messaging,PROPN,PERSON_B
text1,4,9,-,-,PUNCT,PERSON_I
text1,4,10,Apps,Apps,PROPN,PERSON_I
text1,4,11,wie,wie,NOUN,
text1,4,12,WhatsApp,WhatsApp,PROPN,ORG_B
text1,4,13,und,und,NOUN,
text1,4,14,Signal,Signal,PROPN,ORG_B
text1,4,15,die,die,VERB,
text1,4,16,Inhalte,Inhalte,PROPN,
text1,4,17,ihrer,ihrer,NOUN,
text1,4,18,Nutzer,Nutzer,PROPN,ORG_B
text1,4,19,:,:,PUNCT,
text1,4,20,innen,innen,NOUN,
text1,4,21,nach,nach,NOUN,
text1,4,22,Darstellungen,Darstellungen,PROPN,ORG_B
text1,4,23,sexualisierter,sexualisierter,NOUN,
text1,4,24,Gewalt,Gewalt,PROPN,PERSON_B
text1,4,25,und,und,PROPN,
text1,4,26,sogenannter,sogenannter,NOUN,
text1,4,27,Kinderpornografie,Kinderpornografie,PROPN,ORG_B
text1,4,28,scannen,scannen,NOUN,
text1,4,29,müssen,müssen,NOUN,
text1,4,30,.,.,PUNCT,
text3,1,1,I,I,PRON,
text3,1,2,m,m,VERB,
text3,1,3,offenen,offenen,ADJ,
text3,1,4,Brief,Brief,PROPN,
text3,1,5,heißt,heißt,NOUN,
text3,1,6,es,es,NOUN,
text3,1,7,",",",",PUNCT,
text3,1,8,dass,dass,NOUN,
text3,1,9,die,die,VERB,
text3,1,10,Online,Online,PROPN,PRODUCT_B
text3,1,11,Safety,Safety,PROPN,PRODUCT_I
text3,1,12,Bill,Bill,PROPN,PERSON_B
text3,1,13,ein,ein,NOUN,PERSON_I
text3,2,1,„,„,PUNCT,
text3,2,2,äußerst,äußerst,ADJ,
text3,2,3,beunruhigender,beunruhigend,ADJ,
text3,2,4,Gesetzesvorschlag,Gesetzesvorschlag,PROPN,PERSON_B
text3,2,5,“,"""",PUNCT,
text3,2,6,sei,sei,ADJ,
text3,2,7,:,:,PUNCT,
text5,1,1,Wenn,Wenn,PROPN,
text5,1,2,er,er,INTJ,
text5,1,3,in,in,ADP,
text5,1,4,seiner,seiner,NOUN,
text5,1,5,jetzigen,jetzigen,PROPN,
text5,1,6,Form,Form,PROPN,
text5,1,7,verabschiedet,verabschiedet,PROPN,
text5,1,8,wird,wird,PROPN,
text5,1,9,",",",",PUNCT,
text5,1,10,könnte,könnte,PROPN,
text5,1,11,das,das,PROPN,
text5,1,12,Vereinigte,Vereinigte,PROPN,PERSON_B
text5,1,13,Königreich,Königreich,PROPN,PERSON_I
text5,1,14,die,die,VERB,
text5,1,15,erste,erste,NOUN,
text5,1,16,liberale,liberale,PROPN,
text5,1,17,Demokratie,Demokratie,PROPN,ORG_B
