doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Laut,Laut,PROPN,PERSON_B
text1,1,2,Apple,Apple,PROPN,PERSON_I
text1,1,3,ist,ist,VERB,
text1,1,4,es,es,PROPN,
text1,1,5,technisch,technisch,PROPN,
text1,1,6,unmöglich,unmöglich,PROPN,
text1,1,7,",",",",PUNCT,
text1,1,8,Bilder,Bilder,PROPN,PERSON_B
text1,1,9,in,in,ADP,
text1,1,10,der,der,ADJ,
text1,1,11,iCloud,iCloud,PROPN,
text1,1,12,zu,zu,NOUN,
text1,1,13,scannen,scannen,NOUN,
text1,1,14,",",",",PUNCT,
text1,1,15,ohne,ohne,VERB,
text1,1,16,dabei,dabei,X,
text1,1,17,die,die,VERB,
text1,1,18,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text1,1,19,und,und,VERB,
text1,1,20,Sicherheit,Sicherheit,PROPN,
text1,1,21,der,der,NOUN,
text1,1,22,eigenen,eigenen,PROPN,
text1,1,23,Nutzer*innen,Nutzer*innen,PROPN,
text1,1,24,zu,zu,PROPN,PERSON_B
text1,1,25,gefährden,gefährden,ADJ,PERSON_I
text1,1,26,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,geht,geht,NOUN,
text1,2,3,aus,aus,PROPN,
text1,2,4,einer,einer,PROPN,
text1,2,5,Antwort,Antwort,PROPN,GPE_B
text1,2,6,des,des,X,
text1,2,7,Unternehmens,Unternehmens,PROPN,
text1,2,8,an,an,DET,
text1,2,9,eine,eine,NOUN,
text1,2,10,Kinderschutzorganisation,Kinderschutzorganisation,PROPN,ORG_B
text1,2,11,hervor,hervor,NOUN,
text1,2,12,",",",",PUNCT,
text1,2,13,über,über,NOUN,
text1,2,14,die,die,NOUN,
text1,2,15,*,*,PUNCT,
text1,2,16,Wired,Wired,PROPN,
text1,2,17,*,*,SYM,
text1,2,18,berichtet,berichtet,NOUN,
text1,2,19,.,.,PUNCT,
text1,3,1,I,I,PRON,
text1,3,2,m,m,VERB,
text1,3,3,Dezember,Dezember,PROPN,PERSON_B
text1,3,4,des,des,X,
text1,3,5,vergangenen,vergangenen,NOUN,
text1,3,6,Jahres,Jahres,PROPN,PERSON_B
text1,3,7,hatte,hatte,NOUN,PERSON_B
text1,3,8,Apple,Apple,PROPN,PERSON_I
text1,3,9,sich,sich,PROPN,
text1,3,10,schon,schon,VERB,
text1,3,11,von,von,PROPN,PERSON_B
text1,3,12,dem,dem,PROPN,PERSON_I
text1,3,13,eigenen,eigenen,NOUN,
text1,3,14,Plan,Plan,PROPN,
text1,3,15,distanziert,distanziert,NOUN,
text1,3,16,",",",",PUNCT,
text1,3,17,iCloud,iCloud,PROPN,ORG_B
text1,3,18,-,-,PUNCT,ORG_I
text1,3,19,Fotos,Fotos,PROPN,ORG_I
text1,3,20,automatisch,automatisch,NOUN,
text1,4,1,auf,auf,PROPN,
text1,4,2,bekannte,bekannte,NOUN,
text1,4,3,Darstellungen,Darstellungen,PROPN,ORG_B
text1,4,4,von,von,PROPN,ORG_I
text1,4,5,Kindesmissbrauch,Kindesmissbrauch,PROPN,ORG_I
text1,4,6,(,(,PUNCT,ORG_I
text1,4,7,Englisch,Englisch,PROPN,ORG_I
text1,4,8,:,:,PUNCT,ORG_I
text1,4,9,Child,Child,PROPN,ORG_I
text1,4,10,Sexual,Sexual,PROPN,ORG_I
text1,4,11,Abuse,Abuse,PROPN,ORG_I
text1,4,12,Material,Material,PROPN,ORG_I
text1,4,13,",",",",PUNCT,
