doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Seit,Seit,PROPN,
text1,1,2,über,über,PROPN,
text1,1,3,drei,drei,PROPN,
text1,1,4,Jahren,Jahren,PROPN,PERSON_B
text1,1,5,streiten,streiten,NOUN,
text1,1,6,die,die,VERB,
text1,1,7,EU,EU,PROPN,ORG_B
text1,1,8,-,-,PUNCT,
text1,1,9,Institutionen,Institutionen,PROPN,
text1,1,10,über,über,NOUN,
text1,1,11,eine,eine,NOUN,
text1,1,12,verpflichtende,verpflichtende,NOUN,
text1,1,13,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,14,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,Kommission,Kommission,PROPN,
text1,2,3,will,will,AUX,
text1,2,4,Internet,Internet,PROPN,
text1,2,5,-,-,PUNCT,
text1,2,6,Dienste,Dienste,PROPN,
text1,2,7,verpflichten,verpflichten,NOUN,
text1,2,8,",",",",PUNCT,
text1,2,9,die,die,VERB,
text1,2,10,Inhalte,Inhalte,PROPN,NORP_B
text1,2,11,ihrer,ihrer,NOUN,
text1,2,12,Nutzer,Nutzer,PROPN,ORG_B
text1,2,13,auf,auf,PROPN,
text1,2,14,Straftaten,Straftaten,PROPN,
text1,2,15,zu,zu,NOUN,
text1,2,16,durchsuchen,durchsuchen,NOUN,
text1,2,17,und,und,VERB,
text1,2,18,diese,diese,ADJ,NORP_B
text1,2,19,bei,bei,NOUN,
text1,2,20,Verdacht,Verdacht,PROPN,PERSON_B
text1,2,21,an,an,DET,
text1,2,22,Behörden,Behörden,PROPN,GPE_B
text1,2,23,zu,zu,NOUN,
text1,2,24,schicken,schicken,NOUN,
text1,2,25,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,ORG_B
text1,3,2,Parlament,Parlament,PROPN,ORG_I
text1,3,3,bezeichnet,bezeichnet,NOUN,
text1,3,4,das,das,PROPN,
text1,3,5,als,al,NOUN,
text1,3,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,7,und,und,PROPN,
text1,3,8,fordert,fordert,NOUN,
text1,3,9,",",",",PUNCT,
text1,3,10,nur,nur,VERB,
text1,3,11,unverschlüsselte,unverschlüsselte,ADJ,
text1,3,12,Inhalte,Inhalte,PROPN,PERSON_B
text1,3,13,von,von,PROPN,PERSON_I
text1,3,14,Verdächtigen,Verdächtigen,PROPN,PERSON_I
text1,3,15,zu,zu,PROPN,PERSON_I
text1,3,16,scannen,scannen,NOUN,PERSON_I
text1,3,17,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Staaten,Staaten,PROPN,ORG_I
text3,1,5,können,können,NOUN,
text3,1,6,sich,sich,PROPN,
text3,1,7,bisher,bisher,PROPN,
text3,1,8,nicht,nicht,PROPN,
text3,1,9,auf,auf,PROPN,
text3,1,10,eine,eine,NOUN,
text3,1,11,gemeinsame,gemeinsame,NOUN,
text3,1,12,Position,Position,PROPN,
text3,1,13,einigen,einigen,NOUN,
text3,1,14,.,.,PUNCT,
text3,2,1,Ob,Ob,PROPN,
text3,2,2,Spanien,Spanien,PROPN,PERSON_B
text3,2,3,",",",",PUNCT,
text3,2,4,Belgien,Belgien,PROPN,PERSON_B
text3,2,5,oder,oder,NOUN,
text3,2,6,Ungarn,Ungarn,PROPN,
text3,2,7,:,:,PUNCT,
text3,2,8,Bisher,Bisher,PROPN,
text3,2,9,ist,ist,VERB,
text3,2,10,jede,jede,PROPN,
text3,2,11,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text3,2,12,daran,daran,PROPN,
text3,2,13,gescheitert,gescheitert,PROPN,
text3,2,14,",",",",PUNCT,
text3,2,15,eine,eine,NOUN,
text3,2,16,Einigung,Einigung,PROPN,ORG_B
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,Rat,rat,ADJ,
text3,3,4,zu,zu,ADJ,
text3,3,5,organisieren,organisieren,NOUN,
text3,3,6,.,.,PUNCT,
text3,4,1,Jetzt,jetzt,NOUN,
text3,4,2,gibt,gibt,NOUN,
text3,4,3,auch,auch,NOUN,
text3,4,4,Polen,Polen,PROPN,PERSON_B
text3,4,5,auf,auf,PROPN,
text3,4,6,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,MONEY_B
text5,1,3,Wir,Wir,PROPN,
text5,1,4,veröffentlichen,veröffentlichen,NOUN,
text5,1,5,Dokumente,Dokumente,PROPN,
text7,1,1,Polen,Polen,PROPN,
text7,1,2,hatte,hatte,NOUN,
text7,1,3,einen,einen,NOUN,
text7,1,4,Kompromiss,Kompromiss,PROPN,PERSON_B
text7,1,5,vorgeschlagen,vorgeschlagen,NOUN,
text7,1,6,:,:,PUNCT,
text7,1,7,Die,die,VERB,ORG_B
text7,1,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_I
text7,1,9,soll,soll,PROPN,
text7,1,10,für,für,PROPN,
text7,1,11,Internet,Internet,PROPN,
text7,1,12,-,-,PUNCT,
text7,1,13,Dienste,Dienste,PROPN,
text7,1,14,nicht,nicht,NOUN,
text7,1,15,verpflichtend,verpflichtend,NOUN,
text7,1,16,werden,werden,PROPN,
text7,1,17,",",",",PUNCT,
text7,1,18,aber,aber,PROPN,
text7,1,19,freiwillig,freiwillig,PROPN,
text7,1,20,möglich,möglich,PROPN,
text7,1,21,sein,sein,PROPN,
text7,1,22,.,.,PUNCT,
text7,2,1,Das,Das,PROPN,
text7,2,2,lehnen,lehnen,NOUN,
text7,2,3,die,die,VERB,
text7,2,4,Befürworter,Befürworter,PROPN,ORG_B
text7,2,5,ab,ab,PROPN,ORG_I
text7,2,6,.,.,PUNCT,
text7,3,1,Die,die,VERB,PERSON_B
text7,3,2,Mehrheit,Mehrheit,PROPN,PERSON_I
text7,3,3,der,der,NOUN,
text7,3,4,Staaten,Staaten,PROPN,ORG_B
text7,3,5,beharrt,beharrt,NOUN,
text7,3,6,auf,auf,PROPN,
text7,3,7,einer,einer,NOUN,
text7,3,8,gesetzlichen,gesetzlichen,PROPN,
text7,3,9,Pflicht,Pflicht,PROPN,
text7,3,10,.,.,PUNCT,
text7,4,1,Eine,Eine,PROPN,PERSON_B
text7,4,2,Sperrminorität,Sperrminorität,PROPN,PERSON_I
text7,4,3,der,der,NOUN,
text7,4,4,Staaten,Staaten,PROPN,PRODUCT_B
text7,4,5,blockiert,blockiert,PROPN,
text7,4,6,das,das,PROPN,PRODUCT_B
text7,4,7,aber,aber,PROPN,PRODUCT_I
text7,4,8,.,.,PUNCT,
text9,1,1,In,in,ADP,
text9,1,2,mehreren,mehreren,NOUN,
text9,1,3,Verhandlungsrunden,Verhandlungsrunden,PROPN,PERSON_B
text9,1,4,traten,traten,VERB,
text9,1,5,die,die,VERB,
text9,1,6,EU,EU,PROPN,ORG_B
text9,1,7,-,-,PUNCT,
text9,1,8,Staaten,Staaten,PROPN,
text9,1,9,mehr,mehr,NOUN,
text9,1,10,oder,oder,NOUN,
text9,1,11,weniger,weniger,PROPN,
text9,1,12,auf,auf,PROPN,
text9,1,13,der,der,PROPN,
text9,1,14,Stelle,Stelle,PROPN,PERSON_B
text9,1,15,.,.,PUNCT,
text9,2,1,Vor,Vor,PROPN,PERSON_B
text9,2,2,zwei,zwei,PROPN,PERSON_I
text9,2,3,Wochen,Wochen,PROPN,
text9,2,4,hat,hat,PROPN,
text9,2,5,Polen,Polen,PROPN,PERSON_B
text9,2,6,einen,einen,NOUN,
text9,2,7,neuen,neuen,NOUN,
text9,2,8,Kompromisstext,Kompromisstext,PROPN,PERSON_B
text9,2,9,verschickt,verschickt,NOUN,
text9,2,10,.,.,PUNCT,
text9,3,1,Dieses,Dieses,PROPN,
text9,3,2,Dokument,dokument,ADJ,
text9,3,3,haben,haben,NOUN,
text9,3,4,wir,wir,NOUN,
text9,3,5,veröffentlicht,veröffentlicht,NOUN,
text9,3,6,.,.,PUNCT,
text9,4,1,Letzte,Letzte,PROPN,ORG_B
text9,4,2,Woche,Woche,PROPN,ORG_I
text9,4,3,hat,hat,NOUN,
text9,4,4,die,die,VERB,
text9,4,5,Arbeitsgruppe,Arbeitsgruppe,PROPN,PERSON_B
text9,4,6,den,den,VERB,
text9,4,7,Text,Text,PROPN,
text9,4,8,verhandelt,verhandelt,NOUN,
text9,4,9,.,.,PUNCT,
text9,5,1,Wir,Wir,PROPN,
text9,5,2,veröffentlichen,veröffentlichen,PROPN,
text9,5,3,ein,ein,PROPN,
text9,5,4,weiteres,weitere,VERB,
text9,5,5,Mal,Mal,PROPN,PERSON_B
text9,5,6,das,das,PROPN,PERSON_I
text9,5,7,eingestufte,eingestufte,NOUN,
text9,5,8,Protokoll,Protokoll,PROPN,ORG_B
text9,5,9,der,der,PROPN,
text9,5,10,Sitzung,Sitzung,PROPN,GPE_B
text9,5,11,.,.,PUNCT,
text11,1,1,#,#,SYM,
text11,1,2,#,#,NOUN,
text11,1,3,Nur,Nur,PROPN,
text11,1,4,minimale,minimale,NOUN,
text11,1,5,Änderungen,Änderungen,PROPN,ORG_B
text13,1,1,In,in,ADP,
text13,1,2,der,der,ADJ,
text13,1,3,Sitzung,Sitzung,PROPN,GPE_B
text13,1,4,erläuterte,erläuterte,NOUN,
text13,1,5,Polen,Polen,PROPN,PERSON_B
text13,1,6,",",",",PUNCT,
text13,1,7,dass,dass,NOUN,
text13,1,8,es,es,X,
text13,1,9,einige,einige,PROPN,
text13,1,10,„,„,PUNCT,
text13,1,11,Anregungen,Anregungen,PROPN,
text13,1,12,der,der,NOUN,
text13,1,13,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
