doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Am,be,AUX,
text1,1,2,vergangenen,vergangenen,NOUN,
text1,1,3,Samstag,Samstag,PROPN,PERSON_B
text1,1,4,ist,ist,AUX,
text1,1,5,die,die,VERB,
text1,1,6,europäische,europäische,NOUN,
text1,1,7,Ausnahmeregelung,Ausnahmeregelung,PROPN,PERSON_B
text1,1,8,zum,zum,PROPN,PERSON_I
text1,1,9,Scannen,Scannen,PROPN,PERSON_I
text1,1,10,von,von,PROPN,PERSON_I
text1,1,11,privater,privater,NOUN,
text1,1,12,Kommunikation,Kommunikation,PROPN,
text1,1,13,nach,nach,NOUN,
text1,1,14,Inhalten,Inhalten,PROPN,
text1,1,15,sexualisierten,sexualisierten,ADV,
text1,1,16,Kindesmissbrauchs,Kindesmissbrauchs,PROPN,PERSON_B
text1,1,17,–,–,PUNCT,
text1,1,18,die,die,VERB,
text1,1,19,sogenannte,sogenannte,NOUN,
text1,1,20,„,„,PUNCT,
text1,1,21,freiwillige,freiwillige,X,
text1,1,22,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,23,“,"""",PUNCT,
text1,1,24,oder,oder,NOUN,
text1,1,25,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,26,1.0,1.0,NUM,ORG_I
text1,1,27,–,–,PUNCT,
text1,1,28,ausgelaufen,ausgelaufen,NOUN,
text1,1,29,.,.,PUNCT,
text1,2,1,Die,die,VERB,PERSON_B
text1,2,2,Tech,Tech,PROPN,PERSON_I
text1,2,3,-,-,PUNCT,PERSON_I
text1,2,4,Konzerne,Konzerne,PROPN,PERSON_I
text1,2,5,Google,Google,PROPN,PERSON_I
text1,2,6,",",",",PUNCT,
text1,2,7,Meta,Meta,PROPN,ORG_B
text1,2,8,",",",",PUNCT,
text1,2,9,Microsoft,Microsoft,PROPN,ORG_B
text1,2,10,und,und,VERB,
text1,2,11,Snapchat,Snapchat,PROPN,
text1,2,12,wollen,wollen,NOUN,
text1,2,13,aber,aber,PROPN,
text1,2,14,dennoch,dennoch,PROPN,
text1,2,15,weiter,weiter,PROPN,
text1,2,16,die,die,PROPN,
text1,2,17,Kommunikation,Kommunikation,PROPN,
text1,2,18,ihrer,ihrer,NOUN,
text1,2,19,Nutzer,Nutzer,PROPN,
text1,2,20,:,:,PUNCT,
text1,2,21,innen,innen,NOUN,
text1,2,22,massenhaft,massenhaft,PROPN,
text1,2,23,und,und,PROPN,
text1,2,24,anlasslos,anlasslos,PROPN,
text1,2,25,nach,nach,NOUN,
text1,2,26,solchen,solchen,PROPN,
text1,2,27,Inhalten,Inhalten,PROPN,WORK_OF_ART_B
text1,2,28,durchsuchen,durchsuchen,NOUN,WORK_OF_ART_I
text1,2,29,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,verkündeten,verkündeten,VERB,
text1,3,3,die,die,VERB,
text1,3,4,Unternehmen,Unternehmen,PROPN,ORG_B
text1,3,5,am,be,AUX,
text1,3,6,4,4,NUM,DATE_B
text1,3,7,.,.,PUNCT,DATE_I
text1,4,1,April,April,PROPN,DATE_B
text1,4,2,in,in,ADP,
text1,4,3,einer,einer,NOUN,
text1,4,4,gemeinsamen,gemeinsaman,NOUN,
text1,4,5,Erklärung,Erklärung,PROPN,PERSON_B
text1,4,6,.,.,PUNCT,
text1,5,1,Wie,wie,NOUN,
text1,5,2,genau,genau,NOUN,
text1,5,3,die,die,VERB,
text1,5,4,Unternehmen,Unternehmen,PROPN,
text1,5,5,die,die,VERB,
text1,5,6,Maßnahmen,Maßnahmen,PROPN,
text1,5,7,fortsetzen,fortsetzen,NOUN,
