doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Hand,Hand,PROPN,
text1,1,2,auf,auf,PROPN,
text1,1,3,’s,’s,PART,
text1,1,4,Herz,herz,NOUN,
text1,1,5,:,:,PUNCT,
text1,1,6,Wer,wer,ADJ,
text1,1,7,hat,hat,NOUN,
text1,1,8,in,in,ADP,
text1,1,9,den,den,NOUN,
text1,1,10,letzten,letzten,VERB,
text1,1,11,Wochen,Wochen,PROPN,
text1,1,12,noch,noch,PROPN,
text1,1,13,nicht,nicht,PROPN,
text1,1,14,mit,mit,VERB,
text1,1,15,StableDiffusion,StableDiffusion,PROPN,ORG_B
text1,1,16,",",",",PUNCT,
text1,1,17,DALL‑E,dall‑e,NUM,
text1,1,18,2,2,NUM,CARDINAL_B
text1,1,19,oder,oder,NOUN,
text1,1,20,einem,einem,PROPN,PERSON_B
text1,1,21,der,der,PROPN,PERSON_I
text1,1,22,anderen,anderen,PROPN,
text1,1,23,neuen,neuen,VERB,
text1,1,24,Bild,Bild,PROPN,PERSON_B
text1,1,25,-,-,PUNCT,PERSON_I
text1,1,26,Generatoren,Generatoren,PROPN,PERSON_I
text1,1,27,herumgespielt,herumgespielt,NOUN,
text1,1,28,?,?,PUNCT,
text1,2,1,Teddybären,Teddybären,PROPN,
text1,2,2,i,I,PRON,
text1,2,3,m,m,VERB,
text1,2,4,Chemie,Chemie,PROPN,PERSON_B
text1,2,5,-,-,PUNCT,PERSON_I
text1,2,6,Labor,Labor,PROPN,PERSON_I
text1,2,7,",",",",PUNCT,
text1,2,8,Tech,Tech,PROPN,ORG_B
text1,2,9,-,-,PUNCT,ORG_I
text1,2,10,Bosse,Bosse,PROPN,ORG_I
text1,2,11,auf,auf,PROPN,
text1,2,12,Renaissance,Renaissance,PROPN,ORG_B
text1,2,13,-,-,PUNCT,ORG_I
text1,2,14,Gemälden,Gemälden,PROPN,ORG_I
text1,2,15,oder,oder,NOUN,
text1,2,16,fotorealistische,fotorealistische,NOUN,
text1,2,17,Bilder,Bilder,PROPN,PERSON_B
text1,2,18,von,von,PROPN,PERSON_I
text1,2,19,Hunden,Hunden,PROPN,PERSON_I
text1,2,20,in,in,ADP,
text1,2,21,schwarzen,schwarzen,NOUN,
